Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
What is the primary function of the Operating System?,Managing hardware resources,Providing user interface,Executing application software,All of the above,D,"The primary function of an OS is to manage hardware resources, provide a platform for application software, and offer a user interface.",NET,Conceptual,Medium,Computer_Science,Operating Systems
Which scheduling algorithm is prone to starvation?,First-Come-First-Served (FCFS),Shortest Job First (SJF),Priority Scheduling,Round Robin (RR),C,Priority Scheduling can lead to starvation if a process with low priority is indefinitely delayed by higher-priority processes.,NET,Conceptual,Medium,Computer_Science,Operating Systems
What is the purpose of a semaphore in Operating System?,Process synchronization,Memory management,File system management,I/O management,A,"Semaphores are used for process synchronization, controlling access to shared resources by multiple processes.",NET,Conceptual,Medium,Computer_Science,Operating Systems
Which of the following is a characteristic of a Real-Time Operating System?,Predictable response time,High throughput,Multi-user support,Multi-threading,A,"Real-Time Operating Systems are designed to provide predictable response times to events, making them suitable for time-critical applications.",NET,Conceptual,Medium,Computer_Science,Operating Systems
What is the difference between a thread and a process?,Threads are heavier than processes,"Threads share the same memory space, while processes do not","Threads are scheduled independently, while processes are not","Threads are used for I/O operations, while processes are used for computation",B,"Threads within a process share the same memory space, whereas processes have their own separate memory spaces.",NET,Conceptual,Medium,Computer_Science,Operating Systems
Which file system is known for its journaling feature?,FAT32,NTFS,EXT3,HFS+,C,"EXT3 is a journaling file system, which means it logs changes before writing them to disk, ensuring file system consistency.",NET,Conceptual,Medium,Computer_Science,Operating Systems
What is the purpose of the 'wait()' system call?,To pause the execution of a process,To wait for a child process to terminate,To send a signal to a process,To create a new process,B,The 'wait()' system call is used by a parent process to wait for the termination of its child process.,NET,Conceptual,Medium,Computer_Science,Operating Systems
Which memory allocation technique is prone to external fragmentation?,Paging,Segmentation,Both Paging and Segmentation,Neither Paging nor Segmentation,B,"Segmentation is prone to external fragmentation because it allocates memory in variable-sized blocks, leading to gaps between allocated segments.",NET,Conceptual,Medium,Computer_Science,Operating Systems
What is the function of the Memory Management Unit (MMU)?,To manage I/O operations,To handle interrupts,To translate virtual addresses to physical addresses,To manage file systems,C,The MMU translates virtual addresses used by a program into physical addresses in the computer's memory.,NET,Conceptual,Medium,Computer_Science,Operating Systems
Which of the following is a benefit of using threads?,Improved security,Reduced memory usage,Faster context switching,All of the above,C,Threads have faster context switching compared to processes because they share the same memory space and resources.,NET,Conceptual,Medium,Computer_Science,Operating Systems
What is a deadlock in Operating System?,A situation where a process is waiting for a resource held by another process,A situation where a process is terminated abruptly,A situation where a process is unable to access a required resource,A situation where multiple processes are competing for resources,A,"A deadlock occurs when two or more processes are blocked, each waiting for a resource held by the other.",NET,Conceptual,Medium,Computer_Science,Operating Systems
Which algorithm is used for disk scheduling?,First-Come-First-Served (FCFS),Shortest Seek Time First (SSTF),SCAN,All of the above,D,"FCFS, SSTF, and SCAN are all disk scheduling algorithms used to optimize disk access times.",NET,Conceptual,Medium,Computer_Science,Operating Systems
What is the purpose of the 'fork()' system call?,To create a new thread,To create a new process,To send a signal to a process,To wait for a child process to terminate,B,The 'fork()' system call is used to create a new process by duplicating the calling process.,NET,Conceptual,Medium,Computer_Science,Operating Systems
Which of the following is a characteristic of a microkernel?,It includes all OS services in the kernel,It runs OS services in user space,It is used only in embedded systems,It is slower than a monolithic kernel,B,"A microkernel runs OS services in user space, making it more modular and potentially more secure.",NET,Conceptual,Medium,Computer_Science,Operating Systems
What is the Banker's algorithm used for?,Deadlock avoidance,Deadlock detection,Resource allocation,Process scheduling,A,The Banker's algorithm is used for deadlock avoidance by ensuring that resource allocation does not lead to a deadlock state.,NET,Conceptual,Medium,Computer_Science,Operating Systems
Which of the following is true about a kernel?,It is a user-level program,It manages hardware resources,It provides a command-line interface,It is responsible for file system management,B,The kernel is the core part of the OS that manages hardware resources and provides services to applications.,NET,Conceptual,Medium,Computer_Science,Operating Systems
What is a critical section in Operating System?,A section of code that accesses shared resources,A section of code that is executed only once,A section of code that is never executed,A section of code that is executed by multiple processes simultaneously,A,A critical section is a part of the code that accesses shared resources and must be executed atomically to prevent data inconsistency.,NET,Conceptual,Medium,Computer_Science,Operating Systems
Which synchronization mechanism is used to avoid busy waiting?,Semaphores,Monitors,Mutexes,All of the above,D,"Semaphores, monitors, and mutexes are all synchronization mechanisms that can be used to avoid busy waiting by putting a process to sleep until a resource is available.",NET,Conceptual,Medium,Computer_Science,Operating Systems
What is the purpose of paging in memory management?,To reduce external fragmentation,To increase the size of the memory,To improve the speed of memory access,To simplify memory allocation,A,"Paging reduces external fragmentation by dividing memory into fixed-size blocks called pages, making memory allocation more efficient.",NET,Conceptual,Medium,Computer_Science,Operating Systems
Which of the following is a type of Operating System?,Batch Operating System,Time-Sharing Operating System,Distributed Operating System,All of the above,D,"Batch, Time-Sharing, and Distributed Operating Systems are all types of Operating Systems, each designed for specific use cases.",NET,Conceptual,Medium,Computer_Science,Operating Systems
What is the primary purpose of a semaphore in Operating Systems?,Process synchronization,Memory management,File system management,I/O management,A,"Semaphore is used for process synchronization, controlling access to shared resources by multiple processes.",ECAT,Conceptual,Medium,Computer_Science,Operating Systems
A system has 5 processes and 3 resources. What is the maximum number of resources required to avoid deadlock?,4,5,6,7,B,"To avoid deadlock, the number of resources should be at least equal to the number of processes, i.e., 5.",ECAT,Conceptual,Medium,Computer_Science,Operating Systems
