Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,The Treaty of Westphalia brought an end to the:,10 years war,20 years war,30 years war,40 years war,C
2,STAR stands for__________.,Standard Terminal Arrival Route,Standard Term Arrival Route,Strong Terminal Arrival Road,Standard Terminal Arrival Road,A
3,How many times has Pakistan hosted the Asian Games?,Thrice,Never,Twice,Once,B
4,Name the Sri Lankan airline.,Lankan International,Lankan Air,Lanka International,Air Lanka,D
5,Kyodo is the news agency of,China,Japan,Kenya,Cambodia,B
6,Where are the headquarters of SAARC?,Delhi,Thimphu,"Kathmandu, Nepal",None of these,C
7,The currency of Canada is the,Pound,Canadian Dollar,Euro,Franc,B
8,International Literacy Day is celebrated every year on:,on 1 October,on 6 September,on 10 September,on 8 September,D
9,Which of the following is an ocean current?,West Wind,Gulf Stream,Both of these,None of these,C
10,With which war is the name of Florence Nightingale associated?,World War 1,World War 2,Crimean War,Battle of Leipzig,C
11,Operation Black Tornado took place in,Sri Lanka,India,Myanmar,Pakistan,B
12,The currency of Malta is:,Dollar,Kwancha,Euro,Dollar,C
13,The first person to draw the map of earth.,Heraclitus,Pythagoras,Anaximander,Thales,C
14,Farmers link with capitalism through:,Market,Trade,Technology,None of these,A
15,"When the stock market is going down, it is called:",Crashing,Bearish,Slumberous,Bullish,B
16,Lagos is a famous city of:,Sudan,Morocco,Nigeria,Egypt,C
17,A mummy discovered near the Iranian capital was of:,Reza Shah Pahlavi,Ahmad Shah Qajar,Mozaffar ad-Din,None of these,A
18,"In the marathon race, athletes have to cover a distance of ____ miles.",15,19,26,28,C
19,"What is the area of the ""South India Peninsula""?",580000 sq m,32599 sq m,800000 sq m,84431 sq m,C
20,The first SAARC summit was held in,Kathmandu,Dhaka,Mumbai,Tehran,B
21,"In which country is ""Haifa Port"" situated?",France,Canada,Israel,Iran,C
22,Who coined the name UNO?,Truman,F. D. Roosevelt,Churchill,None of these,B
23,The UN Security Council's president changes according to:,Alphabetical order,Seniority,Highest GDP,None of these,A
24,The last Guru of Sikhism was:,Amar Das,Gobind Singh,Ram Das,None of these,B
25,Which is the largest district of Pakistan by population?,Chagai,Lahore,Karachi Central,Peshawar,B
26,The Fourth Anglo-Mysore War was started in:,1700,1798,1794,None of these,B
27,The following represent tangible assets and are shown in the balance sheet as:,People,Expenses,Revenue,Goodwill,D
28,ANA is the news agency of _________.,South Africa,Switzerland,Congo,New Zealand,A
29,How much percentage of Earth's land is covered with forests?,31 percent,25 percent,19 percent,41 percent,A
30,The destruction of a Tsunami is measured by its:,Height,Momentum,Predictability,None of these,A
31,What is the source of the Arkansas River?,Russia,Central Colorado,Central Angola,Lake Ontario,B
32,"Robin Williams, who committed suicide, was famous as a/an:",Economist,Politician,Comedian Actor,Music Composer,C
33,Who was the first Chairman of the SAARC?,Indira Gandhi,Zia ur Rehman,Hussain Muhammad Ershad,Zulfiqar Ali Bhutto,C
34,"What is the height of ""Hunlen Falls""?",370 m,491 m,365 m,457 m,C
35,Canterbury plains are present in _________.,New Zealand,Australia,Russia,USA,A
36,Hollywood city is located in _________.,USA,Germany,Iraq,Sweden,A
37,Gulliver's Travels was written by,H.C. Armstrong,Pearl S. Buck,James Frazer,Jonathan Swift,D
