Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
Cup : Coffee :: Plate : ?,Food,Drink,Table,Spoon,A,"The relationship is between a container and its typical content. Cups are used for coffee, and plates are used for food.",NET,Conceptual,Medium,English,Analogies
Pen : Write :: Brush : ?,Paint,Draw,Create,Clean,A,"The relationship is between a tool and its primary function. Pens are used to write, and brushes are used to paint.",NET,Conceptual,Medium,English,Analogies
Doctor : Hospital :: Teacher : ?,School,Classroom,Office,Library,A,"The relationship is between a professional and their typical workplace. Doctors work in hospitals, and teachers work in schools.",NET,Conceptual,Medium,English,Analogies
Book : Author :: Song : ?,Singer,Musician,Composer,Lyricist,C,"The relationship is between a creative work and its creator. Books are written by authors, and songs are composed by composers.",NET,Conceptual,Medium,English,Analogies
Car : Road :: Boat : ?,Sea,River,Lake,Water,D,"The relationship is between a vehicle and its typical medium of travel. Cars travel on roads, and boats travel on water.",NET,Conceptual,Medium,English,Analogies
Flower : Garden :: Fish : ?,Tank,Aquarium,Water,Sea,B,"The relationship is between a living thing and its typical enclosure. Flowers are found in gardens, and fish are found in aquariums.",NET,Conceptual,Medium,English,Analogies
Student : Study :: Employee : ?,Work,Office,Company,Salary,A,"The relationship is between a person and their primary activity. Students study, and employees work.",NET,Conceptual,Medium,English,Analogies
Cloud : Rain :: Volcano : ?,Eruption,Lava,Mountain,Earthquake,A,"The relationship is between a natural phenomenon and its typical consequence. Clouds produce rain, and volcanoes erupt.",NET,Conceptual,Medium,English,Analogies
Bike : Pedal :: Car : ?,Gear,Accelerator,Brake,Steering,B,"The relationship is between a vehicle and its primary control mechanism. Bikes are controlled by pedals, and cars are controlled by accelerators.",NET,Conceptual,Medium,English,Analogies
Eye : See :: Ear : ?,Hear,Listen,Sound,Noise,A,"The relationship is between a sensory organ and its primary function. Eyes are used to see, and ears are used to hear.",NET,Conceptual,Medium,English,Analogies
Microphone : Sound :: Camera : ?,Image,Video,Picture,Light,A,"The relationship is between a device and the type of data it captures. Microphones capture sound, and cameras capture images.",NET,Conceptual,Medium,English,Analogies
Tree : Forest :: House : ?,City,Neighborhood,Village,Street,B,"The relationship is between a single entity and a collection of similar entities. Trees are part of forests, and houses are part of neighborhoods.",NET,Conceptual,Medium,English,Analogies
Piano : Music :: Brush : ?,Art,Painting,Color,Canvas,B,"The relationship is between a tool and the type of creative work it is used for. Pianos are used to create music, and brushes are used to create paintings.",NET,Conceptual,Medium,English,Analogies
Football : Stadium :: Concert : ?,Arena,Theater,Auditorium,Hall,A,"The relationship is between an event and its typical venue. Football games are held in stadiums, and concerts are held in arenas.",NET,Conceptual,Medium,English,Analogies
Teacher : Lesson :: Chef : ?,Recipe,Dish,Menu,Kitchen,A,"The relationship is between a professional and their planned activity. Teachers plan lessons, and chefs follow recipes.",NET,Conceptual,Medium,English,Analogies
Bicycle : Cycle :: Car : ?,Drive,Ride,Travel,Transport,A,"The relationship is between a vehicle and the action associated with using it. Bicycles are cycled, and cars are driven.",NET,Conceptual,Medium,English,Analogies
Sun : Day :: Moon : ?,Night,Shadow,Dark,Light,A,"The relationship is between a celestial body and the time of day it is typically associated with. The sun is visible during the day, and the moon is visible at night.",NET,Conceptual,Medium,English,Analogies
Sculptor : Statue :: Painter : ?,Painting,Art,Canvas,Brush,A,"The relationship is between an artist and their typical creation. Sculptors create statues, and painters create paintings.",NET,Conceptual,Medium,English,Analogies
River : Water :: Road : ?,Traffic,Vehicle,Path,Travel,B,"The relationship is between a pathway and the type of entity that typically uses it. Rivers carry water, and roads are used by vehicles.",NET,Conceptual,Medium,English,Analogies
Novel : Chapter :: Song : ?,Verse,Melody,Lyric,Composition,A,"The relationship is between a creative work and its typical subdivision. Novels are divided into chapters, and songs are divided into verses.",NET,Conceptual,Medium,English,Analogies
Cup is to Coffee as Bowl is to,Dish,Spoon,Soup,Table,C,"The relationship is between a container and its typical contents. A cup is used for coffee, and a bowl is used for soup.",ECAT,Conceptual,Medium,English,Analogies
Doctor is to Hospital as Teacher is to,School,Student,Classroom,Principal,A,"The relationship is between a professional and their typical workplace. A doctor works in a hospital, and a teacher works in a school.",ECAT,Conceptual,Medium,English,Analogies
Pen is to Write as Brush is to,Paint,Draw,Color,Create,A,"The relationship is between a tool and its primary function. A pen is used to write, and a brush is used to paint.",ECAT,Conceptual,Medium,English,Analogies
Car is to Road as Boat is to,Water,Sea,River,Lake,A,"The relationship is between a vehicle and its typical path or medium. A car travels on a road, and a boat travels on water.",ECAT,Conceptual,Medium,English,Analogies
Book is to Library as Product is to,Store,Factory,Warehouse,Market,C,"The relationship is between an item and its storage location. Books are stored in a library, and products are stored in a warehouse.",ECAT,Conceptual,Medium,English,Analogies
Eye is to See as Ear is to,Hear,Listen,Sound,Deaf,A,"The relationship is between a sensory organ and its function. The eye is used to see, and the ear is used to hear.",ECAT,Conceptual,Medium,English,Analogies
Tree is to Forest as Fish is to,Water,Sea,River,School,D,"The relationship is between an individual and a group. A tree is part of a forest, and a fish is part of a school.",ECAT,Conceptual,Medium,English,Analogies
Microphone is to Voice as Camera is to,Image,Picture,Photograph,Scene,A,"The relationship is between a device and the thing it captures. A microphone captures voice, and a camera captures an image.",ECAT,Conceptual,Medium,English,Analogies
Shoe is to Foot as Glove is to,Hand,Finger,Arm,Leg,A,"The relationship is between a protective covering and the body part it covers. A shoe covers the foot, and a glove covers the hand.",ECAT,Conceptual,Medium,English,Analogies
Flower is to Garden as Fish is to,Tank,Aquarium,Water,River,B,"The relationship is between an organism and its typical enclosed environment. A flower is in a garden, and a fish is in an aquarium.",ECAT,Conceptual,Medium,English,Analogies
Key is to Lock as Plug is to,Socket,Wire,Outlet,Electricity,A,"The relationship is between a device and its corresponding receptacle. A key fits into a lock, and a plug fits into a socket.",ECAT,Conceptual,Medium,English,Analogies
Engine is to Car as Heart is to,Body,Human,Blood,Pump,A,"The relationship is between a vital organ or component and the larger system it is part of. An engine is crucial for a car, and the heart is crucial for the body.",ECAT,Conceptual,Medium,English,Analogies
Cloud is to Rain as Volcano is to,Eruption,Lava,Magma,Earthquake,A,"The relationship is between a natural phenomenon and its associated event. Clouds produce rain, and a volcano has an eruption.",ECAT,Conceptual,Medium,English,Analogies
Piano is to Music as Brush is to,Art,Painting,Color,Canvas,A,"The relationship is between a tool or instrument and the art form it is used to create. A piano is used to create music, and a brush is used to create art.",ECAT,Conceptual,Medium,English,Analogies
Student is to Teacher as Patient is to,Doctor,Nurse,Hospital,Medicine,A,"The relationship is between the recipient of service and the provider. A student is taught by a teacher, and a patient is treated by a doctor.",ECAT,Conceptual,Medium,English,Analogies
Bicycle is to Pedal as Car is to,Gear,Accelerator,Steering,Brake,B,"The relationship is between a vehicle and the control used to make it move. A bicycle is propelled by pedaling, and a car is propelled by pressing the accelerator.",ECAT,Conceptual,Medium,English,Analogies
Word is to Sentence as Brick is to,Wall,Building,House,Structure,A,"The relationship is between a basic unit and a larger construction made from it. Words are used to form sentences, and bricks are used to build walls.",ECAT,Conceptual,Medium,English,Analogies
Map is to Navigator as Compass is to,Explorer,Traveler,Direction,Guide,B,"The relationship is between a tool used for navigation and the person using it. A map is used by a navigator, and a compass is used by a traveler.",ECAT,Conceptual,Medium,English,Analogies
Song is to Singer as Play is to,Actor,Director,Theater,Script,A,"The relationship is between a performance and the person performing it. A song is performed by a singer, and a play is performed by an actor.",ECAT,Conceptual,Medium,English,Analogies
Food is to Chef as Medicine is to,Pharmacist,Doctor,Nurse,Patient,B,"The relationship is between a product or treatment and the professional responsible for it. A chef prepares food, and a doctor prescribes medicine.",ECAT,Conceptual,Medium,English,Analogies
Finger is to Hand as Toe is to?,Foot,Leg,Knee,Ankle,A,"The analogy is based on the relationship between a part and its corresponding whole, Finger is a part of Hand, similarly Toe is a part of Foot.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Cup is to Coffee as Plate is to?,Food,Drink,Table,Dish,A,"The analogy is based on the relationship between a container and its typical content, Cup contains Coffee, similarly Plate contains Food.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Book is to Author as Painting is to?,Painter,Canvas,Brush,Gallery,A,"The analogy is based on the relationship between a creator and their creation, Author writes a Book, similarly Painter creates a Painting.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Clock is to Time as Thermometer is to?,Temperature,Weather,Climate,Heat,A,"The analogy is based on the relationship between a measuring device and the quantity it measures, Clock measures Time, similarly Thermometer measures Temperature.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Car is to Road as Boat is to?,Water,Sea,River,Lake,A,"The analogy is based on the relationship between a vehicle and its typical path or medium, Car travels on Road, similarly Boat travels on Water.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Doctor is to Hospital as Teacher is to?,School,Classroom,University,Education,A,"The analogy is based on the relationship between a professional and their typical workplace, Doctor works in Hospital, similarly Teacher works in School.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Pen is to Write as Brush is to?,Paint,Draw,Create,Color,A,"The analogy is based on the relationship between a tool and its primary function, Pen is used to Write, similarly Brush is used to Paint.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Tree is to Forest as Fish is to?,Water,Sea,River,School,D,"The analogy is based on the relationship between an individual and a group, Tree is part of a Forest, similarly Fish is part of a School.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Engine is to Car as Heart is to?,Body,Human,Blood,Life,A,"The analogy is based on the relationship between a vital organ and the system it belongs to, Engine is crucial for Car, similarly Heart is crucial for Body.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Microphone is to Voice as Camera is to?,Image,Picture,Scene,Photograph,A,"The analogy is based on the relationship between a device and the thing it captures, Microphone captures Voice, similarly Camera captures Image.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Shoe is to Foot as Glove is to?,Hand,Finger,Arm,Wrist,A,"The analogy is based on the relationship between a protective covering and the body part it covers, Shoe covers Foot, similarly Glove covers Hand.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Key is to Lock as Password is to?,Computer,Security,System,Access,C,"The analogy is based on the relationship between a secret code and the system it unlocks or accesses, Key unlocks Lock, similarly Password accesses System.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Flower is to Garden as Fish is to?,Tank,Aquarium,Water,River,B,"The analogy is based on the relationship between an organism and its controlled environment, Flower is in a Garden, similarly Fish is in an Aquarium.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Bicycle is to Pedal as Car is to?,Steer,Accelerate,Gear,Brake,B,"The analogy is based on the relationship between a vehicle and the action that makes it move, Bicycle moves by Pedaling, similarly Car moves by Accelerating.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Book is to Library as Painting is to?,Museum,Gallery,Studio,Exhibition,A,"The analogy is based on the relationship between a work of art or literature and the place where it is typically stored or displayed, Book is in a Library, similarly Painting is in a Museum.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Cloud is to Rain as Volcano is to?,Lava,Eruption,Mountain,Earthquake,A,"The analogy is based on the relationship between a natural phenomenon and its associated outcome, Cloud results in Rain, similarly Volcano results in Lava.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Computer is to Processor as Car is to?,Engine,Transmission,Battery,Exhaust,A,"The analogy is based on the relationship between a system and its core component, Computer relies on Processor, similarly Car relies on Engine.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Poem is to Poet as Song is to?,Singer,Composer,Lyricist,Musician,C,"The analogy is based on the relationship between a creator and their creation, Poet writes a Poem, similarly Lyricist writes a Song.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Food is to Hunger as Sleep is to?,Tiredness,Rest,Dream,Wakefulness,A,"The analogy is based on the relationship between a need and its corresponding satisfaction, Food satisfies Hunger, similarly Sleep alleviates Tiredness.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Student is to Teacher as Patient is to?,Doctor,Nurse,Hospital,Medicine,A,"The analogy is based on the relationship between a person receiving care or instruction and the person providing it, Student is taught by Teacher, similarly Patient is treated by Doctor.",GIKI_PIEAS,Conceptual,Medium,English,Analogies
Fear : Courage :: Poverty : ?,Riches,Wealth,Prosperity,Luxury,B,"The analogy is based on antonyms, where 'Courage' is the opposite of 'Fear', so 'Wealth' is the opposite of 'Poverty'.",LUMS_SAT,Conceptual,Medium,English,Analogies
Pen : Writer :: Brush : ?,Artist,Painter,Decorator,Sculptor,B,"The analogy is based on the tool-user relationship, where a 'Writer' uses a 'Pen', a 'Painter' uses a 'Brush'.",LUMS_SAT,Conceptual,Medium,English,Analogies
Tree : Forest :: Fish : ?,River,Sea,School,Tank,C,"The analogy is based on a part-whole relationship, where a 'Tree' is part of a 'Forest', a 'Fish' is part of a 'School'.",LUMS_SAT,Conceptual,Medium,English,Analogies
Book : Library :: Painting : ?,Museum,Gallery,Studio,Exhibition,A,"The analogy is based on the storage/display location, where 'Books' are stored in a 'Library', 'Paintings' are displayed in a 'Museum'.",LUMS_SAT,Conceptual,Medium,English,Analogies
Microscope : Biologist :: Telescope : ?,Astronomer,Physicist,Mathematician,Engineer,A,"The analogy is based on the tool-user relationship, where a 'Biologist' uses a 'Microscope', an 'Astronomer' uses a 'Telescope'.",LUMS_SAT,Conceptual,Medium,English,Analogies
River : Dam :: Traffic : ?,Traffic Light,Road,Bridge,Signal,A,"The analogy is based on the control mechanism, where a 'Dam' controls the flow of a 'River', a 'Traffic Light' controls 'Traffic'.",LUMS_SAT,Conceptual,Medium,English,Analogies
Flower : Bouquet :: Book : ?,Library,Shelf,Collection,Pile,C,"The analogy is based on a collection, where 'Flowers' are collected in a 'Bouquet', 'Books' are collected in a 'Collection'.",LUMS_SAT,Conceptual,Medium,English,Analogies
Poem : Poet :: Sculpture : ?,Sculptor,Artist,Carver,Architect,A,"The analogy is based on the creator-creation relationship, where a 'Poet' creates a 'Poem', a 'Sculptor' creates a 'Sculpture'.",LUMS_SAT,Conceptual,Medium,English,Analogies
Thermometer : Temperature :: Barometer : ?,Pressure,Weather,Humidity,Wind,A,"The analogy is based on the measuring instrument-measured quantity relationship, where a 'Thermometer' measures 'Temperature', a 'Barometer' measures 'Pressure'.",LUMS_SAT,Conceptual,Medium,English,Analogies
Chef : Kitchen :: Surgeon : ?,Hospital,Operation Theater,Clinic,Ward,B,"The analogy is based on the workplace relationship, where a 'Chef' works in a 'Kitchen', a 'Surgeon' operates in an 'Operation Theater'.",LUMS_SAT,Conceptual,Medium,English,Analogies
Eye : Camera :: Ear : ?,Microphone,Speaker,Telephone,Radio,A,"The analogy is based on the sensory organ-device relationship, where an 'Eye' is like a 'Camera', an 'Ear' is like a 'Microphone'.",LUMS_SAT,Conceptual,Medium,English,Analogies
Bacteria : Microscope :: Stars : ?,Telescope,Binoculars,Naked Eye,Spectacles,A,"The analogy is based on the object-observing instrument relationship, where 'Bacteria' are observed with a 'Microscope', 'Stars' are observed with a 'Telescope'.",LUMS_SAT,Conceptual,Medium,English,Analogies
Food : Hunger :: Water : ?,Thirst,Dehydration,Fatigue,Dryness,A,"The analogy is based on the satisfying need relationship, where 'Food' satisfies 'Hunger', 'Water' satisfies 'Thirst'.",LUMS_SAT,Conceptual,Medium,English,Analogies
