Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The pH of a solution is 4. The concentration of H+ ions is,10^-4 M,10^-10 M,10^-7 M,10^-2 M,A,"pH = -log[H+], so [H+] = 10^-pH = 10^-4 M",NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The most toxic form of mercury is,Elemental mercury,Methylmercury,Mercuric chloride,Mercurous chloride,B,Methylmercury is a potent neurotoxin that accumulates in the food chain,NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The main cause of acid rain is,CO2 emissions,SO2 and NOx emissions,CFC emissions,CH4 emissions,B,"SO2 and NOx react with water and oxygen to form H2SO4 and HNO3, causing acid rain",NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The BOD of a water sample is a measure of,Oxygen consumed by microorganisms,Oxygen produced by phytoplankton,pH of the water,Turbidity of the water,A,"BOD = Biochemical Oxygen Demand, measures oxygen consumed by microorganisms",NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The ozone layer is depleted by,CO2,CH4,CFCs,N2O,C,"CFCs release Cl atoms, which catalytically destroy O3 molecules",NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The main sink for CO2 is,Oceans,Atmosphere,Biosphere,Lithosphere,A,Oceans absorb CO2 through chemical reactions and biological processes,NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The concentration of a pollutant is often expressed in,ppm,ppb,ppt,All of the above,D,"ppm, ppb, and ppt are units used to express concentrations of pollutants",NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The greenhouse effect is caused by,CO2,H2O,Both CO2 and H2O,O3,C,CO2 and H2O are both greenhouse gases that trap heat,NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The pE of a solution is a measure of,pH,Redox potential,Oxygen demand,Turbidity,B,"pE = -log[e-], measures the tendency of a solution to donate or accept electrons",NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The most common method of wastewater treatment is,Physical treatment,Chemical treatment,Biological treatment,Advanced treatment,C,Biological treatment uses microorganisms to break down organic matter,NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The COD of a water sample is,Always less than BOD,Always greater than BOD,Equal to BOD,Unrelated to BOD,B,"COD measures oxygen required to oxidize all organic matter, while BOD measures oxygen consumed by microorganisms",NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The photochemical smog is formed by,Reaction of NOx and VOCs in presence of sunlight,Reaction of SO2 and CO in presence of sunlight,Reaction of CO2 and H2O in presence of sunlight,Reaction of N2 and O2 in presence of sunlight,A,NOx and VOCs react in presence of sunlight to form ground-level O3 and other pollutants,NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The major source of particulate matter in the atmosphere is,Fossil fuel combustion,Industrial processes,Agricultural activities,Natural sources,A,"Fossil fuel combustion releases particulate matter, including soot and aerosols",NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The environmental fate of a pollutant is determined by its,Chemical structure,Physical properties,Both chemical structure and physical properties,Biological properties,C,Both chemical structure and physical properties influence the fate and transport of pollutants,NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The water quality parameter that is a measure of the amount of oxygen required to oxidize organic matter is,BOD,COD,TOC,All of the above,D,"BOD, COD, and TOC are all measures of oxygen demand or organic matter content",NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The major sink for methane is,Atmosphere,Oceans,Soils,Troposphere,C,"Methane is oxidized by microorganisms in soils, reducing its atmospheric concentration",NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The process by which pollutants are transferred from one trophic level to the next is,Biomagnification,Bioaccumulation,Biodegradation,Bioconcentration,A,Biomagnification occurs when pollutants are transferred and concentrated through the food chain,NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The primary effect of eutrophication is,Increased biodiversity,Decreased water clarity,Increased oxygen levels,Algal blooms,D,"Eutrophication leads to excessive algal growth, causing algal blooms",NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The major environmental impact of particulate matter is,Climate change,Air pollution,Water pollution,Soil pollution,B,"Particulate matter contributes to air pollution, negatively impacting human health",NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The process of removing pollutants from contaminated soil is,Bioremediation,Phytoremediation,Both A and B,None of the above,C,Bioremediation and phytoremediation are both techniques used to clean up contaminated soil,NET,Conceptual,Medium,Chemistry,Environmental Chemistry
The pH of a solution is 4. What is the H+ concentration?,10^-4 M,10^-10 M,10^-7 M,10^-2 M,A,"pH = -log[H+], so [H+] = 10^-pH = 10^-4 M.",ECAT,Conceptual,Medium,Chemistry,Environmental Chemistry
A water sample has 50 mg/L of CaCO3. What is its hardness in ppm?,50 ppm,500 ppm,5 ppm,0.5 ppm,A,"Hardness in ppm = mg/L of CaCO3, so hardness = 50 ppm.",ECAT,Conceptual,Medium,Chemistry,Environmental Chemistry
The BOD of a water sample is 200 mg/L. What does it indicate?,High DO level,Low organic pollution,High organic pollution,None of these,C,"BOD measures oxygen required to decompose organic matter, so high BOD indicates high organic pollution.",ECAT,Conceptual,Medium,Chemistry,Environmental Chemistry
"A river has a flow rate of 100 m³/s. If 10 kg/s of pollutant is added, what is its concentration?",100 mg/L,0.1 mg/L,10 mg/L,1 mg/L,A,Concentration = mass flow rate / volume flow rate = 10 kg/s / 100 m³/s = 0.1 kg/m³ or 100 mg/L.,ECAT,Conceptual,Medium,Chemistry,Environmental Chemistry
What is the main cause of acid rain?,CO2 emissions,SO2 and NOx emissions,CH4 emissions,CO emissions,B,"SO2 and NOx react with water and oxygen to form acids, causing acid rain.",ECAT,Conceptual,Medium,Chemistry,Environmental Chemistry
The concentration of a pollutant is 0.5 ppm. What is its mass in 1 L of solution?,0.5 mg,0.05 mg,5 mg,50 mg,A,"1 ppm = 1 mg/L, so 0.5 ppm = 0.5 mg/L.",ECAT,Conceptual,Medium,Chemistry,Environmental Chemistry
"A lake has a volume of 10^6 m³. If 100 kg of pollutant is added, what is its concentration?",0.1 mg/L,0.01 mg/L,0.1 ppm,0.1 g/L,A,Concentration = mass / volume = 100 kg / 10^6 m³ = 0.1 g/m³ or 0.1 mg/L.,ECAT,Conceptual,Medium,Chemistry,Environmental Chemistry
