Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
5,Which of the following straits separates Malaysia from Singapore?,Dover,Johor,Sunda,Palk,B
6,Which of the following rivers flow in Canada?,Mackenzie River,Nelson River,Fraser River,All of these,D
7,"Which mountain peak is called ""Killer Mountain""?",Nanga Parbat,Godwin Austin,Broad Peak,Raka Poshi,A
8,Which of these is a process of transportation in a river?,Solution,Corrosion,Attrition,Deposition,C
9,Which pass connects Pakistan with Afghanistan?,Khunjerab Pass,Khyber Pass,Tochi Pass,Tajikistan,B
10,What is the total height of Tirich Mir?,7000 meters,7300 meters,7600 meters,7708 meters,D
11,"Which of the following mountains in North America which is known as ""Denali Peak""?",McKinley,Sandford,Mount Logan,Fair-Weather,A
12,The height of Nanga Parbat is:,"8,126m","7,521m","6,125m","9,500m",A
13,"In the composition of Earth, aluminum is:",26. 6 per cent,23.1 per cent,8.1 per cent,1.1 per cent,C
14,Clark Glacier is located in:,USA,Canada,Brazil,Australia,A
15,"What side of large landmasses, particularly in Asia, generally receives the most rain during major summer Monsoon systems?",East,West,North,South,A
16,The Dasht River is located in:,Khyber Pakhtunkhwa,Punjab,Sindh,Baluchistan,D
17,Chandragupt is an active mud volcano located in:,India,China,Pakistan,South Africa,C
18,The Mangla Dam is located in district:,Rawalpindi,Gujrat,Mirpur,None of these,C
19,Which Chinese province is adjacent to Pakistan?,Xinjiang,Hainan,Zhejiang,None of the above,A
20,Which of the following is the biggest deposit of coal in Pakistan?,Thar coal deposits,Makerwal deposits,Kalanagh deposits,None of these,A
21,The Shatt al-Arab is a river that forms part of the border between which two countries?,Iran and Egypt,Iran and Iraq,Iran and Oman,None of these,B
22,Tashkent is the capital of:,Uzbekistan,Turkmenistan,Kazakhstan,None of these,A
23,Which is the highest volcano in Asia?,Mount Sinabung,Mount Damavand,Mount Ararat,Mount Bromo,B
24,What is the ratio of industrial progress in the country?,4.3 percent,5.4 percent,6.2 percent,8.6 percent,D
25,Which country is the largest archipelago in the world?,Indonesia,Japan,Philippines,None of these,A
26,Which famous city of Turkey is found both in Asia and Europe?,Ankara,Istanbul,Both,None of these,B
27,Approximately 20-25 percent of wind erosion is caused by which of the following?,Saltation,Suspension,Both A & B,Traction,D
28,The word 'Tsunami' belongs to which language?,English,Japanese,Urdu,None of these,B
29,Limestone deposits are found in?,Chakwal,Wah,Jhelum,All of them,D
30,Which country is referred to as the Boot of Europe?,Spain,Greece,Italy,Portugal,C
31,"Which country is called ""the Land of White Elephants""?",India,Sri Lanka,Thailand,Malaysia,C
32,"The Great Barrier Reef is the world's largest coral reef system, located in:",Germany,Australia,France,South Africa,B
33,Sedimentary rocks cover approximately what percentage of the Earth's land surface?,50 percent,65 percent,75 percent,None of these,C
34,Which is the highest peak of the Karakoram range?,Kilik peak,K-2 peak,Nanga Parbat,Tirichmir,B
35,"What is the length of the M-6, DG Khan to Kakkar Motorway?",467 Km,437 Km,491 Km,510 Km,A
36,Which of the following river does not form delta before falling into sea?,Amazon River,Ok Tedi River,Columbia River,None of these,C
37,"""MEANDER"" means:",Curved path of a river,Earth level,Top of a hill,None of these,A
