Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
The force per unit length between two parallel current-carrying wires is given by which law?,Ampere's law,Biot-Savart law,Lorentz force law,Ohm's law,A,Ampere's law gives the force between two current-carrying wires. Biot-Savart law gives the magnetic field due to a current element.,Forces between current-carrying wires,Easy,Physics,Electromagnetism
The magnetic field at the center of a circular coil carrying current is given by which formula?,\frac{\mu_0 I}{2r},\frac{\mu_0 I}{4\pi r},\frac{\mu_0 I}{2\pi r},\frac{\mu_0 I r}{2},A,The formula \frac{\mu_0 I}{2r} gives the magnetic field at the center of a circular coil. Other options are incorrect formulas.,Magnetic field due to a circular coil,Easy,Physics,Electromagnetism
A charged particle is moving in a uniform magnetic field. What is the trajectory of the particle if its velocity is perpendicular to the field?,Straight line,Circle,Helix,Parabola,B,"When velocity is perpendicular to the magnetic field, the particle follows a circular path. Other options are incorrect trajectories.",Motion of charged particles in magnetic fields,Medium,Physics,Electromagnetism
The unit of magnetic flux is?,Tesla,Weber,Ampere,Ohm,B,The Weber is the unit of magnetic flux. Tesla is the unit of magnetic field strength.,Magnetic flux,Easy,Physics,Electromagnetism
The phenomenon of electromagnetic induction is used in which device?,Transformer,Motor,Generator,Both A and C,D,Both transformers and generators work on the principle of electromagnetic induction. Motors work on the principle of torque on a current-carrying coil.,Electromagnetic induction,Medium,Physics,Electromagnetism
Lenz's law is related to?,Direction of induced emf,Magnitude of induced emf,Resistance of the coil,Magnetic field strength,A,Lenz's law gives the direction of induced emf. It states that the induced emf opposes the change in magnetic flux.,Lenz's law,Easy,Physics,Electromagnetism
A solenoid is a type of?,Capacitor,Inductor,Resistor,Transformer,B,A solenoid is a coil of wire that acts as an inductor when current flows through it.,Inductors,Easy,Physics,Electromagnetism
The back emf induced in a coil is proportional to?,Rate of change of current,Current,Number of turns,Resistance of the coil,A,Back emf is proportional to the rate of change of current. It is given by Lenz's law and Faraday's law of induction.,Back emf,Medium,Physics,Electromagnetism
The self-inductance of a coil depends on?,Current flowing through it,Number of turns and area of the coil,Resistance of the coil,Magnetic field strength,B,"Self-inductance depends on the number of turns and area of the coil, not on current or resistance.",Self-inductance,Medium,Physics,Electromagnetism
The energy stored in an inductor is given by?,\frac{1}{2}LI^2,\frac{1}{2}CV^2,\frac{1}{2}RI^2,\frac{1}{2}L^2I,A,The energy stored in an inductor is \frac{1}{2}LI^2. The other options are incorrect formulas.,Energy stored in an inductor,Easy,Physics,Electromagnetism
