Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A chemical engineer aims to optimize the production of sulfuric acid via the Contact Process. Which transition metal oxide is preferred for the oxidation of sulfur dioxide?,Vanadium pentoxide,Manganese dioxide,Chromium trioxide,Titanium dioxide,A,V2O5 acts as the specific catalyst for SO2 oxidation; MnO2 is incorrect as it is primarily used in dry cell batteries.,Catalytic behavior,Easy,Chemistry,Transition Elements
"In the food industry, liquid vegetable oils are converted into solid fats like margarine. Which transition metal serves as the catalyst for this hydrogenation process?",Finely divided Iron,Finely divided Nickel,Vanadium metal,Copper turnings,B,Nickel facilitates the addition of hydrogen across double bonds in fats; Iron is tempting but it is used for ammonia synthesis instead.,Catalytic behavior,Easy,Chemistry,Transition Elements
A leather tannery uses transition metal salts to make animal hides more durable and resistant to decomposition. Which specific salt is used for this purpose?,Potassium permanganate,Aluminum sulfate,Basic chromium sulfate,Copper sulfate,C,Chromium sulfate is used in tanning to stabilize collagen; Aluminum sulfate is used in water treatment but not for leather tanning.,Chromium compounds,Easy,Chemistry,Transition Elements
A manufacturer wants to produce a corrosion-resistant alloy for making plumbing fixtures and musical instruments. Which combination of metals produces Brass?,Copper and Tin,Iron and Carbon,Nickel and Chromium,Copper and Zinc,D,Brass is an alloy of Copper and Zinc; Bronze is the most tempting wrong option as it consists of Copper and Tin.,Alloys,Easy,Chemistry,Transition Elements
"During a laboratory titration to determine the concentration of iron(II) ions, which transition metal reagent acts as its own indicator?",Potassium permanganate,Potassium dichromate,Ferric chloride,Copper sulfate,A,KMnO4 acts as its own indicator by changing from purple to colorless; K2Cr2O7 is tempting but requires an external indicator like diphenylamine.,Potassium permanganate,Medium,Chemistry,Transition Elements
An artist is looking for a transition metal pigment that provides a deep green color for oil painting. Which compound should they choose?,Lead chromate,Chromic oxide,Zinc oxide,Iron oxide,B,"Cr2O3 provides a stable green pigment; lead chromate is a tempting alternative but it produces yellow, not green, colors.",Pigments,Medium,Chemistry,Transition Elements
"In the Bessemer process of steel manufacturing, which transition element is added to remove impurities like oxygen and sulfur from the molten iron?",Chromium,Nickel,Manganese,Vanadium,C,Manganese removes oxygen and sulfur to improve steel strength; Chromium is tempting but is used primarily for corrosion resistance in stainless steel.,Metallurgy,Medium,Chemistry,Transition Elements
"In a qualitative analysis lab, a student identifies nitrogen in an organic compound by the formation of Prussian Blue. What is the chemical name of this complex?",Ferrous ferricyanide,Potassium ferrocyanide,Sodium nitroprusside,Ferric ferrocyanide,D,The blue color in the Lassaigne's test comes from Ferric ferrocyanide; Ferrous ferricyanide is a different complex known as Turnbull's blue.,Complex compounds,Hard,Chemistry,Transition Elements
"To produce high-quality glass mirrors, a solution is used to deposit a thin layer of silver. Which coordination complex is involved in this silvering process?",[Ag(NH3)2]+,[Ag(CN)2]-,[Ag(H2O)4]+,[Ag(Cl)2]-,A,Silvering involves reducing the diamminesilver(I) complex; silver nitrate alone is the starting material but not the active complex in the mirror test.,Coordination compounds,Medium,Chemistry,Transition Elements
"In the production of high-density polyethylene using a Ziegler-Natta catalyst (TiCl4 and Al(C2H5)3), what is the primary role of the titanium atom?",Oxidation of ethene,Coordination of ethene,Reduction of ethene,Dehydration of ethene,B,Titanium coordinates with the alkene to facilitate polymerization; oxidation is tempting but incorrect as the process is a coordination mechanism.,Catalytic behavior,Hard,Chemistry,Transition Elements
