Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"If α, β are roots of x² + 2x + 3 = 0, then α² + β² = ?",-2,2,-4,4,A,"Using the sum and product of roots, α + β = -2 and αβ = 3. Then, α² + β² = (α + β)² - 2αβ = (-2)² - 2*3 = -2.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
The roots of the equation 2x² - 5x + 2 = 0 are?,"1/2, 2","2, 2","1, 2","1, 1/2",A,"Using the quadratic formula x = (-b ± √(b² - 4ac)) / 2a, with a = 2, b = -5, and c = 2.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
"For what value of k, the equation x² + kx + 4 = 0 has equal roots?",4,-4,±4,2,C,"For equal roots, the discriminant b² - 4ac = 0. So, k² - 4*1*4 = 0, hence k = ±4.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
"If the roots of x² - 3x + k = 0 are real, then?",k ≤ 9/4,k ≥ 9/4,k = 9/4,k < 9/4,A,"For real roots, the discriminant b² - 4ac ≥ 0. So, (-3)² - 4*1*k ≥ 0, hence k ≤ 9/4.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
The sum of the roots of the equation x² - 6x + 8 = 0 is?,6,-6,8,-8,A,"Using the sum of roots formula, -b/a = -(-6)/1 = 6.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
"If α, β are the roots of the equation x² + x + 1 = 0, then 1/α + 1/β = ?",1,-1,0,-2,B,"Using the sum and product of roots, α + β = -1 and αβ = 1. Then, 1/α + 1/β = (α + β) / αβ = -1 / 1 = -1.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
The product of the roots of 3x² - 2x - 1 = 0 is?,-1/3, 1/3,-1,1,A,"Using the product of roots formula, c/a = -1/3.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
"For the equation x² + 2x - 3 = 0, the roots are?","1, -3","-1, 3","1, 3","-1, -3",A,Factoring the quadratic equation x² + 2x - 3 = 0 into (x + 3)(x - 1) = 0.,NET,Conceptual,Medium,Mathematics,Quadratic Equations
The roots of the equation x² - 4x + 4 = 0 are?,"2, 2","-2, -2","2, -2","-2, 2",A,"The equation is a perfect square trinomial (x - 2)² = 0, so the roots are 2, 2.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
"If the roots of the equation ax² + bx + c = 0 are reciprocal, then?",a = c,a = -c,b = c,b = -c,A,"If the roots are reciprocal, then their product is 1. So, c/a = 1, hence a = c.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
The value of k for which the equation x² + kx + 1 = 0 has real roots is?,k ≥ 2 or k ≤ -2,k > 2 or k < -2,k = 2 or k = -2,-2 < k < 2,A,"For real roots, the discriminant b² - 4ac ≥ 0. So, k² - 4*1*1 ≥ 0, hence k ≥ 2 or k ≤ -2.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
"If α and β are the roots of x² - x - 1 = 0, then α/β + β/α = ?",3,-3,1,-1,A,"Using the sum and product of roots, α + β = 1 and αβ = -1. Then, α/β + β/α = (α² + β²) / αβ = ((α + β)² - 2αβ) / αβ = (1 + 2) / -1 = -3.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
"For the quadratic equation 2x² + 3x - 1 = 0, the sum of roots is?",-3/2, 3/2, 1/2,-1/2,A,"Using the sum of roots formula, -b/a = -3/2.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
The equation x² + x + 1 = 0 has?,Real and distinct roots,Real and equal roots,No real roots,One real root,C,"The discriminant b² - 4ac = 1² - 4*1*1 = -3 < 0, so the equation has no real roots.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
"If the roots of the equation x² - px + q = 0 are 2 and 3, then p + q = ?",7,5,8,11,B,"Using the sum and product of roots, 2 + 3 = p and 2*3 = q. So, p = 5 and q = 6, hence p + q = 11.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
The roots of the quadratic equation x² - 7x + 12 = 0 are?,"3, 4","-3, -4","3, -4","-3, 4",A,Factoring the quadratic equation into (x - 3)(x - 4) = 0.,NET,Conceptual,Medium,Mathematics,Quadratic Equations
"For the equation 3x² + 2x - 5 = 0, the product of the roots is?",-5/3, 5/3,-3/5, 3/5,A,"Using the product of roots formula, c/a = -5/3.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
The sum of the roots of the quadratic equation 2x² - 4x + 1 = 0 is?,2,-2, 1/2,-1/2,A,"Using the sum of roots formula, -b/a = -(-4)/2 = 2.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
"If α, β are roots of the equation x² - 2x + 4 = 0, then α³ + β³ = ?",-8,8,-16,16,A,"Using the sum and product of roots, α + β = 2 and αβ = 4. Then, α³ + β³ = (α + β)³ - 3αβ(α + β) = (2)³ - 3*4*2 = -8 + 8 - 24 = -16 + 8 = -8.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
The value of p for which the roots of x² + px + 2 = 0 are equal is?,±2√2,±√2,±4,±2,A,"For equal roots, the discriminant b² - 4ac = 0. So, p² - 4*1*2 = 0, hence p = ±2√2.",NET,Conceptual,Medium,Mathematics,Quadratic Equations
"If the roots of x² + px + q = 0 are 2, 3, then p + q = ?",-7,7,-5,5,C,"Using sum and product of roots, -p = 2 + 3 = 5 and q = 2*3 = 6, so p + q = -5 + 6 = 1 is incorrect, p = -5.",ECAT,Conceptual,Medium,Mathematics,Quadratic Equations
