Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"If f(x) = 2x + 1, then f(2) = ?",4,5,6,7,B,"Substitute x = 2 into f(x) = 2x + 1, yielding f(2) = 2*2 + 1 = 5.",NET,Conceptual,Medium,Mathematics,Functions and Limits
The limit of (x² - 4) / (x - 2) as x approaches 2 is?,0,4,2,undefined,B,"Factor the numerator to (x + 2)(x - 2), cancel (x - 2), and evaluate at x = 2, giving 2 + 2 = 4.",NET,Conceptual,Medium,Mathematics,Functions and Limits
"If f(x) = x³, then f'(x) = ?",3x²,x²,2x,x,A,"Apply the power rule of differentiation, which states that if f(x) = x^n, then f'(x) = nx^(n-1).",NET,Conceptual,Medium,Mathematics,Functions and Limits
The limit of sin(x) / x as x approaches 0 is?,0,1,π,undefined,B,"This is a fundamental limit, where the limit of sin(x) / x as x approaches 0 equals 1.",NET,Conceptual,Medium,Mathematics,Functions and Limits
"If f(x) = e^x, then f'(x) = ?",e^x,e^(2x),2e^x,e^(-x),A,"The derivative of e^x is e^x, as the exponential function is its own derivative.",NET,Conceptual,Medium,Mathematics,Functions and Limits
The limit of (1 + 1/n)^n as n approaches infinity is?,1,e,π,0,B,"This limit defines the base of the natural logarithm, e.",NET,Conceptual,Medium,Mathematics,Functions and Limits
"If f(x) = 1/x, then f'(x) = ?",-1/x²,1/x²,-x,x,A,"Apply the power rule for differentiation with n = -1, yielding f'(x) = -1*x^(-2) = -1/x².",NET,Conceptual,Medium,Mathematics,Functions and Limits
The limit of (e^x - 1) / x as x approaches 0 is?,0,1,e,undefined,B,"This limit represents the derivative of e^x at x = 0, which equals e^0 = 1.",NET,Conceptual,Medium,Mathematics,Functions and Limits
"If f(x) = √x, then f'(x) = ?",1 / (2√x),1 / √x,√x,2√x,A,"Rewrite √x as x^(1/2) and apply the power rule, giving f'(x) = 1/2 * x^(-1/2) = 1 / (2√x).",NET,Conceptual,Medium,Mathematics,Functions and Limits
The limit of (cos(x) - 1) / x as x approaches 0 is?,0,1,undefined,-1,A,"Use L'Hôpital's rule or recognize it as the derivative of cos(x) at x = 0, which is -sin(0) = 0.",NET,Conceptual,Medium,Mathematics,Functions and Limits
"If f(x) = ln(x), then f'(x) = ?",1/x,x,1/x²,-1/x,A,"The derivative of ln(x) is 1/x, a fundamental derivative form.",NET,Conceptual,Medium,Mathematics,Functions and Limits
The limit of x*sin(1/x) as x approaches 0 is?,0,1,undefined,-1,A,"Since sin(1/x) is bounded between -1 and 1, multiplying by x (which approaches 0) gives a limit of 0.",NET,Conceptual,Medium,Mathematics,Functions and Limits
"If f(x) = x² + 3x, then f'(x) = ?",2x + 3,x + 3,2x,x²,A,"Apply the power rule for differentiation to each term, yielding f'(x) = 2x + 3.",NET,Conceptual,Medium,Mathematics,Functions and Limits
The limit of (tan(x) - x) / x³ as x approaches 0 is?, 1/3,1,0,undefined,A,Use the series expansion for tan(x) and simplify to find the limit.,NET,Conceptual,Medium,Mathematics,Functions and Limits
"If f(x) = x³ - 2x², then f'(x) = ?",3x² - 4x,x² - 2x,3x - 4,x - 2,A,"Apply the power rule for differentiation to each term, yielding f'(x) = 3x² - 4x.",NET,Conceptual,Medium,Mathematics,Functions and Limits
The limit of (1 - cos(x)) / x² as x approaches 0 is?, 1/2,1,0,undefined,A,Use the half-angle formula or L'Hôpital's rule twice to evaluate the limit as 1/2.,NET,Conceptual,Medium,Mathematics,Functions and Limits
"If f(x) = e^(2x), then f'(x) = ?",2e^(2x),e^(2x),e^x,2e^x,A,"Apply the chain rule, yielding f'(x) = 2e^(2x).",NET,Conceptual,Medium,Mathematics,Functions and Limits
