Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,Which of the following best describes the concept of social responsibility?,Autonomy,Beneficence,Justice,Non-maleficence,B
2,Recruitment is the process of searching for prospective employees and stimulating them to apply for the job.,selection,training,recruitment,none of these,D
3,The word ethics stands for:,Substances,Properties of chemicals,Study of human conduct,None of these,C
4,The view that all our actions are determined by some unseen forces or supernatural powers is:,fatalism,indeterminism,self determinism,none of these,C
5,Discrimination is a morally unjust treatment of people in the workplace.,recipient,agent,internal,none of the these,A
6,Ethics is a normative science.,social science,science of conduct,normative science,all of these,D
7,The concept of Job enrichment is a contribution by Frederick Herzberg.,frederick herzberg,f.w.taylor,c.k. prahlad,peter f. drucker,B
8,"According to unity of direction principle, there should always exist one head and one plan for a group of activities having the same objective.",unity of direction,unity of command,esprit de corps,none of these,A
9,"If you have loyalty, you will be a trusted person because they will see that you are committed to your company.",loyalty,organizational skills,productivity,none of these,B
10,A leader should have:,technical knowledge,empathy,initiative,all of these,B
11,Morals are beliefs and attitudes we have that can actually conflict with our ethical decisions.,morals,principles,virtues,none of these,A
12,Which ethical theory emphasizes the importance of developing good habits and character traits?,The principle of beneficence,The principle of non-maleficence,The principle of autonomy,The principle of veracity,C
13,Which of the following best describes the concept of moral relativism?,Deontological ethics,Virtue ethics,Utilitarianism,Social contract theory,B
14,The view that sees profit maximization as the main objective is known as:,Shareholder theory,Principal-agent problem,Stakeholder theory,none of these,B
15,KRA in MBO stands for:,kerala rural academy,key result areas,key resources availability,none of these,C
16,Identifying ethical properties with natural properties is ____________ fallacy.,subjectivistic,objectivistic,naturalistic,none of these,A
17,The principles of scientific management were more concerned with the problems at the operating levels.,higher levels,middle,operating,none of these,B
18,Kant's maxim which shows that 'None should enslave himself or others' is the:,First,Second,Third,Fourth,B
19,"The Sarbanes-Oxley Act, 2002 made it important for businesses to have an ethics code, something in writing about what one ought to do, and what to strive for.","The Ethics & Code Conduct Act, 2000","The Sarbanes-Ethics of Code Conduct Act, 2001","The Sarbanes-Oxley Act, 2002",none of these,C
20,The Primary aspects of codes of ethics is to provide the basic framework for fairness and justice for a profession.,the supervisor's behaviour,organizational culture,code of ethics,none of these,D
21,Men give importance to moral rule:,kohlberg's theory,carol gilligan's theory,Darwin's theory,none of these,D
22,"According to the dictionary, 'Euthanasia' means:",a painless and calm death,a gentle and easy death,a calm and slow death,a good and painless death,A
23,The Press and Registration of Books Act was enacted in the year 1867.,1860,1867,1950,none of these,B
24,"Authority is the right of a superior to give orders to subordinates, take decisions, etc.",authority,responsibility,accountability,none of these,B
25,"The person or organization, who receives the information, is in a position to remedy the problem or alert the affected parties is called as the recipient.",standards,right to act,right to equal,none of the these,A
26,Standards that decide what kind of conduct employees of an organization should possess are:,descriptive justice,procedural justice,distributive justice,severance justice,A
27,"""It is wrong to break a promise because as a moral law it cannot be universalized."" This illustrates the ethical position of:",Wish,conduct,Will,Desire,B
28,"The term 'Right' is derived from the Latin word rectus, meaning:",Straight' or 'according to rule',Habits or customs,Supreme end,Ideal in life,A
29,McGregor's motivation theory is known as:,theory x and y,two factor theory,achievement theory,none of these,A
30,Ethical decision-making frameworks:,give us the answers to ethical dilemmas,are all the same,provide us with different frameworks to help us identify key issues and arrive a plan of action with a clear rationale,None of the above,A
31,Which ethical theory emphasizes the importance of acting in accordance with a set of moral rules or duties?,Utilitarianism,Deontological ethics,Virtue ethics,Contractualism,B
32,Knowing one's self' is the real ____________ formation.,Integral,Mutual,Spiritual,Physical,C
33,"Globalization means integration of countries through commerce, transfer of technology, and exchange of information and culture.",globalization,standardization,technology transfer,none of the these,A
34,Positive science deals with:,Facts,Values,Good,what ought to be,A
35,Which of the following is an example of an ethical violation?,Deceiving participants,Acting with beneficence,Acting autonomously,Ensuring justice,A
36,Values related to non-violence is:,tolerance,happiness,optimism,none of these,A
37,"The Working Journalists and Other Newspaper Employees (Conditions of Service) and Miscellaneous Provisions Act, 1955 specifies the compensation needed to be paid to journalists in time of retrenchment.","The Working Journalists Act, 1955","The Journalists Act, 1955","The Working Journalists Act, 1978",none of these,B
38,Work study helps to determine a fair day's work and rest period to complete it.,work study,time study,motion study,none of these,B
39,John Stuart Mill's On Liberty gives support to the ____________ feminist argument related with abortion.,Suicide,Killing,involuntary euthanasia,Assisting suicide,A
40,Universalistic hedonism is also called:,ethical hedonism,psychological hedonism,utilitarianism,egoistic hedonism,C
41,A ____________ imperative is always unconditional.,Categorical,Hypothetical,both a and b,Neither A nor B,A
42,Which among the following actions are objects of moral judgment?,Voluntary and habitual actions of rational persons,The actions of animals and phenomena of nature,"Actions of children, insane persons and idiots",Actions done under coercion,A
43,"S 292 AND S 293, IPC:",obscenity,sedition,defamation,none of the these,A
44,The minimum subscription must be received in how many days?,130,12,120,None of these,C
45,"According to perfectionism, the highest good is:",J. S. Mill,T. H. Green,Herbert Spencer,Bentham,B
46,"The philanthropic dimension of social responsibility refers to a business's societal contribution of time, money, and other resources.",Ethical,Philanthropic,Volunteerism,none of these,B
47,Temperance is the special virtue of the:,Kant,Socrates,Plato,Aristotle,C
48,"Authority is the character of communication, in a formal organization by virtue of which it is accepted by a member of the organization as governing the action he contributes.",responsibility,authority,accountability,none of these,C
49,Which ethical theory focuses on the consequences or outcomes of an action?,Virtue Ethics,Deontology,Utilitarianism,Care Ethics,C
