Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"During strenuous exercise, which blood vessel is primarily responsible for supplying oxygenated blood to the skeletal muscles?",Arterioles,Venules,Capillaries,Arteries,A,Arterioles regulate blood flow to capillaries; they are primary suppliers of oxygenated blood to muscles during exercise. Venules collect deoxygenated blood.,Blood Vessels,Medium,Biology,Circulation
What is the primary function of the sinoatrial (SA) node in the heart?,To conduct impulses to the ventricles,To initiate heartbeats,To regulate blood pressure,To filter blood,B,"The SA node acts as the heart's natural pacemaker, initiating heartbeats. The AV node conducts impulses to ventricles.",Cardiac Conduction System,Easy,Biology,Circulation
Which structure in the heart prevents backflow of blood from the ventricles to the atria?,Semilunar valves,Atrioventricular valves,Chordae tendineae,Papillary muscles,B,Atrioventricular valves prevent backflow from ventricles to atria. Semilunar valves prevent backflow from arteries to ventricles.,Heart Valves,Easy,Biology,Circulation
What is the term for the pressure exerted by blood on the walls of blood vessels?,Blood pressure,Osmotic pressure,Hydrostatic pressure,Turgor pressure,A,Blood pressure is the pressure exerted by blood on vessel walls. Hydrostatic pressure is a related concept but not specific to blood.,Blood Pressure,Easy,Biology,Circulation
Which type of blood vessel has the thickest walls relative to their lumen diameter?,Arteries,Veins,Capillaries,Arterioles,A,Arteries have thick walls to withstand high pressure from the heart. Veins have thinner walls and larger lumens.,Blood Vessel Structure,Medium,Biology,Circulation
What is the primary function of the lymphatic system in relation to circulation?,To return interstitial fluid to the bloodstream,To filter blood,To produce red blood cells,To regulate blood pressure,A,"The lymphatic system returns interstitial fluid to the bloodstream, aiding circulation. It does not filter blood or produce red blood cells.",Lymphatic System,Easy,Biology,Circulation
"During diastole, what happens to the atrioventricular valves?",They remain closed,They open to allow blood flow into the ventricles,They are forced shut,They become incompetent,B,"During diastole, atrioventricular valves open, allowing blood to flow into ventricles. They close during ventricular systole.",Cardiac Cycle,Medium,Biology,Circulation
What is the name of the valve located between the right atrium and right ventricle?,Tricuspid valve,Pulmonary valve,Mitral valve,Aortic valve,A,The tricuspid valve is between the right atrium and ventricle. The mitral valve is between the left atrium and ventricle.,Heart Valves,Easy,Biology,Circulation
Which factor increases peripheral resistance in blood vessels?,Vasodilation,Vasoconstriction,Increased blood viscosity,Both B and C,D,Both vasoconstriction and increased blood viscosity increase peripheral resistance. Vasodilation decreases resistance.,Blood Pressure Regulation,Medium,Biology,Circulation
The 'lub' sound heard during a heartbeat is due to the closure of which valves?,Semilunar valves,Atrioventricular valves,Pulmonary valves,Aortic valves,B,The 'lub' sound is due to the closure of atrioventricular valves. 'Dub' sound is due to semilunar valves closure.,Heart Sounds,Easy,Biology,Circulation
What is the effect of increased sympathetic stimulation on heart rate?,Decreased heart rate,Increased heart rate,No effect on heart rate,Variable effect,B,Increased sympathetic stimulation increases heart rate. Parasympathetic stimulation decreases heart rate.,Autonomic Regulation of Heart,Medium,Biology,Circulation
