Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
The energy of the electron in the nth orbit of hydrogen atom is given by En = -13.6/n^2 eV. What is the energy of the electron in the ground state?,-13.6 eV,0 eV,-6.8 eV,13.6 eV,A,Ground state energy is -13.6 eV; option B is incorrect because it's the energy of a free electron.,Bohr's Model,Easy,Physics,Atomic Spectra
"When an electron jumps from a higher orbit to a lower orbit, what happens to the energy?",Energy is absorbed,Energy is released,Energy remains the same,Energy is doubled,B,"Energy is released as a photon; option A is incorrect because energy is emitted, not absorbed.",Energy Transitions,Easy,Physics,Atomic Spectra
The spectral series of hydrogen that lies in the visible region is,Lyman series,Balmer series,Paschen series,Pfund series,B,"Balmer series is visible; Lyman series is UV, and Paschen and Pfund are IR.",Spectral Series,Easy,Physics,Atomic Spectra
The radius of the nth orbit of hydrogen atom is proportional to,n,n^2,1/n,1/n^2,B,Radius is proportional to n^2; option A is incorrect because it's not directly proportional to n.,Bohr's Model,Medium,Physics,Atomic Spectra
The ionization energy of hydrogen atom is 13.6 eV. What is the energy required to remove an electron from the first excited state?,3.4 eV,6.8 eV,10.2 eV,13.6 eV,A,Energy required is 3.4 eV; option D is incorrect because it's the ionization energy from ground state.,Energy Transitions,Medium,Physics,Atomic Spectra
The wavelength of the first line of Lyman series is given by,1/λ = R(1/1^2 - 1/2^2),1/λ = R(1/2^2 - 1/3^2),1/λ = R(1/1^2 - 1/3^2),1/λ = R(1/3^2 - 1/4^2),A,First line of Lyman series corresponds to transition from n=2 to n=1; option B is incorrect because it's for Balmer series.,Spectral Series,Medium,Physics,Atomic Spectra
The energy of the photon emitted when an electron jumps from n=3 to n=2 in hydrogen atom is,1.89 eV,2.55 eV,3.4 eV,4.08 eV,A,Energy difference between n=3 and n=2 is 1.89 eV; option B is incorrect because it's the energy difference between n=4 and n=2.,Energy Transitions,Medium,Physics,Atomic Spectra
The angular momentum of an electron in the nth orbit is given by,nh/2π,n^2h/2π,nh/π,n^2h/π,A,Angular momentum is quantized as nh/2π; option C is incorrect because it's twice the correct value.,Bohr's Model,Easy,Physics,Atomic Spectra
The ratio of the wavelengths of the first line of Lyman series and the first line of Balmer series is,1/4,27/5,5/27,4/1,C,Ratio is 5/27; option B is the reciprocal of the correct answer.,Spectral Series,Hard,Physics,Atomic Spectra
The minimum energy required to excite a hydrogen atom from its ground state is,10.2 eV,12.09 eV,13.6 eV,12.75 eV,A,Minimum energy is 10.2 eV to excite to n=2; option C is incorrect because it's the ionization energy.,Energy Transitions,Medium,Physics,Atomic Spectra
The frequency of the photon emitted when an electron jumps from n=4 to n=3 in hydrogen atom is given by,f = (E4 - E3)/h,f = (E3 - E4)/h,f = E4/h,f = E3/h,A,Frequency is given by f = (E4 - E3)/h; option B is incorrect because energy difference should be positive.,Energy Transitions,Medium,Physics,Atomic Spectra
The spectral line corresponding to the transition from n=4 to n=2 in hydrogen atom belongs to,Lyman series,Balmer series,Paschen series,Brackett series,B,Transition from n=4 to n=2 is in Balmer series; Lyman series involves transitions to n=1.,Spectral Series,Easy,Physics,Atomic Spectra
The velocity of an electron in the nth orbit of hydrogen atom is proportional to,1/n,n,1/n^2,n^2,A,Velocity is proportional to 1/n; option B is incorrect because it's the opposite.,Bohr's Model,Medium,Physics,Atomic Spectra
The ionization potential of hydrogen atom is,13.6 V,13.6 eV,6.8 V,6.8 eV,A,"Ionization potential is 13.6 V; option B is the ionization energy, not potential.",Energy Transitions,Hard,Physics,Atomic Spectra
