Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"Identify the pattern: 2, 5, 8, 11, 14, ___?",15,17,18,20,B,The pattern is adding 3 to the previous number. 14 + 3 = 17. Option A is incorrect because it adds only 1.,Number Series,Easy,Logical_Reasoning,Logical Deductions
"Complete the series: A, C, E, G, I, ___?",J,K,L,M,B,The pattern is incrementing alphabet by 2 letters. I + 2 = K. Option A is incorrect because it increments by 1.,Letter Series,Easy,Logical_Reasoning,Logical Deductions
"Determine the next number in the sequence: 1, 2, 4, 8, 16, ___?",32,31,30,64,A,The pattern is doubling the previous number. 16 * 2 = 32. Option B is incorrect because it doesn't follow the doubling pattern.,Number Series,Medium,Logical_Reasoning,Logical Deductions
"Find the missing number: 3, 6, 9, 12, 15, ___?",16,18,20,21,B,The pattern is adding 3 to the previous number. 15 + 3 = 18. Option A is incorrect because it adds only 1.,Number Series,Easy,Logical_Reasoning,Logical Deductions
"Complete the sequence: 4, 9, 16, 25, 36, ___?",49,48,47,45,A,The pattern is the square of consecutive integers. 7^2 = 49. Option B is incorrect because it doesn't follow the square pattern.,Number Series,Medium,Logical_Reasoning,Logical Deductions
"Identify the next letter in the series: O, T, T, F, F, ___?",S,E,N,T,A,"The pattern is the first letter of the numbers One, Two, Three, Four, Five, Six. Option B is incorrect because it's not the first letter of Six.",Letter Series,Hard,Logical_Reasoning,Logical Deductions
"Determine the pattern: 1, 3, 6, 10, 15, ___?",20,21,22,25,B,The pattern is obtained by adding consecutive integers. 15 + 6 = 21. Option A is incorrect because it adds 5 instead of 6.,Number Series,Medium,Logical_Reasoning,Logical Deductions
"Complete the sequence: 2, 6, 12, 20, 30, ___?",40,42,45,50,B,"The pattern is obtained by adding 4, 6, 8, 10, 12, etc. 30 + 12 = 42. Option A is incorrect because it adds 10 instead of 12.",Number Series,Medium,Logical_Reasoning,Logical Deductions
"Find the missing number: 1, 4, 9, 16, 25, ___?",36,35,37,38,A,The pattern is the square of consecutive integers. 6^2 = 36. Option B is incorrect because it doesn't follow the square pattern.,Number Series,Easy,Logical_Reasoning,Logical Deductions
"Identify the pattern: 3, 9, 27, 81, ___?",243,242,241,240,A,The pattern is obtained by multiplying the previous number by 3. 81 * 3 = 243. Option B is incorrect because it doesn't follow the multiplication pattern.,Number Series,Medium,Logical_Reasoning,Logical Deductions
"Complete the series: Z, X, V, T, R, ___?",P,Q,S,O,A,The pattern is decrementing alphabet by 2 letters. R - 2 = P. Option B is incorrect because it decrements by 1.,Letter Series,Easy,Logical_Reasoning,Logical Deductions
"Determine the next number in the sequence: 0, 1, 1, 2, 3, 5, 8, ___?",13,12,14,15,A,The pattern is the Fibonacci sequence. 8 + 5 = 13. Option B is incorrect because it doesn't follow the Fibonacci pattern.,Number Series,Hard,Logical_Reasoning,Logical Deductions
"Find the missing letter: A, E, I, M, ___?",Q,R,S,T,A,The pattern is incrementing alphabet by 4 letters. M + 4 = Q. Option B is incorrect because it increments by a different amount.,Letter Series,Medium,Logical_Reasoning,Logical Deductions
"Identify the pattern: 10, 20, 40, 80, ___?",160,150,170,180,A,The pattern is doubling the previous number. 80 * 2 = 160. Option B is incorrect because it doesn't follow the doubling pattern.,Number Series,Easy,Logical_Reasoning,Logical Deductions
"Complete the sequence: 1, 8, 27, 64, 125, ___?",216,215,217,218,A,The pattern is the cube of consecutive integers. 6^3 = 216. Option B is incorrect because it doesn't follow the cube pattern.,Number Series,Medium,Logical_Reasoning,Logical Deductions
"Determine the next letter in the series: F, L, O, R, U, ___?",X,Y,Z,W,B,"The pattern is incrementing alphabet by 6, 3, 3, 3, 3, etc. U + 4 = Y (approx.), considering a non-uniform initial step. Option A is incorrect because it doesn't follow the exact increment pattern.",Letter Series,Hard,Logical_Reasoning,Logical Deductions
