Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
Which of the following is a characteristic of transition metals?,They are all soft metals,They exhibit variable valency,They are all radioactive,They are all noble gases,B,"Transition metals exhibit variable valency due to the availability of d-orbitals for bonding, allowing multiple oxidation states.",NET,Conceptual,Medium,Chemistry,D and F Block Elements
The element with atomic number 26 is,Manganese,Iron,Cobalt,Nickel,B,The atomic number 26 corresponds to Iron (Fe) in the periodic table.,NET,Conceptual,Medium,Chemistry,D and F Block Elements
The most common oxidation state of Lanthanides is,+2,+3,+4,+1,B,Lanthanides typically exhibit a +3 oxidation state due to the loss of two 6s electrons and one 5d or 4f electron.,NET,Conceptual,Medium,Chemistry,D and F Block Elements
Which of the following is not a transition metal?,Zn,Cd,Hg,All of the above,D,"Zn, Cd, and Hg are not considered transition metals as they do not have partially filled d-subshells in their atoms or ions.",NET,Conceptual,Medium,Chemistry,D and F Block Elements
The element with the electronic configuration [Ar] 3d5 4s1 is,Cr,Mn,Fe,Co,A,"The given configuration corresponds to Chromium (Cr), which has an atomic number of 24.",NET,Conceptual,Medium,Chemistry,D and F Block Elements
Which of the following ions is colored?,Cu+,Cu2+,Zn2+,Sc3+,B,"Cu2+ is colored due to the presence of an unpaired electron in its d-subshell, allowing d-d transitions.",NET,Conceptual,Medium,Chemistry,D and F Block Elements
The atomic radius of transition metals generally,Increases across a period,Decreases across a period,Remains constant across a period,Is always larger than that of alkali metals,B,Transition metals show a decrease in atomic radius across a period due to increasing nuclear charge.,NET,Conceptual,Medium,Chemistry,D and F Block Elements
Which of the following is a property of d-block elements?,They form colored ions,They form ionic compounds,They are all metals,All of the above,D,"d-block elements are known for forming colored ions, typically forming ionic compounds, and are all metals.",NET,Conceptual,Medium,Chemistry,D and F Block Elements
The most stable oxidation state of Mn is,+2,+3,+4,+7,A,Mn2+ is particularly stable due to its half-filled d-subshell configuration.,NET,Conceptual,Medium,Chemistry,D and F Block Elements
Actinides generally exhibit,+2 oxidation state,+3 oxidation state,Variable oxidation states,+1 oxidation state,C,"Actinides show variable oxidation states due to the availability of 5f, 6d, and 7s orbitals for bonding.",NET,Conceptual,Medium,Chemistry,D and F Block Elements
