Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
A particle moves in a circular path with constant speed. What is the direction of its acceleration?,Towards the center,Away from the center,Tangential to the circle,Perpendicular to the plane of the circle,A,"The acceleration is centripetal, directed towards the center, given by v² / r, where v is speed and r is radius.",NET,Conceptual,Medium,Physics,Circular Motion
A car moves around a circular track of radius 50 m at a speed of 20 m/s. What is its centripetal acceleration?,4 m/s²,8 m/s²,10 m/s²,12 m/s²,B,Centripetal acceleration = v² / r = (20)² / 50 = 400 / 50 = 8 m/s².,NET,Conceptual,Medium,Physics,Circular Motion
A particle is moving in a circular path with a radius of 2 m and a constant speed of 4 m/s. What is its angular velocity?,1 rad/s,2 rad/s,3 rad/s,4 rad/s,B,Angular velocity (ω) = v / r = 4 / 2 = 2 rad/s.,NET,Conceptual,Medium,Physics,Circular Motion
The time period of a particle moving in a circular path is 2 s. What is its frequency?,0.25 Hz,0.5 Hz,1 Hz,2 Hz,B,Frequency = 1 / Time period = 1 / 2 = 0.5 Hz.,NET,Conceptual,Medium,Physics,Circular Motion
A body is moving in a circular path with a constant angular velocity. What is the direction of its linear velocity?,Towards the center,Away from the center,Tangential to the circle,Perpendicular to the plane of the circle,C,Linear velocity is tangential to the circular path.,NET,Conceptual,Medium,Physics,Circular Motion
A particle is moving in a circular path with a radius of 1 m and an angular velocity of 3 rad/s. What is its linear speed?,2 m/s,3 m/s,4 m/s,5 m/s,B,Linear speed (v) = r * ω = 1 * 3 = 3 m/s.,NET,Conceptual,Medium,Physics,Circular Motion
The angular displacement of a particle moving in a circular path is π/2 rad in 1 s. What is its angular velocity?,π/4 rad/s,π/2 rad/s,π rad/s,2π rad/s,B,Angular velocity (ω) = Angular displacement / Time = (π/2) / 1 = π/2 rad/s.,NET,Conceptual,Medium,Physics,Circular Motion
A car is moving around a circular track of radius 100 m at a speed of 25 m/s. What is its centripetal acceleration?,5.25 m/s²,6.25 m/s²,7.25 m/s²,8.25 m/s²,B,Centripetal acceleration = v² / r = (25)² / 100 = 625 / 100 = 6.25 m/s².,NET,Conceptual,Medium,Physics,Circular Motion
A particle is moving in a circular path with a constant speed. What is the work done by the centripetal force?,Positive,Negative,Zero,Maximum,C,Work done by centripetal force is zero as it is perpendicular to the displacement.,NET,Conceptual,Medium,Physics,Circular Motion
A body is moving in a circular path with a radius of 4 m and a constant speed of 8 m/s. What is its angular speed?,1 rad/s,2 rad/s,3 rad/s,4 rad/s,B,Angular speed (ω) = v / r = 8 / 4 = 2 rad/s.,NET,Conceptual,Medium,Physics,Circular Motion
