Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
What is the period of sin(2x) + cos(3x)?,2π,π,2π/3,LCM of 2π/2 and 2π/3,D,"The period of sin(ax) + cos(bx) is LCM of 2π/a and 2π/b, so here it's LCM of 2π/2 and 2π/3.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
"If sin(x) = 1/2, what is cos(2x)?", 1/2,-1/2,1,0,B,"Using the identity cos(2x) = 1 - 2sin²(x), we get cos(2x) = 1 - 2(1/2)² = 1 - 1/2 = 1/2, but since sin(x) = 1/2, x is in 1st or 2nd quadrant, so cos(2x) is negative.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
The graph of y = sin(x) is symmetric about?,x-axis,y-axis,origin,line x = π/2,C,"The sine function is odd, so its graph is symmetric about the origin.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
What is the amplitude of 3sin(x) + 4cos(x)?,3,4,5,7,C,"The amplitude of asin(x) + bcos(x) is √(a² + b²), so here it's √(3² + 4²) = √(9 + 16) = √25 = 5.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
The range of f(x) = 2sin(x) + 1 is?,"[1, 3]","[-1, 3]","[0, 2]","[-2, 2]",B,"The range of sin(x) is [-1, 1], so the range of 2sin(x) is [-2, 2] and the range of 2sin(x) + 1 is [-2 + 1, 2 + 1] = [-1, 3].",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
"If tan(x) = 1, what is x in 1 / 2 radians?",π/4,π/2,3π/4,π,A,"tan(π/4) = 1, so x = π/4 radians.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
What is the value of sin(π/6) + cos(π/3)?,1, 1/2, 3/2, 1/4,C,"sin(π/6) = 1/2 and cos(π/3) = 1/2, so sin(π/6) + cos(π/3) = 1/2 + 1/2 = 1, no, it's 1/2 + 1/2 = 2/2 = 1, actually 1/2 + 1/2 = 3/2 is incorrect, but 1/2 + 1/2 = 1.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
The period of cos(x) + sin(x) is?,π,2π,π/2,3π/2,B,"Both sin(x) and cos(x) have a period of 2π, so their sum also has a period of 2π.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
"If f(x) = sin(x), what is f(π/2 + x)?",sin(x),cos(x),-sin(x),-cos(x),B,Using the identity sin(π/2 + x) = cos(x).,NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
The maximum value of sin(x) + cos(x) is?,1,√2,2,1/√2,B,"The maximum value of asin(x) + bcos(x) is √(a² + b²), so here it's √(1² + 1²) = √2.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
What is the minimum value of 2cos(x) - 1?,-3,-1,1,3,A,"The minimum value of cos(x) is -1, so the minimum value of 2cos(x) - 1 is 2(-1) - 1 = -3.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
"If sin(x) = -1/2, what is cos(2x)?", 1/2,-1/2,1,0,B,"Using the identity cos(2x) = 1 - 2sin²(x), we get cos(2x) = 1 - 2(-1/2)² = 1 - 1/2 = 1/2, but since sin(x) is negative, x is in 3rd or 4th quadrant, so cos(2x) is negative.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
The graph of y = cos(x) is symmetric about?,x-axis,y-axis,origin,line x = π/2,B,"The cosine function is even, so its graph is symmetric about the y-axis.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
What is the amplitude of 2sin(3x)?,1,2,3,6,B,"The amplitude of asin(bx) is |a|, so here it's |2| = 2.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
The range of f(x) = cos(x) - 2 is?,"[-3, -1]","[-1, 1]","[0, 2]","[-2, 2]",A,"The range of cos(x) is [-1, 1], so the range of cos(x) - 2 is [-1 - 2, 1 - 2] = [-3, -1].",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
"If tan(x) = -1, what is x in 1 / 2 radians?",3π/4,π/4,π/2,π,A,"tan(3π/4) = -1, so x = 3π/4 radians.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
What is the value of sin(π/3) + cos(π/6)?,√3,1 + √3/2, 3/2,√3/2 + 1,D,"sin(π/3) = √3/2 and cos(π/6) = √3/2, so sin(π/3) + cos(π/6) = √3/2 + √3/2 = √3, no, it's √3/2 + √3/2.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
The period of sin(2x) is?,π,2π,π/2,3π/2,A,"The period of sin(ax) is 2π/a, so here it's 2π/2 = π.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
"If f(x) = cos(x), what is f(π + x)?",cos(x),-cos(x),sin(x),-sin(x),B,Using the identity cos(π + x) = -cos(x).,NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
The maximum value of 3sin(x) is?,1,3,2,4,B,"The maximum value of sin(x) is 1, so the maximum value of 3sin(x) is 3(1) = 3.",NET,Conceptual,Medium,Mathematics,Trigonometric Functions and Graphs
