Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"What is the output of `printf('%d', sizeof('a'));` in C?",1,2,4,sizeof(char),C,"In C, character literals are treated as integers, so 'a' is an int, typically 4 bytes on most systems.",NET,Conceptual,Medium,Computer_Science,Programming in C
What does `static int x;` imply?,x is a global variable,x retains its value between function calls,x is a constant,x is not accessible outside the file,B,"Static variables retain their values between function calls, initialized only once.",NET,Conceptual,Medium,Computer_Science,Programming in C
What is the result of `5 / 2` in C?,2.5,2,3,Compilation Error,B,"Integer division truncates the decimal part, resulting in 2.",NET,Conceptual,Medium,Computer_Science,Programming in C
"What is the output of `int x = 10; printf('%d', x++);`?",10,11,Compilation Error,Runtime Error,A,Post-increment operator returns the current value before incrementing.,NET,Conceptual,Medium,Computer_Science,Programming in C
What is a dangling pointer?,Pointer to a freed memory location,Pointer to a valid memory location,Null pointer,Pointer to a local variable,A,Dangling pointer points to memory that has been freed or reused.,NET,Conceptual,Medium,Computer_Science,Programming in C
What is the purpose of `typedef`?,To define a new data type,To declare a variable,To define a function,To allocate memory,A,Typedef is used to create an alias for an existing data type.,NET,Conceptual,Medium,Computer_Science,Programming in C
"What is the output of `printf('%d', 3 && 0);`?",1,0,Compilation Error,Runtime Error,B,Logical AND operation results in 0 because one operand is 0.,NET,Conceptual,Medium,Computer_Science,Programming in C
What does `extern int x;` mean?,x is defined elsewhere,x is a local variable,x is a constant,x is not accessible,A,"Extern keyword declares a variable defined elsewhere, typically in another file.",NET,Conceptual,Medium,Computer_Science,Programming in C
What is the result of `sizeof(int) / sizeof(int*)` on a 64-bit system?, 1/2,1,2,4,A,"On a 64-bit system, sizeof(int) is typically 4 and sizeof(int*) is 8, so the result is 4/8 = 1/2.",NET,Conceptual,Medium,Computer_Science,Programming in C
What is a memory leak?,Memory not being freed after use,Memory being accessed after being freed,Memory not being allocated,Memory being corrupted,A,Memory leak occurs when dynamically allocated memory is not released back to the system.,NET,Conceptual,Medium,Computer_Science,Programming in C
"What is the output of `int arr[5] = 1, 2; printf('%d', arr[3]);`?",0,Garbage Value,2,Compilation Error,B,Uninitialized elements in an array contain garbage values.,NET,Conceptual,Medium,Computer_Science,Programming in C
What is the use of `register` keyword?,To allocate memory on the heap,To suggest the compiler to store a variable in a register,To declare a global variable,To define a macro,B,Register keyword is a hint to the compiler to store a variable in a CPU register for faster access.,NET,Conceptual,Medium,Computer_Science,Programming in C
What is the result of `!0 && 5`?,1,0,5,Compilation Error,A,"!0 is 1, and 1 && 5 is 1 because both are non-zero.",NET,Conceptual,Medium,Computer_Science,Programming in C
"What is the output of `printf('%lu', sizeof('Hello'));`?",5,6,sizeof(char),Compilation Error,B,"String literal 'Hello' includes a null terminator, making its size 6 bytes.",NET,Conceptual,Medium,Computer_Science,Programming in C
