Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
What is the primary function of the lymph nodes in the human immune system?,To filter lymph and trap pathogens,To produce antibodies,To activate T-cells,To store lymphocytes,A,"Lymph nodes filter lymph, trapping pathogens. B is incorrect because antibodies are produced by B-cells.",Lymphatic System,Easy,Biology,Immunity
Which type of immunity involves the activation of T-cells and B-cells?,Innate immunity,Adaptive immunity,Passive immunity,Active immunity,B,Adaptive immunity involves T-cells and B-cells. A is incorrect because innate immunity is non-specific.,Types of Immunity,Easy,Biology,Immunity
What is the term for the ability of the immune system to distinguish between self and non-self?,Immune tolerance,Immune suppression,Immune surveillance,Immune response,A,Immune tolerance is the ability to distinguish self from non-self. C is incorrect because surveillance detects pathogens.,Immune Tolerance,Medium,Biology,Immunity
Which cell type is responsible for presenting antigens to T-cells?,Dendritic cells,Macrophages,Neutrophils,Eosinophils,A,Dendritic cells present antigens to T-cells. B is incorrect because macrophages primarily phagocytose.,Antigen Presentation,Medium,Biology,Immunity
What is the primary cytokine responsible for inducing fever during an infection?,IL-1,IL-2,TNF-alpha,IL-6,A,IL-1 induces fever. C is incorrect because TNF-alpha primarily induces inflammation.,Cytokines,Medium,Biology,Immunity
Which immunoglobulin isotype is primarily involved in mucosal immunity?,IgA,IgG,IgM,IgE,A,IgA is involved in mucosal immunity. B is incorrect because IgG is the most abundant in serum.,Immunoglobulins,Easy,Biology,Immunity
What is the role of CD4+ T-cells in cell-mediated immunity?,To directly kill infected cells,To activate macrophages,To produce antibodies,To activate B-cells,B,CD4+ T-cells activate macrophages. A is incorrect because CD8+ T-cells directly kill infected cells.,Cell-Mediated Immunity,Medium,Biology,Immunity
Which type of vaccine contains inactivated pathogens?,Live attenuated vaccine,Killed vaccine,Subunit vaccine,Conjugate vaccine,B,Killed vaccines contain inactivated pathogens. A is incorrect because live attenuated vaccines contain weakened pathogens.,Vaccines,Easy,Biology,Immunity
What is the term for the process by which the immune system eliminates self-reactive lymphocytes?,Clonal deletion,Clonal selection,Immune tolerance,Immune suppression,A,Clonal deletion eliminates self-reactive lymphocytes. B is incorrect because clonal selection activates specific lymphocytes.,Immune Tolerance,Medium,Biology,Immunity
A 10-year-old boy has a recurring infection with Neisseria meningitidis. Which component of the immune system is most likely deficient?,C5-C9,C1-C4,IL-1,TNF-alpha,A,"C5-C9 form the membrane attack complex, crucial for killing Neisseria. B is incorrect because C1-C4 are involved in earlier complement activation steps.",Complement System,Hard,Biology,Immunity
Which cell surface molecule is used to diagnose HIV infection?,CD4,CD8,p24 antigen,HIV RNA,C,p24 antigen is used for early diagnosis. D is incorrect because HIV RNA is used for viral load measurement.,HIV Infection,Medium,Biology,Immunity
What is the primary function of interferons in viral infections?,To induce apoptosis in infected cells,To activate natural killer cells,To induce an antiviral state in cells,To stimulate the production of antibodies,C,Interferons induce an antiviral state. A is incorrect because apoptosis is a secondary effect.,Interferons,Medium,Biology,Immunity
Which immunoglobulin isotype is responsible for triggering allergic reactions?,IgA,IgG,IgE,IgM,C,IgE triggers allergic reactions. A is incorrect because IgA is involved in mucosal immunity.,Immunoglobulins,Easy,Biology,Immunity
What is the term for the process by which antibodies mark pathogens for destruction?,Opsonization,Neutralization,Complement activation,Antibody-dependent cellular cytotoxicity,A,Opsonization marks pathogens for destruction. B is incorrect because neutralization prevents pathogen entry.,Antibody Functions,Medium,Biology,Immunity
A patient has a deficiency in the production of IgA. Which aspect of immunity will be most affected?,Mucosal immunity,Systemic immunity,Cell-mediated immunity,Innate immunity,A,IgA is crucial for mucosal immunity. B is incorrect because IgG is the primary systemic antibody.,Immunoglobulins,Medium,Biology,Immunity
Which cytokine is crucial for the differentiation of T-cells into Th1 cells?,IL-4,IL-12,IL-10,TGF-beta,B,IL-12 promotes Th1 differentiation. A is incorrect because IL-4 promotes Th2 differentiation.,Cytokines,Hard,Biology,Immunity
What is the primary mechanism by which vaccines provide long-term immunity?,By inducing a primary immune response,By generating memory cells,By activating natural killer cells,By stimulating the production of interferons,B,Memory cells provide long-term immunity. A is incorrect because the primary response is the initial reaction.,Vaccines,Medium,Biology,Immunity
Which type of hypersensitivity reaction is characterized by the formation of immune complexes?,Type I,Type II,Type III,Type IV,C,Type III hypersensitivity involves immune complexes. A is incorrect because Type I is immediate hypersensitivity.,Hypersensitivity Reactions,Medium,Biology,Immunity
What is the role of CD8+ T-cells in cell-mediated immunity?,To activate macrophages,To produce antibodies,To directly kill infected cells,To activate B-cells,C,CD8+ T-cells directly kill infected cells. A is incorrect because CD4+ T-cells activate macrophages.,Cell-Mediated Immunity,Easy,Biology,Immunity
A patient with a history of recurring infections is diagnosed with a condition where their body fails to produce antibodies. Which type of immunity is affected?,Cell-mediated immunity,Active immunity,Passive immunity,Humoral immunity,D,Humoral immunity involves antibodies produced by B cells. Failing to produce antibodies affects humoral immunity. Cell-mediated immunity is a different branch.,Types of Immunity,Easy,Biology,Immunity
A 25-year-old woman receives a vaccination against hepatitis B. Which type of immunity will she develop as a result?,Passive immunity,Innate immunity,Active immunity,Cell-mediated immunity,C,Vaccination induces active immunity by stimulating the body to produce its own antibodies. Passive immunity involves receiving pre-formed antibodies.,Active vs Passive Immunity,Easy,Biology,Immunity
A newborn baby receives antibodies from its mother's milk. This is an example of which type of immunity?,Active natural immunity,Passive natural immunity,Active artificial immunity,Passive artificial immunity,B,Antibodies received from mother's milk are an example of passive natural immunity. The baby is not producing its own antibodies.,Passive Immunity,Medium,Biology,Immunity
A person's immune system is compromised due to a lack of T cells. Which aspect of immunity is most affected?,Phagocytosis,Antibody production,Cell-mediated immunity,Inflammation,C,T cells are central to cell-mediated immunity. A lack of T cells directly impacts this aspect of immunity.,Cell-mediated Immunity,Easy,Biology,Immunity
An individual is exposed to a pathogen they've been vaccinated against. Which immune response occurs rapidly to prevent infection?,Primary immune response,Secondary immune response,T cell activation,Inflammatory response,B,"The secondary immune response is faster and more effective, occurring upon subsequent exposures to the same antigen.",Primary vs Secondary Immune Response,Medium,Biology,Immunity
A patient is diagnosed with a condition characterized by the inability to produce functional neutrophils. Which process is most affected?,Phagocytosis,Antibody production,Cell-mediated immunity,Complement activation,A,"Neutrophils are key phagocytic cells. Their absence impairs phagocytosis, the process of engulfing and destroying pathogens.",Phagocytosis,Easy,Biology,Immunity
A 30-year-old man is given immunoglobulins as treatment for a snake bite. This is an example of which type of immunity?,Active natural immunity,Passive natural immunity,Active artificial immunity,Passive artificial immunity,D,"Immunoglobulins (pre-formed antibodies) given as treatment provide passive artificial immunity, providing immediate protection.",Passive Artificial Immunity,Medium,Biology,Immunity
