Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"Identify the grammatical error in the sentence: 'The teacher gave the students their homework, but they wasn't completed yet.'",Incorrect use of 'their',Incorrect verb tense in 'wasn't',Incorrect subject-verb agreement,Missing article before 'homework',C,The subject-verb agreement is incorrect; 'they' is a plural pronoun and requires 'weren't'.,Subject-Verb Agreement,Medium,English,Reading and Thinking Skills
Which sentence demonstrates correct use of the passive voice?,The ball was thrown by John.,John threw the ball.,The ball thrown by John.,John was thrown the ball.,A,"The sentence 'The ball was thrown by John.' correctly uses the passive voice, with the subject 'ball' receiving the action.",Passive Voice,Easy,English,Reading and Thinking Skills
The phrase 'a lot of' is used before which type of noun?,Countable nouns,Uncountable nouns,Both countable and uncountable nouns,Proper nouns,C,"'A lot of' can be used with both countable and uncountable nouns, making it a versatile quantifier.",Quantifiers,Easy,English,Reading and Thinking Skills
"Choose the sentence with the correct conditional tense: 'If I _______ rich, I would travel the world.'",am,was,were,be,C,"The correct form is 'were' for the second conditional, used for hypothetical situations.",Conditionals,Medium,English,Reading and Thinking Skills
"Identify the function of the word 'although' in the sentence: 'Although it was raining, we went to the park.'",To indicate time,To show contrast,To add information,To indicate cause,B,"'Although' is used to show contrast between two clauses, indicating that despite the rain, they went to the park.",Conjunctions,Easy,English,Reading and Thinking Skills
The phrase 'by the time' is used to indicate which aspect of time?,Duration,Sequence of events,Frequency,Specific time,B,"'By the time' indicates that one event happens before another is completed, showing a sequence.",Time Expressions,Medium,English,Reading and Thinking Skills
"In the sentence 'The manager, as well as the employees, _______ to the meeting.', what is the correct verb form?",was invited,were invited,have been invited,are invited,A,"The subject 'The manager' is singular, and 'as well as the employees' does not change the verb form to plural.",Subject-Verb Agreement,Hard,English,Reading and Thinking Skills
The word 'since' can be used to indicate which of the following?,Cause or reason,Time or duration,Both cause and time,Condition,C,"'Since' can indicate both cause ('since you're tired, let's rest') and time ('since morning').",Conjunctions and Prepositions,Medium,English,Reading and Thinking Skills
Which sentence correctly uses a participle phrase?,"Having studied hard, the exam was easy.","Studying hard, the exam was easy.","Having studied hard, I found the exam easy.","The exam was easy, studying hard.",C,"The participle phrase 'Having studied hard' correctly modifies the subject 'I', indicating the reason for finding the exam easy.",Participle Phrases,Medium,English,Reading and Thinking Skills
The phrase 'look forward to' is followed by which grammatical form?,Infinitive,Gerund,Base form of the verb,Past tense,B,"'Look forward to' is followed by a gerund (e.g., 'I look forward to meeting you').",Verb Forms after Prepositions,Easy,English,Reading and Thinking Skills
"In the sentence 'The new policy has been met with widespread criticism, _______ its potential benefits.'",despite,because of,owing to,notwithstanding,A,"'Despite' indicates a contrast, showing that the criticism occurred even though there were potential benefits.",Prepositions,Medium,English,Reading and Thinking Skills
The correct form of the possessive adjective in the sentence 'That is _______ book.' is:,my,mine,myself,me,A,"'My' is a possessive adjective used before nouns, whereas 'mine' is a possessive pronoun used alone.",Possessive Adjectives and Pronouns,Easy,English,Reading and Thinking Skills
The phrase 'used to' is employed to describe which type of past action?,Habitual or repeated,Completed,Interrupted,Future,A,'Used to' describes past habitual or repeated actions that are no longer done.,Tense and Aspect,Easy,English,Reading and Thinking Skills
The correct sentence using the comparative form is:,This cake is more delicius than the one we had yesterday.,This cake is more delicious than the one we had yesterday.,This cake is deliciouster than the one we had yesterday.,This cake is as delicious than the one we had yesterday.,B,"The correct comparative form is 'more delicious', following the rules for forming comparatives.",Comparatives and Superlatives,Medium,English,Reading and Thinking Skills
"The sentence 'The city, which is known for its beauty, attracts many tourists.' uses which type of clause?",Restrictive relative clause,Non-restrictive relative clause,Independent clause,Subordinate clause,B,"The clause 'which is known for its beauty' is a non-restrictive relative clause, providing additional but not essential information.",Relative Clauses,Medium,English,Reading and Thinking Skills
"In the sentence 'Having finished the project, we went home.', 'Having finished' is an example of:",Present participle,Past participle,Perfect participle,Gerund,C,"'Having finished' is a perfect participle, indicating an action completed before another action.",Participles,Hard,English,Reading and Thinking Skills
The phrase 'in spite of' is used to:,Indicate a cause,Show contrast,Add information,Indicate time,B,"'In spite of' is used to show contrast, indicating that something happened despite a particular circumstance.",Prepositions,Easy,English,Reading and Thinking Skills
