Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"If A = [[1, 2], [3, 4]], then det(A) is",1 * 4 - 2 * 3,1 * 3 - 2 * 4,1 + 2 + 3 + 4,1 - 2 + 3 - 4,A,"Determinant of 2x2 matrix A = [[a, b], [c, d]] is ad - bc, so det(A) = 1 * 4 - 2 * 3 = -2.",NET,Conceptual,Medium,Mathematics,Matrices and Determinants
"The value of determinant of [[1, 0, 0], [0, 1, 0], [0, 0, 1]] is",0,1,2,3,B,"Determinant of identity matrix is 1, as it is a product of diagonal elements.",NET,Conceptual,Medium,Mathematics,Matrices and Determinants
"If A and B are square matrices of same order, then (AB)^-1 =",A^-1 * B^-1,B^-1 * A^-1,A * B^-1,B * A^-1,B,"(AB)^-1 = B^-1 * A^-1, as (AB)(B^-1A^-1) = A(BB^-1)A^-1 = AIA^-1 = AA^-1 = I.",NET,Conceptual,Medium,Mathematics,Matrices and Determinants
"If det(A) = 2, then det(3A) =",6, 2 / 3,3² * 2,3 * 2,C,"det(kA) = k^n * det(A) for n x n matrix, so det(3A) = 3² * 2 = 18.",NET,Conceptual,Medium,Mathematics,Matrices and Determinants
"Matrix A = [[a, b], [c, d]] is invertible if",ad - bc = 0,ad + bc = 0,ad - bc != 0,a + b + c + d = 0,C,Matrix A is invertible if det(A) = ad - bc != 0.,NET,Conceptual,Medium,Mathematics,Matrices and Determinants
"The system of equations x + y = 2, 2x + 2y = 4 has",unique solution,no solution,infinite solutions,none,C,"The two equations are linearly dependent, so the system has infinite solutions.",NET,Conceptual,Medium,Mathematics,Matrices and Determinants
"If A = [[1, 1], [1, 1]], then A² =","[[2, 2], [2, 2]]","[[1, 1], [1, 1]]","[[0, 0], [0, 0]]","[[1, 0], [0, 1]]",A,"A² = [[1, 1], [1, 1]] * [[1, 1], [1, 1]] = [[2, 2], [2, 2]].",NET,Conceptual,Medium,Mathematics,Matrices and Determinants
"The matrix [[1, 0], [0, 0]] is",idempotent,nilpotent,orthogonal,none,A,"A matrix A is idempotent if A² = A. Here, A² = [[1, 0], [0, 0]] = A.",NET,Conceptual,Medium,Mathematics,Matrices and Determinants
"If A is a skew-symmetric matrix, then det(A) is",always 0,always 1,always -1,none,A,"For skew-symmetric matrix A, det(A) = 0 if order of A is odd.",NET,Conceptual,Medium,Mathematics,Matrices and Determinants
"The inverse of matrix [[2, 0], [0, 2]] is","[[1/2, 0], [0, 1/2]]","[[2, 0], [0, 2]]","[[1, 0], [0, 1]]",none,A,Inverse of diagonal matrix is obtained by taking reciprocals of diagonal elements.,NET,Conceptual,Medium,Mathematics,Matrices and Determinants
