Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
What is the primary function of the Instruction Register (IR)?,To store the address of the next instruction,To store the current instruction being executed,To store the result of an operation,To store the data being transferred,B,"IR holds the current instruction, allowing the control unit to decode and execute it.",NET,Conceptual,Medium,Computer_Science,Computer Architecture
Which cache mapping technique maps a block to a specific cache line?,Direct Mapping,Associative Mapping,Set-Associative Mapping,None of the above,A,Direct mapping assigns each block to a specific cache line using the formula: cache line = (block address) mod (number of cache lines).,NET,Conceptual,Medium,Computer_Science,Computer Architecture
What is the hit ratio if 80 out of 100 memory accesses are found in the cache?,0.2,0.8,0.5,0.1,B,Hit ratio = (number of hits) / (total number of accesses) = 80 / 100 = 0.8.,NET,Conceptual,Medium,Computer_Science,Computer Architecture
A CPU has a clock cycle time of 2 ns. What is the clock speed?,500 MHz,1 GHz,2 GHz,4 GHz,B,"Clock speed = 1 / clock cycle time = 1 / 2 ns = 1 / (2 * 10^-9 s) = 500 * 10^6 Hz = 500 MHz, but since 1/2ns = 0.5*10^9 Hz, it is 500 MHz or 0.5 GHz, the closest answer is 500 MHz.",NET,Conceptual,Medium,Computer_Science,Computer Architecture
What is the main advantage of a pipelined processor?,Increased instruction-level parallelism,Reduced instruction execution time,Improved branch prediction,Simplified instruction decoding,A,Pipelining increases instruction-level parallelism by breaking down the instruction execution process into stages.,NET,Conceptual,Medium,Computer_Science,Computer Architecture
A computer system has 4GB of RAM. What is the minimum number of bits required to address each byte?,32,31,30,29,A,"4GB = 2² * 2³0 bytes = 2³2 bytes, so 32 bits are required to address each byte.",NET,Conceptual,Medium,Computer_Science,Computer Architecture
What is the primary function of the Program Counter (PC)?,To store the current instruction,To store the address of the next instruction,To store the result of an operation,To store the data being transferred,B,"PC holds the address of the next instruction to be fetched, allowing the CPU to sequence through instructions.",NET,Conceptual,Medium,Computer_Science,Computer Architecture
Which of the following is a type of cache coherence protocol?,MESI,FIFO,LRU,None of the above,A,MESI is a cache coherence protocol that ensures data consistency across multiple processors.,NET,Conceptual,Medium,Computer_Science,Computer Architecture
What is the main disadvantage of a direct-mapped cache?,High cost,Low hit ratio,Conflict misses,None of the above,C,Direct-mapped caches can suffer from conflict misses when multiple blocks map to the same cache line.,NET,Conceptual,Medium,Computer_Science,Computer Architecture
A processor has a 5-stage pipeline. What is the maximum speedup achievable?,2,5,10,None of the above,B,"Maximum speedup = number of pipeline stages = 5, assuming ideal conditions.",NET,Conceptual,Medium,Computer_Science,Computer Architecture
What is the purpose of the Memory Address Register (MAR)?,To store the data being transferred,To store the address of the memory location,To store the current instruction,To store the result of an operation,B,MAR holds the address of the memory location being accessed.,NET,Conceptual,Medium,Computer_Science,Computer Architecture
Which of the following is a characteristic of a RISC processor?,Complex instruction set,Large number of addressing modes,Simple instruction set,None of the above,C,"RISC processors have a simple instruction set, which improves execution speed.",NET,Conceptual,Medium,Computer_Science,Computer Architecture
What is the main advantage of a multi-core processor?,Improved single-threaded performance,Increased instruction-level parallelism,Improved multi-threaded performance,None of the above,C,Multi-core processors improve multi-threaded performance by executing multiple threads concurrently.,NET,Conceptual,Medium,Computer_Science,Computer Architecture
A computer system has a 2-way set-associative cache. What is the main advantage?,Reduced conflict misses,Improved hit ratio,Increased cache size,None of the above,A,2-way set-associative cache reduces conflict misses by allowing two blocks to be stored in the same set.,NET,Conceptual,Medium,Computer_Science,Computer Architecture
What is the purpose of the Memory Buffer Register (MBR)?,To store the address of the memory location,To store the data being transferred,To store the current instruction,To store the result of an operation,B,MBR holds the data being transferred between the CPU and memory.,NET,Conceptual,Medium,Computer_Science,Computer Architecture
Which of the following is a type of parallelism?,Instruction-level parallelism,Data-level parallelism,Thread-level parallelism,All of the above,D,All three options are types of parallelism that can be exploited in computer architecture.,NET,Conceptual,Medium,Computer_Science,Computer Architecture
What is the main disadvantage of a unified cache?,Increased complexity,Reduced performance,Conflict between instruction and data accesses,None of the above,C,Unified caches can suffer from conflicts between instruction and data accesses.,NET,Conceptual,Medium,Computer_Science,Computer Architecture
A processor has a clock speed of 2 GHz. What is the clock cycle time?,0.5 ns,1 ns,2 ns,None of the above,A,Clock cycle time = 1 / clock speed = 1 / 2 GHz = 1 / (2 * 10^9 Hz) = 0.5 * 10^-9 s = 0.5 ns.,NET,Conceptual,Medium,Computer_Science,Computer Architecture
What is the primary function of the Control Unit?,To execute instructions,To manage data transfer,To generate control signals,To store data,C,The control unit generates control signals that manage the flow of data and instructions within the CPU.,NET,Conceptual,Medium,Computer_Science,Computer Architecture
