Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
A particle executes SHM with amplitude 4 cm. At what displacement is its energy half kinetic and half potential?,2 cm,2 √2 cm,4 / √2 cm,1 cm,B,"In SHM, energy is half kinetic and half potential when displacement is A / √2. Here, A = 4 cm, so displacement = 4 / √2 = 2 √2 cm.",NET,Conceptual,Medium,Physics,Oscillations
"A simple pendulum has a time period of 2 s. If its length is increased by 4 times, its new time period is",4 s,2 s,8 s,1 s,A,"Time period of simple pendulum, T = 2 π √(l / g). When l is increased 4 times, T becomes 2 times, so new T = 2 * 2 = 4 s.",NET,Conceptual,Medium,Physics,Oscillations
The equation of motion of a particle is d²x / dt² + kx = 0. The frequency of vibration is,1 / 2 π √(k),2 π √k,√(k) / 2 π,1 / 2 π √k,A,"The given equation represents SHM with angular frequency ω = √k. Frequency, f = ω / 2 π = 1 / 2 π √k.",NET,Conceptual,Medium,Physics,Oscillations
A particle is executing SHM with maximum velocity 10 cm/s and maximum acceleration 40 cm/s². Its amplitude is,2.5 cm,5 cm,10 cm,1.25 cm,A,"In SHM, v_max = Aω and a_max = Aω². Given v_max = 10 and a_max = 40. Dividing, ω = 4. So, A = v_max / ω = 10 / 4 = 2.5 cm.",NET,Conceptual,Medium,Physics,Oscillations
"The time period of a simple pendulum is 1 s. If its length is halved, its new time period is",1 / √2 s,√2 s,1 s,2 s,A,"T ∝ √l. When l is halved, T becomes 1 / √2 times, so new T = 1 / √2 s.",NET,Conceptual,Medium,Physics,Oscillations
A simple harmonic oscillator has amplitude A and time period T. Its maximum speed is,A / T,2 π A / T,A / 2 T,π A / T,B,Maximum speed = Aω = A * 2 π / T = 2 π A / T.,NET,Conceptual,Medium,Physics,Oscillations
The potential energy of a simple harmonic oscillator is maximum at,mean position,extreme position,between mean and extreme position,any position,B,"In SHM, potential energy is maximum at extreme positions where displacement is maximum.",NET,Conceptual,Medium,Physics,Oscillations
A particle executes SHM with frequency f. The frequency of its kinetic energy is,f,2 f,f / 2,4 f,B,"Kinetic energy oscillates at twice the frequency of displacement, so its frequency is 2 f.",NET,Conceptual,Medium,Physics,Oscillations
The displacement of a simple harmonic oscillator is given by x = A sin(ωt + φ). Its velocity is,Aω cos(ωt + φ),-Aω sin(ωt + φ),Aω² sin(ωt + φ),-Aω² cos(ωt + φ),A,"Velocity is the derivative of displacement. So, v = d(A sin(ωt + φ))/dt = Aω cos(ωt + φ).",NET,Conceptual,Medium,Physics,Oscillations
The total energy of a simple harmonic oscillator is proportional to,amplitude,square of amplitude,frequency,square of frequency,B,"Total energy of SHM = 1/2 mω²A², which is proportional to A², the square of amplitude.",NET,Conceptual,Medium,Physics,Oscillations
A simple pendulum is taken to a height equal to earth's radius. Its time period becomes,2 T,√2 T,T / 2,T / √2,A,"At height R, g' = g / 4. T ∝ 1 / √g, so T' = 2 T.",NET,Conceptual,Medium,Physics,Oscillations
The equation of a simple harmonic motion is given by y = 6 sin(10t) + 8 cos(10t). Its amplitude is,10,14,2,5,A,"The given equation can be written as y = A sin(10t + φ). Using trigonometric identity, A = √(6² + 8²) = √(36 + 64) = √100 = 10.",NET,Conceptual,Medium,Physics,Oscillations
A particle is executing SHM. The phase difference between its velocity and displacement is,π / 2,π,0,3π / 2,A,"In SHM, velocity leads displacement by π / 2.",NET,Conceptual,Medium,Physics,Oscillations
"The time period of a mass suspended from a spring is T. If the spring is cut into four equal parts and the same mass is suspended from one of the parts, its new time period is",T / 2,T / 4,2 T,4 T,A,"T ∝ 1 / √k. When spring is cut into 4 parts, k becomes 4 times, so T becomes 1 / 2.",NET,Conceptual,Medium,Physics,Oscillations
The displacement of a particle executing SHM is given by y = A sin(ωt). The maximum acceleration is,Aω,Aω²,-Aω²,A / ω,B,"Maximum acceleration = Aω², which occurs at extreme positions.",NET,Conceptual,Medium,Physics,Oscillations
The ratio of maximum acceleration to maximum velocity in SHM is,ω,1 / ω,ω²,1 / ω²,A,Maximum acceleration = Aω² and maximum velocity = Aω. Their ratio = ω.,NET,Conceptual,Medium,Physics,Oscillations
A simple pendulum is oscillating with angular frequency ω. Its time period is,2 π / ω,ω / 2 π,1 / ω,ω,A,Time period = 2 π / ω by definition of angular frequency.,NET,Conceptual,Medium,Physics,Oscillations
The kinetic energy of a simple harmonic oscillator is maximum at,mean position,extreme position,any position,between mean and extreme,A,"In SHM, kinetic energy is maximum at mean position where velocity is maximum.",NET,Conceptual,Medium,Physics,Oscillations
