Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
Which of the following is the strongest acid?,CH₃COOH,ClCH₂COOH,Cl₂CHCOOH,Cl₃CCOOH,D,The strength of acid increases with the number of electron-withdrawing groups (Cl atoms) due to stabilization of the carboxylate ion.,NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The reaction of carboxylic acid with SOCl₂ produces?,Acid anhydride,Acid chloride,Ester,Aldehyde,B,SOCl₂ converts carboxylic acid into acid chloride by replacing the OH group with Cl.,NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The functional group in carboxylic acids is?,-COOH,-CHO,-CO-,-OH,A,"Carboxylic acids contain the -COOH functional group, which is responsible for their acidic properties.",NET,Conceptual,Medium,Chemistry,Carboxylic Acids
Which carboxylic acid is used in the manufacture of dyes?,Benzoic acid,Phthalic acid,Salicylic acid,Acetic acid,B,"Phthalic acid is used in the production of dyes, plasticizers, and other chemicals.",NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The boiling point of carboxylic acids is higher than that of alcohols due to?,Hydrogen bonding,Dimerization,Polarity,Molecular weight,B,"Carboxylic acids form dimers through intermolecular hydrogen bonding, increasing their boiling points.",NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The reduction of carboxylic acids with LiAlH₄ produces?,Aldehyde,Ketone,Alcohol,Alkane,C,LiAlH₄ reduces carboxylic acids to primary alcohols by fully reducing the carboxyl group.,NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The acidity of benzoic acid is increased by?,-CH₃ group,-NO₂ group,-OH group,-NH₂ group,B,"The -NO₂ group is electron-withdrawing, stabilizing the benzoate ion and increasing the acidity of benzoic acid.",NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The reaction of carboxylic acid with alcohol in the presence of H⁺ is called?,Esterification,Saponification,Hydrolysis,Fermentation,A,"Esterification is the reaction between a carboxylic acid and an alcohol to form an ester, catalyzed by H⁺.",NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The IUPAC name of (CH₃)₂CHCOOH is?,2-Methylpropanoic acid,2-Methylbutanoic acid,Isobutyric acid,Butanoic acid,A,The compound is named based on the longest carbon chain containing the carboxyl group.,NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The compound that does not react with NaHCO₃ is?,CH₃COOH,C₆H₅OH,C₆H₅COOH,ClCH₂COOH,B,Phenol (C₆H₅OH) is a weaker acid than carbonic acid and does not react with NaHCO₃.,NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The reaction of carboxylic acids with NaOH produces?,Salt and H₂O,Salt and H₂,Ester and H₂O,Alcohol and CO₂,A,Carboxylic acids react with NaOH to form a salt (carboxylate) and water.,NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The strongest reducing agent among the following is?,HCOOH,CH₃COOH,C₂H₅COOH,C₃H₇COOH,A,Formic acid (HCOOH) is a strong reducing agent due to its ability to release H₂ and CO₂.,NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The compound CH₃CH₂COCl is?,Acid chloride,Acid anhydride,Ester,Aldehyde,A,"The compound contains the -COCl group, characteristic of acid chlorides.",NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The decarboxylation of malonic acid produces?,Acetic acid,Formic acid,Acetone,CO₂,A,Malonic acid undergoes decarboxylation to form acetic acid and CO₂.,NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The acidity of carboxylic acids is due to?,Resonance stabilization of carboxylate ion,Inductive effect,Hyperconjugation,Steric hindrance,A,"The carboxylate ion is resonance-stabilized, making it a weak base and the carboxylic acid a stronger acid.",NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The reaction of Grignard reagent with CO₂ produces?,Carboxylic acid,Ketone,Alcohol,Alkane,A,Grignard reagents react with CO₂ to form carboxylic acids after acidification.,NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The hydrolysis of nitriles produces?,Carboxylic acid,Amide,Ester,Aldehyde,A,"Nitriles undergo hydrolysis to form carboxylic acids, often requiring acidic or basic conditions.",NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The compound that gives a positive iodoform test is?,CH₃COOH,C₂H₅COOH,C₆H₅COOH,HCOOH,A,"Acetic acid (CH₃COOH) can be oxidized to form iodoform (CHI₃) under certain conditions, but typically, it's the compounds that can be oxidized to CH₃CO- that give a positive iodoform test.",NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The compound with the highest pKa value is?,HCOOH,CH₃COOH,C₂H₅COOH,C₆H₅COOH,B,A higher pKa indicates a weaker acid; CH₃COOH is weaker than HCOOH due to the electron-donating effect of the methyl group.,NET,Conceptual,Medium,Chemistry,Carboxylic Acids
The reaction of carboxylic acid with PCl₅ produces?,Acid chloride,Acid anhydride,Ester,Aldehyde,A,PCl₅ reacts with carboxylic acids to produce acid chlorides by replacing the OH group with Cl.,NET,Conceptual,Medium,Chemistry,Carboxylic Acids
What is the product of the reaction between CH₃COOH and NaOH?,CH₃COONa + H₂O,CH₃COONa + H₂,CH₃COOH + NaH,CH₃COONa + O₂,A,Neutralization reaction between a carboxylic acid and a base produces a salt and water.,ECAT,Conceptual,Medium,Chemistry,Carboxylic Acids
Which of the following is a characteristic property of carboxylic acids?,They are highly soluble in non-polar solvents.,They have a higher boiling point than alcohols of similar molecular weight.,They are weaker acids than mineral acids.,They do not react with metals.,B,Carboxylic acids have higher boiling points due to intermolecular hydrogen bonding.,ECAT,Conceptual,Medium,Chemistry,Carboxylic Acids
The acidity of carboxylic acids is due to the,presence of an alkyl group,presence of a carbonyl group,resonance stabilization of the carboxylate ion,inductive effect of the hydroxyl group,C,"The carboxylate ion is stabilized by resonance, making it a weak base and the acid a relatively strong acid.",ECAT,Conceptual,Medium,Chemistry,Carboxylic Acids
What is the product of the reaction of CH₃CH₂COOH with SOCl₂?,CH₃CH₂COCl,CH₃CH₂CHO,CH₃CH₂COOCH₃,CH₃CH₂CONH₂,A,SOCl₂ converts carboxylic acids into acyl chlorides.,ECAT,Conceptual,Medium,Chemistry,Carboxylic Acids
The IUPAC name of the compound (CH₃)₂CHCOOH is,2-methylpropanoic acid,2-methylbutanoic acid,isobutyric acid,"2,2-dimethylpropanoic acid",A,The compound has 3 carbon atoms in the main chain with a methyl group at the 2-position.,ECAT,Conceptual,Medium,Chemistry,Carboxylic Acids
