Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,Which country accepted Pakistan first:,Iran,Iraq,Indonesia,China,A
2,"Sir Syed Ahmed Khan wrote the book ""The Loyal Mohammedans of India"" in ______.",In 1848,In 1859,In 1860,In 1870,C
3,Karakoram Highway built with the help of which country:,US,UK,China,Iran,C
4,Pakistan joined the SCO (Shanghai Cooperation Organisation) as a full member on what date?,on 6 June 2015,on 9 June 2016,on 9 June 2017,None of these,C
5,The Hindu Mahasabha was established in ________.,In 1912,In 1915,In 1919,In 1921,B
6,Kashmir was sold to Gulab Singh in:,in 1845,in 1865,in 1890,in 1846,D
7,Wheat contributes 12.1 percent to the value added in agriculture and ________ percent to the GDP.,1.90 percent,2.90 percent,3.90 percent,4.90 percent,B
8,"The recently retired Army Chief, Qamar Javed Bajwa, belonged to the ___________.",6th FF Regiment,16th Baloch Regiment,5th Punjab Regiment,13th Lancers,B
9,What was the name of the Maharaja who reportedly signed the Instrument of Accession of Kashmir to India?,Maharaja Gulab Singh,Maharaja Hari Singh,Mahraja Karan Singh,Maharaja Raghubir Singh,B
10,Who is known as the father of local self-government?,Warren Hastings,Lord Rippon,Lord Dalhousie,Lord Cornwallis,B
11,The Arya Samaj was founded in _________.,In 1875,In 1877,In 1878,In 1879,A
12,The first Muslim ruler to introduce the system of price control in the sub-continent was:,Alauddin Khilji,Akbar,Sher Shah Suri,Babur,A
13,Who inaugurated Karachi radio station and when?,Liaquat Ali Khan on 14th August 1948,Quaid-e-Azam on 14th August 1947,Iskandar Mirza on 14th August 1949,Khawaja Nazimuddin on 14th August 1950,A
14,The All Parties Conference regarding the freedom of India against British rule was made in:,1922,1924,1926,1928,D
15,What was the growth rate of Pakistan during fiscal year 2018-19?,3.08 percent,3.17 percent,3.29 percent,3.31 percent,C
16,Jahangir Khan was associated with which game?,Cricket,Squash,Hockey,Badminton,B
17,The famous figure of a dancing girl found in the excavations of Harappa was made up of __________.,Terracotta,Steatite,Bronze,Red limestone,C
18,India suspended Article 370 of its constitution related to Kashmir on:,on 5th August 2018,on 5th August 2019,on 5th August 2020,on 5th August 2021,B
19,Which country is located to the East of Pakistan?,China,India,Iran,Afghanistan,B
20,The federal government established the Thar Coal Authority in which year?,In 2005,In 2007,In 2008,In 2009,C
21,Who was assassinated by Udham Singh?,Sir Michael O'Dwyer,General Reginald Dyer,Sir William Curzon Wyllie,Lord Charles Hardinge,A
22,What were the national languages declared in the 1956 Constitution?,Urdu,Bengali,Both a & b,None of these,C
23,When did Gandhi renounce his membership in Congress?,1934,1935,1933,1932,A
24,Where was the AIML founded?,Delhi,Karachi,Dhaka,Lucknow,C
25,Quaid-i-Azam Muhammad Ali Jinnah presented his Fourteen Points in:,1928,1929,1930,1932,B
26,"Which famous personality of Pakistan, who served as the only Pakistani and also the first Asian to preside over the International Court of Justice and also served as President of the UN General Assembly?",Liaqat Ali Khan,Gen.Ayub Khan,M.Zafarullah Khan,Ch.Muhammad Ali,C
27,"A famous book, ""Neither a Hawk nor a Dove,"" is written by a Pakistani politician. What is his name?",K.K. Aziz,Dr. Maliha Lodhi,Gohar Ayub,Khurshid Qasuri,D
28,"In the presidential election of 1965, Ayub Khan got which election symbol?",Shaheen,Lalten,Rose,Jasmine,C
29,Question,Opt-A,Opt-B,Opt-C,Opt-D,
30,"According to the 6th Population Census (2017), what is the total population of Balochistan?",11.31 million,12.00 million,12.34 million,12.97 million,C
31,When was the MAO College at Aligarh started?,In 1875,In 1876,In 1877,In 1878,A
32,When was the MAO College at Aligarh started?,1875,1877,1879,1881,A
33,"Who was the leader of ""Mahasabha""?",Nehru,Gandhi,Tilak,Madan Malaviya,D
34,Who became the principal of MAO College after Henry Siddons?,John Borthwick Gilchrist,Syed Amir Ali,Theodore Beck,Maulana Maududi,C
35,Who first presented the idea of SAARC?,Indira Gandhi of India,Ziaur Rahman of Bangladesh,King Birendra of Nepal,General Zia-ul-Haq of Pakistan,B
