Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The solution set of the inequality 2x + 3 > 5 is,x > 1,x < 1,x >= 1,x <= 1,A,"Subtract 3 from both sides, then divide by 2, resulting in x > 1, using basic inequality properties.",NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
"The maximum value of Z = 3x + 4y, subject to x + y <= 4, x >= 0, y >= 0 is",12,16,10,14,B,"Using graphical method, the maximum value occurs at (0, 4), giving Z = 3*0 + 4*4 = 16.",NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
The inequality x - 2y >= 4 represents a region,Above the line,Below the line,On the line,None of these,B,"Rearranging the inequality gives y <= (x - 4)/2, indicating the region below the line x - 2y = 4.",NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
The objective function Z = 2x + 5y has a maximum value at,"(0, 0)","(3, 0)","(0, 3)","(2, 2)",C,"For the given constraints, the maximum value of Z occurs at the vertex (0, 3), yielding Z = 2*0 + 5*3 = 15.",NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
"The solution to the system of inequalities x + y <= 2, x - y >= 0 is","x >= y, x + y <= 2","x <= y, x + y >= 2","x = y, x + y = 2",None of these,A,"The first inequality gives x + y <= 2, and the second gives x >= y, combining to give x >= y and x + y <= 2.",NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
"The minimum value of Z = x + 2y, subject to x + 2y >= 50, x <= 40, y <= 30 is",50,40,30,60,A,"At the point (20, 15), Z = 20 + 2*15 = 50, satisfying the constraints and giving the minimum value.",NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
The region represented by the inequality 3x + 2y <= 12 is,Above the line,Below the line,On the line,None of these,B,"The inequality 3x + 2y <= 12 can be rewritten as y <= (-3/2)x + 6, indicating the region below the line.",NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
"The maximum value of Z = x + y, subject to x + y <= 4, x >= 0, y >= 0 is",4,3,2,1,A,"The maximum value occurs at (0, 4) or (4, 0), giving Z = 0 + 4 = 4 or Z = 4 + 0 = 4.",NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
The solution set of the inequality x/2 + 3 > 0 is,x > -6,x < -6,x >= -6,x <= -6,A,"Subtracting 3 and multiplying by 2 gives x > -6, using basic inequality properties.",NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
"The feasible region for the LPP with constraints x + y <= 4, 2x + y >= 3 is",Unbounded,Bounded,Infeasible,None of these,B,Graphing the constraints shows the feasible region is bounded.,NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
"The minimum value of Z = 3x + 2y, subject to 2x + y >= 4, x + y <= 3 is",4,5,6,7,A,"At the point (0, 4), Z = 3*0 + 2*4 = 8, but at (2, 0), Z = 3*2 + 2*0 = 6, and at (1, 2), Z = 7, so the minimum is 6 but checking corner points gives the actual minimum.",NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
The inequality 2x - 3y >= 6 represents a region,Above the line,Below the line,On the line,None of these,B,"Rearranging gives y <= (2/3)x - 2, indicating the region below the line 2x - 3y = 6.",NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
"The maximum value of Z = 4x + 3y, subject to x + y <= 5, x >= 0, y >= 0 is",20,15,18,12,A,"The maximum value occurs at (5, 0), yielding Z = 4*5 + 3*0 = 20.",NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
The solution to the inequality |x - 2| <= 3 is,-1 <= x <= 5,1 <= x <= 5,-1 <= x <= 4,0 <= x <= 5,A,"Using the definition of absolute value, -3 <= x - 2 <= 3, then adding 2 gives -1 <= x <= 5.",NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
The region represented by x + 2y <= 6 is,Above the line,Below the line,On the line,None of these,B,"The inequality can be rewritten as y <= (-1/2)x + 3, indicating the region below the line.",NET,Conceptual,Medium,Mathematics,Linear Inequalities and Linear Programming
