Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"A tower stands at the center of a circular park. The angle of elevation of the top of the tower at a point on the circumference is 30°. If the radius is 100 m, find the height of the tower.",100 / √3 m,100√3 m,50√3 m,200 / √3 m,A,"Using tan(30°) = height / radius, we get height = radius * tan(30°) = 100 * 1/√3 = 100 / √3 m.",NET,Conceptual,Medium,Mathematics,Application of Trigonometry
The angle of elevation of a cloud from a point 100 m above a lake is 30° and the angle of depression of its reflection is 60°. Find the height of the cloud.,200 m,100 m,150 m,250 m,A,"Using trigonometric relations for the cloud and its reflection, we derive the height as 200 m.",NET,Conceptual,Medium,Mathematics,Application of Trigonometry
"A man is standing on the deck of a ship, which is 10 m above water level. He observes the angle of elevation of the top of a hill as 60° and the angle of depression of the base as 30°. Calculate the height of the hill.",40 m,30 m,50 m,60 m,A,"Using tan(60°) and tan(30°), we find the height of the hill above water level and add the height of the ship.",NET,Conceptual,Medium,Mathematics,Application of Trigonometry
"The shadow of a tower is 60 m when the sun's altitude is 30°. When the sun's altitude is 60°, the length of the shadow is",20 m,20√3 m,60 / √3 m,30 m,A,"Using the relation between the tower height and shadow length at different sun altitudes, we derive the new shadow length.",NET,Conceptual,Medium,Mathematics,Application of Trigonometry
A tree is broken by the wind. The top struck the ground at an angle of 30° at a distance of 30 m from the root. The height of the tree is,30√3 m,20√3 m,10√3 m,40√3 m,A,"Using trigonometric ratios, we find the total height of the tree by summing the broken part and the remaining part.",NET,Conceptual,Medium,Mathematics,Application of Trigonometry
The angle of elevation of the top of a tower from a point 20 m away from its base is 45°. The height of the tower is,20 m,10 m,15 m,25 m,A,"Using tan(45°) = height / distance, we get height = distance = 20 m.",NET,Conceptual,Medium,Mathematics,Application of Trigonometry
The angle of elevation of a ladder leaning against a wall is 60° and the foot of the ladder is 9 m away from the wall. The length of the ladder is,18 m,12 m,15 m,20 m,A,"Using cos(60°) = adjacent side / hypotenuse, we find the length of the ladder.",NET,Conceptual,Medium,Mathematics,Application of Trigonometry
"From the top of a cliff 100 m high, the angles of depression of two rocks on the ground on the same side of the cliff are 30° and 60°. The distance between the rocks is",100√3 / 3 m,100√3 m,200√3 / 3 m,150 m,C,"Using trigonometric relations for the angles of depression, we derive the distance between the rocks.",NET,Conceptual,Medium,Mathematics,Application of Trigonometry
A kite is flying at a height of 60 m above the ground. The string attached to the kite is temporarily tied to a point on the ground. The inclination of the string with the ground is 60°. The length of the string is,40√3 m,30√3 m,120 / √3 m,60√3 m / 3 m,A,"Using sin(60°) = height / length, we find the length of the string.",NET,Conceptual,Medium,Mathematics,Application of Trigonometry
"The angle of elevation of the top of a tower from a point on the ground is 30°. At a point on the horizontal line passing through the foot of the tower and 100 m nearer to it, the angle of elevation is found to be 60°. The height of the tower is",50√3 m,86.6 m,100 m,40 m,B,"Using the relation between the two angles of elevation, we derive the height of the tower.",NET,Conceptual,Medium,Mathematics,Application of Trigonometry
