Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"Identify the next letter in the series: A, C, E, G, I, ?",K,J,L,M,A,The series is incrementing by 2 letters in the alphabet; 'K' is the next letter. 'J' is incorrect as it doesn't follow the increment pattern.,Alphabetical Order Series,Easy,Logical_Reasoning,Letter and Symbol Series
"Complete the symbol series: !, @, #, $, ?, %",^,&,*,5,B,The series alternates between symbols on a standard keyboard; '&' is the next symbol. '^' is incorrect as it breaks the keyboard pattern.,Keyboard Symbol Series,Medium,Logical_Reasoning,Letter and Symbol Series
"Determine the next number in the sequence: 2, 4, 8, 16, ?",32,30,48,64,A,The sequence is obtained by doubling the previous number; '32' is the next number. '30' is incorrect as it doesn't follow the doubling pattern.,Binary Progression Series,Easy,Logical_Reasoning,Letter and Symbol Series
"Identify the pattern and complete the series: A2, B4, C6, D8, ?",E10,F10,E12,D10,A,The series increments alphabetically and numerically by 2; 'E10' is the next. 'F10' is incorrect due to wrong alphabet.,Alphanumeric Series,Medium,Logical_Reasoning,Letter and Symbol Series
"What comes next in the series: 1, 2, 4, 7, 11, ?",16,15,17,18,A,"The series is formed by adding 1, 2, 3, 4, etc.; '16' is the next number. '15' is incorrect due to wrong addition.",Incremental Addition Series,Hard,Logical_Reasoning,Letter and Symbol Series
"Complete the series: Z, X, V, T, R, ?",P,O,Q,N,A,The series decrements by 2 letters in the alphabet; 'P' is the next. 'O' is incorrect due to wrong decrement.,Reverse Alphabetical Order Series,Easy,Logical_Reasoning,Letter and Symbol Series
"Identify the next symbol in the series: ↑, →, ↓, ←, ?",↑,→,↓,↔,A,The series represents direction arrows in a cycle; '↑' is the next direction. '→' is incorrect due to breaking the cycle.,Directional Symbol Series,Medium,Logical_Reasoning,Letter and Symbol Series
"Determine the pattern: 3, 6, 9, 12, ?",15,14,18,16,A,The series increments by 3; '15' is the next number. '14' is incorrect due to wrong increment.,Arithmetic Progression Series,Easy,Logical_Reasoning,Letter and Symbol Series
"Complete the alphanumeric series: 1A, 2B, 3C, 4D, ?",5E,6E,5F,4E,A,The series increments numerically and alphabetically; '5E' is the next. '6E' is incorrect due to wrong number.,Alphanumeric Series,Medium,Logical_Reasoning,Letter and Symbol Series
"What is the next element in the series: α, β, γ, δ, ?",ε,ζ,η,θ,A,The series is based on Greek alphabet order; 'ε' is the next letter. 'ζ' is incorrect due to skipping a letter.,Greek Alphabet Series,Hard,Logical_Reasoning,Letter and Symbol Series
"Identify the pattern in the series: 2, 6, 12, 20, ?",30,32,28,25,A,"The series is formed by adding 4, 6, 8, etc.; '30' is the next number. '28' is incorrect due to wrong addition.",Incremental Addition Series,Hard,Logical_Reasoning,Letter and Symbol Series
"Complete the series: *, **, ***, ****, ?",*****,****,******,*******,A,The series increments the number of asterisks; '*****' is the next. '****' is incorrect due to decrement.,Symbol Repetition Series,Easy,Logical_Reasoning,Letter and Symbol Series
"Determine the next letter in the series: F, H, J, L, ?",N,M,O,P,A,The series increments by 2 letters in the alphabet; 'N' is the next letter. 'M' is incorrect due to wrong increment.,Alphabetical Order Series,Easy,Logical_Reasoning,Letter and Symbol Series
