Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"A snail is at the bottom of a 20-foot well. Each day, it climbs up 3 feet, but at night, it slips back 2 feet. How many days will it take for the snail to reach the top?",18 days,20 days,15 days,12 days,B,"The snail effectively climbs 1 foot per day. On the 18th day, it reaches 18 feet and on the 19th day, it reaches 21 feet, but since it's already out, we consider 18 feet climb on 18th day. So, it takes 18 days to climb 18 feet and on 19th day, it is out, but the question doesn't consider the fraction of day, hence 18 days.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
"If 1 / 2 of the employees in a company are male and 1 / 3 of the male employees are married, what fraction of the employees are married males?", 1 / 6, 1 / 3, 1 / 2, 2 / 3,A,"1 / 2 of employees are male. 1 / 3 of these males are married, so (1 / 2) * (1 / 3) = 1 / 6 are married males.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
A group of 6 people are to be seated in a row. In how many ways can they be seated if 2 particular people refuse to sit next to each other?,480,240,360,720,A,"Total ways to seat 6 people = 6! = 720. Ways with 2 people together = 2 * 5! = 240. So, ways with 2 people not together = 720 - 240 = 480.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
"A man is 4 times as old as his son. 4 years ago, he was 6 times as old as his son. What is the present age of the man?",40,36,32,28,B,"Let son's age be x. Man's age = 4x. 4 years ago, (4x - 4) = 6(x - 4). Simplifying gives 4x - 4 = 6x - 24, so 2x = 20, hence x = 10, and man's age = 4x = 40, but 4 years ago equation gives x = 10, 4x = 40, man's age now is indeed 40, but that was not an option directly derived. Let's directly check: if man is 36, son is 9. 4 years ago, man was 32, son was 5. 32 = 6.4 * 5, which is not correct. However, if we directly check for 40, it works as: 4 years ago, man was 36 and son was 6, 36 = 6 * 6. So, the man's age is 40.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
"What is the next number in the sequence: 2, 6, 12, 20, 30, ?",42,36,48,50,A,"The sequence is formed by adding 4, 6, 8, 10, ... to the previous term. So, the next difference should be 12, hence 30 + 12 = 42.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
"If all the letters of the word 'AGAIN' are arranged, how many arrangements are possible?",60,120,24,30,A,"The word 'AGAIN' has 5 letters with 'A' repeating twice. So, the total arrangements = 5! / 2! = 120 / 2 = 60.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
A clock is set right at 8 am. The clock gains 10 minutes in 24 hours. What will be the true time when the clock indicates 1 pm on the following day?,12:48 pm,12:30 pm,1:00 pm,11:30 am,A,"The clock gains 10 minutes in 24 hours. So, in 29 hours, it gains (10 / 24) * 29 = 12.08 minutes. Hence, when it shows 1 pm on the next day, true time is 12:48 pm.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
"A, B, C, D, E are 5 consecutive even numbers. If the sum of A and E is 162, what is the value of C?",80,82,78,84,B,"Let A = x, then E = x + 8 (since they are 5 consecutive even numbers). x + (x + 8) = 162, so 2x = 154, x = 77. Hence, C = x + 4 = 77 + 4 + 1 (to make it even) = 82.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
A car travels 100 km in 2 hours. How long will it take to travel 300 km at the same speed?,4 hours,6 hours,8 hours,10 hours,B,"The car travels at 100 km / 2 hours = 50 km/h. To travel 300 km, it will take 300 / 50 = 6 hours.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
"In a row of 40 boys, A is 15th from the left and B is 15th from the right. How many boys are between A and B?",10,12,8,14,A,"A is at 15th position, B is at (40 - 15 + 1) = 26th position. So, there are 26 - 15 - 1 = 10 boys between A and B.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
"A is 3 times as fast as B. If A gives B a head start of 80 meters, how long is the race course if they finish together?",120 meters,160 meters,240 meters,100 meters,C,"Since A is 3 times as fast as B, in the time B covers 1 unit, A covers 3 units. So, if B has a head start of 80 meters, A will cover 3 * 80 = 240 meters when B covers 80 meters. Hence, the race course is 240 meters.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
What is the probability that a leap year has 53 Sundays?, 1 / 7, 2 / 7, 3 / 7, 4 / 7,B,"A leap year has 52 weeks + 2 days. For 53 Sundays, one of the 2 extra days must be Sunday. The 2 extra days can be (Sunday, Monday), (Monday, Tuesday), ..., (Saturday, Sunday). So, 2 out of 7 possibilities have Sunday, hence probability = 2 / 7.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
A can do a work in 10 days and B can do the same work in 15 days. In how many days will they finish the work if they work together?,6 days,5 days,8 days,4 days,A,"A's 1 day's work = 1 / 10, B's 1 day's work = 1 / 15. Together, their 1 day's work = 1 / 10 + 1 / 15 = (3 + 2) / 30 = 1 / 6. So, they will finish the work in 6 days.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
"A box contains 5 red, 4 blue, and 3 green balls. What is the probability of picking a blue ball?", 1 / 4, 1 / 3, 4 / 12, 1 / 2,C,"Total balls = 5 + 4 + 3 = 12. Blue balls = 4. So, probability of picking a blue ball = 4 / 12 = 1 / 3.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
"If a train travels at 60 km/h, it reaches its destination on time. If it travels at 50 km/h, it is late by 1 / 2 hour. What is the distance to be traveled?",150 km,120 km,180 km,200 km,A,"Let distance = d. Time taken at 60 km/h = d / 60, at 50 km/h = d / 50. d / 50 - d / 60 = 1 / 2. So, (6d - 5d) / 300 = 1 / 2, d = 150 km.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
"A man can row 6 km/h in still water. If the river is flowing at 2 km/h, how long will it take him to row to a place 16 km upstream and back?",6 hours,8 hours,4 hours,10 hours,B,"Speed upstream = 6 - 2 = 4 km/h, downstream = 6 + 2 = 8 km/h. Time taken to row 16 km upstream = 16 / 4 = 4 hours, downstream = 16 / 8 = 2 hours. Total time = 4 + 2 = 6 hours.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
"In a certain code, 'nee tim see' means 'how are you'. 'ble nee see' means 'where are you'. What is the code for 'you'?",nee,see,tim,ble,B,"Comparing 'nee tim see' and 'ble nee see', 'see' is common. So, 'see' means 'you'.",NET,Conceptual,Medium,Intelligence,Analytical Reasoning
