Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A student compares the solubility of Group 2 sulfates and finds that Magnesium sulfate is soluble while Barium sulfate is insoluble. This trend occurs because:,Lattice energy of Magnesium sulfate is higher than Barium sulfate,Hydration energy of Magnesium ion is much higher than Barium ion,Electronegativity of Barium is higher than Magnesium,Ionic radius of Magnesium is larger than Barium,B,"Magnesium sulfate has a high hydration energy that outweighs its lattice energy, unlike Barium sulfate which has a dominant lattice energy.",Solubility of Group II Sulfates,Hard,Chemistry,S and P Block Elements
"When heating Group 1 carbonates, Lithium carbonate decomposes into its oxide, but Sodium carbonate remains stable. This difference is due to:",Lithium ion has a higher charge density than Sodium ion,Sodium carbonate is more covalent than Lithium carbonate,Lithium ion is larger than the Sodium ion,Sodium carbonate decomposes at a lower temperature than Lithium carbonate,A,"Lithium has a high charge density which polarizes the carbonate ion, leading to decomposition; Sodium has a lower charge density.",Thermal Stability of Carbonates,Medium,Chemistry,S and P Block Elements
"In Group 14, Tin commonly forms stable +4 compounds, whereas Lead is more stable in the +2 oxidation state. What causes this contrast?",Lead is more electronegative than Tin,Tin has a larger atomic radius than Lead,The inert pair effect is more pronounced in Lead than in Tin,Tin +2 compounds are more powerful oxidizing agents than Lead +2,C,"Lead exhibits the inert pair effect more strongly than Tin, making the +2 state more stable for Lead.",Inert Pair Effect,Easy,Chemistry,S and P Block Elements
"Burning Lithium in excess oxygen yields Lithium oxide (Li2O). In contrast, burning Sodium in excess oxygen primarily produces which compound?",Na2O,NaO2,NaO,Na2O2,D,"Sodium forms a peroxide (Na2O2) with excess oxygen, whereas Lithium only forms a normal oxide (Li2O) due to size constraints.",Oxides of Alkali Metals,Medium,Chemistry,S and P Block Elements
"When manufacturing bleaching powder, the Hasenclever and Bachmann processes differ significantly in their mechanical design. Which statement correctly identifies the Hasenclever apparatus?",Bachmann process uses horizontal cylinders,Hasenclever process uses horizontal cylinders with rotating shafts,Hasenclever process is a vertical tower method,Bachmann process is only used for liquid chlorine,B,"The Hasenclever process utilizes a series of cylinders with rotating shafts, whereas the Bachmann process uses a vertical tower design.",Manufacture of Bleaching Powder,Medium,Chemistry,S and P Block Elements
"A chemist performs a Borax bead test in an oxidizing flame. If the metal ion present is Copper, what color is the bead?",Blue,Green,Yellow,Red,A,"Copper produces a blue bead in an oxidizing flame, whereas Chromium produces a green bead in the same conditions.",Borax Bead Test,Easy,Chemistry,S and P Block Elements
"Comparing the allotropes of Phosphorus, White phosphorus is much more reactive and poisonous than Red phosphorus because White phosphorus:",White phosphorus is a polymer and less reactive,Red phosphorus consists of discrete P4 molecules,White phosphorus consists of discrete P4 tetrahedral molecules,Red phosphorus is soluble in Carbon disulfide,C,"White phosphorus consists of discrete P4 molecules and is highly reactive, whereas Red phosphorus is a stable macromolecular polymer.",Allotropes of Phosphorus,Medium,Chemistry,S and P Block Elements
Lithium shows a diagonal relationship with Magnesium. Which chemical property is shared by both Lithium and Magnesium but not by Sodium?,Reaction with Carbon dioxide,Formation of acidic oxides,High solubility of their carbonates,Direct formation of nitrides upon heating in air,D,"Lithium and Magnesium both react directly with Nitrogen to form nitrides, a similarity not shared by other Group 1 elements.",Diagonal Relationship of Li and Mg,Easy,Chemistry,S and P Block Elements
Graphite conducts electricity while Diamond acts as an insulator. This contrast in electrical conductivity is primarily due to the fact that:,Diamond is sp2 hybridized,Graphite is sp2 hybridized with delocalized electrons,Graphite is sp3 hybridized,Diamond has delocalized pi electrons,B,"Graphite uses sp2 hybridization leaving one free electron for conduction, while Diamond uses sp3 with all electrons localized in bonds.",Allotropes of Carbon,Easy,Chemistry,S and P Block Elements
The boiling point of Ammonia (-33.4 C) is significantly higher than that of Phosphine (-87.7 C). This contrast is explained by:,"Nitrogen is more electronegative than Phosphorus, allowing hydrogen bonding",Phosphine has a higher molecular mass than Ammonia,Ammonia has a lower dipole moment than Phosphine,Phosphorus atoms are smaller than Nitrogen atoms,A,"Ammonia has a higher boiling point than Phosphine because Nitrogen is highly electronegative, allowing for strong intermolecular hydrogen bonding.",Hydrides of Group VA,Hard,Chemistry,S and P Block Elements
