Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
The teacher is giving the students a lot of homework. Identify the voice of the sentence.,Active Voice,Passive Voice,Both Active and Passive,Neither Active nor Passive,A,"The subject 'teacher' performs the action, so it's Active Voice. Passive Voice would be 'Students are being given...'.",Identifying Voice,Easy,English,Active and Passive Voice
The new employee was given a warm welcome by the team. The sentence is in which voice?,Active Voice,Passive Voice,Both Active and Passive,Neither Active nor Passive,B,"The subject 'employee' receives the action, so it's Passive Voice. Active Voice would be 'The team gave...'.",Identifying Voice,Easy,English,Active and Passive Voice
Change 'The manager wrote the report' to Passive Voice.,The report was written by the manager.,The report is written by the manager.,The report was being written by the manager.,The manager was writing the report.,A,'The report was written' correctly changes to Passive Voice. Option B incorrectly changes the tense.,Changing Active to Passive,Medium,English,Active and Passive Voice
The play was performed by the students with great enthusiasm. Identify the doer of the action.,The students,The play,The enthusiasm,The performance,A,"'The students' perform the action 'performed', making them the doer. 'The play' is the subject receiving the action.",Identifying the Doer,Medium,English,Active and Passive Voice
The city is being renovated. Which of the following is the Active Voice equivalent?,They are renovating the city.,The city renovates.,The city will be renovated.,Renovation is being done.,A,'They are renovating' is the Active Voice equivalent of 'The city is being renovated'.,Changing Passive to Active,Medium,English,Active and Passive Voice
The package will be delivered tomorrow. The verb form used here is an example of:,Simple Future Active,Simple Future Passive,Present Continuous Passive,Past Simple Passive,B,'Will be delivered' is in Simple Future Passive Voice. Active Voice would be 'will deliver'.,Verb Forms in Passive Voice,Medium,English,Active and Passive Voice
The researchers have been studying the effects of climate change. Change this to Passive Voice.,The effects of climate change have been being studied by the researchers.,The effects of climate change are being studied by the researchers.,The effects of climate change have been studied by the researchers.,Climate change effects are studied by researchers.,A,"'Have been being studied' correctly changes to Passive Voice, maintaining the continuous aspect.",Changing Active to Passive with Continuous Aspect,Hard,English,Active and Passive Voice
The new policy has been met with widespread criticism. The subject of the sentence is:,The new policy,Widespread criticism,Both are subjects,Neither is a subject,A,"'The new policy' is the subject receiving the action 'has been met', making it the subject.",Identifying the Subject in Passive Voice,Easy,English,Active and Passive Voice
The chef is cooking dinner. Change this sentence to Passive Voice.,Dinner is being cooked by the chef.,Dinner is cooked by the chef.,The chef is being cooked.,Dinner was cooked.,A,"'Is being cooked' correctly changes to Passive Voice, maintaining the present continuous tense.",Changing Active to Passive with Present Continuous,Medium,English,Active and Passive Voice
The company will hire new staff next month. Change to Passive Voice.,New staff will be hired by the company next month.,New staff are hired by the company.,The company will be hiring new staff.,New staff will hire the company.,A,"'Will be hired' correctly changes to Passive Voice, maintaining the future simple tense.",Changing Active to Passive with Future Simple,Medium,English,Active and Passive Voice
The tourists got lost in the city because the map had not been updated. The verb form 'had not been updated' is:,Past Perfect Active,Past Perfect Passive,Past Simple Passive,Present Perfect Passive,B,"'Had not been updated' is in Past Perfect Passive Voice, indicating an action completed before another past action.",Verb Forms in Passive Voice,Hard,English,Active and Passive Voice
The lecture was being delivered when the power went out. The voice of 'was being delivered' is:,Active Voice,Passive Voice,Both,Neither,B,"'Was being delivered' is in Passive Voice, as the subject 'lecture' receives the action.",Identifying Voice with Continuous Aspect,Easy,English,Active and Passive Voice
The manager is expected to make a statement today. The sentence is in:,Active Voice,Passive Voice,Both,Neither,B,"'Is expected' is in Passive Voice, as the subject 'manager' receives the action.",Identifying Voice with Infinitive,Medium,English,Active and Passive Voice
"The play, written by Shakespeare, is being performed tonight. The phrase 'written by Shakespeare' is an example of:",Active Voice,Passive Voice,Participle Phrase,Gerund Phrase,C,"'Written by Shakespeare' is a participle phrase, modifying 'play'. It's not a complete Passive Voice construction here.",Participle Phrases vs. Passive Voice,Hard,English,Active and Passive Voice
The flowers have been watered by the gardener. The tense of 'have been watered' is:,Present Simple,Present Perfect,Past Simple,Past Perfect,B,"'Have been watered' is in Present Perfect Passive Voice, indicating an action that started in the past and continues up to the present.",Tense Identification in Passive Voice,Medium,English,Active and Passive Voice
The package was delivered yesterday. Change this to Active Voice.,They delivered the package yesterday.,The package delivers yesterday.,The package is delivered.,The package will be delivered.,A,"'They delivered' is the Active Voice equivalent, maintaining the past simple tense.",Changing Passive to Active,Easy,English,Active and Passive Voice
The new employee was being trained by the HR department. The verb form 'was being trained' indicates:,Past Simple Active,Past Continuous Passive,Past Perfect Active,Past Perfect Passive,B,"'Was being trained' is in Past Continuous Passive Voice, showing an ongoing action in the past.",Verb Forms in Passive Voice,Medium,English,Active and Passive Voice
The teacher gave the students a lot of homework. Change to Passive Voice.,The students were given a lot of homework by the teacher.,A lot of homework was given to the students.,Both A and B,Neither A nor B,C,Both 'The students were given' and 'A lot of homework was given' are valid Passive Voice constructions.,Changing Active to Passive with Two Objects,Hard,English,Active and Passive Voice
The research paper is being reviewed by the committee. The subject of the sentence is:,The research paper,The committee,Both,Neither,A,"'The research paper' is the subject receiving the action 'is being reviewed', making it the subject.",Identifying the Subject in Passive Voice,Easy,English,Active and Passive Voice
The data will have been analyzed by the time the report is submitted. The verb form 'will have been analyzed' is in:,Future Perfect Active,Future Perfect Passive,Future Simple Passive,Present Perfect Passive,B,"'Will have been analyzed' is in Future Perfect Passive Voice, indicating an action that will be completed before a specific future time.",Verb Forms in Passive Voice,Hard,English,Active and Passive Voice
