Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"If vector a = 2i + 3j and vector b = i - 2j, then a + b = ?",3i + j,i + 5j,3i - j,i + j,A,"Vector addition is done component-wise, so (2+1)i + (3-2)j = 3i + j.",NET,Conceptual,Medium,Mathematics,Vectors
The magnitude of vector a = 3i + 4j is?,5,7,25,√25,A,"Magnitude of a vector a = √(x² + y²), so √(3² + 4²) = √(9 + 16) = √25 = 5.",NET,Conceptual,Medium,Mathematics,Vectors
"If |a| = 2 and |b| = 3, then |a + b| can be?",1,5,6,All of the above,D,"|a + b| depends on the angle between a and b, so it can range from |a| - |b| to |a| + |b|.",NET,Conceptual,Medium,Mathematics,Vectors
The dot product of orthogonal vectors is?,1,0,-1,None of these,B,"Orthogonal vectors have a 90-degree angle between them, so their dot product a · b = |a||b|cos(90) = 0.",NET,Conceptual,Medium,Mathematics,Vectors
"If a = 2i + j and b = i + 2j, then a · b = ?",4,5,2 + 2,None of these,A,a · b = (2)(1) + (1)(2) = 2 + 2 = 4.,NET,Conceptual,Medium,Mathematics,Vectors
The projection of vector a on b is given by?,(a · b)/|b|,(a · b)/|b|²,(a · b)/|b| * b,None of these,C,Projection of a on b is (a · b)/|b|² * b.,NET,Conceptual,Medium,Mathematics,Vectors
"If |a| = 3, |b| = 4, and a · b = 0, then |a x b| = ?",0,12,7,None of these,B,"|a x b| = |a||b|sin(θ), and since a · b = 0, θ = 90, so |a x b| = (3)(4) = 12.",NET,Conceptual,Medium,Mathematics,Vectors
The cross product of parallel vectors is?,1,0,-1,None of these,B,"For parallel vectors, θ = 0, so |a x b| = |a||b|sin(0) = 0.",NET,Conceptual,Medium,Mathematics,Vectors
"If a = i + j + k and b = 2i - j + k, then a x b = ?",2i + j - 3k,2i - j + 3k,-2i + j + 3k,2i - j -3k,A,"a x b is computed using determinant of a matrix with i, j, k in the first row.",NET,Conceptual,Medium,Mathematics,Vectors
The area of the parallelogram with adjacent sides a and b is?,|a x b|,|a · b|,|a| + |b|,None of these,A,Area of parallelogram is given by the magnitude of the cross product of its adjacent sides.,NET,Conceptual,Medium,Mathematics,Vectors
"If a, b, and c are coplanar, then?",a · (b x c) = 1,a · (b x c) = 0,a · (b x c) = -1,None of these,B,"For coplanar vectors, the scalar triple product a · (b x c) = 0.",NET,Conceptual,Medium,Mathematics,Vectors
"The volume of the parallelepiped with edges a, b, and c is?",|a · (b x c)|,|a x (b x c)|,|a + b + c|,None of these,A,Volume is given by the absolute value of the scalar triple product.,NET,Conceptual,Medium,Mathematics,Vectors
"If a = 2i + 3j - k, b = i - 2j + 3k, then a · (b x c) = 5, what is the value of [a b c]?",5,-5,10,None of these,A,"[a b c] = a · (b x c), so [a b c] = 5.",NET,Conceptual,Medium,Mathematics,Vectors
