Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
What is the primary structure of a protein?,Sequence of amino acids,Alpha helix,Beta sheet,Tertiary structure,A,"Primary structure is the sequence of amino acids in a protein, determined by peptide bonds between amino acids.",NET,Conceptual,Medium,Chemistry,Macromolecules
Which type of bond is responsible for the formation of a peptide bond?,Ionic bond,Covalent bond,Hydrogen bond,Van der Waals bond,B,Peptide bond is a covalent bond formed between the carboxyl group of one amino acid and the amino group of another.,NET,Conceptual,Medium,Chemistry,Macromolecules
What is the molecular formula for glucose?,C5H10O5,C6H12O6,C6H10O5,C5H12O6,B,"Glucose is a simple sugar with the molecular formula C6H12O6, indicating 6 carbon, 12 hydrogen, and 6 oxygen atoms.",NET,Conceptual,Medium,Chemistry,Macromolecules
"Which polysaccharide is composed of glucose units joined by α-1,4-glycosidic bonds?",Cellulose,Starch,Glycogen,Chitin,B,"Starch is a polysaccharide composed of glucose units joined by α-1,4-glycosidic bonds, serving as energy storage in plants.",NET,Conceptual,Medium,Chemistry,Macromolecules
What type of nucleic acid is responsible for carrying genetic information from DNA to the ribosome?,mRNA,tRNA,rRNA,snRNA,A,mRNA (messenger RNA) carries genetic information from DNA to the ribosome for protein synthesis.,NET,Conceptual,Medium,Chemistry,Macromolecules
Which of the following is a characteristic of a protein's tertiary structure?,Sequence of amino acids,Alpha helix,Folding of polypeptide chain,Beta sheet,C,"Tertiary structure refers to the overall 3D folding of a polypeptide chain, stabilized by various interactions.",NET,Conceptual,Medium,Chemistry,Macromolecules
What is the name of the process by which a protein loses its native structure?,Denaturation,Renaturation,Hydrolysis,Oxidation,A,Denaturation is the process by which a protein loses its native structure due to external factors like temperature or pH.,NET,Conceptual,Medium,Chemistry,Macromolecules
Which type of lipid is composed of a glycerol backbone and three fatty acid chains?,Phospholipid,Triglyceride,Cholesterol,Sphingolipid,B,"Triglyceride is a type of lipid composed of a glycerol backbone and three fatty acid chains, serving as energy storage.",NET,Conceptual,Medium,Chemistry,Macromolecules
What is the function of the enzyme helicase in DNA replication?,Unwinding double helix,Synthesizing new DNA strands,Repairing damaged DNA,Binding to DNA,A,Helicase is an enzyme that unwinds the double helix structure of DNA during replication.,NET,Conceptual,Medium,Chemistry,Macromolecules
Which of the following is an example of a fibrous protein?,Collagen,Hemoglobin,Myoglobin,Enzyme,A,Collagen is a fibrous protein that provides structural support in connective tissue.,NET,Conceptual,Medium,Chemistry,Macromolecules
What is the term for the process of combining multiple polypeptide chains to form a protein?,Dimerization,Polymerization,Aggregation,Quaternary structure formation,D,Quaternary structure formation refers to the assembly of multiple polypeptide chains to form a functional protein.,NET,Conceptual,Medium,Chemistry,Macromolecules
Which nucleic acid is responsible for transferring amino acids to the ribosome during protein synthesis?,mRNA,tRNA,rRNA,snRNA,B,tRNA (transfer RNA) carries amino acids to the ribosome and matches them to the corresponding codons on mRNA.,NET,Conceptual,Medium,Chemistry,Macromolecules
What is the name of the bond that links two monosaccharides together?,Glycosidic bond,Peptide bond,Hydrogen bond,Ionic bond,A,"Glycosidic bond is a covalent bond that links two monosaccharides together, forming a disaccharide.",NET,Conceptual,Medium,Chemistry,Macromolecules
Which type of protein structure is stabilized by hydrogen bonds between amino acids?,Primary structure,Secondary structure,Tertiary structure,Quaternary structure,B,"Secondary structure is stabilized by hydrogen bonds between amino acids, resulting in alpha helices and beta sheets.",NET,Conceptual,Medium,Chemistry,Macromolecules
What is the term for the study of the three-dimensional structure of molecules?,Stereochemistry,Structural biology,Molecular biology,Biochemistry,B,"Structural biology is the study of the three-dimensional structure of molecules, including proteins and nucleic acids.",NET,Conceptual,Medium,Chemistry,Macromolecules
Which of the following is a characteristic of a globular protein?,Fibrous structure,Soluble in water,Insoluble in water,Structural support,B,"Globular proteins are generally soluble in water and have a compact, spherical shape.",NET,Conceptual,Medium,Chemistry,Macromolecules
What is the name of the process by which a cell becomes specialized to perform a specific function?,Differentiation,Proliferation,Apoptosis,Mutation,A,Differentiation is the process by which a cell becomes specialized to perform a specific function.,NET,Conceptual,Medium,Chemistry,Macromolecules
Which type of RNA is a component of the ribosome?,mRNA,tRNA,rRNA,snRNA,C,"rRNA (ribosomal RNA) is a component of the ribosome, which is responsible for protein synthesis.",NET,Conceptual,Medium,Chemistry,Macromolecules
What is the term for the process of unwinding double-stranded DNA?,Replication,Transcription,Translation,Unwinding,D,"Unwinding is the process of separating double-stranded DNA into single strands, often during replication or transcription.",NET,Conceptual,Medium,Chemistry,Macromolecules
Which of the following is an example of a reducing sugar?,Sucrose,Glucose,Fructose,Starch,B,Glucose is a reducing sugar because it has a free aldehyde group that can reduce other molecules.,NET,Conceptual,Medium,Chemistry,Macromolecules
"What is the molecular weight of a polymer with 1000 monomer units, each having a molecular weight of 100 g/mol?",100000 g/mol,10000 g/mol,1000000 g/mol,50000 g/mol,A,Molecular weight = number of monomer units * molecular weight of each unit = 1000 * 100 = 100000 g/mol.,ECAT,Conceptual,Medium,Chemistry,Macromolecules
Which type of polymerization involves the formation of a new bond between two monomers with the loss of a small molecule?,Addition polymerization,Condensation polymerization,Free radical polymerization,Cationic polymerization,B,"Condensation polymerization involves the loss of a small molecule, such as H2O or HCl, during the formation of a new bond.",ECAT,Conceptual,Medium,Chemistry,Macromolecules
What is the degree of polymerization of a polymer with a molecular weight of 50000 g/mol and a monomer molecular weight of 50 g/mol?,100,1000,500,2000,B,Degree of polymerization = molecular weight of polymer / molecular weight of monomer = 50000 / 50 = 1000.,ECAT,Conceptual,Medium,Chemistry,Macromolecules
A polymer sample has a number-average molecular weight of 20000 g/mol and a weight-average molecular weight of 40000 g/mol. What is its polydispersity index?,1,2,0.5,4,B,Polydispersity index = weight-average molecular weight / number-average molecular weight = 40000 / 20000 = 2.,ECAT,Conceptual,Medium,Chemistry,Macromolecules
What type of copolymer is formed when two different monomers are arranged in a regular alternating pattern?,Random copolymer,Alternating copolymer,Block copolymer,Graft copolymer,B,Alternating copolymer has a regular arrangement of two different monomers.,ECAT,Conceptual,Medium,Chemistry,Macromolecules
"A sample of polyethene has a molecular weight of 28000 g/mol. If the molecular weight of the monomer is 28 g/mol, what is its degree of polymerization?",500,1000,750,2000,B,Degree of polymerization = molecular weight of polymer / molecular weight of monomer = 28000 / 28 = 1000.,ECAT,Conceptual,Medium,Chemistry,Macromolecules
Which of the following is an example of a biodegradable polymer?,Polyethene,Polypropene,Poly(lactic acid),Poly(vinyl chloride),C,Poly(lactic acid) is a biodegradable polymer derived from renewable resources.,ECAT,Conceptual,Medium,Chemistry,Macromolecules
What is the name of the process by which a polymer chain is broken down into smaller fragments?,Depolymerization,Polymerization,Cross-linking,Vulcanization,A,Depolymerization is the process of breaking down a polymer chain into smaller fragments.,ECAT,Conceptual,Medium,Chemistry,Macromolecules
Which type of polymerization is initiated by free radicals?,Cationic polymerization,Anionic polymerization,Free radical polymerization,Coordination polymerization,C,"Free radical polymerization is initiated by free radicals, which are highly reactive species.",ECAT,Conceptual,Medium,Chemistry,Macromolecules
