Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,Which of the following statements is not true?,"Holding down the Shift key while you draw an object creates perfect squares, circles and straight lines",The text in a text box can't be formatted,"The drawing toolbar contains tools for drawing shapes, lines, arrows, and more",Ctrl+S saves the document,B
2,A Kilobyte is equal to:,10000 bytes,1024 bytes,1 million bytes,10 million bytes,B
3,The term 'chart wizard data' in MS is refer to:,Vertical axis,Horizontal axis,Bar data,None of these,B
4,The minimum number of rows and columns in an MS Word document is?,1 by 1,2 by 1,2 by 2,1 by 2,A
5,Which one is an action tab in MS PowerPoint?,Home,End,Help,All of these,A
6,The __________ option is used to show a specific row or column on every printed page.,Print Titles,Page Layout,Print Preview,None of these,A
7,An error in software or hardware is called a bug. What is the alternative computer jargon for it?,Leech,Squid,Slug,Glitch,D
8,A number system that has eight different symbols to represent any quantity is known as:,Binary,Octal,Decimal,Hexadecimal,B
9,"In Microsoft Word, when the user is reading a document on the screen and wants to hide all other screen elements, we choose:",Print layout,Full screen reading view,Web layout view,None of these,B
10,The physical structure of a computer is called:,Software,Hardware,Humanware,All of these,B
11,Which of the following contains the control panel program in the start menu?,Programs,Help,Run,Setting,D
12,When was the MS Windows operating system introduced?,1975,1985,1990,2000,B
13,Which key is used to edit the selected cell in Excel?,F4,F2,F10,Edit,B
14,"When was the first email system developed, and who developed it?","1992, Tim Berners-Lee","1980, Vint Cerf","1971, Ray Tomlinson","1933, Charles Babbage",C
15,Ctrl + G Shortcut is used in Microsoft Word for:,Open Paragraph Dialog box activating Goto Tab,Open Page Setup Dialog box activating Goto Tab,Open Find and Replace Dialog box with activating Goto Tab,Open Goto Dialog box,C
16,Which of the following is a graphic file format extension?,GIF,JPEG,MPG,All of these,A
17,"Microsoft Windows uses a GUI environment. GUI (pronounced ""gooey"") stands for:",Geographical User Interchange,Graphical User Interface,Geometrical Upper Intelligence,Grammatical User Incorporation,B
18,The process of transferring data from a computer to the internet is called:,Surfing,Downloading,Uploading,None of these,C
19,"Fourth-generation mobile technology provides enhanced capabilities allowing the transfer of both voice and non-voice data, including full-motion video, high-speed internet access, and video conferencing.",Video data and information,Voice and non-voice,Music and video,Video and audio,B
20,The ribbon in Word 2007 consists of a series of:,Gates,Smaller ribbons,Tabs,Icons,C
21,Which option allows you to print multiple slides on a single page?,Handouts,Notes pages,Outlines,Slides,A
22,"To create an interactive Pivot Table for the web, you use a Microsoft Office Web component called:",Pivot Table Report,Pivot Table List,Pivot Table Field List,HTML,A
23,A wireless technology built in electronic gadgets used for exchanging data over short distances is?,Bluetooth,Wi-Fi,Modem,USB,A
24,Which of the following holds data and processing instructions temporarily until the CPU needs it?,ROM,Control Unit,Main memory,None of these,C
25,The default orientation of a printed page is:,Page Setup,Landscape,Print View,None of these,D
26,How many types of references are used in Excel:,3,4,5,6,A
27,How many different positions can you set for a drop cap in Ms Word?,1,2,3,4,B
28,Word stores all frames associated with a Web page in a single file called the frames page.,Authoring page,Text page,Frames page,Hyperlink page,C
29,The digital signals can be represented by:,0 and 1,Binary Codes,High and Low,All of Above,D
30,Who is considered the father of the C language?,Bjarne Stroustrup,James A. Gosling,Dennis Ritchie,Dr. E.F. Codd,C
31,Which of the following execute instructions?,Motherboard,Hard disk,CPU,None of these,C
32,The language that the computer can understand and execute is called ____.,Assembly,Machine Language,PHP,None of these,B
33,Which of the following is not an essential component to perform a mail merge operation?,Word fields,Main document,Data source,Merge fields,A
34,Cryptography is a technique where data is secure and immune from:,Changes,Defense,Risk,Attack,D
35,"The shortcut to quit Microsoft Word, PowerPoint, Access, Excel, etc. is:",Alt + F4,Ctrl + W,Shift + F4,Alt + W,A
36,Deleted items in files directly go to the ______?,Desktop,Recycle Bin,Taskbar,None of these,B
