Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
What is the energy of a photon emitted when an electron jumps from n = 3 to n = 2 in a hydrogen atom?,1.89 eV,2.55 eV,1.51 eV,3.4 eV,A,"Energy of photon = 13.6 (1/2² - 1/3²) = 13.6 (1/4 - 1/9) = 1.89 eV, using Bohr's model energy level formula.",NET,Conceptual,Medium,Physics,Physics of Solids
The ratio of the radius of the second orbit of He+ to that of the third orbit of Be3+ is, 3/8, 2/9, 1/3, 9/2,B,"Radius ∝ n²/Z; ratio = (2²/2)/(3²/4) = 2/9, applying the formula for radius of nth orbit in hydrogen-like atoms.",NET,Conceptual,Medium,Physics,Physics of Solids
"In a p-type semiconductor, the acceptor level lies",just below the valence band,just above the valence band,in the middle of the band gap,just above the conduction band,A,"In p-type, acceptor level is near valence band, allowing easy acceptance of electrons, thus creating holes, using the concept of doping in semiconductors.",NET,Conceptual,Medium,Physics,Physics of Solids
The effective mass of an electron in a crystal is,always positive,always negative,sometimes negative,zero,C,"Effective mass can be negative near the top of the band due to the curvature of E-k diagram, a concept from solid-state physics.",NET,Conceptual,Medium,Physics,Physics of Solids
The Hall coefficient is given by,1/ne,ne,-1/ne,1/n²e,A,"Hall coefficient = 1/ne, derived from the Hall effect equation, relating carrier concentration and Hall voltage.",NET,Conceptual,Medium,Physics,Physics of Solids
The Fermi level in an intrinsic semiconductor lies,at the bottom of the conduction band,at the top of the valence band,in the middle of the band gap,within the valence band,C,"In intrinsic semiconductors, the Fermi level is at the center of the band gap due to equal probability of electron and hole creation.",NET,Conceptual,Medium,Physics,Physics of Solids
The density of states in a 3D solid is proportional to,E,√E,E²,1/√E,B,"Density of states ∝ √E, derived from the 3D density of states formula, g(E) = (√2 m³/2 π² ħ³) √E.",NET,Conceptual,Medium,Physics,Physics of Solids
A crystal has a lattice parameter of 4 Å. The d-spacing between (1 1 1) planes is,2.31 Å,4.0 Å,2.0 Å,1.15 Å,A,"d = a / √(h² + k² + l²) = 4 / √3 = 2.31 Å, using the formula for interplanar spacing in a cubic lattice.",NET,Conceptual,Medium,Physics,Physics of Solids
The Wiedemann-Franz law relates,thermal conductivity and electrical conductivity,thermal conductivity and Seebeck coefficient,electrical conductivity and Seebeck coefficient,none of the above,A,"Wiedemann-Franz law states that K/σ = LT, relating thermal and electrical conductivity, a fundamental concept in solid-state physics.",NET,Conceptual,Medium,Physics,Physics of Solids
The reciprocal lattice vector is,perpendicular to the lattice plane,parallel to the lattice plane,perpendicular to the real lattice vector,parallel to the real lattice vector,A,"Reciprocal lattice vector is normal to the lattice plane, a property derived from the definition of reciprocal lattice.",NET,Conceptual,Medium,Physics,Physics of Solids
"In a ferromagnetic material, the Curie temperature is",the temperature below which it is ferromagnetic,the temperature above which it is ferromagnetic,the temperature at which it becomes paramagnetic,both A and C,D,Curie temperature is the threshold below which a material is ferromagnetic and above which it becomes paramagnetic.,NET,Conceptual,Medium,Physics,Physics of Solids
The London penetration depth is related to,superconductivity,semiconductivity,ferromagnetism,paramagnetism,A,"London penetration depth is a measure of the depth to which a magnetic field penetrates a superconductor, related to Meissner effect.",NET,Conceptual,Medium,Physics,Physics of Solids
The energy gap in a semiconductor is 1 eV. The wavelength of the emitted radiation when an electron recombines with a hole is,1240 nm,620 nm,2480 nm,310 nm,A,"λ = hc/E = (6.626 × 10^-34 × 3 × 10^8) / (1.6 × 10^-19 × 1) = 1240 nm, using the formula for energy of a photon.",NET,Conceptual,Medium,Physics,Physics of Solids
"The Miller indices of a plane are (1 1 0). The intercepts on the x, y, and z axes are","1, 1, ∞","1, 1, 0","1, -1, ∞","1, 1, 1",A,"Miller indices (1 1 0) imply intercepts 1, 1, ∞ on x, y, z axes respectively, using the definition of Miller indices.",NET,Conceptual,Medium,Physics,Physics of Solids
The type of bonding in NaCl crystal is,ionic,covalent,metallic,van der Waals,A,"NaCl is an example of ionic bonding, where electrons are transferred between atoms, resulting in electrostatic attraction.",NET,Conceptual,Medium,Physics,Physics of Solids
The electrical conductivity of a metal decreases with increasing temperature because,the number of electrons increases,the number of electrons decreases,the electron-phonon interaction increases,the electron-phonon interaction decreases,C,"Increased temperature enhances electron-phonon interaction, reducing conductivity, a concept from the study of electrical conductivity in metals.",NET,Conceptual,Medium,Physics,Physics of Solids
The phenomenon of superconductivity was discovered by,Heike Kamerlingh Onnes,Pierre Curie,Marie Curie,Albert Einstein,A,"Heike Kamerlingh Onnes discovered superconductivity in 1911, observing zero resistance in mercury at very low temperatures.",NET,Conceptual,Medium,Physics,Physics of Solids
The Debye temperature is a measure of,the maximum frequency of vibration,the minimum frequency of vibration,the average frequency of vibration,none of the above,A,"Debye temperature is related to the maximum frequency of lattice vibrations, a concept from the Debye model of specific heat.",NET,Conceptual,Medium,Physics,Physics of Solids
The Meissner effect is a characteristic of,superconductors,semiconductors,ferromagnets,paramagnets,A,"Meissner effect, the expulsion of magnetic fields from a superconductor, is a defining property of superconducting materials.",NET,Conceptual,Medium,Physics,Physics of Solids
The BCS theory explains,superconductivity,superfluidity,ferromagnetism,paramagnetism,A,"BCS theory, proposed by Bardeen, Cooper, and Schrieffer, explains the phenomenon of superconductivity through Cooper pairs.",NET,Conceptual,Medium,Physics,Physics of Solids
A copper wire of length 2 m and area of cross-section 1.7 × 10⁻⁶ m² has a resistance of 2 × 10⁻² Ω. Find resistivity.,1.7 × 10⁻⁸ Ωm,4.2 × 10⁻⁸ Ωm,2.7 × 10⁻⁸ Ωm,1.2 × 10⁻⁸ Ωm,A,"Use ρ = RA / L, where ρ is resistivity, R is resistance, A is area, and L is length. ρ = (2 × 10⁻² × 1.7 × 10⁻⁶) / 2 = 1.7 × 10⁻⁸ Ωm.",ECAT,Conceptual,Medium,Physics,Physics of Solids
The density of a substance is 8.9 g/cm³. Its relative density is,8.9,89,0.89,890,A,Relative density = density of substance / density of water = 8.9 / 1 = 8.9.,ECAT,Conceptual,Medium,Physics,Physics of Solids
A wire of resistance 4 Ω is stretched to twice its original length. The resistance of the stretched wire would be,8 Ω,16 Ω,4 Ω,2 Ω,B,"New resistance R' = n²R, where n is the factor by which length is increased. Here, n = 2, so R' = 2² × 4 = 16 Ω.",ECAT,Conceptual,Medium,Physics,Physics of Solids
The energy band gap is maximum in,metals,superconductors,insulators,semiconductors,C,"Insulators have the largest energy band gap, typically > 3 eV, making it difficult for electrons to jump to the conduction band.",ECAT,Conceptual,Medium,Physics,Physics of Solids
The reciprocal of resistivity is called,conductivity,resistivity,conductance,susceptibility,A,"Conductivity (σ) is the reciprocal of resistivity (ρ), given by σ = 1 / ρ.",ECAT,Conceptual,Medium,Physics,Physics of Solids
"The temperature coefficient of resistance of a wire is 0.00125 / K. At 300 K, its resistance is 1 Ω. The resistance of the wire will be 2 Ω at",1154 K,1100 K,1400 K,1127 K,A,"Use R = R₀(1 + α(T - T₀)), where R₀ = 1 Ω, α = 0.00125 / K, T₀ = 300 K, and R = 2 Ω. Solve for T.",ECAT,Conceptual,Medium,Physics,Physics of Solids
The electron concentration in an n-type semiconductor is the same as the hole concentration in a p-type semiconductor. An external field is applied across each of them. Compare the currents in them.,n-type > p-type,"no current will flow in p-type, current will flow in n-type",p-type > n-type,n-type = p-type,A,"In n-type, current is due to electrons, while in p-type, it's due to holes. Mobility of electrons > mobility of holes, so current in n-type > p-type.",ECAT,Conceptual,Medium,Physics,Physics of Solids
A wire has a resistance of 10 Ω. It is bent in the form of a circle. The effective resistance between the two points on any diameter is,10 Ω,5 Ω,2.5 Ω,20 Ω,C,"The wire is divided into two equal parts, each with resistance 5 Ω. These two are in parallel, so effective resistance = 5 / 2 = 2.5 Ω.",ECAT,Conceptual,Medium,Physics,Physics of Solids
The forbidden energy gap in Ge is,0.7 eV,0.3 eV,1.1 eV,6.7 eV,A,The energy band gap in Ge is approximately 0.7 eV.,ECAT,Conceptual,Medium,Physics,Physics of Solids
The resistance of a conductor is 5 Ω at 50°C and 6 Ω at 100°C. Its temperature coefficient of resistance is,0.01 / °C,0.001 / °C,0.02 / °C,0.005 / °C,A,"Use R = R₀(1 + α(T - T₀)) to find α. Here, R₁ = 5 Ω at T₁ = 50°C, R₂ = 6 Ω at T₂ = 100°C.",ECAT,Conceptual,Medium,Physics,Physics of Solids
The drift velocity of electrons in a conductor is,directly proportional to the electric field,inversely proportional to the electric field,directly proportional to the square of the electric field,inversely proportional to the square of the electric field,A,"Drift velocity vₑ = μE, where μ is mobility and E is electric field, so vₑ ∝ E.",ECAT,Conceptual,Medium,Physics,Physics of Solids
The mobility of charge carriers in a conductor is,directly proportional to the relaxation time,inversely proportional to the relaxation time,directly proportional to the square of the relaxation time,inversely proportional to the square of the relaxation time,A,"Mobility μ = eτ / m, where τ is relaxation time, so μ ∝ τ.",ECAT,Conceptual,Medium,Physics,Physics of Solids
The resistance of a wire is R. It is bent into a circle and then opened to form a straight wire. The new resistance will be,R,R / 2,R / 4,4R,A,The resistance doesn't change when the wire is bent or straightened.,ECAT,Conceptual,Medium,Physics,Physics of Solids
The conductivity of a semiconductor increases with increase in temperature because,the number density of free current carriers increases,the relaxation time increases,both number density and relaxation time increase,the number density of current carriers increases but relaxation time decreases,A,"As temperature increases, more electrons jump to the conduction band, increasing the number density of free current carriers.",ECAT,Conceptual,Medium,Physics,Physics of Solids
"In a semiconductor, the concentration of conduction electrons is 8 × 10¹³ / cm³ and that of holes is 5 × 10¹² / cm³. The semiconductor is",p-type,n-type,intrinsic,insulator,B,"Since the concentration of electrons > holes, it's an n-type semiconductor.",ECAT,Conceptual,Medium,Physics,Physics of Solids
"The current in a wire varies with time according to the equation I = 4 + 2t, where I is in ampere and t is in second. The quantity of charge that has to be passed in the time interval t = 2 s to t = 6 s is",40 C,48 C,38 C,50 C,B,Q = ∫I dt from 2 to 6 = ∫(4 + 2t) dt = [4t + t²] from 2 to 6 = (24 + 36) - (8 + 4) = 48 C.,ECAT,Conceptual,Medium,Physics,Physics of Solids
"A potential difference of 220 V is maintained across a 12000 Ω rheostat. Then the potential difference across 4000 Ω resistance, connected in parallel, is",55 V,110 V,220 V,zero,C,"The potential difference across the parallel combination remains the same as the applied voltage, 220 V.",ECAT,Conceptual,Medium,Physics,Physics of Solids
