Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
What is the general formula for saturated monocarboxylic acids?,CnH2nO2,CnH2n+1COOH,CnH2n-1COOH,CnH2n+2O2,A,"The general formula for saturated monocarboxylic acids is CnH2nO2, not CnH2n+1COOH which represents a specific form.",Nomenclature and General Formula,Easy,Chemistry,Carboxylic Acids
Which functional group is present in carboxylic acids?,-COOH,-CHO,-COOR,-CONH2,A,"Carboxylic acids contain the -COOH functional group, distinguishing them from aldehydes (-CHO) and esters (-COOR).",Functional Group Identification,Easy,Chemistry,Carboxylic Acids
The acidity of carboxylic acids is due to the,release of H+ ion from -COOH group,presence of alkyl group,presence of -OH group,release of H- ion,A,"Carboxylic acids are acidic due to the release of H+ from the -COOH group, a characteristic not shared by alcohols (-OH group).",Acidity of Carboxylic Acids,Easy,Chemistry,Carboxylic Acids
Formic acid is prepared by the oxidation of,formaldehyde,methanol,ethanol,acetaldehyde,B,"Formic acid is prepared by the oxidation of formaldehyde or methanol, not ethanol which gives acetic acid upon oxidation.",Preparation Methods,Medium,Chemistry,Carboxylic Acids
The IUPAC name for the compound (CH3)2CHCOOH is,2-methylpropanoic acid,2-methylbutanoic acid,3-methylbutanoic acid,"2,2-dimethylpropanoic acid",A,"The compound (CH3)2CHCOOH is named as 2-methylpropanoic acid according to IUPAC rules, not 2-methylbutanoic acid.",IUPAC Nomenclature,Medium,Chemistry,Carboxylic Acids
Carboxylic acids have higher boiling points than alcohols due to,their ability to form hydrogen bonds,their higher molecular weight,their dimeric structure through hydrogen bonding,their lower molecular weight,C,"Carboxylic acids have higher boiling points due to their dimeric structure formed through hydrogen bonding, more stable than in alcohols.",Physical Properties,Medium,Chemistry,Carboxylic Acids
The reaction of carboxylic acids with alcohols to form esters is known as,esterification,saponification,hydrolysis,neutralization,A,"The reaction between carboxylic acids and alcohols to form esters is called esterification, not to be confused with saponification which involves esters and alkalis.",Chemical Reactions,Easy,Chemistry,Carboxylic Acids
The reduction of carboxylic acids with LiAlH4 yields,alcohols,aldehydes,alkanes,ketones,A,"LiAlH4 reduces carboxylic acids to primary alcohols, a reaction useful in organic synthesis.",Reduction Reactions,Medium,Chemistry,Carboxylic Acids
Benzoic acid is prepared by the oxidation of,toluene,ethylbenzene,isopropylbenzene,benzene,B,Benzoic acid is commonly prepared by the oxidation of toluene or other alkylbenzenes like ethylbenzene.,Preparation of Aromatic Carboxylic Acids,Medium,Chemistry,Carboxylic Acids
The -COOH group is meta-directing in electrophilic aromatic substitution because,it donates electrons to the ring,it withdraws electrons from the ring,it is a strong activator,it is a weak activator,B,"The -COOH group is meta-directing due to its electron-withdrawing nature, which deactivates the ring towards electrophilic substitution.",Electrophilic Aromatic Substitution,Hard,Chemistry,Carboxylic Acids
Which of the following carboxylic acids is the strongest acid?,CH3COOH,ClCH2COOH,Cl2CHCOOH,Cl3CCOOH,D,Trichloroacetic acid (Cl3CCOOH) is the strongest acid due to the strong electron-withdrawing effect of three Cl atoms.,Relative Acid Strength,Medium,Chemistry,Carboxylic Acids
The reaction of a carboxylic acid with thionyl chloride (SOCl2) produces,an ester,an acid chloride,an anhydride,an amide,B,"SOCl2 reacts with carboxylic acids to form acid chlorides, useful intermediates in organic synthesis.",Conversion to Acid Chlorides,Medium,Chemistry,Carboxylic Acids
The decarboxylation of a carboxylic acid is facilitated by the presence of,a beta-keto group,an alpha-hydrogen,a gamma-hydrogen,an alkyl group,A,Beta-keto acids readily undergo decarboxylation due to the stabilizing effect of the keto group on the intermediate.,Decarboxylation Reactions,Hard,Chemistry,Carboxylic Acids
The Hell-Volhard-Zelinsky reaction involves the,bromination of carboxylic acids,chlorination of carboxylic acids,iodination of carboxylic acids,fluorination of carboxylic acids,A,The Hell-Volhard-Zelinsky reaction is a method for alpha-bromination of carboxylic acids.,Alpha-Halogenation,Medium,Chemistry,Carboxylic Acids
Which of the following reactions is characteristic of carboxylic acids?,Esterification,Neutralization with NaOH,Reaction with SOCl2,Decarboxylation,D,"All listed reactions (neutralization, reduction, and others like esterification, reaction with SOCl2) are characteristic of carboxylic acids.",Characteristic Reactions,Hard,Chemistry,Carboxylic Acids
"When carboxylic acids are heated with soda lime, they undergo",decarboxylation,dehydration,reduction,oxidation,A,"Heating carboxylic acids with soda lime (NaOH + CaO) results in decarboxylation, producing alkanes.",Decarboxylation with Soda Lime,Medium,Chemistry,Carboxylic Acids
Malonic acid on heating gives,acetic acid,formic acid,succinic acid,carbon dioxide and acetic acid,D,"Malonic acid undergoes decarboxylation upon heating, producing CO2 and acetic acid.",Decarboxylation of Malonic Acid,Medium,Chemistry,Carboxylic Acids
The functional group in carboxylic acids that is responsible for their acidity is,-OH,-COOH,>C=O,-COO-,B,"The -COOH group is responsible for the acidity of carboxylic acids, not just the -OH or >C=O parts alone.",Source of Acidity,Easy,Chemistry,Carboxylic Acids
A 0.1 M solution of acetic acid (CH3COOH) has a Ka of 1.8 × 10^-5. What is the pH of this solution?,2.87,3.50,4.14,5.30,A,pH = ½(pKa - log C). Option B fails due to incorrect exponent handling.,pH Calculation of Weak Acids,Medium,Chemistry,Carboxylic Acids
"How many grams of benzoic acid (C6H5COOH, M=122 g/mol) are needed to neutralize 25 mL of 0.2 M NaOH?",1.22 g,0.61 g,2.44 g,3.05 g,B,Molar ratio 1:1. Option A ignores volume conversion to liters.,Acid-Base Neutralization,Medium,Chemistry,Carboxylic Acids
A 0.01 M solution of propanoic acid (Ka = 1.3 × 10^-5) is diluted to 0.001 M. By how much does pH increase?,0.30,0.50,1.00,2.00,A,"pH increases by ½ log(10) = 0.5, but actual ≈ 0.3 due to approximation errors.",Dilution Effects on pH,Hard,Chemistry,Carboxylic Acids
What volume of 0.5 M HCl is required to neutralize 50 mL of 0.2 M NaOH?,10 mL,20 mL,25 mL,50 mL,B,M1V1 = M2V2. Option C miscalculates ratio as 0.5:0.2.,Neutralization Titration,Easy,Chemistry,Carboxylic Acids
Calculate the % yield when 12 g of ethanoic acid (60 g/mol) produces 10 g of ethyl ethanoate (88 g/mol).,75%,83%,90%,67%,B,Theoretical yield = 17.6 g. Option A uses mass ratio instead of moles.,Reaction Yield Calculation,Medium,Chemistry,Carboxylic Acids
A 0.5 M solution of CH3COOH (Ka=1.8×10^-5) is mixed with 0.1 M NaCH3COO. What is the pH (use Henderson-Hasselbalch)?,4.74,5.05,4.44,4.13,C,pH = pKa + log(0.1/0.5). Option B reverses conjugate acid/base ratio.,Buffer pH Calculation,Hard,Chemistry,Carboxylic Acids
What is the molarity of a 25 mL HCOOH solution (Ka=1.8×10^-4) if 20 mL of 0.1 M NaOH neutralizes it?,0.08 M,0.12 M,0.16 M,0.20 M,A,M1V1=M2V2. Option C assumes 1:2 molar ratio.,Titration Molarity,Medium,Chemistry,Carboxylic Acids
"If 50 mL of 0.2 M CH3COOH is diluted to 100 mL, what is the new concentration?",0.1 M,0.2 M,0.05 M,0.15 M,A,C1V1=C2V2. Option C divides 0.2 by 3 instead of 2.,Dilution Solutions,Easy,Chemistry,Carboxylic Acids
What mass of salicylic acid (138 g/mol) is needed to synthesize 5.0 g of aspirin (180 g/mol) with 60% yield?,6.9 g,5.8 g,7.6 g,8.3 g,A,Theoretical yield = 5/0.6 = 8.33 g. Option B uses incorrect molar ratio.,Limiting Reagent Calculation,Hard,Chemistry,Carboxylic Acids
A 0.02 M solution of HCOOH (Ka=1.8×10^-4) has pH approximately:,2.72,3.14,2.53,3.30,A,pH ≈ ½(pKa - log C). Option C ignores square root approximation.,Weak Acid pH Estimation,Medium,Chemistry,Carboxylic Acids
How many moles of NaOH are required to neutralize 100 mL of 0.5 M CH3COOH?,0.05 mol,0.10 mol,0.30 mol,0.25 mol,A,Moles = M × V. Option B calculates 0.5×0.1×2 erroneously.,Neutralization Stoichiometry,Easy,Chemistry,Carboxylic Acids
"If 15 mL of 0.1 M CH3COOH is titrated with 0.1 M NaOH, pH at equivalence point is:",8.72,7.00,5.28,9.01,A,Salt of weak acid hydrolysis. Option D assumes strong base titration.,Equivalence Point pH,Hard,Chemistry,Carboxylic Acids
What is the molarity of a 20 mL H2SO4 solution neutralizing 40 mL of 0.1 M NaOH?,0.1 M,0.2 M,0.4 M,0.05 M,A,M1V1 = 2×M2V2. Option B assumes 1:1 ratio instead of 1:2.,Polyprotic Acid Titration,Medium,Chemistry,Carboxylic Acids
A 0.15 M solution of HCOOH (Ka=1.8×10^-4) has [H+] concentration of:,5.2×10^-3 M,2.6×10^-3 M,1.8×10^-3 M,3.4×10^-3 M,A,[H+] = √(Ka × C). Option B divides result by 2 erroneously.,Hydrogen Ion Concentration,Medium,Chemistry,Carboxylic Acids
What volume of 0.2 M NaOH is needed to neutralize 30 mL of 0.1 M HCOOH?,10 mL,15 mL,20 mL,30 mL,B,M1V1 = M2V2. Option C calculates 0.2/0.1 = 2× volume.,Neutralization Volume,Easy,Chemistry,Carboxylic Acids
A 10 mL solution of 0.5 M CH3COOH is diluted to 50 mL. What is the new Ka value?,1.8×10^-5,3.6×10^-5,9.0×10^-6,4.5×10^-6,A,Ka is constant for given temperature. Option B assumes dilution alters Ka.,Acid Dissociation Constant,Hard,Chemistry,Carboxylic Acids
What mass of sodium acetate (82 g/mol) is needed to prepare 500 mL of 0.1 M solution?,8.2 g,4.1 g,2.05 g,10.25 g,B,Mass = M × V × Molar mass. Option A forgets 0.5 L multiplier.,Solution Preparation,Medium,Chemistry,Carboxylic Acids
"If 25 mL of 0.2 M propanoic acid is titrated with 0.1 M NaOH, what volume is needed to reach equivalence?",50 mL,75 mL,25 mL,100 mL,A,M1V1 = M2V2. Option C ignores 2× concentration difference.,Equivalence Point Volume,Easy,Chemistry,Carboxylic Acids
A solution contains 0.1 M CH3COOH and 0.1 M CH3COO-Na+. What is the pH (Ka=1.8×10^-5)?,4.74,5.14,4.35,5.53,A,pH = pKa for equimolar buffer. Option B adds log(2) erroneously.,Buffer Solution pH,Medium,Chemistry,Carboxylic Acids
What is the pH of 0.001 M HCl solution after dilution to 1 L?,4.0,3.0,2.0,5.0,A,pH = -log[H+]. Option B assumes 10^-3 concentration.,Strong Acid Dilution,Easy,Chemistry,Carboxylic Acids
A 16-year-old athlete feels muscle fatigue during a sprint. Which process is responsible for the rapid ATP production in this situation?,Lactic acid fermentation,Glycolysis without oxygen,Krebs cycle without oxygen,Mitochondrial oxidative phosphorylation,B,Glycolysis without oxygen occurs in muscles during intense exercise to rapidly produce ATP.,Carboxylic Acids and Metabolism,Medium,Chemistry,Carboxylic Acids
A 20 mg sample of ethanoic acid (CH3COOH) is neutralized by 25 mg NaOH. What is the equivalent mass of NaOH required for complete neutralization?,14.5 mg,20 mg,25.6 mg,31.5 mg,C,"NaOH reacts with ethanoic acid in a 1:1 ratio, so 25.6 mg of NaOH is required.",Carboxylic Acid Chemistry,Hard,Chemistry,Carboxylic Acids
"During the synthesis of butanoic acid from butanal, what is the role of the oxygen atom in the reaction?",Acts as a catalyst,Oxidizes the aldehyde to carboxylic acid,Forms a carboxylic acid anhydride,Releases water as a byproduct,B,"The oxygen atom from the oxidizing agent (e.g., potassium dichromate) oxidizes the aldehyde to the carboxylic acid.",Carboxylic Acid Synthesis,Medium,Chemistry,Carboxylic Acids
A 20 mL solution of ethanoic acid (CH3COOH) has a pH of 2. Calculate the molarity of the solution.,0.01 M,0.1 M,0.5 M,1 M,B,"The pH of a solution is related to the concentration of H+ ions, so a pH of 2 corresponds to a concentration of 0.1 M H+.",Carboxylic Acid Chemistry,Medium,Chemistry,Carboxylic Acids
