Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"A sequence of numbers is given as 2, 5, 8, 11, 14. What is the next number?",15,17,18,20,B,The sequence is formed by adding 3 to the previous term. 14 + 3 = 17.,Number Sequences,Easy,Logical_Reasoning,Logical Problems
"Identify the pattern in the given series: A, C, E, G, I. What comes next?",J,K,L,M,B,The pattern is formed by consecutive odd letters. The next odd letter after I is K.,Letter Sequences,Easy,Logical_Reasoning,Logical Problems
"A series is given as 1, 2, 4, 8, 16. Determine the next number.",32,36,48,64,A,The series is a powers-of-2 sequence. 2^5 = 32.,Number Sequences,Medium,Logical_Reasoning,Logical Problems
"The sequence of numbers is 3, 6, 12, 24, 48. What comes next?",72,80,96,100,C,The pattern is obtained by doubling the previous term. 48 * 2 = 96.,Number Sequences,Easy,Logical_Reasoning,Logical Problems
"In a certain code, the sequence is given as $,#,@,!,*. What comes next if the pattern continues?",&,^,%,+,C,"The pattern appears to be a sequence of special characters, and the next character is likely to be '%'.",Symbol Sequences,Medium,Logical_Reasoning,Logical Problems
"The numbers are arranged as 4, 9, 16, 25, 36. Identify the next number.",49,45,50,64,A,The sequence consists of perfect squares. The next square after 6^2 = 36 is 7^2 = 49.,Number Sequences,Medium,Logical_Reasoning,Logical Problems
A sequence is defined by the formula 2n + 1. What is the fifth term?,9,10,11,12,C,"For n = 5, 2n + 1 = 2*5 + 1 = 11.",Number Sequences,Medium,Logical_Reasoning,Logical Problems
"The given series is 5, 10, 15, 20, 25. What is the next term?",30,35,40,45,A,The pattern is formed by adding 5 to the previous term. 25 + 5 = 30.,Number Sequences,Easy,Logical_Reasoning,Logical Problems
"In the sequence 1, 4, 9, 16, 25, the next number is?",36,35,38,40,A,The sequence consists of perfect squares. The next square after 5^2 = 25 is 6^2 = 36.,Number Sequences,Easy,Logical_Reasoning,Logical Problems
"The series is given as 2, 6, 12, 20, 30. Determine the next number.",36,42,48,50,B,"The differences between successive terms are 4, 6, 8, 10, and the next difference should be 12. 30 + 12 = 42.",Number Sequences,Hard,Logical_Reasoning,Logical Problems
"A particular sequence is 1, 3, 6, 10, 15. What comes next?",20,21,22,25,B,"The pattern is formed by adding 2, 3, 4, 5, and so on. The next difference is 6, so 15 + 6 = 21.",Number Sequences,Medium,Logical_Reasoning,Logical Problems
