Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The value of sin^-1 (sin 3π/4) is,3π/4,π/4,π/2,π,B,"Using sin^-1 (sin x) = x for x in [-π/2, π/2], sin^-1 (sin 3π/4) = sin^-1 (sin (π - π/4)) = π/4",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
The principal value of cos^-1 (-1/2) is,2π/3,π/3,π/6,5π/6,A,"cos^-1 (-1/2) = π - cos^-1 (1/2) = π - π/3 = 2π/3, using cos^-1 (-x) = π - cos^-1 x",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
"If tan^-1 x + tan^-1 y = π/4, then x + y + xy is",0,1,2,3,B,"Using tan^-1 x + tan^-1 y = tan^-1 ((x + y)/(1 - xy)), we get (x + y)/(1 - xy) = 1, so x + y + xy = 1",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
The value of sin (2 sin^-1 3/5) is, 24/25, 12/25, 7/25, 1/25,A,"Using sin (2x) = 2 sin x cos x and sin^-1 x = θ => sin θ = x, cos θ = √(1 - x²), we get 2 * (3/5) * √(1 - (3/5)²) = 24/25",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
The domain of sin^-1 (2x) is,"[-1, 1]","[-1/2, 1/2]","[-2, 2]","(-∞, ∞)",B,"-1 <= 2x <= 1 => -1/2 <= x <= 1/2, as the domain of sin^-1 x is [-1, 1]",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
The value of tan (cos^-1 1/√2) is,1,-1,0,√3,A,"cos^-1 (1/√2) = π/4, and tan (π/4) = 1",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
The value of sin^-1 (cos 2π/3) is,π/6,-π/6,π/2,5π/6,B,"cos (2π/3) = -1/2, and sin^-1 (-1/2) = -π/6, as sin^-1 x is negative for x < 0",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
"If sin^-1 x + sin^-1 y = π/2, then x² + y² is",0,1,2,3,B,"Using sin^-1 x + sin^-1 y = sin^-1 (x√(1-y²) + y√(1-x²)) = π/2, we get x√(1-y²) + y√(1-x²) = 1, simplifying to x² + y² = 1",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
The value of cos (tan^-1 3/4) is, 4/5, 3/5, 3/4, 1/5,A,"Let tan^-1 (3/4) = θ, then tan θ = 3/4, and cos θ = 4/√(3² + 4²) = 4/5",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
The range of cos^-1 x is,"[0, π]","[-π/2, π/2]","[0, π/2]","(-∞, ∞)",A,"The range of cos^-1 x is [0, π] by definition",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
The value of tan^-1 (1/√3) is,π/6,π/3,π/4,π/2,A,"tan (π/6) = 1/√3, so tan^-1 (1/√3) = π/6",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
"If cos^-1 x + cos^-1 y = π, then x + y is",0,1,-1,2,D,"Using cos^-1 x + cos^-1 y = cos^-1 (xy - √(1-x²)(1-y²)) = π, we get xy - √(1-x²)(1-y²) = -1, so x + y = 2 when simplified with xy = 1 and x = y = 1",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
The value of sin (sin^-1 1/2 + cos^-1 1/2) is,1,-1,0, 1/2,A,"sin^-1 (1/2) = π/6, cos^-1 (1/2) = π/3, and sin (π/6 + π/3) = sin (π/2) = 1",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
The principal value of tan^-1 (-√3) is,-π/3,2π/3,π/3,5π/6,A,"tan^-1 (-x) = -tan^-1 x, and tan^-1 (√3) = π/3, so tan^-1 (-√3) = -π/3",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
The value of cos^-1 (cos 7π/6) is,7π/6,5π/6,π/6,π,B,"Using cos^-1 (cos x) = x for x in [0, π], cos^-1 (cos 7π/6) = cos^-1 (cos (2π - 5π/6)) = 5π/6, as 7π/6 is not in [0, π]",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
"If sin^-1 x = π/3, then cos^-1 x is",π/6,π/3,2π/3,π,A,"sin^-1 x + cos^-1 x = π/2, so cos^-1 x = π/2 - sin^-1 x = π/2 - π/3 = π/6",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
The value of tan^-1 (tan 5π/4) is,π/4,-π/4,5π/4,3π/4,A,"tan (5π/4) = tan (π + π/4) = tan (π/4), and tan^-1 (tan (π/4)) = π/4",NET,Conceptual,Medium,Mathematics,Inverse Trigonometric Functions
