Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
∫(2x + 1) / (x² + x + 1) dx,ln|x² + x + 1| + C,ln|x + 1| + C,(1/2)ln|x² + x + 1| + C,(1/2)ln|x + 1| + C,A,"Using substitution u = x² + x + 1, du/dx = 2x + 1, hence ∫(2x + 1) / (x² + x + 1) dx = ∫du/u = ln|u| + C.",NET,Conceptual,Medium,Mathematics,Integration
∫(sin x + cos x) / √(sin 2x) dx,√(sin x + cos x) + C,√(sin 2x) + C,sin^-1(sin x - cos x) + C,ln|sin x + cos x| + C,C,"Using trigonometric identity sin 2x = (sin x + cos x)² - 1, and substitution, we simplify the integral to ∫1 / √(1 - (sin x - cos x)²) d(sin x - cos x).",NET,Conceptual,Medium,Mathematics,Integration
∫1 / (x² - 4) dx on 1 / 2 to 1,(1/4)ln|3|,(1/4)ln|(3/5)|,(1/4)ln|(5/3)|,-(1/4)ln|(3/5)|,B,"Using partial fractions, 1 / (x² - 4) = 1/4 * (1/(x-2) - 1/(x+2)), and then integrating within the given limits.",NET,Conceptual,Medium,Mathematics,Integration
∫x² / √(x² + 4) dx,(x/2)√(x² + 4) - 2ln|x + √(x² + 4)| + C,(x/2)√(x² + 4) + 2ln|x + √(x² + 4)| + C,(x/4)√(x² + 4) + 2ln|x + √(x² + 4)| + C,(x/4)√(x² + 4) - 2ln|x + √(x² + 4)| + C,A,"Using trigonometric substitution x = 2tan(θ), dx = 2sec²(θ)dθ, and simplifying.",NET,Conceptual,Medium,Mathematics,Integration
∫e^x (1 + x) / (1 + x)² dx,e^x / (1 + x) + C,e^x(1 + x) + C,e^x + C,e^x(1 - x) + C,A,"Simplifying the integrand to e^x / (1 + x), then using substitution u = 1 + x.",NET,Conceptual,Medium,Mathematics,Integration
∫1 / (1 + 3sin²x) dx,(1/2)tan^-1(2tan x) + C,(1/√2)tan^-1(√2tan x) + C,(1/2)tan^-1((1/2)tan x) + C,(1/√3)tan^-1(√3tan x) + C,D,"Dividing numerator and denominator by cos²x, and then using substitution u = tan x.",NET,Conceptual,Medium,Mathematics,Integration
∫(x + 1) / √(x² + 2x + 2) dx,√(x² + 2x + 2) + C,√(x² + 2x + 2) + ln|x + 1 + √(x² + 2x + 2)| + C,ln|x + 1 + √(x² + 2x + 2)| + C,√(x² + 2x + 2) - ln|x + 1 + √(x² + 2x + 2)| + C,B,"Splitting the integral into two parts, one for √(x² + 2x + 2) and the other for 1 / √(x² + 2x + 2).",NET,Conceptual,Medium,Mathematics,Integration
∫sin³x cos x dx,(1/4)sin⁴x + C,-(1/4)sin⁴x + C,(1/4)cos⁴x + C,-(1/4)cos⁴x + C,A,"Using substitution u = sin x, du = cos x dx, hence ∫u³ du = (1/4)u⁴ + C.",NET,Conceptual,Medium,Mathematics,Integration
∫x / (x + 1) dx on 0 to 1,1 - ln 2,1 + ln 2,ln 2,-ln 2,A,"Splitting the integrand into 1 - 1/(x+1), then integrating within the given limits.",NET,Conceptual,Medium,Mathematics,Integration
∫1 / √(4 - x²) dx on 0 to 2,π / 2,π,π / 4,π / 3,A,"Using trigonometric substitution x = 2sin(θ), dx = 2cos(θ)dθ, and simplifying.",NET,Conceptual,Medium,Mathematics,Integration
∫(2x - 1) / (x² - x + 1) dx,ln|x² - x + 1| + C,ln|x - 1| + C,(1/2)ln|x² - x + 1| + C,(1/2)ln|x - 1| + C,A,"Using substitution u = x² - x + 1, du/dx = 2x - 1, hence ∫(2x - 1) / (x² - x + 1) dx = ∫du/u = ln|u| + C.",NET,Conceptual,Medium,Mathematics,Integration
∫x²e^x dx,x²e^x - 2xe^x + 2e^x + C,x²e^x + 2xe^x + 2e^x + C,x²e^x - 2xe^x - 2e^x + C,x²e^x + 2xe^x - 2e^x + C,A,"Using integration by parts twice, with u = x² and dv = e^x dx.",NET,Conceptual,Medium,Mathematics,Integration
