Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A researcher analyzes the chemical structure of a green pigment extracted from spinach leaves and identifies a porphyrin ring. Which metal ion is located at the center of this ring?,Iron,Magnesium,Copper,Manganese,B,"Magnesium occupies the central position in the porphyrin ring of chlorophyll; Iron is the central atom in hemoglobin, not chlorophyll.",Photosynthetic Pigments,Easy,Biology,Bioenergetics
"During a metabolic reaction in a liver cell, one mole of ATP is hydrolyzed to ADP and inorganic phosphate. What is the standard amount of energy released?",3.4 kcal/mol,8.5 kcal/mol,7.3 kcal/mol,14.6 kcal/mol,C,Hydrolysis of one terminal phosphate bond releases 7.3 kcal/mol; 14.6 kcal refers to the total energy of both high-energy bonds combined.,ATP,Easy,Biology,Bioenergetics
"In the cytosol of a muscle cell, glucose undergoes a series of enzymatic steps to produce two 3-carbon molecules. What is the name of this end product?",Pyruvate,Acetyl-CoA,Oxaloacetate,Citrate,A,Glycolysis ends with two molecules of pyruvate; Acetyl-CoA is the product of the link reaction that occurs after glycolysis is completed.,Glycolysis,Easy,Biology,Bioenergetics
"During the initial phase of photosynthesis, solar energy is captured and converted into chemical energy. In which specific part of the chloroplast does this occur?",Mitochondrial matrix,Chloroplast stroma,Outer membrane,Thylakoid membrane,D,The thylakoid membranes contain the pigments and electron carriers for light reactions; the stroma is the site for the dark reactions.,Light Reaction,Easy,Biology,Bioenergetics
"In the Calvin cycle, carbon dioxide is fixed to RuBP. What is the first stable 3-carbon compound formed immediately after this fixation?",3-phosphoglycerate,Glyceraldehyde-3-phosphate,Ribulose bisphosphate,Oxaloacetate,A,The first stable product in C3 plants is the 3-carbon 3-PGA; G3P is a later intermediate produced after the reduction phase.,Dark Reaction,Easy,Biology,Bioenergetics
"As electrons pass through the respiratory chain in the mitochondria, they eventually combine with protons and a terminal molecule. Identify this terminal electron acceptor.",NAD+,Molecular Oxygen,Carbon dioxide,Cytochrome c,B,"Oxygen is the terminal electron acceptor in the ETC, forming water; NAD+ is an electron carrier, not the final acceptor in aerobic respiration.",ETC,Easy,Biology,Bioenergetics
A baker uses yeast to make bread dough rise. Which organic product is generated by the yeast during the anaerobic breakdown of glucose?,Lactic acid,Pyruvic acid,Ethyl alcohol,Methanol,C,Yeast fermentation produces ethyl alcohol and CO2; lactic acid is produced during anaerobic respiration in human muscle cells.,Fermentation,Easy,Biology,Bioenergetics
A student examines the fluid-filled space of a chloroplast under a microscope. Which of the following components is naturally found within this stroma?,Chlorophyll a,Xanthophylls,Carotenes,Circular DNA,D,"The stroma contains circular DNA, ribosomes, and enzymes; the thylakoid is primarily associated with chlorophyll and light-harvesting complexes.",Chloroplast,Easy,Biology,Bioenergetics
"In the classic experiment to plot the first action spectrum, T.W. Engelmann used a prism to illuminate a specific filamentous alga. Name the alga used.",Chlorella,Spirogyra,Anabaena,Adiantum,B,Engelmann used Spirogyra to show oxygen release; Chlorella was used later by Calvin to study the dark reaction path.,Action Spectrum,Medium,Biology,Bioenergetics
"During the complete oxidation of one Acetyl-CoA molecule within the Krebs cycle, how many molecules of carbon dioxide are released into the matrix?",One,Two,Three,Four,B,"Each Acetyl-CoA releases two CO2 molecules in Krebs; four CO2 are released per glucose, but the question asks per turn/acetyl group.",Krebs Cycle,Medium,Biology,Bioenergetics
