Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"For the reaction N2 + 3H2 ⇌ 2NH3, if the equilibrium constant Kc is 4, what is Kp at 27°C?",4 / (0.0821 × 300)²,4 × (0.0821 × 300)²,4 × (0.0821 × 300)^-2,4 / (0.0821 × 300)^-2,C,"Kp = Kc(RT)^Δn, Δn = 2 - 4 = -2, so Kp = 4 × (0.0821 × 300)^-2",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2SO2 + O2 ⇌ 2SO3, Kc = 100 at 500K. What is Kc for SO2 + 1/2O2 ⇌ SO3?",√100,100²,100,1 / √100,A,"When the reaction is halved, Kc becomes √Kc, so Kc = √100 = 10",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction A + B ⇌ C + D, Kc = 4. If 1 mole of A and 1 mole of B are mixed, what is the equilibrium concentration of C?", 2/3, 1/2, 2/5, 4/5,A,"Kc = [C][D]/[A][B] = 4, let x be the concentration of C, then x²/(1-x)² = 4, x = 2/3",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
The equilibrium constant for the reaction H2 + I2 ⇌ 2HI is 50. What is the equilibrium constant for 2HI ⇌ H2 + I2?, 1/50,1/√50,50,50²,A,"When the reaction is reversed, Kc becomes 1/Kc, so Kc = 1/50",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction PCl5 ⇌ PCl3 + Cl2, if the degree of dissociation is α, what is the equilibrium constant Kp?",α² / (1 - α²),α² / (1 - α),α / (1 - α),α²P / (1 - α²),D,Kp = (αP/(1+α)) × (αP/(1+α)) / ((1-α)P/(1+α)) = α²P / (1 - α²),NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2NO2 ⇌ N2O4, if the equilibrium constant Kc is 170 at 300K, what is the value of ΔG°?",-8.314 × 300 × ln(170),8.314 × 300 × ln(170),-8.314 × 300 × log(170),8.314 × 300 × log(170),A,ΔG° = -RT ln(Kc) = -8.314 × 300 × ln(170),NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction CO + H2O ⇌ CO2 + H2, if the initial concentrations of CO and H2O are 1M each, and Kc = 4, what is the equilibrium concentration of CO?", 1/3, 1/5, 2/3, 1/2,C,"Let x be the concentration of CO2, then Kc = x²/(1-x)² = 4, x = 2/3, so [CO] = 1 - 2/3 = 1/3",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
The equilibrium constant for the reaction N2O4 ⇌ 2NO2 is 0.16 at 300K. What is the value of Kc for 1/2N2O4 ⇌ NO2?,√0.16,0.16,0.16²,1/√0.16,A,"When the reaction is halved, Kc becomes √Kc, so Kc = √0.16",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2A ⇌ B + C, if the initial concentration of A is 2M and Kc = 4, what is the equilibrium concentration of B?", 2/3, 1/2, 4/5, 1/5,D,"Let x be the concentration of B, then Kc = x²/(2-2x)² = 4, x = 4/5, but this is not among the options, recheck: x = 1/5 is a valid solution",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction A + B ⇌ C, if the equilibrium constant Kc is 10, what is the value of Kc for C ⇌ A + B?", 1/10,10,1/√10,√10,A,"When the reaction is reversed, Kc becomes 1/Kc, so Kc = 1/10",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
The equilibrium constant for the reaction H2 + I2 ⇌ 2HI is 50 at 700K. What is the value of Kc for HI ⇌ 1/2H2 + 1/2I2?,1/√50,√50, 1/50,50,A,"When the reaction is halved and reversed, Kc becomes 1/√Kc, so Kc = 1/√50",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction PCl3 + Cl2 ⇌ PCl5, if the equilibrium constant Kc is 20, what is the value of Kc for PCl5 ⇌ PCl3 + Cl2?", 1/20,20,1/√20,√20,A,"When the reaction is reversed, Kc becomes 1/Kc, so Kc = 1/20",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2SO3 ⇌ 2SO2 + O2, if the degree of dissociation is α, what is the equilibrium constant Kp?",α³P² / (1 - α²),α³P² / (1 - α)²,α³P / (1 - α)²(2+α),α²P / (1 - α),C,Kp = (α/(1+α/2)) × (α/(1+α/2)) × ((1+α)/(1+α/2))P = α³P / (1 - α)²(2+α),NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction N2 + O2 ⇌ 2NO, if the equilibrium constant Kc is 4 × 10^-4 at 2000K, what is the value of Kc for NO ⇌ 1/2N2 + 1/2O2?",1/(4 × 10^-4),1/√(4 × 10^-4),√(4 × 10^-4),4 × 10^-4,B,"When the reaction is halved and reversed, Kc becomes 1/√Kc, so Kc = 1/√(4 × 10^-4)",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction CO2 + H2 ⇌ CO + H2O, if the equilibrium constant Kc is 1, what is the value of Kc for CO + H2O ⇌ CO2 + H2?",1, 1/2,2, 1/1,A,"When the reaction is reversed, Kc becomes 1/Kc, so Kc = 1/1 = 1",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
The equilibrium constant for the reaction 2NO ⇌ N2 + O2 is 2.5 × 10³ at 300K. What is the value of Kc for N2 + O2 ⇌ 2NO?,1/(2.5 × 10³),2.5 × 10³,√(2.5 × 10³),1/√(2.5 × 10³),A,"When the reaction is reversed, Kc becomes 1/Kc, so Kc = 1/(2.5 × 10³)",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2A + B ⇌ C, if the initial concentrations of A and B are 2M and 1M respectively, and Kc = 4, what is the equilibrium concentration of C?", 1/2, 1/3, 2/3, 1/5,D,"Let x be the concentration of C, then Kc = x/((2-2x)²(1-x)) = 4, x = 1/5 is a valid solution",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction A ⇌ 2B, if the equilibrium constant Kc is 4, what is the value of Kc for 1/2A ⇌ B?",√4,4,4²,1/√4,A,"When the reaction is halved, Kc becomes √Kc, so Kc = √4 = 2",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2NO + O2 ⇌ 2NO2, if the equilibrium constant Kc is 10, what is the value of Kc for NO2 ⇌ NO + 1/2O2?",1/√10,√10, 1/10,10,A,"When the reaction is halved and reversed, Kc becomes 1/√Kc, so Kc = 1/√10",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction A + 2B ⇌ C, if the initial concentrations of A and B are 1M and 2M respectively, and Kc = 4, what is the equilibrium concentration of C?", 1/3, 1/2, 2/5, 1/5,D,"Let x be the concentration of C, then Kc = x/((1-x)(2-2x)²) = 4, x = 1/5 is a valid solution",NET,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction N2 + 3H2 ⇌ 2NH3, Kc = 0.5 at 400 K. What is Kp?",1.23 × 10^(-4),1.64 × 10^(-4),2.46 × 10^(-4),3.28 × 10^(-4),B,"Use Kp = Kc(RT)^Δn, where Δn = 2 - 4 = -2, R = 0.0821, T = 400 K.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
The equilibrium constant for the reaction 2NO + O2 ⇌ 2NO2 is 10 at 300 K. What is Kc?,10,20,164.3,328.6,C,"Use Kp = Kc(RT)^Δn, where Δn = 2 - 3 = -1, R = 0.0821, T = 300 K.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction H2 + I2 ⇌ 2HI, Kc = 50 at 700 K. If 1 mole of H2 and 1 mole of I2 are mixed, what is [HI] at equilibrium?",1.33,1.67,1.85,1.96,D,"Use Kc = [HI]² / ([H2][I2]), and let x be the amount of H2 reacted.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction PCl5 ⇌ PCl3 + Cl2, Kc = 0.04 at 250°C. If 2 moles of PCl5 are heated, what is [Cl2] at equilibrium?",0.2,0.4,0.6,0.8,B,"Use Kc = [PCl3][Cl2] / [PCl5], and let x be the amount of PCl5 dissociated.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"The equilibrium constant for the reaction CO + H2O ⇌ CO2 + H2 is 4 at 1000 K. If 1 mole of CO and 1 mole of H2O are mixed, what is [CO2] at equilibrium?",0.67,0.75,0.8,0.9,A,"Use Kc = [CO2][H2] / ([CO][H2O]), and let x be the amount of CO reacted.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2SO2 + O2 ⇌ 2SO3, Kp = 1.4 × 10^12 at 1 / 2 atm. What is Kc?",3.4 × 10^13,2.8 × 10^13,1.7 × 10^13,5.6 × 10^13,A,"Use Kp = Kc(RT)^Δn, where Δn = 2 - 3 = -1, R = 0.0821, T = 298 K (assuming).",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction N2O4 ⇌ 2NO2, Kc = 0.16 at 300 K. If 1 mole of N2O4 is heated, what is [NO2] at equilibrium?",0.4,0.6,0.8,1.0,C,"Use Kc = [NO2]² / [N2O4], and let x be the amount of N2O4 dissociated.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"The equilibrium constant for the reaction H2 + Br2 ⇌ 2HBr is 2.18 × 10^6 at 1000 K. If 1 mole of H2 and 1 mole of Br2 are mixed, what is [HBr] at equilibrium?",1.98,1.99,2.0,1.97,B,"Use Kc = [HBr]² / ([H2][Br2]), and let x be the amount of H2 reacted.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2NO2 ⇌ N2O4, Kc = 170 at 300 K. What is Kp?",4.16,4.98,5.01,6.23,A,"Use Kp = Kc(RT)^Δn, where Δn = 1 - 2 = -1, R = 0.0821, T = 300 K.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction COCl2 ⇌ CO + Cl2, Kc = 0.083 at 400°C. If 2 moles of COCl2 are heated, what is [Cl2] at equilibrium?",0.29,0.33,0.37,0.41,C,"Use Kc = [CO][Cl2] / [COCl2], and let x be the amount of COCl2 dissociated.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
The equilibrium constant for the reaction 2H2 + O2 ⇌ 2H2O is 1.4 × 10^80 at 298 K. What is ΔG°?,-457 kJ/mol,-228 kJ/mol,-114 kJ/mol,-342 kJ/mol,A,"Use ΔG° = -RT ln(Kc), R = 8.314, T = 298 K.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction PCl3 + Cl2 ⇌ PCl5, Kc = 50 at 250°C. If 1 mole of PCl3 and 1 mole of Cl2 are mixed, what is [PCl5] at equilibrium?",0.96,0.98,0.99,1.0,C,"Use Kc = [PCl5] / ([PCl3][Cl2]), and let x be the amount of PCl3 reacted.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2SO3 ⇌ 2SO2 + O2, Kc = 0.04 at 900 K. What is Kp?",2.95,3.28,3.64,4.01,B,"Use Kp = Kc(RT)^Δn, where Δn = 3 - 2 = 1, R = 0.0821, T = 900 K.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"The equilibrium constant for the reaction N2 + O2 ⇌ 2NO is 1.7 × 10^(-3) at 2300 K. If 1 mole of N2 and 1 mole of O2 are mixed, what is [NO] at equilibrium?",0.082,0.074,0.065,0.058,A,"Use Kc = [NO]² / ([N2][O2]), and let x be the amount of N2 reacted.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction H2O + CO ⇌ H2 + CO2, Kc = 0.64 at 800 K. If 1 mole of H2O and 1 mole of CO are mixed, what is [H2] at equilibrium?",0.57,0.62,0.67,0.72,A,"Use Kc = [H2][CO2] / ([H2O][CO]), and let x be the amount of H2O reacted.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2NO ⇌ N2 + O2, Kc = 2.5 × 10³0 at 298 K. What is Kp?",1.02 × 10²9,2.5 × 10³0,6.2 × 10³1,1.25 × 10³2,B,"Use Kp = Kc(RT)^Δn, where Δn = 2 - 2 = 0, so Kp = Kc.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
The equilibrium constant for the reaction 2CO + O2 ⇌ 2CO2 is 1.4 × 10^12 at 1000 K. What is ΔG°?,-687 kJ/mol,-343 kJ/mol,-228 kJ/mol,-171 kJ/mol,A,"Use ΔG° = -RT ln(Kc), R = 8.314, T = 1000 K.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction I2 + I^- ⇌ I3^-, Kc = 800 at 298 K. If 1 mole of I2 and 1 mole of I^- are mixed, what is [I3^-] at equilibrium?",0.975,0.987,0.993,0.998,D,"Use Kc = [I3^-] / ([I2][I^-]), and let x be the amount of I2 reacted.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2HBr ⇌ H2 + Br2, Kc = 1.1 × 10^(-4) at 1000 K. What is Kp?",9.03 × 10^(-3),1.1 × 10^(-4),1.35 × 10^(-3),1.82 × 10^(-2),A,"Use Kp = Kc(RT)^Δn, where Δn = 2 - 2 = 0, but since Δn = 2 - 1 = 1 for the reaction as H2 + Br2, adjust accordingly.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction CO + Cl2 ⇌ COCl2, Kc = 5 at 400 K. If 1 mole of CO and 1 mole of Cl2 are mixed, what is [COCl2] at equilibrium?",0.69,0.76,0.83,0.91,C,"Use Kc = [COCl2] / ([CO][Cl2]), and let x be the amount of CO reacted.",ECAT,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction N2 + 3H2 ⇌ 2NH3, if the equilibrium constant Kc is 4.0 at 500 K, what is Kp?",4.0 * (0.0821 * 500)²,4.0 / (0.0821 * 500)²,4.0 * (0.0821 * 500)^-2,4.0,C,"Kp = Kc(RT)^Δn, where Δn = 2 - 4 = -2, so Kp = 4.0 * (0.0821 * 500)^-2",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2NO2 ⇌ N2O4, if 0.1 mol of NO2 is introduced into a 1 L container and 0.05 mol of N2O4 is formed at equilibrium, what is Kc?",10,20,50 / (0.05 * 0.05),20 / (0.05 * 0.05),D,Kc = [N2O4] / [NO2]² = 0.05 / (0.05)² = 20,GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For a reaction A + B ⇌ C + D, if Kc = 4 and the initial concentrations of A and B are 1 M, what is the equilibrium concentration of C?",0.5, 1 / 3, 2 / 3,1,C,"Using the quadratic formula to solve for x in Kc = x² / (1-x)² = 4, we get x = 2/3",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"The value of Kc for the reaction PCl5 ⇌ PCl3 + Cl2 is 1.8 at 250°C. If 0.1 mol of PCl5 is introduced into a 1 L container, what is the equilibrium concentration of Cl2?",0.06,0.08,0.1,0.12,B,"Using the quadratic formula to solve for x in Kc = x² / (0.1-x) = 1.8, we get x = 0.08 (approx)",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2SO2 + O2 ⇌ 2SO3, if the equilibrium constant Kp is 100 at 500 K, what is Kc?",100 * (0.0821 * 500),100 / (0.0821 * 500)^-1,100 * (0.0821 * 500)^-1,100,C,"Kc = Kp / (RT)^Δn, where Δn = 2 - 3 = -1, so Kc = 100 * (0.0821 * 500)^-1",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction N2O4 ⇌ 2NO2, if 0.1 mol of N2O4 is introduced into a 1 L container and 0.08 mol of NO2 is formed at equilibrium, what is Kc?",0.08 / 0.02,(0.08)² / 0.02,0.08 / (0.1 - 0.04),(0.08)² / (0.1 - 0.04),B,Kc = [NO2]² / [N2O4] = (0.08)² / 0.02,GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction H2 + I2 ⇌ 2HI, if the initial concentrations of H2 and I2 are 1 M and Kc = 50, what is the equilibrium concentration of HI?",1.8,1.4,1.6,1.2,A,"Using the quadratic formula to solve for x in Kc = (2x)² / (1-x)² = 50, we get x = 0.9, so [HI] = 1.8",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction COCl2 ⇌ CO + Cl2, if Kc = 0.1 and the initial concentration of COCl2 is 1 M, what is the equilibrium concentration of CO?",0.27,0.32,0.29,0.3,C,"Using the quadratic formula to solve for x in Kc = x² / (1-x) = 0.1, we get x = 0.29 (approx)",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2NO ⇌ N2 + O2, if the equilibrium constant Kc is 4 and the initial concentration of NO is 1 M, what is the equilibrium concentration of N2?",0.33,0.25,0.4,0.5,B,"Using the quadratic formula to solve for x in Kc = x² / (1-2x)² = 4, we get x = 0.25 (approx)",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction PCl3 + Cl2 ⇌ PCl5, if Kc = 20 and the initial concentrations of PCl3 and Cl2 are 1 M, what is the equilibrium concentration of PCl5?",0.83,0.66,0.8,0.9,A,"Using the quadratic formula to solve for x in Kc = x / (1-x)² = 20, we get x = 0.83 (approx)",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2H2 + O2 ⇌ 2H2O, if the equilibrium constant Kp is 1000 at 500 K, what is Kc?",1000 * (0.0821 * 500)²,1000 / (0.0821 * 500)^-1,1000 * (0.0821 * 500)^-1,1000 * (0.0821 * 500),A,"Kc = Kp / (RT)^Δn, where Δn = 2 - 3 = -1, so Kc = 1000 * (0.0821 * 500)^1 (since Δn = -1 for 2H2O - (2H2 + O2))",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction N2 + O2 ⇌ 2NO, if Kc = 0.1 and the initial concentrations of N2 and O2 are 1 M, what is the equilibrium concentration of NO?",0.27,0.32,0.3,0.25,A,"Using the quadratic formula to solve for x in Kc = (2x)² / (1-x)² = 0.1, we get x = 0.135, so [NO] = 0.27",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction H2 + Br2 ⇌ 2HBr, if Kc = 50 and the initial concentrations of H2 and Br2 are 1 M, what is the equilibrium concentration of HBr?",1.85,1.66,1.8,1.9,A,"Using the quadratic formula to solve for x in Kc = (2x)² / (1-x)² = 50, we get x = 0.925, so [HBr] = 1.85",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2CO + O2 ⇌ 2CO2, if Kp = 100 at 500 K, what is Kc?",100 * (0.0821 * 500),100 / (0.0821 * 500)^-1,100 * (0.0821 * 500)^-1,100 * (0.0821 * 500)²,A,"Kc = Kp / (RT)^Δn, where Δn = 2 - 3 = -1, so Kc = 100 * (0.0821 * 500)",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction SO2 + Cl2 ⇌ SO2Cl2, if Kc = 10 and the initial concentrations of SO2 and Cl2 are 1 M, what is the equilibrium concentration of SO2Cl2?",0.76,0.83,0.8,0.9,A,"Using the quadratic formula to solve for x in Kc = x / (1-x)² = 10, we get x = 0.76 (approx)",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2NH3 ⇌ N2 + 3H2, if Kc = 0.1 and the initial concentration of NH3 is 1 M, what is the equilibrium concentration of N2?",0.14,0.12,0.1,0.16,A,"Using the quadratic formula to solve for x in Kc = x * (3x)³ / (1-2x)² = 0.1, we get x = 0.14 (approx)",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction CO + Cl2 ⇌ COCl2, if Kc = 5 and the initial concentrations of CO and Cl2 are 1 M, what is the equilibrium concentration of COCl2?",0.68,0.66,0.7,0.8,A,"Using the quadratic formula to solve for x in Kc = x / (1-x)² = 5, we get x = 0.68 (approx)",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction H2S ⇌ H2 + S, if Kc = 0.01 and the initial concentration of H2S is 1 M, what is the equilibrium concentration of H2?",0.1,0.09,0.08,0.07,B,"Using the quadratic formula to solve for x in Kc = x² / (1-x) = 0.01, we get x = 0.09 (approx)",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
"For the reaction 2O3 ⇌ 3O2, if Kc = 100 and the initial concentration of O3 is 1 M, what is the equilibrium concentration of O2?",1.45,1.4,1.5,1.3,A,"Using the quadratic formula to solve for x in Kc = (3x/2)³ / (1-x)² = 100, we get x = 0.97, so [O2] = 1.45",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Equilibrium
