Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"In an AC circuit, the voltage and current are given by V = 200 sin(100πt) V and I = 5 sin(100πt - π/3) A. The power loss is",500 W,250 W,1000 W,750 W,A,"Power loss = Vrms * Irms * cos(φ) = (200/√2) * (5/√2) * cos(π/3) = 500 W, using rms values and power factor.",NET,Conceptual,Medium,Physics,Alternating Current
"The impedance of an AC circuit is given by Z = √(R² + X²), where X is the reactance. For a capacitor, X is",1 / ωC,ωC,ωL,1 / ωL,A,"Capacitive reactance Xc = 1 / ωC, where ω = 2πf, used in impedance calculation.",NET,Conceptual,Medium,Physics,Alternating Current
An AC source is connected to a capacitor. The current in the circuit is,in phase with the voltage,leads the voltage by π/2,lags the voltage by π/2,is zero,B,"In a capacitor, current leads voltage by π/2 due to the nature of capacitive reactance.",NET,Conceptual,Medium,Physics,Alternating Current
The resonance frequency of an LCR circuit is given by,1 / √(LC),√(L/C),1 / (LC),√(LC),A,"Resonance frequency f = 1 / (2π√(LC)), derived from equating Xl = Xc.",NET,Conceptual,Medium,Physics,Alternating Current
"In an LCR circuit, the voltage across the resistor is 100 V, across the inductor is 200 V, and across the capacitor is 200 V. The supply voltage is",100 V,200 V,300 V,100√2 V,A,"At resonance, Vl = Vc, so V = Vr = 100 V, as Vl and Vc cancel out.",NET,Conceptual,Medium,Physics,Alternating Current
The Q-factor of an LCR circuit is given by,ωL / R,1 / (ωCR),ωC / R,R / (ωL),A,"Q-factor = ωL / R = 1 / (ωCR), indicating the sharpness of resonance.",NET,Conceptual,Medium,Physics,Alternating Current
The power factor of an AC circuit is,R / Z,Z / R,X / R,R / X,A,"Power factor = cos(φ) = R / Z, where φ is the phase angle between V and I.",NET,Conceptual,Medium,Physics,Alternating Current
The rms value of an AC is given by,I0 / √2,I0 / 2,I0 * √2,2 * I0,A,"Irms = I0 / √2, where I0 is the peak current, used for AC calculations.",NET,Conceptual,Medium,Physics,Alternating Current
The average power consumed in an AC circuit is,Vrms * Irms * cos(φ),Vrms * Irms * sin(φ),Vrms * Irms,0,A,"Average power = Vrms * Irms * cos(φ), where cos(φ) is the power factor.",NET,Conceptual,Medium,Physics,Alternating Current
"In an AC circuit, the current is wattless if",φ = 0,φ = π/2,φ = π,φ = π/4,B,"Wattless current occurs when φ = π/2, making cos(φ) = 0, thus no power is consumed.",NET,Conceptual,Medium,Physics,Alternating Current
