question,option_a,option_b,option_c,option_d,correct_answer,question_type,year,page
Which of the following classes has the largest number of animals?,Fishes,Insects,Mammals,None of these,B,multiple_choice,2025,10
Which of the plant groups needs both land and water to complete their life cycle?,Bryophyta,Tracheophyta,Thallophyta,None of these,A,multiple_choice,2025,10
Which of the following is used as a stabilizer in ice cream?,Sugar,Milk,Gelatin,None of these,C,multiple_choice,2025,10
Which of the following is the common language for Artificial Intelligence?,Java,Python,Lisp,None of these,B,multiple_choice,2025,11
Perinatal transmission is said to occur when a pathogen is transmitted from:,Non-human to human,Infected to uninfected,Mother to infant,None of these,C,multiple_choice,2025,11
"In the structure of fiber, the light is guided through the core due to total internal:",Reflection,Refraction,Diffraction,None of these,A,multiple_choice,2025,11
Blue dwarfs and red giants respectively refer to:,Moons of Jupiter,Young star and old star,Old star and young star,None of these,B,multiple_choice,2025,12
The amount of data transmitted in a given amount of time is called:,Noise,Bandwidth,Frequency,None of these,B,multiple_choice,2025,12
The maximum amount of carbohydrates is obtained from:,Nuts,Plant oil,Whole-grain food,None of these,C,multiple_choice,2025,12
10. The fastest enzyme is:,Pepsin,DNA polymerase,Carbonic anhydrase,None of these,C,multiple_choice,2025,13
11. Cement factory laborers are prone to:,Leukemia,Silicosis,Bone marrow issues,None of these,B,multiple_choice,2025,13
12. The process of adding vitamins to milk is known as:,Flavoring,Fortification,Fermentation,None of these,B,multiple_choice,2025,14
13. Global winds towards the western direction are known as:,Trade winds,Westerly winds,Reynolds wind,None of these,A,multiple_choice,2025,14
14. Most major tsunamis are produced by earthquakes with hypocenters less than:,30 km,40 km,,,A,true_false,2025,14
15. The waves used for line-of-sight (LOS) communication are called:,Space waves,Cable waves,Antenna waves,None of these,A,multiple_choice,2025,15
16. Which of the following sources of energy is caused by the uneven heating of the Earth's surface?,Wind,Solar,Biomass,None of these,A,multiple_choice,2025,15
17. Who is known as the inventor of Artificial Intelligence?,Charles Babbage,John McCarthy,Alan Turing,None of these,B,multiple_choice,2025,15
18. The process of preserving meat by stewing in a covered earthenware jug is called:,Burial,Jugging,Curing,None of these,B,multiple_choice,2025,16
19. Which of the following products can be prepared using raw guava?,Jam,Jelly,Both (a) and (b),None of these,C,multiple_choice,2025,16
20. All operating systems get their total memory initialized from:,BIOS,RAM,ROM,CPU,A,multiple_choice,2025,17
Which of the following contains a greater number of carbon atoms in one mole of each compound?,Chloroform,Methanol,Water,Ethanol,D,multiple_choice,2024,18
Heavy water is:,Denoted by D2O and contains simple hydrogen,Denoted by ²H and contains deuterium,Denoted by D2O and contains deuterium,Denoted by ²H2O and contains simple hydrogen,C,multiple_choice,2024,18
The pH of soil is raised using:,Limestone,Gypsum,Urea,None of these,A,multiple_choice,2024,19
Why is red light used in traffic signals for danger?,Due to short wavelength,Due to high frequency,It has a long wavelength and high frequency,It has a long wavelength and low frequency,D,multiple_choice,2024,19
A cyclone is formed:,When warm air rises upward over the ocean,When moist air rises upward over the ocean,When moist air is pressed downward over the ocean,"When warm, moist air rises upward over the ocean",D,multiple_choice,2024,19
Which of the following is used for measuring distance?,Coulomb,Light-year,Farad,Curie,B,multiple_choice,2024,20
"In dementia, a person:",Loses weight,Loses thinking and writing,"Loses thinking, remembering, and reasoning",All of these,C,multiple_choice,2024,20
A pencil dipped in water appears bent due to:,Reflection,Diffraction,Refraction,None of these,C,multiple_choice,2024,21
10. Protein molecules are made of:,Alkaloids,Nucleosides,Short-range chains of amino acids,Long-range chains of amino acids,D,multiple_choice,2024,21
11. The chemical formula for alum is:,KAl(SO4)2·12H2O,KAl(SO4)2·12H2O,KAl(SO4)2·8H2O,None of these,A,multiple_choice,2024,21
12. Earthquakes are measured by the instrument:,Waveguide,Barometer,Seismograph,Hydrometer,C,multiple_choice,2024,22
13. Fishes die outside the water due to:,Carbon monoxide,Oxygen,Sunlight,Non-absorption of oxygen,D,multiple_choice,2024,22
14. The isotopes of any element contain an equal number of:,Protons,Neutrons,Both electrons and protons,None of these,A,multiple_choice,2024,22
15. The vitamin stored in the minimum amount in the human body is:,Vitamin D,Vitamin C,Vitamin E,Vitamin A,B,multiple_choice,2024,23
