Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,Hazrat Talha embraced Islam in the 1st year of Prophethood. What title did the Holy Prophet (PBUH) give to him?,Siddique,Tayyab,Farooq,Fayyaz,D
2,The unit of magnetic flux density is the:,Tesla,Gauss,Oersted,Weber,A
3,The Diamer-Bhasha Dam is to be constructed on the:,Sutlej River,Jhelum River,Chenab River,Indus River,D
4,The measurement of rainfall is made by an instrument known as a:,Hydrometer,Barometer,Rain gauge,Pedometer,C
5,What kind of soil is treated with gypsum to make it suitable for cropping?,Soil with excessive clay content,Waterlogged soil,Acidic soil,Alkaline soil,D
6,"As the temperature of the air rises, the speed of sound ______.",drops,rises,remains constant,becomes unpredictable,B
7,The wave-like contraction and expansion movement of the walls of the food pipe is known as ____ movement.,Oscillatory,Peristaltic,Diastolic,Gastric,B
8,Which of the following diseases usually spreads through milk?,Tuberculosis,Jaundice,Diphtheria,Cholera,A
9,Which energy source does the brain consume the most?,Glucose,Lactose,Proteins,Vitamins,A
10,Where does the oxygen that keeps us alive come from?,Carbon dioxide,Carbonates absorbed from the soil,Oxides of minerals,Water,D
11,The half-life of a radioactive element is 8 days. How long will it take to reduce from 10 mg to 5 mg?,4 days,12 days,16 days,8 days,D
12,Deficiency of iron in the human body causes:,Goitre,Trachoma,Anaemia,Glaucoma,C
13,"In a normal situation, what is the recommended method of dealing with a venomous snake bite?",Suck out the poison by mouth.,Keep the bite lower than the heart and get immediate medical attention.,Make an incision and let the venom ooze back out.,None of these.,B
14,Which of the following is used for the measurement of pressure?,Saccharimeter,Ammeter,Manometer,Lactometer,C
15,The approximate age of the Milky Way is:,13.6 billion years,14.5 billion years,15.5 billion years,16.5 billion years,A
16,The famous book 'Al-Qanun' was written by the Muslim scientist:,Al-Biruni,Jabir ibn Hayyan,Abu Ali Sina,None of these,C
17,"____ is the clear, yellowish fluid portion of blood that contains clotting factors like fibrinogen.",Serum,Plasma,Lymph,None of these,B
18,"Of the following, which provides the maximum amount of energy in the present-day world?",Hydroelectric power resources,Atomic energy,Liquid fuels,None of these,C
19,NASA scientists have recently detected water vapor on which of Jupiter's moons?,Europa,Callisto,Both A & B,None of these,A
20,Atmospheric pressure is measured by a ______.,lactometer,barometer,ammeter,voltmeter,B
21,Dynamics is the study of:,Movement of earth,Movement of bodies,Angles of bodies,Forces acting on bodies,D
22,Echo is the effect produced due to:,Absorption of sound,Dispersion of sound,Reflection of sound,Refraction of sound,C
23,Hepatitis is a disease of which of the following organs?,Heart,Lungs,Liver,Brain,C
24,Ronald Ross discovered the cause of:,Polio,Malaria,AIDS,None of these,B
25,Which variety of glass is heat-resistant?,Hard glass,Pyrex glass,Flint glass,Bottle glass,B
26,Who was the 'Father of Medicine'?,Hippocrates,Diophantus,Archimedes,Euclid,A
27,The core of an optical fiber is made of:,Copper,Silica,Glass,None of these,B
28,Which of the following countries produces the highest percentage of its electricity from nuclear reactors?,France,USA,UK,None of the above,A
