Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"Identify the odd one out: A) Square, B) Circle, C) Triangle, D) Rectangle",Square,Circle,Triangle,Rectangle,B,"All options except Circle are polygons, hence Circle is the odd one out due to having no sides or angles.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Which one is odd: A) 2, B) 4, C) 6, D) 9",2,4,6,9,D,"All numbers except 9 are even, making 9 the odd one out due to being odd.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Find the odd one: A) 1 / 2, B) 2 / 4, C) 3 / 6, D) 3 / 5", 1 / 2, 2 / 4, 3 / 6, 3 / 5,D,"All fractions except 3 / 5 simplify to 1 / 2, making 3 / 5 the odd one due to not simplifying to 1 / 2.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd term: A) Mercury, B) Venus, C) Earth, D) Jupiter",Mercury,Venus,Earth,Jupiter,D,"Mercury, Venus, and Earth are inner planets and relatively small, whereas Jupiter is a gas giant, making it the odd one.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) Apple, B) Banana, C) Mango, D) Chair",Apple,Banana,Mango,Chair,D,"Apple, Banana, and Mango are fruits, while Chair is a piece of furniture, making it the odd one out.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Which is the odd number: A) 7, B) 11, C) 13, D) 15",7,11,13,15,D,"7, 11, and 13 are prime numbers, while 15 is not prime (divisible by 3 and 5), making it the odd one.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd shape: A) Pentagon, B) Hexagon, C) Heptagon, D) Square",Pentagon,Hexagon,Heptagon,Square,D,"Pentagon, Hexagon, and Heptagon have 5, 6, and 7 sides respectively, all more than 4, whereas Square has 4 sides, making it the odd one.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) Dog, B) Cat, C) Mouse, D) Car",Dog,Cat,Mouse,Car,D,"Dog, Cat, and Mouse are animals, while Car is a vehicle, making it the odd one out.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Find the odd term: A) 2², B) 3², C) 4², D) 2³",2²,3²,4²,2³,D,"2², 3², and 4² are squares of numbers, while 2³ is a cube, making it the odd one due to different exponent.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one: A) πr², B) 2πr, C) 4/3πr³, D) √π",πr²,2πr,4/3πr³,√π,D,"πr², 2πr, and 4/3πr³ are formulas related to circle or sphere, while √π is not a formula, making it the odd one.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) Football, B) Basketball, C) Tennis, D) Piano",Football,Basketball,Tennis,Piano,D,"Football, Basketball, and Tennis are sports, while Piano is a musical instrument, making it the odd one out.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Which is odd: A) 10, B) 20, C) 30, D) 27",10,20,30,27,D,"10, 20, and 30 are multiples of 10, while 27 is not, making 27 the odd one out.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd shape: A) Rhombus, B) Trapezoid, C) Parallelogram, D) Circle",Rhombus,Trapezoid,Parallelogram,Circle,D,"Rhombus, Trapezoid, and Parallelogram are quadrilaterals, while Circle is not a polygon, making it the odd one.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) Book, B) Magazine, C) Newspaper, D) Chair",Book,Magazine,Newspaper,Chair,D,"Book, Magazine, and Newspaper are reading materials, while Chair is furniture, making it the odd one out.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Find the odd term: A) January, B) March, C) May, D) February",January,March,May,February,D,"January, March, and May have 31 days, while February has 28 or 29 days, making it the odd one.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd number: A) 4, B) 9, C) 16, D) 25",4,9,16,25,A,"9, 16, and 25 are odd squares, while 4 is an even square, making it the odd one due to being even.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) Guitar, B) Violin, C) Drums, D) Microphone",Guitar,Violin,Drums,Microphone,D,"Guitar, Violin, and Drums are musical instruments, while Microphone is used for sound amplification, making it the odd one.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Which is the odd one: A) Red, B) Blue, C) Green, D) Square",Red,Blue,Green,Square,D,"Red, Blue, and Green are colors, while Square is a shape, making it the odd one out.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd term: A) ∫x dx, B) ∫x² dx, C) ∫x³ dx, D) √x",∫x dx,∫x² dx,∫x³ dx,√x,D,"∫x dx, ∫x² dx, and ∫x³ dx are integrals, while √x is not an integral but a root, making it the odd one.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) Python, B) Java, C) C++, D) Table",Python,Java,C++,Table,D,"Python, Java, and C++ are programming languages, while Table is a piece of furniture, making it the odd one out.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 2, 4, 6, 9",2,4,6,9,D,"The numbers 2, 4, 6 are even, while 9 is odd, making it the odd one out.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 1 / 2, 1 / 4, 3 / 4, 2 / 3", 1 / 2, 1 / 4, 3 / 4, 2 / 3,D,"1 / 2, 1 / 4, 3 / 4 have denominators that are powers of 2, while 2 / 3 has a denominator that is not.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: √2, √3, √4, √5",√2,√3,√4,√5,C,"√4 = 2 is a whole number, while the others are irrational.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 3, 5, 7, 11, 13, 15",3,5,7,15,D,All numbers except 15 are prime numbers.,ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 16, 25, 36, 49, 64, 81",16,25,36,49,C,All numbers except 36 are odd squares or 4².,ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 1, 2, 4, 8, 16, 32, 65",1,2,4,65,D,The sequence is a powers-of-2 sequence except for 65.,ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 2³, 3³, 4³, 5³, 6²",2³,3³,4³,6²,D,All numbers except 6² are perfect cubes.,ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 12, 24, 36, 49, 60",12,24,36,49,D,All numbers except 49 are multiples of 12.,ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 8, 27, 64, 125, 216, 343, 512, 729, 1000",8,27,64,1000,D,All numbers except 1000 = 10³ are perfect cubes of numbers less than 10.,ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 1, 4, 9, 16, 25, 36, 49, 50",1,4,9,50,D,All numbers except 50 are perfect squares.,ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 3, 6, 9, 12, 15, 20",3,6,9,20,D,All numbers except 20 are multiples of 3.,ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 7, 14, 21, 28, 35, 42, 50",7,14,21,50,D,All numbers except 50 are multiples of 7.,ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: π, e, √2, 3",π,e,√2,3,D,"π, e, √2 are irrational numbers, 3 is a rational number.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 9, 16, 25, 36, 49, 64, 81, 100, 121, 144, 169, 200",9,16,25,200,D,All numbers except 200 are perfect squares.,ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 2, 3, 5, 7, 11, 13, 17, 20",2,3,5,20,D,All numbers except 20 are prime numbers.,ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: ∫x dx, ∫x² dx, ∫x³ dx, ∫sin(x) dx",∫x dx,∫x² dx,∫x³ dx,∫sin(x) dx,D,"∫x dx, ∫x² dx, ∫x³ dx are integrals of polynomial functions, ∫sin(x) dx is integral of trigonometric function.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 2 × 3, 3 × 4, 4 × 5, 5 + 6",2 × 3,3 × 4,4 × 5,5 + 6,D,"The first three are products, while the last is a sum.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 1 + 1, 2 + 2, 3 + 3, 4 + 5",1 + 1,2 + 2,3 + 3,4 + 5,D,"The first three are doubles, while the last is not.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 4, 9, 16, 25, 36, 48",4,9,16,48,D,"The numbers 4, 9, 16, 25, 36 are perfect squares, 48 is not.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 1, 8, 27, 64, 125, 216, 343, 512, 729, 1001",1,8,27,1001,D,"The numbers 1, 8, 27, 64, 125, 216, 343, 512, 729 are perfect cubes, 1001 is not.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: A) 2/3, B) 3/5, C) 5/7, D) 7/9", 2/3, 3/5, 5/7, 7/9,D,"All other fractions have a difference of 1/  between numerator and denominator, except 7/9 which has 2/9.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Which is the odd one: A) 16, B) 27, C) 32, D) 125",16,27,32,125,A,"All other numbers are perfect powers of primes or integers (27 = 3³, 32 = 2⁵, 125 = 5³), 16 is 2⁴.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) 2, B) 4, C) 6, D) 9",2,4,6,9,D,"All other numbers are even, 9 is odd.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one: A) 1 / 2, B) 2 / 3, C) 3 / 4, D) 5 / 6", 1 / 2, 2 / 3, 3 / 4, 5 / 6,A,"All other fractions have a numerator one less than the denominator, 1/2 doesn't fit the pattern.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Odd one: A) 4, B) 9, C) 16, D) 25",4,9,16,25,A,"All numbers are perfect squares, but 4 = 2², others are odd squares.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Identify odd one: A) 3, B) 5, C) 7, D) 9",3,5,7,9,D,"All other numbers are prime, 9 is composite.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Odd one: A) 12, B) 15, C) 18, D) 23",12,15,18,23,D,"All other numbers are divisible by 3, 23 is not.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd: A) 8, B) 27, C) 64, D) 100",8,27,64,100,D,"All other numbers are perfect powers (8 = 2³, 27 = 3³, 64 = 4³ or 2⁶, 8 = 2³), 100 is 10².",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) 11, B) 13, C) 15, D) 17",11,13,15,17,C,"All other numbers are prime, 15 is composite.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one: A) 24, B) 36, C) 48, D) 53",24,36,48,53,D,"All other numbers are divisible by 12 or have common factors, 53 is prime.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Odd one: A) 20, B) 30, C) 40, D) 53",20,30,40,53,D,"All other numbers are divisible by 10, 53 is not.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd: A) 7, B) 11, C) 13, D) 15",7,11,13,15,D,"All other numbers are prime, 15 is composite.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) 6, B) 8, C) 10, D) 13",6,8,10,13,D,"All other numbers are even, 13 is odd.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd: A) 14, B) 21, C) 28, D) 30",14,21,28,30,B,"All other numbers are divisible by 2 and other numbers, 21 is only divisible by 3 and 7.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Odd one: A) 18, B) 24, C) 30, D) 37",18,24,30,37,D,"All other numbers are composite, 37 is prime.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: A) 25, B) 36, C) 49, D) 53",25,36,49,53,D,"All other numbers are perfect squares, 53 is prime.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Odd one: A) 4, B) 9, C) 16, D) 20",4,9,16,20,D,"All other numbers are perfect squares, 20 is not.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd: A) 10, B) 12, C) 14, D) 17",10,12,14,17,D,"All other numbers are even, 17 is odd.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) 22, B) 33, C) 44, D) 55",22,33,44,55,B,"All other numbers are divisible by 11 and have repeating digits, 33 is divisible by 3 and 11.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one: A) 3, B) 6, C) 9, D) 10",3,6,9,10,D,"All other numbers are divisible by 3, 10 is not.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: A) Circle, B) Rectangle, C) Triangle, D) Pyramid",Circle,Rectangle,Triangle,Pyramid,D,"Pyramid is a 3D shape, while the others are 2D shapes.",LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Which one is the odd one out: A) 2, B) 4, C) 6, D) 9",2,4,6,9,D,All numbers except 9 are even.,LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: A) 1 / 2, B) 2 / 4, C) 3 / 6, D) 4 / 7", 1 / 2, 2 / 4, 3 / 6, 4 / 7,D,All fractions except 4 / 7 simplify to 1 / 2.,LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) Mercury, B) Venus, C) Earth, D) Jupiter",Mercury,Venus,Earth,Jupiter,D,"Jupiter is a gas giant, while the others are terrestrial planets.",LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: A) √4, B) 2², C) 4 / 1, D) π",√4,2², 4 / 1,π,D,"All options except π are equal to 2 or 4, and π is an irrational number.",LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Which one is odd: A) Red, B) Blue, C) Green, D) Black",Red,Blue,Green,Black,C,"Red, Blue, and Black are primary or achromatic colors, while Green is a secondary color.",LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) 3, B) 5, C) 7, D) 9",3,5,7,9,D,All numbers except 9 are prime.,LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one: A) Football, B) Basketball, C) Tennis, D) Cricket",Football,Basketball,Tennis,Cricket,C,"Tennis is played with a racket, while the others are team sports played with a ball.",LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) ∫x dx, B) d/dx (x²), C) x² + 3, D) x³ / 3",∫x dx,d/dx (x²),x² + 3,x³ / 3,C,"Options A, B, and D involve calculus operations, while C is a simple algebraic expression.",LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one: A) 12, B) 24, C) 36, D) 25",12,24,36,25,D,All numbers except 25 are divisible by 12.,LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) 8, B) 27, C) 64, D) 100",8,27,64,100,D,"8, 27, and 64 are perfect cubes, while 100 is a perfect square.",LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one: A) Oxygen, B) Nitrogen, C) Carbon, D) Helium",Oxygen,Nitrogen,Carbon,Helium,C,"Oxygen, Nitrogen, and Helium are elements that are gases at room temperature, while Carbon is a solid.",LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) 1, B) 2, C) 4, D) 8",1,2,4,8,A,All numbers except 1 are powers of 2.,LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one: A) Square, B) Rhombus, C) Rectangle, D) Pentagon",Square,Rhombus,Rectangle,Pentagon,D,"Square, Rhombus, and Rectangle are quadrilaterals, while Pentagon is a five-sided polygon.",LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) 6, B) 12, C) 18, D) 20",6,12,18,20,D,All numbers except 20 are divisible by 6.,LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one: A) 1 + 1, B) 2 * 1, C) 3 - 1, D) 4 / 2",1 + 1,2 * 1,3 - 1, 4 / 2,A,All expressions except 1 + 1 equal 2.,LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) 16, B) 25, C) 36, D) 49",16,25,36,49,A,"25, 36, and 49 are squares of odd numbers, while 16 is a square of an even number.",LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one: A) 11, B) 13, C) 17, D) 15",11,13,17,15,D,All numbers except 15 are prime.,LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) 2³, B) 3², C) 4², D) 5²",2³,3²,4²,5²,A,All expressions except 2³ are squares.,LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one: A) 90, B) 180, C) 270, D) 360",90,180,270,360,D,All angles except 360 are not full rotations.,LUMS_SAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: A) Rectangle, B) Square, C) Triangle, D) Circle",Rectangle,Square,Triangle,Circle,C,"All shapes except Triangle are quadrilaterals or circular, Triangle is a polygon with 3 sides.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd: A) 1 / 2, B) 2 / 4, C) 3 / 6, D) 3 / 4", 1 / 2, 2 / 4, 3 / 6, 3 / 4,D,"Fractions A, B, and C simplify to 1/2, D simplifies to 3/4, different from others.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd one: A) Firefox, B) Chrome, C) Safari, D) Photoshop",Firefox,Chrome,Safari,Photoshop,D,"Firefox, Chrome, and Safari are web browsers, Photoshop is a graphics editing software.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd: A) 12, B) 24, C) 36, D) 50",12,24,36,50,D,"Numbers A, B, and C are multiples of 12, D is not.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Identify odd: A) Monday, B) Tuesday, C) Wednesday, D) January",Monday,Tuesday,Wednesday,January,D,"Monday, Tuesday, and Wednesday are days of the week, January is a month.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd one: A) ∫x dx, B) ∫x² dx, C) ∫sin(x) dx, D) 2 + 2",∫x dx,∫x² dx,∫sin(x) dx,2 + 2,D,"Options A, B, and C are integrals, D is a simple arithmetic operation.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Identify odd: A) Pen, B) Pencil, C) Eraser, D) Chair",Pen,Pencil,Eraser,Chair,D,"Pen, Pencil, and Eraser are stationery items, Chair is a piece of furniture.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd: A) 5, B) 7, C) 11, D) 9",5,7,11,9,D,"Numbers A, B, and C are prime, D is composite (3 * 3).",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) Car, B) Bus, C) Train, D) Bicycle",Car,Bus,Train,Bicycle,D,"Car, Bus, and Train are motorized vehicles, Bicycle is human-powered.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd: A) Book, B) Magazine, C) Journal, D) Chair",Book,Magazine,Journal,Chair,D,"Book, Magazine, and Journal are reading materials, Chair is furniture.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd: A) √4, B) √9, C) √16, D) √3",√4,√9,√16,√3,D,"√4, √9, and √16 are integers, √3 is an irrational number.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd one: A) Red, B) Blue, C) Green, D) Square",Red,Blue,Green,Square,D,"Red, Blue, and Green are colors, Square is a shape.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd: A) 10, B) 20, C) 30, D) 23",10,20,30,23,D,"Numbers A, B, and C are multiples of 10, D is not.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd one: A) Python, B) Java, C) C++, D) HTML",Python,Java,C++,HTML,D,"Python, Java, and C++ are programming languages, HTML is a markup language.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Identify odd: A) 3 * 4, B) 6 * 2, C) 2 * 6, D) 5 + 7",3 * 4,6 * 2,2 * 6,5 + 7,D,"A, B, and C are multiplication operations equaling 12, D is addition.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd: A) Football, B) Basketball, C) Tennis, D) Piano",Football,Basketball,Tennis,Piano,D,"Football, Basketball, and Tennis are sports, Piano is a musical instrument.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Odd one out: A) π, B) e, C) √2, D) 4",π,e,√2,4,D,"π, e, and √2 are irrational numbers, 4 is a rational number.",NET,Conceptual,Medium,Intelligence,Odd One Out
"Which one is different: 1 / 2, 1 / 4, 3 / 4, 2 / 3", 1 / 2, 1 / 4, 3 / 4, 2 / 3,D,"All other fractions have a denominator that is a power of 2 or a simple fraction with 4, except 2 / 3.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Find the odd one: √4, √9, √16, √20",√4,√9,√16,√20,D,"The square roots of 4, 9, and 16 are integers, while √20 is not a perfect square.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one out: 3², 4², 5², 7",3²,4²,5²,7,D,"The other three options are squares of consecutive integers starting from 3, while 7 is not a square.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Which number is different: 12, 24, 36, 49",12,24,36,49,D,"The numbers 12, 24, and 36 are multiples of 12, while 49 is not.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Find the odd one: 8, 27, 64, 100",8,27,64,100,D,"8, 27, and 64 are perfect cubes (2³, 3³, 4³), while 100 is a perfect square but not a cube.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Identify the odd one: 2³, 3³, 4³, 5²",2³,3³,4³,5²,D,"The first three options are cubes, while 5² is a square, not a cube.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
"Which is different: 16, 25, 36, 48",16,25,36,48,D,"16, 25, and 36 are perfect squares, while 48 is not.",ECAT,Conceptual,Medium,Intelligence,Odd One Out
