Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
Which of the following is the strongest acid?,C6H5OH,p-NO2C6H4OH,p-CH3C6H4OH,C2H5OH,B,"The nitro group is electron-withdrawing, thus increasing the acidity of phenol by stabilizing the negative charge on the oxygen atom.",NET,Conceptual,Medium,Chemistry,Alcohols Phenols and Ethers
The reaction of phenol with NaOH gives,Sodium phenoxide,Sodium phenolate,Both A and B,None of these,C,"Phenol reacts with NaOH to form sodium phenoxide (or sodium phenolate), which is the salt of phenol.",NET,Conceptual,Medium,Chemistry,Alcohols Phenols and Ethers
The Williamson ether synthesis involves,SN1 reaction,SN2 reaction,Electrophilic addition,Free radical substitution,B,"Williamson ether synthesis is an SN2 reaction between an alkyl halide and an alkoxide ion, resulting in the formation of an ether.",NET,Conceptual,Medium,Chemistry,Alcohols Phenols and Ethers
The boiling point of ethers is lower than their isomeric alcohols due to,Hydrogen bonding,Lack of hydrogen bonding,High molecular weight,Low molecular weight,B,"Ethers lack hydrogen bonding, which is present in alcohols, resulting in lower boiling points for ethers compared to their isomeric alcohols.",NET,Conceptual,Medium,Chemistry,Alcohols Phenols and Ethers
The reaction of alcohols with Lucas reagent is an example of,SN1 reaction,SN2 reaction,Electrophilic substitution,Nucleophilic substitution,A,"Lucas reagent reacts with alcohols through an SN1 pathway, where the rate-determining step is the formation of a carbocation.",NET,Conceptual,Medium,Chemistry,Alcohols Phenols and Ethers
The major product of the reaction of 1-propanol with PBr3 is,1-Bromopropane,2-Bromopropane,Propene,"1,2-Dibromopropane",A,"PBr3 reacts with 1-propanol to form 1-bromopropane through an SN2 reaction, which is a straightforward substitution.",NET,Conceptual,Medium,Chemistry,Alcohols Phenols and Ethers
Phenol is more acidic than,Ethanol,Methanol,Both A and B,None of these,C,Phenol is more acidic than both ethanol and methanol due to the resonance stabilization of the phenoxide ion.,NET,Conceptual,Medium,Chemistry,Alcohols Phenols and Ethers
The reaction of phenol with bromine water gives,"2,4,6-Tribromophenol","2,4-Dibromophenol",p-Bromophenol,o-Bromophenol,A,"Phenol reacts with bromine water to form 2,4,6-tribromophenol due to the directing effect of the hydroxyl group.",NET,Conceptual,Medium,Chemistry,Alcohols Phenols and Ethers
Diethyl ether is prepared by,Williamson synthesis,Dehydration of ethanol,Reaction of ethyl chloride with NaOH,Reaction of ethyl chloride with sodium ethoxide,B,"Diethyl ether is prepared by the dehydration of ethanol, typically in the presence of an acid catalyst like sulfuric acid.",NET,Conceptual,Medium,Chemistry,Alcohols Phenols and Ethers
The order of reactivity of alcohols towards sodium is,Primary > Secondary > Tertiary,Tertiary > Secondary > Primary,Secondary > Primary > Tertiary,Primary > Tertiary > Secondary,A,The reactivity of alcohols towards sodium decreases from primary to tertiary due to steric hindrance and the +I effect.,NET,Conceptual,Medium,Chemistry,Alcohols Phenols and Ethers
The reaction of anisole with HI gives,Phenol and methyl iodide,Phenol and ethyl iodide,Benzene and methanol,Toluene and HI,A,Anisole reacts with HI to give phenol and methyl iodide due to the cleavage of the ether linkage.,NET,Conceptual,Medium,Chemistry,Alcohols Phenols and Ethers
