Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
A 2 kg block is moving with 5 m/s velocity. What is its kinetic energy?,25 J,10 J,20 J,30 J,A,"Kinetic energy = 1/2 mv² = 1/2 * 2 * 5² = 25 J, using the formula for kinetic energy.",NET,Conceptual,Medium,Physics,Motion and Force
A force of 10 N acts on a body of mass 2 kg. What is its acceleration?,5 m/s²,10 m/s²,2 m/s²,20 m/s²,A,"F = ma, so a = F/m = 10/2 = 5 m/s², applying Newton's second law.",NET,Conceptual,Medium,Physics,Motion and Force
A body is moving in a circular path. What is the direction of its acceleration?,Tangential to the circle,Perpendicular to the circle,Towards the center,Away from the center,C,"Centripetal acceleration is directed towards the center of the circle, necessary for circular motion.",NET,Conceptual,Medium,Physics,Motion and Force
A car accelerates from 0 to 60 km/h in 10 s. What is its average acceleration?,1.67 m/s²,6 m/s²,16.7 m/s²,0.6 m/s²,A,"First convert 60 km/h to m/s: 60 * 1000 / 3600 = 16.67 m/s. Then, a = Δv/Δt = 16.67 / 10 = 1.67 m/s².",NET,Conceptual,Medium,Physics,Motion and Force
A 5 kg block is pulled with a force of 20 N at 30° to the horizontal. What is its horizontal acceleration?,3.46 m/s²,2 m/s²,4 m/s²,1.73 m/s²,A,"Horizontal component of force = Fcos(30°) = 20 * √3 / 2 = 17.32 N. Then, a = F/m = 17.32 / 5 = 3.46 m/s².",NET,Conceptual,Medium,Physics,Motion and Force
A body is thrown upwards with 20 m/s. What is its velocity at the highest point?,0 m/s,10 m/s,20 m/s,-10 m/s,A,"At the highest point, velocity is 0 m/s because the body momentarily stops before falling back.",NET,Conceptual,Medium,Physics,Motion and Force
A force of 5 N acts on a body for 4 s. What is the impulse?,10 Ns,20 Ns,15 Ns,25 Ns,B,"Impulse = F * Δt = 5 * 4 = 20 Ns, using the formula for impulse.",NET,Conceptual,Medium,Physics,Motion and Force
A 10 kg block is moving on a frictionless surface. What is its acceleration if a 20 N force is applied?,2 m/s²,1 m/s²,4 m/s²,0.5 m/s²,A,"F = ma, so a = F/m = 20/10 = 2 m/s², applying Newton's second law.",NET,Conceptual,Medium,Physics,Motion and Force
A body is moving in a straight line with uniform velocity. What is its acceleration?,0 m/s²,1 m/s²,-1 m/s²,2 m/s²,A,Uniform velocity means zero acceleration because there's no change in velocity.,NET,Conceptual,Medium,Physics,Motion and Force
A 2 kg block is attached to a spring with spring constant 100 N/m. What is its angular frequency?,√50 rad/s,10 rad/s,5 rad/s,20 rad/s,A,"ω = √(k/m) = √(100/2) = √50 rad/s, using the formula for angular frequency of a spring-mass system.",NET,Conceptual,Medium,Physics,Motion and Force
A car is moving on a circular track. What is the direction of the frictional force?,Towards the center,Away from the center,Tangential to the circle,Perpendicular to the circle,A,"Frictional force provides the necessary centripetal force, directing towards the center.",NET,Conceptual,Medium,Physics,Motion and Force
A body is projected at 45° to the horizontal. What is its range?,v² / g,v²sin(2θ) / g,v²sin(θ) / g,v²cos(θ) / g,B,"Range = v²sin(2θ) / g. At 45°, sin(2θ) = 1, so range = v² / g, using the range formula.",NET,Conceptual,Medium,Physics,Motion and Force
