Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
What is the primary function of the ARP protocol in a network?,To resolve IP addresses to MAC addresses,To resolve MAC addresses to IP addresses,To manage IP address allocation,To provide network security,A,"ARP protocol maps IP addresses to MAC addresses using a broadcast request, enabling devices to communicate at the data link layer.",NET,Conceptual,Medium,Computer_Science,Information Networks
Which of the following is a characteristic of a connectionless protocol?,Guaranteed delivery,Sequenced data transfer,No handshake required,Flow control,C,"Connectionless protocols, like UDP, do not require a handshake or connection establishment before data transfer.",NET,Conceptual,Medium,Computer_Science,Information Networks
What is the purpose of the subnet mask in IP addressing?,To identify the host ID,To determine the network ID,To apply to both host and network IDs,To differentiate between IPv4 and IPv6,B,The subnet mask is applied to an IP address using bitwise AND to determine the network ID and subnet.,NET,Conceptual,Medium,Computer_Science,Information Networks
"In the context of network topologies, what is a characteristic of a star topology?",All devices are connected in a single cable,Devices are connected to a central hub,Data travels in a circular path,Each device is connected to every other device,B,"In a star topology, all devices are connected to a central device, typically a hub or switch, simplifying management and fault isolation.",NET,Conceptual,Medium,Computer_Science,Information Networks
What is the primary difference between TCP and UDP?,TCP is faster than UDP,"TCP is connectionless, UDP is connection-oriented","TCP guarantees delivery, UDP does not","TCP is used for broadcasting, UDP for unicasting",C,"TCP ensures reliable data transfer through acknowledgments and retransmissions, whereas UDP provides best-effort delivery without guarantees.",NET,Conceptual,Medium,Computer_Science,Information Networks
Which protocol is used for sending emails?,SMTP,HTTP,FTP,SNMP,A,SMTP (Simple Mail Transfer Protocol) is used for sending and receiving email between email servers and clients.,NET,Conceptual,Medium,Computer_Science,Information Networks
What is the function of the DHCP protocol in a network?,To translate domain names to IP addresses,To assign IP addresses dynamically,To manage network security,To monitor network devices,B,DHCP (Dynamic Host Configuration Protocol) assigns IP addresses and other network settings to devices on a network dynamically.,NET,Conceptual,Medium,Computer_Science,Information Networks
"In a network, what is a collision domain?",A domain where all devices can communicate directly,A domain where data collisions can occur,A domain that is isolated from other networks,A domain that requires a router to communicate,B,"A collision domain is a network segment where data packets can collide with each other, typically in a shared Ethernet network.",NET,Conceptual,Medium,Computer_Science,Information Networks
What is the role of a router in a network?,To connect devices within a LAN,To connect multiple networks together,To provide network security,To manage IP address allocation,B,"Routers connect multiple networks, routing traffic between them based on network addresses and routing tables.",NET,Conceptual,Medium,Computer_Science,Information Networks
Which of the following is a type of network attack?,Virus,Worm,DDoS,All of the above,D,"All options (Virus, Worm, DDoS) are types of network attacks or malware that can compromise network security.",NET,Conceptual,Medium,Computer_Science,Information Networks
What is the purpose of the traceroute command?,To test network connectivity,To diagnose network path and latency,To manage network devices,To monitor network traffic,B,"Traceroute is used to diagnose the path taken by packets across a network, showing each hop and associated latency.",NET,Conceptual,Medium,Computer_Science,Information Networks
"In IPv4, how many bits are used for the IP address?",16 bits,32 bits,64 bits,128 bits,B,"IPv4 addresses are 32 bits long, typically represented in dotted decimal notation.",NET,Conceptual,Medium,Computer_Science,Information Networks
What is the main function of the transport layer in the OSI model?,To provide network addressing,To ensure reliable data transfer,To manage network topology,To provide network security,B,"The transport layer ensures reliable data transfer between devices, providing error detection and correction.",NET,Conceptual,Medium,Computer_Science,Information Networks
Which protocol is used for file transfer over the internet?,HTTP,FTP,SMTP,SNMP,B,FTP (File Transfer Protocol) is used for transferring files between devices over a network.,NET,Conceptual,Medium,Computer_Science,Information Networks
What is the purpose of the ping command?,To test network connectivity,To diagnose network path and latency,To manage network devices,To monitor network traffic,A,Ping is used to test network connectivity by sending ICMP echo requests to a destination and measuring response times.,NET,Conceptual,Medium,Computer_Science,Information Networks
"In the context of network security, what is a firewall?",A device that connects multiple networks,A system that monitors and controls network traffic,A protocol for secure data transfer,A type of network attack,B,A firewall is a network security system that monitors and controls incoming and outgoing network traffic based on security rules.,NET,Conceptual,Medium,Computer_Science,Information Networks
What is the difference between a hub and a switch?,"A hub is a Layer 3 device, a switch is a Layer 2 device","A hub broadcasts data to all ports, a switch forwards data to specific ports","A hub is used for WAN connections, a switch for LAN",A hub is faster than a switch,B,"A hub broadcasts incoming data to all its ports, whereas a switch forwards data to the specific port where the destination device is connected.",NET,Conceptual,Medium,Computer_Science,Information Networks
Which of the following is a characteristic of IPv6?,32-bit address space,128-bit address space,No support for auto-configuration,Less secure than IPv4,B,"IPv6 uses a 128-bit address space, providing a much larger number of addresses compared to IPv4's 32-bit address space.",NET,Conceptual,Medium,Computer_Science,Information Networks
What is the primary function of the DNS protocol?,To translate domain names to IP addresses,To assign IP addresses dynamically,To manage network security,To monitor network devices,A,"DNS (Domain Name System) translates domain names to IP addresses, enabling users to access websites using easy-to-remember domain names.",NET,Conceptual,Medium,Computer_Science,Information Networks
