Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"The equation of the circle with center (2, 3) and radius 4 is",(x - 2)² + (y - 3)² = 16,(x + 2)² + (y + 3)² = 16,(x - 2)² + (y + 3)² = 16,(x + 2)² + (y - 3)² = 16,A,"Using the standard equation of a circle: (x - h)² + (y - k)² = r², where (h, k) is the center and r is the radius.",NET,Conceptual,Medium,Mathematics,Conic Sections
"The parabola y² = 4ax passes through (2, 4), then the value of a is",1,2, 1 / 2,4,C,"Substitute the point (2, 4) into the equation y² = 4ax to get 16 = 8a, so a = 2 / 2 = 1 / 2 * 2 = 2 / 2.",NET,Conceptual,Medium,Mathematics,Conic Sections
The foci of the ellipse 9x² + 4y² = 36 are,"(0, ±√5)","(±√5, 0)","(0, ±5)","(±5, 0)",A,"First, convert the equation to standard form: x² / 4 + y² / 9 = 1. Then, c = √(a² - b²) = √(9 - 4) = √5.",NET,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the tangent to the parabola y² = 4x at (1, 2) is",x + y = 3,x - y + 1 = 0,y = x + 1,x - y = -1,B,"Using the point-slope form of the tangent to y² = 4ax: y = mx + a/m, and substituting m = 1 (since the slope at (1, 2) is 1).",NET,Conceptual,Medium,Mathematics,Conic Sections
The eccentricity of the hyperbola 9x² - 16y² = 144 is, 5 / 4, 4 / 3, 5 / 3, 3 / 2,C,"First, convert the equation to standard form: x² / 16 - y² / 9 = 1. Then, e = √(1 + b² / a²) = √(1 + 9 / 16).",NET,Conceptual,Medium,Mathematics,Conic Sections
The radius of the director circle of the ellipse x² + 4y² = 4 is,√3,√5,2,√2,B,"The radius of the director circle is √(a² + b²), where a = 2 and b = 1, so √(4 + 1) = √5.",NET,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the normal to the ellipse x² / 4 + y² = 1 at (2cosθ, sinθ) is",2xsecθ - ycosecθ = 3,2xsecθ - ycosecθ = √3,2xsecθ - ycosecθ = √5,None of these,A,"Using the equation of the normal to an ellipse: (ax / cosθ) - (by / sinθ) = a² - b², where a = 2 and b = 1.",NET,Conceptual,Medium,Mathematics,Conic Sections
The length of the latus rectum of the parabola y² = 8x is,4,8,2,16,B,"The length of the latus rectum is 4a, where 4a = 8, so a = 2 and the length is 8.",NET,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the tangent to the hyperbola x² - 4y² = 4 at (4, √3) is",x - 2√3y = 2,x + 2√3y = 2,4x - 4√3y = 4,4x + 4√3y = 4,C,"Using the equation of the tangent to a hyperbola: xx1 / a² - yy1 / b² = 1, where (x1, y1) = (4, √3).",NET,Conceptual,Medium,Mathematics,Conic Sections
The center of the circle x² + y² + 4x + 6y + 9 = 0 is,"(-2, -3)","(2, 3)","(-2, 3)","(2, -3)",A,"The center is given by (-g, -f), where g = 2 and f = 3 in the general equation x² + y² + 2gx + 2fy + c = 0.",NET,Conceptual,Medium,Mathematics,Conic Sections
