Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
6,Mc Dougall defines 'instinct' as an ____________ psycho physical disposition.,unnatural,inherited,acquired,none of these,B
7,Ethics helps the individuals to interact ethically with colleagues and to effectively coordinate with other departments.,work ethics,service learning,integrity,none of these,A
8,The aim of punishment as per the Reformative theory is:,To prevent others from committing similar offence,To educate or reform the offender himself,To allow man's deeds to return on his own head,To punish people who resist reformation,A
9,"The higher quality pleasure, according to Mill, is:",Bodily pleasure,Intellectual pleasure,Sensual pleasure,Animal pleasure,B
10,Utilitarianism is also called ____________ hedonism.,egoistic,universalistic,analytic,none of these,A
11,Employee rights are moral and legal rights that are obtained by the status of being an employee.,affirmative actions,whistle blowing,preferential treatment,none of the these,B
12,A business needs to be ethical in order to:,Practical euthanasia,Voluntary euthanasia,Passive euthanasia,All of these,D
13,The word ethics stands for:,Substances,Properties of chemicals,Study of human conduct,None of these,D
14,The laws which are means to other ends are of the nature of ____________ imperative.,Moral,Categorical,Hypothetical,Good,C
15,KRA in MBO stands for:,kerala rural academy,key result areas,key resources availability,none of these,D
16,The contingency school of thought has developed on the idea that there is no single best method to find solutions to Managerial problems.,system approach,empirical,contingency,operational,B
17,The four types of social responsibility include:,"legal, philanthropic, economic, and ethical","ethical, moral, social, and economic","philanthropic, justice, economic, and ethical",none of these,D
18,An example for Positive science is:,Ethics,Logic,Aesthetics,None of these,D
19,A written statement of policies and principles that guides the behavior of all employees is called:,Code of conduct,Code of practice,Code of ethics,Policy manual,C
20,Predictive control aims at visualizing and identifying deviations before they actually occur.,predictive control,concurrent control,operational control,none of these,A
21,____________ driven companies are always successful in the long run.,Functional area ethic,Corporate policy ethics,Value ethics,all of these,C
22,Top managers demonstrate commitment to ethical business practices with:,the adoption of written codes of ethics,employee empowerment,decentralized decision-making practices,collusion with other companies,B
23,"____________ hedonism holds that pleasure is the natural and normal object of desire, that we always seek pleasure and avoid pain.",Ethical,Egoistic,Psychological,Altruistic,C
24,"Directing means issuing orders, instructions, and commands.",directing,unity of command,authority,none of these,A
25,Occupational crime is called as white-collared crime.,human rights,employee rights,employer rights,none of the these,A
26,"The theory that what we ought to aim at is the greatest possible amount of pleasure of all human beings, or of all sentient creatures, is:",Utilitarianism,Perfectionism,Egoistic Hedonism,Humanitarianism,A
27,"According to consequentialist ethical theories, the rightness or wrongness of an action is determined by:",Maximizing happiness,Following established rules,Virtue and character,Acting out of duty,A
28,"The system approach is based on the idea that an organization is studied in detail and decisions are taken for each sub-system, which in turn is in conformity with the total system.",empirical,management science,contingency,system,A
29,"The Global Compact is a document that outlines principles for doing business globally in the areas of human rights, labour, the environment, and anticorruption.",A code of ethics,The Global Compact,The Foreign Corrupt Practices Act,none of these,B
30,"If a human being is not capable of understanding the choice between life and death, euthanasia would be:",Suicide,Killing,Non-voluntary euthanasia,Assisting suicide,C
31,The codes of ethics propagated by professional societies play a variety of roles. They are:,codes of conduct,ethical judgment,standards,ethical principals,C
32,Wisdom is the virtue of the ____________ part of the soul.,Ruling Class,Traders,Kings,Soldiers,B
33,Expert authority is necessary to ensure progress in action.,agency authority,institutional authority,expert authority,none of the these,C
34,The framework for establishing good corporate governance and accountability was originally set up by:,Bentham,Bentham,T. H. Green,none of these,D
35,Ethics determines the rightness or wrongness of:,human actions,human thought,human judgements,none of these,D
36,Kant's third maxim says:,Act as a member of a kingdom of ends,Respect for the dignity of persons,What is right is universal,Treat personality as of absolute worth,A
37,"According to perfectionism, the highest good is:",J. S. Mill,T. H. Green,Herbert Spencer,Bentham,B
38,The appraisal of an employee is done for his/her:,performance,Successful completion of projects and Initiatives,Maintenance of good customer relation,All of the above,D
39,Compliance is about obeying and adhering to rule and authority.,liberalists,opponents,feminists,none of these,B
40,Who proposed the three postulates of ethics?,Kant,Rashdall,Aurobindo,Descartes,A
41,Which of the following is an example of a virtue?,Honesty,Non-maleficence,Autonomy,Justice,A
42,Paternalistic leadership is also referred to as fatherly leadership.,autocratic,participative,free rein,paternalistic,C
43,Courage to accept the mistakes will ensure success in the efforts in future:,conscientiousness,blameworthy,stakeholder,none of these,D
44,____________ is not against the law in Michigan.,Involuntary,Non-voluntary,Assisting suicide,None of these,D
45,Ethics is concerned precisely with the ____________ to decide the right/wrong in human conduct.,Universality,Norms,Influence,Experience,B
46,Event tree analysis method illustrates the sequence of outcomes which may occur after the occurrence of a selected initial event.,fmea,fault tree analysis,event tree analysis,none of the these,A
47,Which ethical theory is based on the principle of maximizing happiness and minimizing suffering?,The principle of beneficence,The principle of non-maleficence,The principle of autonomy,The principle of veracity,D
48,Which ethical theory emphasizes the importance of following moral rules and duties?,A patient's right to receive medical treatment without interference,A patient's agreement to undergo a medical procedure after being fully informed about the risks and benefits,A physician's right to make decisions for a patient without their input,A patient's right to refuse medical treatment for any reason,B
49,It consists of assigned tasks at the place of employment and achieving the objectives.,moral responsibility,causal responsibility,legal responsibility,none of these,C
50,A whistle-blower:,doesn't have to be a past or present member of the organization,"doesn't have to report activity that is illegal, immoral, or harmful",is any employer who spreads gossip,none of these,B
51,Decision making is the process of selecting one best alternative from different alternatives.,planning,organizing,decision making,forecasting,B
52,"Opponents of abortion really want to uphold the right to life of the human being from ____________, irrespective of whether it is conscious or not.",Denmark,America,Conception,Poland,C
53,Simulation testing is done on a proportional scale model with all vital components fixed in the system.,codes of ethics,word of ethics,ethical dilemma,none of the these,A
54,A scenario is a synopsis of events or conditions leading to an accident and subsequent loss.,fault tree analysis,event tree analysis,fmea,none of the these,A
55,Fault tree analysis method uses technology-based deductive logic.,"the product, when it fails, should fail safely","the product, when it fails, can be abandoned safely",both,none of the these,A
56,Motivation means a process of stimulating people to action to accomplish desired goals.,motivation,leadership,communication,none of these,A
57,____________ is a postulate of morality.,law of excluded middle,immortality of the soul,law of identity,none of these,A
58,The belief that businesses should be responsible because such actions are right for their own sake is known as which argument for social responsibility?,placing members of society on welfare,protecting and improving society's welfare,minimizing the welfare of society in exchange for profits,none of these,A
59,Low morale of the employees because of dissatisfaction and downsizing:,absence of grievance,lack of transparency,poor attitude,lack of promotion,C
60,Which of the following is not usually the objective of a code of ethics?,Political justice,Cultural justice,Social justice,None of these,C
61,Character is built up by a person out of his natural tendencies and dispositions by controlling and regulating them by:,Passion,emotions,reason,Desire,C
62,"Identification, transfer, and implementation of the most suitable technology for a set of new situations, is called technology transfer.",environmental ethics,omputer ethics,business ethics,none of the these,A
63,Which ethical theory prioritizes the promotion of the greatest good for the greatest number of people?,Utilitarianism,Deontological ethics,Virtue ethics,Autonomy ethics,A
64,"When it is necessary to engage in a good amount of deception to conduct a scientifically valid study, what procedure should a researcher follow?",Debriefing,Duplicate publication,Deception,Full publication,A
65,What is meant by the phrase 'teleological ethics'?,"Is used to judge if an action is right, fair, and honest",An action can only be judged by its consequences,Developing the individual's personal characteristics,none of these,B
66,Work study helps to determine a fair day's work and rest period to complete it.,work study,time study,motion study,none of these,B
67,"If you can keep things at work in order and have a neat workplace, then you have great organizational skills.",loyalty,organizational skills,productivity,none of these,A
68,Which of the following is not true?,It makes morality depend on a person's desires.,It fails to give us any guidance whatsoever.,It makes morality depend solely on the consequences of one's acions.,"It allows lying, which is never permissible.",D
69,"According to unity of direction principle, there should always exist one head and one plan for a group of activities having the same objective.",unity of direction,unity of command,esprit de corps,none of these,D
70,"Environmental ethics is the study of moral perspectives, beliefs, or attitudes concerning those issues.",obscenity,sedition,defamation,none of the these,A
71,What is the enlightened self-interest model of CSR?,A written code of conduct,An ethics officer,Significant financial expenditures,none of these,D
72,Which one is the dimension (approach) of corporate social responsibility?,Corporate philanthropy,Stakeholders priorities and sustainable development,Ethical business,All of these,A
73,"What type of justice exists if employees are being open, honest, and truthful in their communications at work?",Procedural,Distributive,Ethical,Interactional,D
74,One is unable to choose between two good moral solutions:,vagueness,conflicting reasons,disagreement,refuse bribe,C
75,"According to virtue ethics, the most important factor in determining moral rightness is:",Consequences,Intentions,Rules and principles,Pleasure or pain,B
76,Disqualification of directors may result from breaches under the:,Health and Safety Act,Financial Services Act,Sale of Goods Act,Companies Act,D
77,"Worldwide, about 80 percent of businesses in the private sector are small or medium- sized.",80,85,90,none of these,A
78,Which of the following is NOT an ethical principle of research?,Maximizing happiness,Following established rules,Virtue and character,Acting out of duty,D
79,"The eternal law for man cannot be physical, but only ____________.",Aquinas,Willam Craig,Karl Rahner,Aristotle,A
80,Which ethical theory emphasizes the importance of the individual's character?,Virtue ethics,Deontology,Utilitarianism,Care Ethics,C
81,Atmospheric issues include all of the following except:,Acid Rain,Global Warming,Air Pollution,Water Quantity,D
82,Temperance is the special virtue of the:,Kant,Socrates,Plato,Aristotle,C
83,Which among the following is the correct statement?,Ethics is a Practical Science,Ethics is a Positive Science,Ethics is an Art,Ethics is a Normative Science,D
84,Ethics deals with the correctness of:,conduct,thought,perception,intuition,A
85,Which ethical theory states that the right course of action is the one that maximizes overall happiness?,The principle of beneficence,The principle of non-maleficence,The principle of autonomy,The principle of justice,A
86,Both Bentham and Mill share the ____________ principle of morality.,pleasure,evolutionist,both (a) and (b),neither (a) nor (b),A
87,"Identify the term that refers to a post-study interview in which all aspects of the study are revealed, reasons for deception are given, and the participants' questions are answered.",Debriefing,Keeping participants from harm,Maintaining consent forms,Full anonymity,A
88,"____________ is the harmonious functioning of intellect, emotion and desire under the guidance of reason.",Justice,Courage,Wisdom,Temperance,C
89,Which theory of punishment appears to justify the law of 'an eye for an eye and a tooth for a tooth'?,Retributive theory,Reformative theory,Deterrent theory,Deontological theory,B
90,Which among the following is a wrong definition of Ethics?,Ethics is the science of customs and habits of men,Ethics is the science of character and conduct of animals,Ethics is the science of rightness and wrongness of human conduct,Ethics is the science of the highest end or purpose of human life.,B
91,The etymological meaning of the term Dharma is:,what sustains,union,morality,none of these,B
92,The time limit for providing information under the RTI Act concerning the life and liberty of a person is 48 hours.,24 hours,48 hours,72 hours,none of these,B
93,There are three basic qualities which should guide the work of a good journalist:,"objectivity, impartiality and truthfulness","honesty, loyalty and impartiality","truthfulness, integrity and fairness",none of these,B
94,Which of the following statements about business ethics is true?,It concerns the impact of a business's activities on society,It refers to principles and standards that determine acceptable behavior in the world of business,It relates to an individual's values and moral standards and the resulting business decisions he or she makes,none of these,D
95,"Concerning ""authorship"" in educational research, intellectual ownership is predominantly a function of:",Possession of resources,Ethical obligation,Public image,Violation of profit maximization,B
96,The traits or qualities that are considered as valuable are known as:,culture,values,ethics,none of these,B
97,The Supreme Court of India is located in New Delhi.,New Delhi,Mumbai,Kolkata,none of these,A
98,Moonlighting is a situation when a person is working as an employee for two different companies in their spare time.,bribery,occupational crime,computer crime,none of the these,A
99,Which of the following would most effectively act as the primary objective of a business organization?,To make a profit,To procure resources,To communicate with shareholders,none of these,A
100,Find out the mismatching pair.,Pleasure,Intention,Wish,Will,B
101,Co-ordination is a process of integrating the interdepartmental activities as a unified action towards the achievement of the common goal of the organization.,controlling,directing,co-ordination,none of these,A
102,The second stage of moral development is:,Principled,Conventional,Pre conventional,Both A and C,C
103,Discrimination is a morally unjust treatment of people in the workplace.,recipient,agent,internal,none of the these,A
104,Which ethical theory argues that the morality of an action is determined by whether it conforms to a set of universal rules or principles?,The principle of beneficence,The principle of non-maleficence,The principle of autonomy,The principle of veracity,A
105,Which of the following approaches taken by people to resolve ethical issues is the primary approach used by the federal government and most professional organizations?,Deontology,Utilitarianism,Both a and b,None of these,B
106,The belief that a firm's pursuit of social goals would give them too much power is known as what argument in opposition to a firm being socially responsible?,Costs,lack of skills,lack of broad public support,too much power,B
107,Fraudulent trading may be:,a criminal offense committed only by directors of a limited company,a civil and a criminal offense committed by an employee,a civil and a criminal offense committed only by directors of a limited company,a civil offense committed by an employee,C
108,"""It is wrong to break a promise because as a moral law it cannot be universalized."" This illustrates the ethical position of:",Kant,J. S. Mill,Bentham,Spencer,A
