Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
6,Which of the following is a binary number?,1001,1002,1005,1006,A
7,"If a + b = -2, then (a+b)³ = ?",6,-8,10,-12,B
8,"A takes 6 days less than the time taken by B to finish a piece of work. If both A and B together can finish it in 4 days, find the time taken by B to finish the work.",10 days,12 days,14 days,16 days,B
9,"The salaries of A, B and C are in the ratio 1:3:4. If the salaries are increased by 5 percent, 10 percent and 15 percent respectively, then the increased salaries will be in the ratio?",21:66:92,0.7878125,32:67:93,None of these,A
10,"When you divide 0.7 by 10, what will you get?",7,0.07,70,0.007,B
11,"When a student weighing 45 kg left a class, the average weight of the remaining 59 students increased by 200g. What is the average weight of the remaining 59 students?",57 kg,58 kg,59 kg,60 kg,A
12,"If a class has 56 boys and the total class strength is 140, then find the percentage of boys:",30 percent,40 percent,20 percent,None of these,B
13,How much distance in kilometers will a cyclist cover from 11:10 am to 11:50 am while cycling at the speed of 15 kilometers per hour?,10,11,12,13,A
14,The sum of the reciprocals of A's ages (in years) 2 years ago and 2 years from now is 2/3. The present age of A is?,2 years,7 years,4 years,5 years,C
15,"A 2-digit number that, if taken 3 times and then 45 is subtracted, has its digits reversed:",-24,26,27,None of these,B
16,"The ratio of two numbers a and b is 3:5. If 2 is added to both the numbers, the ratio becomes 2:3. Find b?",15,10,8,5,B
17,Evaluate: √6084,78,72,66,65,A
18,294 is multiplied by which positive integer to give a perfect square?,6,7,8,None of these,A
19,"In a sequence 35, 45, 55, ______, the 10th term of this sequence is:",115,120,125,350,C
20,"Which one of the numbers completes the series: 2, 5, 8, 11, 14, ____.",18,17,19,16,B
21,"The ratio of the ages of two students is 3:2. If one is 5 years older than the other, then the age of the younger student is:",5,15,10,None of these,C
22,"If 54 is subtracted from three times a certain number, the result is 36. Find the number.",20,25,30,None of these,C
23,"If A's income is 40' percent less than B's income, then how much percent is B's income more than A's income?",66.66 percent,68.66 percent,69.66 percent,None of these,A
24,"Working 5 hours a day, A can complete a work in 8 days, and working 6 hours a day, B can complete the same work in 10 days. Working 8 hours a day, they can jointly complete the work in:",3 days,4 days,4.5 days,None of these,A
25,"If Amir is to the North of Bilal, and Saad is to the West of Bilal, in which direction is Amir with respect to Saad?",West South,West-North,North-East,North,C
26,"If a heart beats 72 times in one minute, then in how many seconds does it beat 210 times?",170,175,180,None of these,B
27,"A fruit basket comprises oranges, peaches and strawberries. The ratio of oranges to peaches to strawberries is 2:3:4. If there are 8 oranges, how many total fruit items are there in the basket?",16,32,36,48,C
28,"Complete the number series: 4, 9, 13, 22, 35, ____",57,63,70,75,A
29,(7x - 1) = (4x + 8). What will the value of x be?,3,4,1,None of these,A
30,"What is x in the series 24, 29, 36, 41, x, 53?",45,47,48,46,C
31,"Aaron has 3 times as much money as Josh. If Aaron gives Josh $50, Josh will then have 3 times as much money as Aaron. How much money do the two of them have together?",$100,$110,$135,$150,A
32,Simplify: 0.04 x 0.0162 x 0.001 = ?,6.48 x 10⁻³,6.48 x 10⁻⁵,6.48 x 10⁻⁶,6.48 x 10⁻⁷,D
33,"If the average arithmetic mean of 8, 12, 15, 21, x, and 11 is 17, then what is x?",3,15,17,35,D
34,"If 7/21 of a number is 6, what is 14/21 of that number?",12,14,8,11,A
35,'Laila is four times as old as her 2-year-old brother Mansoor. How old will Mansoor be when he is half the age of his older sister Laila?,4,6,5,7,A
36,"A man sells two items for the same price of $100 each. On one item, he makes a profit of 20 percent, and on the other, he incurs a loss of 20 percent. What is his overall profit or loss percentage?","No profit, no loss",4 percent profit,4 percent loss,8 percent loss,C
37,Which of the following is not a perfect square?,2809,2218,2916,3136,B
38,"If Gohar's salary is 25 percent less than Babar's salary, then by how much percent is Babar's salary greater than Gohar's?",105/3,100/3,95/3,None of these,B
39,((2.39)^2 - (1.61)^2) / (2.39 - 1.61),3,4,5,None of these,B
40,"A ladder 15 meters long just reaches the top of a vertical wall. If the ladder makes an angle of 60° with the wall, find the height of the wall.",7 m,7.5 m,8 m,8.5 m,B
41,"A village has 5860 voters, of whom 7 percent usually forget to vote. In order to win an election, a candidate must gain at least 50 percent of the remaining votes. How many votes does he need in order to win?",2725,5450,5449,None of these,A
42,A patient requires a 30 percent decrease in the dosage of his medication. His current dosage is 340 mg. What will his dosage be after the decrease?,70 mg,238 mg,270 mg,340 mg,B
43,"If A:B:C = 2:3:4, then A/B : B/C : C/A is equal to:",'4:9:16,'8:9:12,'8:9:24,None of these,C
44,A car is moving with a speed of 120 km/h. How much distance does the car cover in 4 hours and 30 minutes?,540,550,570,580,A
45,"If 4 out of 25 candidates failed a driving test, the percentage of passed candidates is:",0.04,0.21,0.42,0.84,D
46,"A bag contains 50 paise, 1 rupee and 2 rupee coins in the ratio 2:5:8. If the total amount is Rs. 352, find the total number of coins in the bag.",160,200,250,240,D
47,"A and B can do a piece of work in 12 days, B and C in 15 days, and C and A in 20 days. Then the number of days taken by A, B, and C together to finish the work is:",10 days,12 days,14 days,None of these,A
48,The product of two numbers is 72. Find the other number when one number is 9.,10,8,6,None of these,B
49,"In the xy-plane, points (-3,5) and (6,8) lie on line l. Which of the following points is also on line l?","(0,6)","(3,8)","(9,10)","(12,11)",A
50,How many numbers of two digits are divisible by 9?,9,10,11,12,B
51,5 ¹/5 + 4 ¹/2 + 4 ¹/3 = ?,14  1/10,13 1/5,30,14  1/30,D
52,"If one-third of one-fourth of a number is 15, then three-tenths of that number is:",40,45,54,None of these,C
53,Multiply: 9.5 x 6 =,57,56,58,59,A
54,What is the value of x in 3x - 15 - 6 = 0?,6,7,9,-9,B
