Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The number of significant figures in 0.00340 is,3,4,5,2,B,"The number of significant figures is determined by counting digits starting from the first non-zero digit. Here, it is 3, 4, and 0, so 3 significant figures.",NET,Conceptual,Medium,Chemistry,Basic Concepts
The mole fraction of a solute in a 2 molal aqueous solution is, 1 / 27, 1 / 28, 1 / 29, 1 / 30,A,"Mole fraction = moles of solute / (moles of solute + moles of solvent). For 2 molal solution, moles of solute = 2, moles of solvent (water) = 1000 / 18 = 55.56. So, mole fraction = 2 / (2 + 55.56) = 1 / 27.78 ≈ 1 / 28, but closest is 1 / 27.78 which simplifies to approximately 1 / 28, the closest answer is 1 / 27.",NET,Conceptual,Medium,Chemistry,Basic Concepts
The empirical formula of a compound is CH₂O. Its molecular weight is 180. The molecular formula is,C₆H₁₂O₆,C₅H₁₀O₅,C₄H₈O₄,C₃H₆O₃,A,Empirical formula weight = 12 + 2 + 16 = 30. Molecular weight = 180. n = 180 / 30 = 6. Molecular formula = (CH₂O)₆ = C₆H₁₂O₆.,NET,Conceptual,Medium,Chemistry,Basic Concepts
The mass of 1 atom of hydrogen is,1 g,1.66 × 10⁻²⁴ g,1.66 × 10⁻²³ g,6.02 × 10²³ g,B,"Mass of 1 mole of H = 1 g. Number of atoms in 1 mole = 6.02 × 10²³. So, mass of 1 atom = 1 / (6.02 × 10²³) = 1.66 × 10⁻²⁴ g.",NET,Conceptual,Medium,Chemistry,Basic Concepts
The number of moles of oxygen in 1 L of air at STP containing 21% oxygen by volume is,0.0093,0.0463,0.093,0.21,A,"1 L of air contains 0.21 L O₂. At STP, 1 mole of gas = 22.4 L. Moles of O₂ = 0.21 / 22.4 = 0.0093.",NET,Conceptual,Medium,Chemistry,Basic Concepts
The normality of 0.3 M H₃PO₄ solution is,0.3,0.6,0.9,0.1,C,"For H₃PO₄, n-factor = 3 (since it can donate 3 H⁺ ions). Normality = Molarity × n-factor = 0.3 × 3 = 0.9.",NET,Conceptual,Medium,Chemistry,Basic Concepts
The volume strength of 1.5 N H₂O₂ solution is,8.4,16.8,4.2,12.6,A,Normality = 1.5 N. Volume strength = 5.6 × Normality = 5.6 × 1.5 = 8.4.,NET,Conceptual,Medium,Chemistry,Basic Concepts
The mass of CO₂ produced when 1 g of CaCO₃ is heated is,0.44 g,0.56 g,0.22 g,0.78 g,A,CaCO₃ → CaO + CO₂. Molar mass of CaCO₃ = 100 g. Moles of CaCO₃ = 1 / 100 = 0.01. Mass of CO₂ produced = 0.01 × 44 = 0.44 g.,NET,Conceptual,Medium,Chemistry,Basic Concepts
The number of atoms in 1 g of helium is,1.5 × 10²³,3.01 × 10²³,6.02 × 10²³,1.2 × 10²³,A,Molar mass of He = 4 g. Number of atoms in 4 g = 6.02 × 10²³. Number of atoms in 1 g = (6.02 × 10²³) / 4 = 1.5 × 10²³.,NET,Conceptual,Medium,Chemistry,Basic Concepts
The percentage of nitrogen in urea is,46.67%,53.33%,60%,40%,A,Molecular formula of urea = CO(NH₂)₂. Molar mass = 60 g. Mass of N = 2 × 14 = 28 g. Percentage of N = (28 / 60) × 100 = 46.67%.,NET,Conceptual,Medium,Chemistry,Basic Concepts
The number of molecules in 1 mL of water is,3.34 × 10²²,6.02 × 10²³,3.34 × 10²³,6.02 × 10²⁰,A,Density of water = 1 g/mL. Mass of 1 mL = 1 g. Moles = 1 / 18 = 0.0556. Number of molecules = 0.0556 × 6.02 × 10²³ = 3.34 × 10²².,NET,Conceptual,Medium,Chemistry,Basic Concepts
The mole ratio of H₂ and O₂ in a mixture containing equal masses of H₂ and O₂ is,16 : 1,1 : 16,8 : 1,1 : 8,A,"Molar mass of H₂ = 2, O₂ = 32. For equal masses, moles of H₂ = m / 2, O₂ = m / 32. Ratio = (m / 2) / (m / 32) = 32 / 2 = 16 : 1.",NET,Conceptual,Medium,Chemistry,Basic Concepts
The number of atoms in 4 g of calcium is,6.02 × 10²²,6.02 × 10²³,1.2 × 10²³,3.01 × 10²³,A,Molar mass of Ca = 40 g. Moles in 4 g = 4 / 40 = 0.1. Number of atoms = 0.1 × 6.02 × 10²³ = 6.02 × 10²².,NET,Conceptual,Medium,Chemistry,Basic Concepts
The volume occupied by 1 mole of an ideal gas at STP is,11.2 L,22.4 L,33.6 L,44.8 L,B,"At STP, 1 mole of an ideal gas occupies 22.4 L.",NET,Conceptual,Medium,Chemistry,Basic Concepts
The mass of 1 molecule of water is,2.99 × 10⁻²³ g,3.34 × 10⁻²³ g,1.66 × 10⁻²⁴ g,1.99 × 10⁻²³ g,A,Molar mass of H₂O = 18 g. Number of molecules in 1 mole = 6.02 × 10²³. Mass of 1 molecule = 18 / (6.02 × 10²³) = 2.99 × 10⁻²³ g.,NET,Conceptual,Medium,Chemistry,Basic Concepts
The percentage of oxygen in NaOH is,40%,50%,60%,30%,A,Molar mass of NaOH = 40 g. Mass of O = 16 g. Percentage of O = (16 / 40) × 100 = 40%.,NET,Conceptual,Medium,Chemistry,Basic Concepts
The number of moles of electrons in 1.8 g of H₂O is,0.1,0.2,1,0.5,C,Moles of H₂O = 1.8 / 18 = 0.1. Number of electrons in 1 molecule = 2 (for 2 H) + 8 (for O) = 10. Moles of electrons = 0.1 × 10 = 1.,NET,Conceptual,Medium,Chemistry,Basic Concepts
The volume of 0.1 M HCl required to react completely with 1 g of CaCO₃ is,100 mL,200 mL,300 mL,400 mL,B,CaCO₃ + 2HCl → CaCl₂ + CO₂ + H₂O. Moles of CaCO₃ = 1 / 100 = 0.01. Moles of HCl required = 2 × 0.01 = 0.02. Volume = 0.02 / 0.1 = 0.2 L = 200 mL.,NET,Conceptual,Medium,Chemistry,Basic Concepts
The number of moles of Na₂CO₃ required to react with 1 mole of HCl is,1,0.5,2,0.25,B,"Na₂CO₃ + 2HCl → 2NaCl + CO₂ + H₂O. 1 mole of Na₂CO₃ reacts with 2 moles of HCl. So, moles of Na₂CO₃ required to react with 1 mole of HCl = 1 / 2 = 0.5.",NET,Conceptual,Medium,Chemistry,Basic Concepts
The mass of 1 L of N₂ at STP is,0.625 g,1.25 g,1.5 g,2.5 g,B,"Molar mass of N₂ = 28 g. At STP, 1 mole = 22.4 L. Mass of 1 L = 28 / 22.4 = 1.25 g.",NET,Conceptual,Medium,Chemistry,Basic Concepts
What is the number of moles in 100 g of CaCO3?,0.5,1,1.5,2,B,Moles = mass / molar mass = 100 / 100 = 1 mole,ECAT,Conceptual,Medium,Chemistry,Basic Concepts
"The empirical formula of a compound is CH2O. If its molecular mass is 180, what is its molecular formula?",C6H12O6,C5H10O5,C4H8O4,C3H6O3,A,"Empirical formula mass = 12 + 2 + 16 = 30, n = 180 / 30 = 6, molecular formula = (CH2O)6 = C6H12O6",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
What is the percentage of oxygen in Al2O3?,45%,47%,50%,53%,B,"Molar mass of Al2O3 = 102, mass of oxygen = 48, percentage = (48 / 102) * 100 = 47%",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
A sample of gas occupies 2 L at 1 atm. What is its volume at 2 atm?,1 L,2 L,3 L,4 L,A,"P1V1 = P2V2, 1 * 2 = 2 * V2, V2 = 1 L",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
The density of a gas is 2 g/L at 1 atm and 27°C. What is its molecular mass?,40,50,60,70,B,"PV = nRT, PM = dRT, M = dRT / P = 2 * 0.0821 * 300 / 1 = 49.26 ≈ 50",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
What is the pH of 0.01 M HCl?,1,2,3,4,B,"pH = -log[H+], [H+] = 0.01, pH = -log(0.01) = 2",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
The rate of diffusion of a gas is inversely proportional to the square root of its,density,molecular mass,pressure,temperature,B,"Rate ∝ 1 / √M, Graham's law of diffusion",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
What is the oxidation state of Cr in Cr2O72-?,+6,+5,+4,+3,A,"2x + 7(-2) = -2, 2x = 12, x = +6",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
The number of atoms in 1 mole of He is,6.02 x 10²3,1.2 x 10²4,3.01 x 10²3,1.8 x 10²4,A,"1 mole = 6.02 x 10²3 atoms, Avogadro's number",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
What is the mass of 1 atom of C-12?,1.66 x 10^-24 g,2 x 10^-23 g,1.99 x 10^-23 g,1.2 x 10^-22 g,C,Mass = 12 / (6.02 x 10²3) = 1.99 x 10^-23 g,ECAT,Conceptual,Medium,Chemistry,Basic Concepts
The mole ratio of H2 to O2 in the reaction 2H2 + O2 → 2H2O is,1:1,2:1,1:2,3:1,B,"From the balanced equation, 2 moles of H2 react with 1 mole of O2",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
What is the normality of 0.1 M H2SO4?,0.1 N,0.2 N,0.3 N,0.4 N,B,"Normality = n * Molarity, n = 2 for H2SO4, Normality = 2 * 0.1 = 0.2 N",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
The volume of 1 mole of an ideal gas at STP is,11.2 L,22.4 L,33.6 L,44.8 L,B,"At STP, 1 mole occupies 22.4 L",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
The number of electrons in 1 mole of electrons is,6.02 x 10²3,1.2 x 10²4,9.65 x 10⁴,1.8 x 10²4,A,"1 mole = 6.02 x 10²3 particles, Avogadro's number",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
What is the mass of 1 L of O2 at STP?,1 g,1.43 g,2 g,3 g,B,"1 mole = 22.4 L, mass = 32 / 22.4 = 1.43 g",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
"The empirical formula of a compound is C2H4O. If its molecular mass is 88, what is its molecular formula?",C4H8O2,C3H6O3,C2H4O2,C5H10O,A,"Empirical formula mass = 44, n = 88 / 44 = 2, molecular formula = (C2H4O)2 = C4H8O2",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
The number of moles of solute in 1 L of 1 M solution is,0.5,1,1.5,2,B,"Molarity = moles / L, 1 M = 1 mole / 1 L",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
What is the pOH of 0.01 M NaOH?,2,12,10,4,A,"pOH = -log[OH-], [OH-] = 0.01, pOH = -log(0.01) = 2",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
The rate constant of a reaction is 0.02 s^-1. What is its half-life?,30 s,35 s,40 s,34.65 s,D,t1/2 = ln(2) / k = 0.693 / 0.02 = 34.65 s,ECAT,Conceptual,Medium,Chemistry,Basic Concepts
What is the mole fraction of solute in 1 M solution?,0.018,0.02,0.05,0.1,A,"For 1 M solution, assume 1 L, moles of solute = 1, mass of solvent ≈ 1000 g, moles of solvent = 55.5, mole fraction = 1 / (1 + 55.5) = 0.018",ECAT,Conceptual,Medium,Chemistry,Basic Concepts
What is the number of moles of oxygen atoms in 1 mole of Ca3(PO4)2?,4,6,8,10,C,"Ca3(PO4)2 contains 8 oxygen atoms per molecule. Hence, 1 mole contains 8 moles of oxygen atoms.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Basic Concepts
"The empirical formula of a compound is CH2O. If its molecular weight is 180 g/mol, what is its molecular formula?",C6H12O6,C4H8O4,C3H6O3,C5H10O5,A,"The empirical formula weight is 30 g/mol. n = 180/30 = 6. Hence, molecular formula is (CH2O)6 = C6H12O6.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Basic Concepts
"If 1 mole of KClO3 is decomposed, how many moles of O2 are produced?",1.5,2,1,3,A,"2KClO3 -> 2KCl + 3O2. So, 1 mole of KClO3 produces 1.5 moles of O2.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Basic Concepts
The percentage of nitrogen in NH4NO3 is,17.5%,35%,28%,40%,B,Molar mass of NH4NO3 = 80 g/mol. Nitrogen percentage = (2*14/80)*100 = 35%.,GIKI_PIEAS,Conceptual,Medium,Chemistry,Basic Concepts
The number of atoms in 1 mole of CO2 is,3*6.022*10²3,2*6.022*10²3,6.022*10²3,4*6.022*10²3,A,"1 molecule of CO2 contains 3 atoms. So, 1 mole contains 3*NA atoms.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Basic Concepts
"If the density of a gas is 1.25 g/L at STP, its molecular weight is",28 g/mol,32 g/mol,40 g/mol,44 g/mol,A,"At STP, 1 L of gas weighs 1.25 g. So, 22.4 L weighs 1.25*22.4 = 28 g.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Basic Concepts
The oxidation number of Cr in K2Cr2O7 is,+6,+5,+4,+3,A,"Oxidation number of K = +1, O = -2. So, 2(+1) + 2x + 7(-2) = 0. x = +6.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Basic Concepts
The number of moles of electrons passed during electrolysis of 1 mole of CuSO4 is,1,2,3,4,B,"Cu2+ + 2e- -> Cu. So, 2 moles of electrons are required to reduce 1 mole of Cu2+.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Basic Concepts
"The empirical formula of a hydrocarbon is CH2. If its molecular weight is 42 g/mol, its molecular formula is",C3H6,C2H4,C4H8,C5H10,A,"Empirical formula weight = 14 g/mol. n = 42/14 = 3. So, molecular formula is (CH2)3 = C3H6.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Basic Concepts
The percentage of oxygen in Al2O3 is,40%,47%,53%,60%,B,Molar mass of Al2O3 = 102 g/mol. Oxygen percentage = (3*16/102)*100 = 47%.,GIKI_PIEAS,Conceptual,Medium,Chemistry,Basic Concepts
