Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"A 0.44 g sample of an organic compound containing only carbon, hydrogen, and oxygen is burnt, yielding 0.88 g of CO2. What is the percentage of carbon?",54.54%,27.27%,12.00%,44.00%,A,Calculation uses mass of CO2 and sample. 27.27% is wrong because it ignores the 12/44 ratio of carbon in CO2.,Combustion Analysis,Medium,Chemistry,Fundamental Principles of Organic Chemistry
A chemist analyzes a hydrocarbon and finds it contains 85.7% carbon and 14.3% hydrogen by mass. What is its empirical formula?,CH,CH2,C2H4,CH4,B,"Atomic ratios are 1:2. C2H4 is the molecular formula, not the empirical formula which must be the simplest ratio.",Empirical Formula,Medium,Chemistry,Fundamental Principles of Organic Chemistry
"During a laboratory experiment, a student synthesizes an alkane with a molecular mass of 72 amu. How many structural isomers can this alkane form?",1,2,3,5,C,Pentane (C5H12) has mass 72 and forms three isomers; 2 is wrong as it ignores the branched neopentane structure.,Isomerism,Hard,Chemistry,Fundamental Principles of Organic Chemistry
A fuel sample is prepared by mixing 70% iso-octane and 30% n-heptane by volume. What is the octane number assigned to this specific fuel blend?,100,0,30,70,D,"Octane number equals the percentage of iso-octane. 30 is wrong because it represents the n-heptane percentage, not the rating.",Reforming,Easy,Chemistry,Fundamental Principles of Organic Chemistry
"In a molecule of 1,3-butadiene (CH2=CH-CH=CH2), what is the total number of sigma bonds and pi bonds present respectively?","9 sigma, 2 pi","7 sigma, 2 pi","11 sigma, 2 pi","9 sigma, 1 pi",A,Includes six C-H and three C-C sigma bonds. 7 sigma is wrong because it forgets C-H bonds.,Sigma and Pi Bonds,Medium,Chemistry,Fundamental Principles of Organic Chemistry
A specific organic compound has an empirical formula of CH2O and a molar mass of 60 g/mol. What is the total number of oxygen atoms in one molecule?,1,2,3,4,B,Molecular formula is C2H4O2 based on molar mass 60. 1 is wrong as it is only the empirical ratio.,Molecular Formula,Medium,Chemistry,Fundamental Principles of Organic Chemistry
"During the combustion analysis of 0.20 g of an organic compound, 0.18 g of water was collected. What is the percentage of hydrogen in this compound?",11.1%,9.0%,20.1%,5.5%,A,Hydrogen mass is calculated using 2/18 of water mass. 9% is wrong because it neglects the H2 molar ratio.,Combustion Analysis,Hard,Chemistry,Fundamental Principles of Organic Chemistry
"If an organic molecule undergoes sp2 hybridization, what is the theoretical percentage of s-character present in each hybrid orbital?",25.0%,50.0%,33.3%,66.7%,C,One s and two p orbitals create three hybrids. 25% is wrong because that applies to sp3 hybridization only.,Hybridization,Easy,Chemistry,Fundamental Principles of Organic Chemistry
A sample of urea [CO(NH2)2] is analyzed for its nitrogen content. What is the mass percentage of nitrogen in pure urea?,23.3%,28.0%,60.0%,46.6%,D,Urea contains two nitrogen atoms (28g) in 60g total. 23.3% is wrong because it counts only one nitrogen atom.,Percentage Composition,Easy,Chemistry,Fundamental Principles of Organic Chemistry
"In the molecule of propyne (CH3-C≡CH), how many sigma bonds are formed by the overlap of sp-sp3 hybridized carbon orbitals?",1,2,3,4,A,"This bond exists between the sp3 methyl carbon and the sp triply-bonded carbon. 2 is wrong, counting pi bonds.",Hybridization,Medium,Chemistry,Fundamental Principles of Organic Chemistry
