Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A chemist observes a three-step reaction mechanism for the synthesis of a complex molecule. Which step dictates the overall rate of the reaction?,The fastest elementary step,The slowest elementary step,The step with the lowest activation energy,The step involving the most stable intermediate,B,The slowest step in a multi-step reaction is the rate-determining step. Option A is tempting but fast steps don't limit overall speed.,Rate Determining Step,Easy,Chemistry,Reaction Kinetics
"In an elementary reaction step involving the collision of two molecules, the term 'molecularity' refers specifically to which parameter?",The total number of molecules in the balanced equation,The sum of exponents in the rate law,The number of reacting species in an elementary step,The experimentally determined power of concentration,C,"Molecularity is the number of reactant molecules in an elementary step. Option D refers to the experimental order, which may differ.",Molecularity,Easy,Chemistry,Reaction Kinetics
"During a chemical reaction, a species is produced in the first step and consumed in the second step. What is this species called?",Reaction intermediate,Homogeneous catalyst,Activated complex,Inhibitor,A,Intermediates are produced then consumed; they don't appear in the net equation. Option B describes a catalyst which is regenerated.,Reaction Intermediates,Easy,Chemistry,Reaction Kinetics
"For the reaction NO2 + CO -> NO + CO2 at low temperature, the mechanism involves 2NO2 -> NO3 + NO (slow). What is the rate law?",Rate = k[NO2][CO],Rate = k[NO2],Rate = k[CO],Rate = k[NO2]^2,D,The rate is determined by the slow step involving two NO2 molecules. Option B fails because CO is not in the rate-determining step.,Reaction Mechanism,Medium,Chemistry,Reaction Kinetics
"In the context of collision theory, what represents the configuration of atoms at the peak of the activation energy barrier?",A stable product of a fast step,A temporary high-energy state during a collision,A substance that can be isolated and stored,The reactant with the highest kinetic energy,B,"Activated complexes are high-energy, unstable species at the peak of the energy barrier. Option C is wrong because they cannot be isolated.",Activated Complex,Easy,Chemistry,Reaction Kinetics
A student adds a small amount of MnO2 to hydrogen peroxide to speed up its decomposition. How does the catalyst achieve this?,Decreasing the activation energy,Increasing the frequency of collisions,Increasing the heat of reaction,Decreasing the kinetic energy of reactants,A,Catalysts lower activation energy by providing an alternative pathway. Option C is incorrect as catalysts do not change the enthalpy (Delta H).,Catalysis,Easy,Chemistry,Reaction Kinetics
The mechanism for 2NO2 + F2 -> 2NO2F is: NO2 + F2 -> NO2F + F (slow). What is the order of reaction with respect to F2?,Second order with respect to NO2,Zero order with respect to F2,First order with respect to F2,Third order overall,C,The slow step involves one molecule of NO2 and one of F2. Option A is tempting but ignores the specific mechanism provided.,Reaction Mechanism,Medium,Chemistry,Reaction Kinetics
Which of these processes demonstrates a mechanism where the catalyst and the reactants exist in the same gaseous phase?,Pt catalyst in the contact process,Fe catalyst in Haber's process,Ni catalyst in hydrogenation of oils,Nitrogen oxides in the lead chamber process,D,Homogeneous catalysis occurs when the catalyst and reactants are in the same phase. Option A describes heterogeneous catalysis (solid/gas).,Homogeneous Catalysis,Medium,Chemistry,Reaction Kinetics
"In a complex reaction consisting of multiple elementary steps, what is the relationship between the molecularity and the experimentally determined order?",Molecularity is always equal to the overall order,Molecularity of the slow step equals the overall order,Order is a theoretical value while molecularity is experimental,Molecularity can be zero or a fraction,B,The slow step is rate-determining; its molecularity defines the order. Option D is wrong because molecularity applies to elementary steps only.,Molecularity vs Order,Hard,Chemistry,Reaction Kinetics
Which characteristic is unique to the mechanism of enzyme-catalyzed reactions compared to most inorganic catalysts?,High specificity for substrates,Inorganic nature and heat stability,Ability to shift the equilibrium position,Requirement in large stoichiometric amounts,A,"Enzymes are protein catalysts that show extreme specificity. Option B is wrong because enzymes are organic/biological catalysts, not inorganic.",Enzyme Catalysis,Easy,Chemistry,Reaction Kinetics
"In an energy profile diagram, what does the vertical distance between the energy of reactants and the energy of products represent?",Activation energy of the forward reaction,Activation energy of the reverse reaction,Enthalpy of the reaction,Potential energy of the activated complex,C,"Enthalpy change is the difference between product and reactant energy. Option A is activation energy, which is distinct from net heat.",Energy Profile Diagrams,Medium,Chemistry,Reaction Kinetics
