Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A gas expands isothermally. What happens to its internal energy?,Increases,Remains constant,Decreases,First increases then decreases,B,Internal energy remains constant in isothermal expansion for ideal gases. Other options are incorrect as they imply energy change.,Internal Energy and Ideal Gases,Easy,Physics,Thermodynamics
What is the SI unit of entropy?,J/K,J,W/K,K/J,A,"Entropy is measured in J/K. Other options are units for different physical quantities, not entropy.",Entropy,Easy,Physics,Thermodynamics
A heat engine operates between 500K and 300K. What is its maximum efficiency?,20%,30%,40%,60%,C,Maximum efficiency = 1 - (T_cold/T_hot) = 1 - (300/500) = 0.4 or 40%. Other options are incorrect calculations.,Carnot Efficiency,Medium,Physics,Thermodynamics
What is the process called when a system absorbs heat without a change in temperature?,Isothermal,Adiabatic,Isobaric,Isochoric,A,Isothermal process occurs at constant temperature. Other options describe different thermodynamic processes.,Thermodynamic Processes,Easy,Physics,Thermodynamics
"For an ideal gas, which of the following is true during an adiabatic expansion?",Temperature remains constant,Internal energy remains constant,Work done is zero,Temperature decreases,D,"In adiabatic expansion, temperature decreases as work is done at the expense of internal energy. Other options are incorrect.",Adiabatic Process,Medium,Physics,Thermodynamics
The zeroth law of thermodynamics is related to which concept?,Temperature,Internal Energy,Entropy,Heat Capacity,A,Zeroth law of thermodynamics defines temperature. Other options are related to different thermodynamic concepts.,Zeroth Law of Thermodynamics,Easy,Physics,Thermodynamics
A refrigerator works on the principle of,Joule-Thomson effect,Carnot cycle,Reversed Carnot cycle,First law of thermodynamics,C,"Refrigerator works on reversed Carnot cycle, transferring heat from cold to hot. Other options are related but not the principle.",Refrigeration Cycle,Medium,Physics,Thermodynamics
The change in internal energy of a system is given by,ΔU = Q + W,ΔU = Q - W,ΔU = W - Q,ΔU = Q * W,A,"First law of thermodynamics states ΔU = Q + W, where W is work done on the system. Other options are incorrect sign conventions.",First Law of Thermodynamics,Easy,Physics,Thermodynamics
"For a given isothermal process, the work done is maximum when",Pressure is constant,Volume is constant,The process is reversible,The process is irreversible,C,Maximum work is done in a reversible isothermal expansion. Other options do not maximize work done.,Reversible Processes,Medium,Physics,Thermodynamics
The coefficient of performance (COP) of a refrigerator is given by,T_cold / (T_hot - T_cold),T_hot / (T_hot - T_cold),T_cold / T_hot,T_hot / T_cold,A,COP = T_cold / (T_hot - T_cold) for a refrigerator. Other options are incorrect or related to different quantities.,Coefficient of Performance,Medium,Physics,Thermodynamics
What happens to the entropy of the universe in a spontaneous process?,Remains constant,Decreases,Increases,First decreases then increases,C,Entropy of the universe always increases in a spontaneous process. Other options are incorrect as they violate the second law.,Second Law of Thermodynamics,Easy,Physics,Thermodynamics
The internal energy of an ideal gas depends on,Volume only,Temperature only,Pressure only,Both temperature and volume,B,"For an ideal gas, internal energy is a function of temperature only. Other options are incorrect as they imply additional dependencies.",Internal Energy of Ideal Gases,Easy,Physics,Thermodynamics
A thermodynamic process occurs at constant volume. What is it called?,Isobaric,Isothermal,Isochoric,Adiabatic,C,Isochoric process occurs at constant volume. Other options describe different thermodynamic processes.,Thermodynamic Processes,Easy,Physics,Thermodynamics
The efficiency of a Carnot engine is 0.5. What is the temperature of the cold reservoir if the hot reservoir is at 500K?,250K,200K,300K,400K,A,"Efficiency = 1 - (T_cold/T_hot). Given efficiency = 0.5 and T_hot = 500K, T_cold = 250K. Other options are incorrect temperatures.",Carnot Efficiency,Medium,Physics,Thermodynamics
"In a cyclic process, the change in internal energy is",Positive,Negative,Zero,Depends on the path,C,"In a cyclic process, the system returns to its initial state, so ΔU = 0. Other options imply a change in state.",Cyclic Processes,Easy,Physics,Thermodynamics
What is the condition for a process to be reversible?,It must be adiabatic,It must be isothermal,It must be quasi-static,It must be isobaric,C,"A reversible process must be quasi-static and have no dissipative forces. Other options describe specific types of processes, not the condition for reversibility.",Reversible Processes,Medium,Physics,Thermodynamics
The second law of thermodynamics implies that,Heat can flow from cold to hot spontaneously,Perpetual motion machines of the second kind are possible,The total entropy of an isolated system can never decrease,The efficiency of a heat engine can be 100%,C,The second law states that total entropy of an isolated system always increases or remains constant. Other options violate the second law.,Second Law of Thermodynamics,Medium,Physics,Thermodynamics
"For an ideal gas, the molar specific heat at constant pressure is",Greater than at constant volume,Less than at constant volume,Equal to at constant volume,Zero,A,"C_p > C_v because at constant pressure, the gas does work in addition to the energy required to raise the temperature. Other options are incorrect comparisons.",Specific Heats of Gases,Hard,Physics,Thermodynamics
"In an adiabatic process, the heat transfer (Q) is",Maximum,Zero,Minimum,Depends on the gas,B,"In an adiabatic process, Q = 0 by definition. Other options are incorrect as they imply heat transfer.",Adiabatic Process,Easy,Physics,Thermodynamics
A thermodynamic system's internal energy increases by 100 J when 200 J of heat is added and it does 100 J of work. Is this possible?,"Yes, always","No, never","Yes, if the process is isobaric","Yes, if the process is adiabatic",B,"ΔU = Q + W = 200 J - 100 J = 100 J, which matches the given increase in internal energy, so it's possible but not related to being isobaric or adiabatic. The statement is actually true according to the first law.",First Law of Thermodynamics,Hard,Physics,Thermodynamics
A heat engine operates between 227°C and 27°C. What is its maximum possible efficiency?,20%,40%,50%,60%,B,Carnot efficiency = 1 - (T_cold / T_hot) = 1 - (300 / 500) = 0.4 or 40%. Other options are incorrect temperatures or calculations.,Carnot Cycle,Medium,Physics,Thermodynamics
"At constant volume, 200 J of heat is added to 2 moles of an ideal gas at 300 K. What is the change in internal energy?",100 J,200 J,300 J,400 J,B,"ΔU = Q at constant volume. Q = 200 J, so ΔU = 200 J. Other options misinterpret the first law of thermodynamics.",First Law of Thermodynamics,Easy,Physics,Thermodynamics
A refrigerator's coefficient of performance is 5. How much heat is removed from the cold body if 1 kJ of work is done?,2 kJ,5 kJ,10 kJ,0.2 kJ,B,"COP = Q_c / W, so Q_c = COP * W = 5 * 1 kJ = 5 kJ. Other options miscalculate COP or its implications.",Refrigeration,Medium,Physics,Thermodynamics
"For an adiabatic expansion of an ideal gas, what happens to the internal energy?",Increases,Decreases,Remains constant,Becomes zero,B,"In adiabatic expansion, Q = 0, and W is done by the gas, so ΔU = -W, decreasing internal energy. Other options misinterpret adiabatic process.",Adiabatic Processes,Medium,Physics,Thermodynamics
The specific heat capacity of water is 4200 J/kg°C. How much heat is required to raise the temperature of 2 kg of water by 5°C?,21000 J,42000 J,84000 J,168000 J,B,Q = mcΔT = 2 kg * 4200 J/kg°C * 5°C = 42000 J. Other options miscalculate or use wrong specific heat capacity.,Specific Heat Capacity,Easy,Physics,Thermodynamics
"In a cyclic process, the net change in internal energy is",Always positive,Always negative,Zero,Dependent on the path,C,"In a cyclic process, the system returns to its initial state, so ΔU = 0. Other options misunderstand the definition of a cyclic process.",Cyclic Processes,Easy,Physics,Thermodynamics
"The efficiency of a Carnot engine is 0.5. If the temperature of the hot reservoir is 500 K, what is the temperature of the cold reservoir?",250 K,300 K,350 K,400 K,A,"η = 1 - (T_c / T_h), so T_c = T_h * (1 - η) = 500 K * (1 - 0.5) = 250 K. Other options miscalculate or misunderstand Carnot efficiency.",Carnot Cycle,Medium,Physics,Thermodynamics
