Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"During a laboratory titration, a student uses Potassium Permanganate (KMnO4) as an oxidizing agent. What is the oxidation state of Manganese in this compound?",+2,+4,+6,+7,D,Manganese is +7 because four oxygens total -8 and potassium is +1. +6 is wrong as it neglects the total charge balance.,Oxidation State,Easy,Chemistry,Electrochemistry
A voltaic cell is constructed using a Copper electrode (E° = +0.34V) and a Zinc electrode (E° = -0.76V). Calculate the standard E_cell.,0.42 V,1.10 V,-1.10 V,0.76 V,B,"Standard cell potential is calculated as 0.34V minus (-0.76V), totaling 1.10V. 0.42V is a common error from simply adding the raw values.",Electrode Potential,Easy,Chemistry,Electrochemistry
"In an electroplating experiment, how much total charge in Coulombs is required to deposit exactly 1.0 mole of Silver from AgNO3 solution?",96500 C,193000 C,48250 C,96.5 C,A,One mole of Silver ions requires exactly one Faraday (96500 C) for reduction. 193000 C is incorrect because it assumes a divalent cation.,Faraday's Laws,Easy,Chemistry,Electrochemistry
A student analyzes Potassium Dichromate (K2Cr2O7) used in acidic medium. What is the calculated oxidation number of each Chromium atom in this salt?,+3,+4,+6,+12,C,"Chromium is +6 in K2Cr2O7 to balance -14 from oxygen and +2 from potassium. +3 is the common reduced state, not the reactant state.",Oxidation State,Easy,Chemistry,Electrochemistry
"During the industrial Hall-Heroult process, Aluminum is produced from Al3+. How many moles of electrons are required to produce 1 mole of Aluminum metal?",1 mole,3 moles,6 moles,27 moles,B,One mole of Al3+ requires 3 moles of electrons. 1 mole is wrong because it ignores the +3 charge of the Aluminum ion.,Electrolysis,Easy,Chemistry,Electrochemistry
"In the Contact Process, Sulfur in H2SO4 reaches its maximum oxidation state. What is the numerical value of this oxidation state?",+2,+4,+6,+8,C,"Sulfur is +6 as four oxygens are -8 and two hydrogens are +2. +4 is incorrect as it applies to sulfurous acid, not sulfuric acid.",Oxidation State,Easy,Chemistry,Electrochemistry
A galvanic cell consists of Mg/Mg2+ (E° = -2.37V) and Fe/Fe2+ (E° = -0.44V) electrodes. What is the standard electromotive force (EMF) of this cell?,2.81 V,1.93 V,1.50 V,-1.93 V,B,Magnesium is the anode; E_cell = -0.44 - (-2.37) = 1.93V. 2.81V is wrong because it results from adding the potentials incorrectly.,Electrode Potential,Easy,Chemistry,Electrochemistry
Perchloric acid (HClO4) is a very strong acid. What is the oxidation state of the central Chlorine atom in this molecule?,+1,+3,+5,+7,D,Chlorine is +7 because four oxygens (-8) and one hydrogen (+1) require +7 for neutrality. +5 is the state for chloric acid.,Oxidation State,Easy,Chemistry,Electrochemistry
"A current is passed through a CuSO4 solution for a specific time, delivering 9650 Coulombs. Calculate the mass of Copper deposited (Atomic mass Cu=63.5).",3.175 g,6.350 g,31.75 g,63.50 g,A,"9650 C is 0.1 Faraday; since Cu2+ needs 2F/mol, it deposits 0.05 moles (3.175g). 6.35g fails by ignoring the 2-electron transfer.",Faraday's Laws,Medium,Chemistry,Electrochemistry
Ammonium nitrate (NH4NO3) is a common fertilizer. What are the oxidation states of the two Nitrogen atoms respectively in this compound?,"+3, +5","-3, +5","-3, +3","0, +5",B,"In NH4NO3, N in ammonium is -3 and N in nitrate is +5. The average is +1, but individual states are -3 and +5.",Oxidation State,Medium,Chemistry,Electrochemistry
"During the electrolysis of dilute H2SO4, oxygen gas is evolved at the anode. How many Faradays are required to evolve 1 mole of O2?",1 Faraday,2 Faradays,4 Faradays,8 Faradays,C,Oxidation of 2 moles of water to 1 mole of O2 releases 4 moles of electrons. 2F is wrong as it only produces half-mole O2.,Faraday's Laws,Medium,Chemistry,Electrochemistry
"In the redox equation MnO4- + Fe2+ + H+ -> Mn2+ + Fe3+ + H2O, what is the stoichiometric coefficient of H+ after balancing?",2,4,6,8,D,Balancing O with H2O and H with H+ gives 8H+ for every MnO4-. 4H+ is incorrect because it ignores the stoichiometry of water formed.,Balancing Redox Equations,Medium,Chemistry,Electrochemistry
A molten MgCl2 salt is electrolyzed using a charge of 48250 Coulombs. What mass of Magnesium metal (Atomic mass = 24) is produced?,6 g,12 g,24 g,48 g,A,"48250 C is 0.5 Faraday. Mg2+ needs 2F per mole, so 0.5F deposits 0.25 moles (6g). 12g is wrong, representing 1 Faraday.",Faraday's Laws,Medium,Chemistry,Electrochemistry
Sodium thiosulfate (Na2S2O3) is used in iodometry. Calculate the average oxidation state of Sulfur in this compound.,+1,+2,+4,+6,B,"In Na2S2O3, the average oxidation state of S is +2. +4 is incorrect as it belongs to the sulfite ion (SO3^2-).",Oxidation State,Medium,Chemistry,Electrochemistry
A cell is constructed using Zn/Zn2+ (E° = -0.76V) and Ni/Ni2+ (E° = -0.25V). What is the standard cell potential?,1.01 V,0.25 V,0.51 V,-0.51 V,C,E_cell = E_cathode - E_anode = -0.25 - (-0.76) = +0.51V. -1.01V is wrong as it results from adding both negative values.,Electrode Potential,Medium,Chemistry,Electrochemistry
"If 96500 Coulombs of electricity is passed through a solution of Aluminum chloride, what mass of Aluminum (Atomic mass = 27) will be deposited?",9 g,18 g,27 g,54 g,A,"3 Faradays deposit 1 mole of Al (27g), so 1 Faraday deposits 9g. 27g is incorrect as it requires 3 Faradays.",Faraday's Laws,Medium,Chemistry,Electrochemistry
