Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"A sequence of numbers is given: 2, 5, 8, 11, 14. What is the next number?",15,17,18,20,B,The pattern is adding 3 to the previous number. 14 + 3 = 17. Option A is incorrect because it doesn't follow the pattern.,Number Series,Easy,Logical_Reasoning,Critical Thinking
"Identify the next letter in the series: A, C, E, G, I, ?",J,K,L,M,B,The pattern is incrementing by 2 letters in the alphabet. I + 2 = K. Option A is incorrect because it doesn't follow the alphabetical order correctly.,Letter Series,Easy,Logical_Reasoning,Critical Thinking
"A series of symbols is given: ∆, ◇, □, ∆, ◇, ?. What comes next?",◇,□,∆,○,B,"The pattern repeats every three symbols. ∆, ◇, □, then repeats. So, after ◇ comes □. Option C is tempting but incorrect because the sequence has moved past ∆.",Symbol Series,Medium,Logical_Reasoning,Critical Thinking
"The sequence of numbers is: 1, 2, 4, 8, 16. What comes next?",32,36,48,64,A,The pattern is doubling the previous number. 16 * 2 = 32. Option B is incorrect because it doesn't follow the doubling pattern.,Number Series,Easy,Logical_Reasoning,Critical Thinking
"Given the series: 3, 6, 9, 12, 15, what is the next number?",16,18,20,21,B,The pattern is adding 3 to the previous number. 15 + 3 = 18. Option A is incorrect because it doesn't follow the addition pattern.,Number Series,Easy,Logical_Reasoning,Critical Thinking
"Identify the pattern in the series: 2, 6, 12, 20, 30, ?",36,42,48,60,B,"The pattern is formed by adding 4, 6, 8, 10, ... to the previous term. So, 30 + 12 = 42. Option A is incorrect because it doesn't correctly follow the increasing difference.",Number Series,Medium,Logical_Reasoning,Critical Thinking
"A sequence is given as: 4, 9, 16, 25, 36. What comes next?",49,48,45,50,A,"The pattern consists of squares of consecutive integers: 2^2, 3^2, 4^2, 5^2, 6^2, 7^2 = 49. Option B is incorrect because it doesn't follow the square pattern.",Number Series,Medium,Logical_Reasoning,Critical Thinking
"The series is: 1, 3, 6, 10, 15. What is the next number?",20,21,22,25,B,"The pattern is formed by adding consecutive integers: +2, +3, +4, +5, +6. So, 15 + 6 = 21. Option A is incorrect because it doesn't follow the correct incremental pattern.",Number Series,Medium,Logical_Reasoning,Critical Thinking
"Given the sequence: F, J, N, R, ?. What comes next?",V,W,X,Y,A,"The pattern is incrementing by 4 letters in the alphabet. F + 4 = J, J + 4 = N, N + 4 = R, R + 4 = V. Option B is incorrect because it skips the correct alphabetical order.",Letter Series,Medium,Logical_Reasoning,Critical Thinking
"A series of numbers is: 10, 20, 30, 40, ?. What is the next number?",50,60,70,80,A,"The pattern is adding 10 to the previous number. 40 + 10 = 50. Option B is incorrect because, although it is a multiple of 10, it skips the correct sequence.",Number Series,Easy,Logical_Reasoning,Critical Thinking
