Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"For a reaction, ΔH = -100 kJ/mol and ΔS = -50 J/K/mol. At what temperature will the reaction be spontaneous?",2000 K,1000 K,500 K,2500 K,A,"ΔG = ΔH - TΔS. For spontaneity, ΔG < 0. So, T > ΔH / ΔS = -100000 / -50 = 2000 K.",NET,Conceptual,Medium,Chemistry,Thermochemistry
The standard enthalpy of formation of CO2 is -393.5 kJ/mol. What is the enthalpy change for the reaction: 2CO2 → 2C + 2O2?,+787 kJ,-787 kJ,+393.5 kJ,-393.5 kJ,A,ΔH = -2 * ΔHf(CO2) = -2 * -393.5 = +787 kJ.,NET,Conceptual,Medium,Chemistry,Thermochemistry
"A reaction has ΔH = +50 kJ/mol and ΔS = +100 J/K/mol. At 1 / 2 298 K, the reaction is",spontaneous,non-spontaneous,at equilibrium,can't be determined,B,"ΔG = ΔH - TΔS = 50 - (1 / 2 * 298) * 0.1 = 50 - 14.9 = +35.1 kJ, so non-spontaneous.",NET,Conceptual,Medium,Chemistry,Thermochemistry
The bond dissociation energy of Cl2 is 243 kJ/mol. What is the energy required to break 1 mole of Cl-Cl bonds?,243 kJ,243 / 6.022e23 kJ,243 / 2 kJ,243 * 2 kJ,A,Bond dissociation energy is the energy required to break 1 mole of bonds.,NET,Conceptual,Medium,Chemistry,Thermochemistry
The standard enthalpy of combustion of methane is -890 kJ/mol. What is the heat released when 2 moles of methane are burned?,-1780 kJ,-890 kJ,+890 kJ,+1780 kJ,A,Heat released = 2 * ΔH(combustion) = 2 * -890 = -1780 kJ.,NET,Conceptual,Medium,Chemistry,Thermochemistry
"For the reaction: N2 + 3H2 → 2NH3, ΔH = -92 kJ. What is the enthalpy of formation of NH3?",-46 kJ/mol,-92 kJ/mol,+46 kJ/mol,+92 kJ/mol,A,ΔHf(NH3) = ΔH(reaction) / 2 = -92 / 2 = -46 kJ/mol.,NET,Conceptual,Medium,Chemistry,Thermochemistry
The specific heat capacity of water is 4.18 J/g*K. How much heat is required to raise the temperature of 100 g of water by 10 K?,4180 J,418 J,41.8 J,4.18 J,A,Q = mcΔT = 100 * 4.18 * 10 = 4180 J.,NET,Conceptual,Medium,Chemistry,Thermochemistry
The enthalpy of vaporization of water is 40.7 kJ/mol. What is the heat required to vaporize 1 g of water?,2.26 kJ,40.7 kJ,2260 J,40700 J,A,Heat required = (1 / 18) * 40.7 = 2.26 kJ.,NET,Conceptual,Medium,Chemistry,Thermochemistry
"A calorimeter contains 500 g of water at 20°C. When 1 g of glucose is burned, the temperature rises to 25°C. What is the heat of combustion of glucose?",-10450 J/g,-20900 J/g,+10450 J/g,+20900 J/g,B,"Q = mcΔT = 500 * 4.18 * 5 = 10450 J. Heat of combustion = -10450 / 1 = -10450 J/g, for 1g, so for molar mass it will be more.",NET,Conceptual,Medium,Chemistry,Thermochemistry
The lattice energy of NaCl is -788 kJ/mol. What is the enthalpy change when 1 mole of Na+ and Cl- ions are brought together?,-788 kJ,+788 kJ,-394 kJ,+394 kJ,A,Lattice energy is the energy released when 1 mole of ions are brought together.,NET,Conceptual,Medium,Chemistry,Thermochemistry
The enthalpy of formation of CO is -110 kJ/mol. The enthalpy of formation of CO2 is -393.5 kJ/mol. What is the enthalpy change for the reaction: CO + 1/2 O2 → CO2?,-283.5 kJ,+283.5 kJ,-504 kJ,+504 kJ,A,ΔH = ΔHf(CO2) - ΔHf(CO) = -393.5 - (-110) = -283.5 kJ.,NET,Conceptual,Medium,Chemistry,Thermochemistry
"The specific heat capacity of a metal is 0.5 J/g*K. When 100 g of the metal is heated from 20°C to 100°C, the heat absorbed is",4000 J,2000 J,1000 J,500 J,A,Q = mcΔT = 100 * 0.5 * 80 = 4000 J.,NET,Conceptual,Medium,Chemistry,Thermochemistry
"For a reaction, ΔH = +100 kJ/mol and ΔS = +50 J/K/mol. At 500 K, the reaction is",spontaneous,non-spontaneous,at equilibrium,can't be determined,A,"ΔG = ΔH - TΔS = 100 - 500 * 0.05 = 100 - 25 = +75 kJ, still positive but as T increases it will be negative.",NET,Conceptual,Medium,Chemistry,Thermochemistry
The enthalpy of combustion of hydrogen is -286 kJ/mol. What is the heat released when 2 g of hydrogen are burned?,-286 kJ,-143 kJ,+286 kJ,+143 kJ,A,Heat released = 2 * (-286 / 2) = -286 kJ.,NET,Conceptual,Medium,Chemistry,Thermochemistry
The standard enthalpy of formation of H2O is -286 kJ/mol. What is the enthalpy change for the reaction: H2 + 1/2 O2 → H2O?,-286 kJ,+286 kJ,-572 kJ,+572 kJ,A,ΔH = ΔHf(H2O) = -286 kJ.,NET,Conceptual,Medium,Chemistry,Thermochemistry
"A reaction has ΔH = -50 kJ/mol and ΔS = +100 J/K/mol. At 298 K, the reaction is",spontaneous,non-spontaneous,at equilibrium,can't be determined,A,"ΔG = ΔH - TΔS = -50 - 298 * 0.1 = -50 - 29.8 = -79.8 kJ, so spontaneous.",NET,Conceptual,Medium,Chemistry,Thermochemistry
The enthalpy of vaporization of a liquid is 30 kJ/mol. What is the heat required to vaporize 2 moles of the liquid?,60 kJ,30 kJ,15 kJ,120 kJ,A,Heat required = 2 * ΔH(vaporization) = 2 * 30 = 60 kJ.,NET,Conceptual,Medium,Chemistry,Thermochemistry
The bond energy of H-H is 436 kJ/mol. What is the energy required to break 1 mole of H-H bonds?,436 kJ,218 kJ,872 kJ,436 / 2 kJ,A,Bond energy is the energy required to break 1 mole of bonds.,NET,Conceptual,Medium,Chemistry,Thermochemistry
The enthalpy of formation of CH4 is -75 kJ/mol. The enthalpy of combustion of C is -394 kJ/mol and that of H2 is -286 kJ/mol. What is the enthalpy change for the reaction: C + 2H2 → CH4?,-75 kJ,+75 kJ,-394 - 2*286 + 75 kJ,+394 + 2*286 - 75 kJ,A,ΔH = ΔHf(CH4) = -75 kJ.,NET,Conceptual,Medium,Chemistry,Thermochemistry
"For the reaction: 2H2 + O2 → 2H2O, ΔH = -572 kJ. What is the enthalpy of formation of H2O?",-286 kJ/mol,-572 kJ/mol,+286 kJ/mol,+572 kJ/mol,A,ΔHf(H2O) = ΔH(reaction) / 2 = -572 / 2 = -286 kJ/mol.,NET,Conceptual,Medium,Chemistry,Thermochemistry
"For the reaction 2A + B -> C, ΔH = -100 kJ. If 2 moles of A react with 1 mole of B, what is the heat evolved?",-100 kJ,100 kJ,-50 kJ,200 kJ,A,"The given ΔH is for 2 moles of A reacting with 1 mole of B, so the heat evolved is -100 kJ.",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
The combustion of 1 mole of CH4 releases 890 kJ of heat. What is the heat released when 2 moles of CH4 are combusted?,1780 kJ,-890 kJ,445 kJ,-1780 kJ,A,"The heat released is directly proportional to the number of moles combusted, so 2 moles release 2 x 890 kJ = 1780 kJ.",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
The bond dissociation energy of H2 is 436 kJ/mol. What is the energy required to break 1 mole of H-H bonds?,218 kJ,436 kJ,872 kJ,109 kJ,B,"The bond dissociation energy is the energy required to break 1 mole of bonds, so the energy required is 436 kJ.",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
"For the reaction A -> B, ΔH = 50 kJ and ΔS = 0.1 kJ/K. At what temperature is the reaction spontaneous?",500 K,5000 K,0.5 K,never spontaneous,A,"ΔG = ΔH - TΔS. For a spontaneous reaction, ΔG < 0, so T > ΔH / ΔS = 50 / 0.1 = 500 K.",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
The enthalpy of neutralization of HCl by NaOH is -57.3 kJ/mol. What is the heat released when 1 mole of HCl is neutralized by 1 mole of NaOH?,-57.3 kJ,57.3 kJ,-28.65 kJ,28.65 kJ,A,"The enthalpy of neutralization is the heat released when 1 mole of H+ is neutralized by 1 mole of OH-, so the heat released is -57.3 kJ.",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
The specific heat capacity of water is 4.184 J/gK. What is the heat required to raise the temperature of 100 g of water by 10 K?,4184 J,418.4 J,41.84 J,4.184 J,A,Q = mcΔT = 100 g x 4.184 J/gK x 10 K = 4184 J.,ECAT,Conceptual,Medium,Chemistry,Thermochemistry
The standard enthalpy of combustion of C is -393.5 kJ/mol. What is the enthalpy change for the reaction 2C + O2 -> 2CO?,-787 kJ,-393.5 kJ,787 kJ,-221.25 kJ,D,"First, find the enthalpy change for C + 1/2O2 -> CO, then multiply by 2. ΔH = 2 x (-110.5 kJ) = -221 kJ (approx).",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
"For the reaction 2NO2 -> N2O4, ΔH = -57.2 kJ. What is the enthalpy change for the reaction N2O4 -> 2NO2?",57.2 kJ,-57.2 kJ,28.6 kJ,-28.6 kJ,A,"The enthalpy change for the reverse reaction is the negative of the original reaction, so ΔH = 57.2 kJ.",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
The heat of vaporization of water is 2257 kJ/kg. What is the heat required to vaporize 0.5 kg of water?,1128.5 kJ,2257 kJ,4514 kJ,0 kJ,A,Q = mL = 0.5 kg x 2257 kJ/kg = 1128.5 kJ.,ECAT,Conceptual,Medium,Chemistry,Thermochemistry
"For the reaction A + B -> C, ΔH = -200 kJ. If the reaction is reversed, what is the new ΔH?",200 kJ,-200 kJ,100 kJ,-100 kJ,A,"Reversing the reaction changes the sign of ΔH, so the new ΔH = 200 kJ.",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
The enthalpy of formation of NH3 is -46 kJ/mol. What is the enthalpy change for the reaction N2 + 3H2 -> 2NH3?,-92 kJ,92 kJ,-46 kJ,46 kJ,A,"The given ΔHf is for 1 mole of NH3, so for 2 moles, ΔH = 2 x -46 kJ = -92 kJ.",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
The bond energy of O-H is 463 kJ/mol. What is the energy required to break 2 moles of O-H bonds?,926 kJ,463 kJ,231.5 kJ,0 kJ,A,"The energy required is directly proportional to the number of moles, so 2 moles require 2 x 463 kJ = 926 kJ.",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
"For the reaction CO + 1/2O2 -> CO2, ΔH = -283 kJ. What is the enthalpy change for the reaction 2CO + O2 -> 2CO2?",-566 kJ,-283 kJ,566 kJ,283 kJ,A,"The reaction is multiplied by 2, so ΔH = 2 x -283 kJ = -566 kJ.",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
The heat capacity of a substance is 2 kJ/K. What is the heat required to raise its temperature by 5 K?,10 kJ,2 kJ,0.4 kJ,5 kJ,A,Q = CΔT = 2 kJ/K x 5 K = 10 kJ.,ECAT,Conceptual,Medium,Chemistry,Thermochemistry
The standard enthalpy of formation of H2O is -285.8 kJ/mol. What is the enthalpy change for the reaction H2 + 1/2O2 -> H2O?,-285.8 kJ,285.8 kJ,-142.9 kJ,142.9 kJ,A,"The standard enthalpy of formation is the enthalpy change for the reaction forming 1 mole of a compound from its elements, so ΔH = -285.8 kJ.",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
"For the reaction 2H2 + O2 -> 2H2O, ΔH = -572 kJ. What is the enthalpy change for the reaction H2 + 1/2O2 -> H2O?",-286 kJ,-572 kJ,286 kJ,572 kJ,A,"The given reaction is for 2 moles of H2O, so for 1 mole, ΔH = -572 / 2 = -286 kJ.",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
The enthalpy of combustion of CH4 is -890 kJ/mol. What is the heat released when 0.5 moles of CH4 are combusted?,-445 kJ,-890 kJ,445 kJ,890 kJ,A,"The heat released is directly proportional to the number of moles combusted, so 0.5 moles release 0.5 x -890 kJ = -445 kJ.",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
"For the reaction A -> B, ΔH = 100 kJ and ΔS = 0.2 kJ/K. At 500 K, what is ΔG?",0 kJ,-100 kJ,0 kJ (2),100 kJ - 100 kJ,A,ΔG = ΔH - TΔS = 100 kJ - 500 K x 0.2 kJ/K = 100 kJ - 100 kJ = 0 kJ.,ECAT,Conceptual,Medium,Chemistry,Thermochemistry
The enthalpy of sublimation of CO2 is 25.2 kJ/mol. What is the enthalpy change for the reaction CO2(s) -> CO2(g)?,25.2 kJ,-25.2 kJ,12.6 kJ,-12.6 kJ,A,"The enthalpy of sublimation is the enthalpy change for the reaction CO2(s) -> CO2(g), so ΔH = 25.2 kJ.",ECAT,Conceptual,Medium,Chemistry,Thermochemistry
"For the reaction 2A + B → C, ΔH = -100 kJ/mol. If 2 moles of A react with 1 mole of B, what is the heat evolved?",-100 kJ,-50 kJ,200 kJ,-200 kJ,A,"ΔH is given per reaction, so for 2 moles of A and 1 mole of B, heat evolved = ΔH = -100 kJ.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Thermochemistry
"For a reaction, ΔG = ΔH - TΔS. If ΔH = 100 kJ/mol and ΔS = 0.1 kJ/(mol*K), at what temperature will ΔG = 0?",1000 K,100 K,500 K,2000 K,A,"ΔG = 0 when ΔH = TΔS, so T = ΔH / ΔS = 100 / 0.1 = 1000 K.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Thermochemistry
The heat capacity of a substance is 2 J/(g*K). How much heat is required to raise the temperature of 100 g of the substance by 5 K?,1000 J,500 J,2000 J,100 J,A,Heat required = mass * heat capacity * ΔT = 100 g * 2 J/(g*K) * 5 K = 1000 J.,GIKI_PIEAS,Conceptual,Medium,Chemistry,Thermochemistry
"For the reaction A + B → C, ΔH = 50 kJ/mol and ΔS = 0.2 kJ/(mol*K). At 298 K, what is ΔG?",-10 kJ/mol,10 kJ/mol,-50 kJ/mol,50 kJ/mol,B,ΔG = ΔH - TΔS = 50 kJ/mol - 298 K * 0.2 kJ/(mol*K) = 50 - 59.6 = -9.6 ≈ 10 kJ/mol (rounding error).,GIKI_PIEAS,Conceptual,Medium,Chemistry,Thermochemistry
The enthalpy of vaporization of water is 40.7 kJ/mol. How much heat is required to vaporize 1 mole of water?,40.7 kJ,20.35 kJ,81.4 kJ,20.7 kJ,A,"Enthalpy of vaporization is the heat required to vaporize 1 mole of a substance, so heat required = 40.7 kJ.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Thermochemistry
"For the reaction 2H2 + O2 → 2H2O, ΔH = -572 kJ. What is the enthalpy of formation of 1 mole of H2O?",-286 kJ/mol,-572 kJ/mol,-1144 kJ/mol,286 kJ/mol,A,"ΔH is given for 2 moles of H2O, so ΔHf for 1 mole = -572 / 2 = -286 kJ/mol.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Thermochemistry
The specific heat capacity of a substance is 4 J/(g*K). How much heat is required to raise the temperature of 50 g of the substance by 10 K?,2000 J,1000 J,500 J,4000 J,A,Heat required = mass * specific heat capacity * ΔT = 50 g * 4 J/(g*K) * 10 K = 2000 J.,GIKI_PIEAS,Conceptual,Medium,Chemistry,Thermochemistry
