Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"For an ideal gas, the internal energy is a function of",temperature only,pressure only,volume only,both temperature and pressure,A,"Internal energy (U) of an ideal gas depends only on temperature, as per the ideal gas model, U = f(T) only.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
The efficiency of a Carnot engine is 50%. The temperature of the sink is 27°C. The temperature of the source is,327°C,127°C,227°C,300°C,A,"Efficiency = 1 - (T_sink / T_source). Given efficiency = 0.5, T_sink = 300K, we can solve for T_source = 600K or 327°C.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
The root mean square speed of gas molecules is directly proportional to,√T,√P,T,P,A,"v_rms = √(3RT/M), hence v_rms is proportional to √T.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
"A thermodynamic system undergoes a process in which its internal energy decreases by 500 J. If the work done by the system is 750 J, the heat transferred to the system is",-1250 J,250 J,-250 J,1250 J,C,"ΔU = Q - W, so Q = ΔU + W = -500 + 750 = 250 J. But since the internal energy decreases, the system loses heat, hence Q = -250 J.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
The specific heat capacity at constant volume (Cv) for an ideal monoatomic gas is,(3/2)R,(5/2)R,R,(7/2)R,A,"For a monoatomic ideal gas, Cv = (3/2)R, where R is the gas constant.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
The change in entropy (ΔS) for a reversible adiabatic process is,positive,negative,zero,dependent on the process,C,"For a reversible adiabatic process, ΔS = 0, since Q = 0 and ΔS = Q / T.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
A gas expands isothermally from volume V1 to V2. The work done by the gas is given by,nRT ln(V2/V1),nRT ln(V1/V2),nRT(V2 - V1),P(V2 - V1),A,"For an isothermal expansion, W = nRT ln(V2/V1), derived from the ideal gas law and the definition of work.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
The coefficient of performance (COP) of a refrigerator is given by,T_cold / (T_hot - T_cold),T_hot / (T_hot - T_cold),(T_hot - T_cold) / T_cold,T_cold / T_hot,A,"COP = Q_cold / W = T_cold / (T_hot - T_cold), a measure of the refrigerator's efficiency.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
The molar specific heat capacity of a diatomic gas at constant volume is,(5/2)R,(3/2)R,(7/2)R,R,A,"For a diatomic gas, Cv = (5/2)R, considering rotational and translational degrees of freedom.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
"In a cyclic process, the change in internal energy is",positive,negative,zero,dependent on the path,C,"In a cyclic process, ΔU = 0, as the system returns to its initial state.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
The entropy change for a reversible isothermal expansion of an ideal gas is given by,nR ln(V2/V1),nR ln(V1/V2),nR(V2 - V1),nCv ln(T2/T1),A,"ΔS = nR ln(V2/V1) for an isothermal expansion, derived from the ideal gas law and the definition of entropy.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
The first law of thermodynamics is a statement of,conservation of energy,conservation of momentum,conservation of angular momentum,conservation of charge,A,"The first law, ΔU = Q - W, represents the conservation of energy, relating internal energy change to heat and work.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
"For an ideal gas, the ratio of specific heats (Cp/Cv) is",1.67,1.4,1.33,1.29,B,"For a diatomic gas, Cp/Cv = (7/2)R / (5/2)R = 1.4, a characteristic ratio for diatomic gases.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
"In an adiabatic process, the relation between P and V is given by",PV^γ = constant,PV = constant,P/V = constant,P + V = constant,A,"For an adiabatic process, PV^γ = constant, where γ = Cp/Cv, derived from the ideal gas law and adiabatic conditions.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
The work done during an isobaric expansion from V1 to V2 is,P(V2 - V1),P(V1 - V2),nRT ln(V2/V1),0,A,"For an isobaric process, W = PΔV = P(V2 - V1), as pressure remains constant.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
The temperature of an ideal gas is increased from 27°C to 327°C. The rms speed of the gas molecules will increase by a factor of,√2,2,√10,4,C,"v_rms ∝ √T, so the ratio of v_rms at 600K and 300K is √(600/300) = √2, hence the factor is √2, but considering the options and the actual calculation: √(600/300) = √2.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
A heat engine operates between 1000 K and 500 K. Its efficiency is,50%,25%,75%,100%,A,Efficiency = 1 - (T_sink / T_source) = 1 - (500/1000) = 0.5 or 50%.,NET,Conceptual,Medium,Physics,Heat and Thermodynamics
The internal energy of an ideal gas depends on,"temperature, pressure, and volume",temperature only,pressure and volume,pressure only,B,"For an ideal gas, U = f(T) only, as per the ideal gas model.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
The entropy of the universe,always increases,always decreases,remains constant,can increase or decrease,A,The second law of thermodynamics states that the total entropy of an isolated system (the universe) always increases over time.,NET,Conceptual,Medium,Physics,Heat and Thermodynamics
"For a reversible process, the change in Gibbs free energy (ΔG) is",zero at constant T and P,positive at constant T and P,negative at constant T and P,independent of T and P,A,"ΔG = 0 for a reversible process at constant T and P, indicating equilibrium.",NET,Conceptual,Medium,Physics,Heat and Thermodynamics
A gas expands from 1 m³ to 2 m³ at constant pressure 100 Pa. Work done is,100 J,200 J,50 J,500 J,A,"Work done = P * ΔV = 100 Pa * (2 - 1) m³ = 100 J, using formula W = PΔV.",ECAT,Conceptual,Medium,Physics,Heat and Thermodynamics
"For an adiabatic process, the relation between P and V is",PV = constant,PV^γ = constant,P/V = constant,P + V = constant,B,"In adiabatic process, PV^γ = constant, where γ = Cp/Cv.",ECAT,Conceptual,Medium,Physics,Heat and Thermodynamics
