Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
The smallest particle of an element that retains its chemical properties is called?,Molecule,Atom,Ion,Compound,B,"Atom is the smallest unit of an element; 'Molecule' is a group of atoms, 'Ion' is a charged atom.",Atomic Structure,Easy,Chemistry,Fundamental Concepts
Which quantity is a fundamental physical quantity in the SI system?,Length,Volume,Density,Speed,A,"Length is a fundamental quantity; 'Volume', 'Density', and 'Speed' are derived quantities.",Measurement Units,Easy,Chemistry,Fundamental Concepts
The mass of one mole of a substance is equal to its?,Molecular mass,Atomic mass,Molar mass,Equivalent mass,C,"Molar mass is the mass of one mole; 'Molecular mass' is for molecules, 'Atomic mass' is for atoms.",Mole Concept,Easy,Chemistry,Fundamental Concepts
A solution contains 40g of NaOH in 1000g of water. What is its percentage by mass?,3.85%,4.0%,4.08%,4.16%,A,Percentage by mass = (mass of solute / total mass) * 100 = (40 / (40 + 1000)) * 100.,Concentration Terms,Medium,Chemistry,Fundamental Concepts
The empirical formula of a compound is CH2O. Its molecular formula could be?,C2H4O2,C3H6O3,C4H8O4,All of the above are possible,D,Empirical formula is the simplest whole number ratio; molecular formula is a multiple of it.,Empirical and Molecular Formula,Medium,Chemistry,Fundamental Concepts
The number of significant figures in 0.005060 is?,4,5,3,7,A,Significant figures include all certain digits and one uncertain digit; leading zeros are not significant.,Significant Figures,Easy,Chemistry,Fundamental Concepts
What is the oxidation state of Mn in KMnO4?,+6,+7,+5,+4,B,Oxidation state of Mn is calculated as: +1 (K) + x (Mn) + 4(-2) (O) = 0.,Oxidation States,Medium,Chemistry,Fundamental Concepts
The process of converting a liquid to a gas at its boiling point is called?,Evaporation,Sublimation,Vaporization,Condensation,C,Vaporization occurs at boiling point; 'Evaporation' occurs at surface below boiling point.,Phase Transitions,Easy,Chemistry,Fundamental Concepts
What is the pH of a neutral solution at 25°C?,6,7,8,0,B,pH of neutral solution is 7 at 25°C; it changes with temperature.,pH and pOH,Easy,Chemistry,Fundamental Concepts
The reaction between an acid and a base to form salt and water is called?,Neutralization,Hydrolysis,Electrolysis,Ionization,A,Neutralization reaction produces salt and water; 'Hydrolysis' involves water breaking a compound.,Acid-Base Reactions,Easy,Chemistry,Fundamental Concepts
