Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A wave is produced on a string by moving one end up and down. What type of wave is this?,Longitudinal wave,Transverse wave,Mechanical wave,Electromagnetic wave,B,The wave is transverse because particle displacement is perpendicular to wave propagation. Option A is incorrect because longitudinal waves have parallel displacement.,Types of Waves,Easy,Physics,Waves
The distance between two consecutive crests in a wave is 4 cm. What is the wavelength?,2 cm,4 cm,8 cm,16 cm,B,Wavelength is the distance between consecutive crests. Option A is incorrect because it is half the given distance.,Wave Properties,Easy,Physics,Waves
"A sound wave travels through air at 20°C. If its frequency is 500 Hz, what is its approximate wavelength?",0.7 m,1.4 m,0.34 m,0.68 m,D,"Using v = fλ, with v ≈ 340 m/s at 20°C, we get λ = v/f = 340/500 = 0.68 m. Option C is incorrect due to wrong calculation.",Speed of Sound,Medium,Physics,Waves
What is the primary characteristic that distinguishes a stationary wave from a progressive wave?,Amplitude,Frequency,Energy transfer,Wavelength,C,"Stationary waves do not transfer energy, whereas progressive waves do. Option A is incorrect because amplitude can vary in both types.",Stationary and Progressive Waves,Medium,Physics,Waves
"When a wave passes from one medium to another, which property remains unchanged?",Speed,Frequency,Wavelength,Amplitude,B,Frequency remains constant when a wave passes from one medium to another. Option A is incorrect because speed changes with medium.,Refraction of Waves,Easy,Physics,Waves
"In a ripple tank, waves travel from deep water to shallow water. What happens to their wavelength?",Increases,Decreases,Remains the same,Becomes zero,B,"As waves enter shallow water, their speed decreases, and so does their wavelength. Option A is incorrect because wavelength does not increase.",Refraction of Waves,Medium,Physics,Waves
The superposition principle is applicable to all types of waves. What does it imply?,Waves can only travel in a medium,Waves can cancel each other,The resultant displacement is the sum of individual displacements,Waves can only be transverse,C,The superposition principle states that the resultant displacement is the vector sum of individual displacements. Option B is a partial truth but not the full implication.,Superposition Principle,Medium,Physics,Waves
A string fixed at both ends produces a standing wave. What is the minimum distance between two nodes?,λ/4,λ/2,λ,2λ,B,The distance between two consecutive nodes in a standing wave is λ/2. Option A is incorrect because it is the distance from a node to an antinode.,Standing Waves,Medium,Physics,Waves
Beats are formed when two waves of slightly different frequencies overlap. What is the beat frequency?,Sum of the frequencies,Difference of the frequencies,Product of the frequencies,Average of the frequencies,B,"Beat frequency is the absolute difference between the two frequencies. Option A is incorrect because it represents the sum, not the difference.",Beats,Easy,Physics,Waves
"A tuning fork produces a sound wave. If it is held near a closed pipe, what happens to the air inside the pipe?",It does not vibrate,It vibrates at the same frequency as the tuning fork,It vibrates at a different frequency,It becomes still,B,"The air inside the pipe vibrates at the same frequency due to forced vibration. Option C is incorrect because the frequency is the same, not different.",Resonance,Medium,Physics,Waves
Doppler shift occurs when there is relative motion between the source and the observer. What changes?,Frequency,Wavelength,Speed,Amplitude,A,The Doppler effect results in a change in the observed frequency. Option B is incorrect because wavelength also changes but the primary effect is on frequency.,Doppler Effect,Easy,Physics,Waves
"In a stretched string, the speed of a transverse wave depends on which of the following?",Tension and mass per unit length,Length and tension,Mass and length,Frequency and wavelength,A,The speed of a transverse wave in a string depends on tension and mass per unit length. Option B is incorrect because length is not a factor in the speed equation.,Speed of Waves in a String,Medium,Physics,Waves
What is the condition for two waves to be coherent?,Same frequency and constant phase difference,Same amplitude and frequency,Same wavelength and speed,Same amplitude and speed,A,Coherent waves have the same frequency and a constant phase difference. Option B is incorrect because amplitude is not a requirement for coherence.,Coherence,Easy,Physics,Waves
"When the intensity of a wave is increased, what happens to its amplitude?",Decreases,Remains the same,Increases,Becomes zero,C,"Intensity is proportional to the square of the amplitude, so increasing intensity increases amplitude. Option A is incorrect because amplitude does not decrease.",Intensity and Amplitude,Medium,Physics,Waves
"A wave has an amplitude of 2 cm and a frequency of 100 Hz. If its amplitude is doubled, what happens to its energy?",Remains the same,Doubles,Quadruples,Halves,C,"Energy is proportional to the square of the amplitude, so doubling amplitude quadruples energy. Option B is incorrect because energy does not just double.",Energy and Amplitude,Hard,Physics,Waves
The phenomenon where waves bend around obstacles is known as?,Reflection,Refraction,Diffraction,Interference,C,Diffraction is the bending of waves around obstacles. Option A is incorrect because reflection involves a change in direction at a surface.,Diffraction,Easy,Physics,Waves
Two waves of equal amplitude and frequency overlap in phase. What is the resultant amplitude?,Zero,Same as individual waves,Twice the individual amplitude,Half the individual amplitude,C,"When waves overlap in phase, their amplitudes add up, resulting in twice the individual amplitude. Option B is incorrect because the amplitude is doubled, not the same.",Interference,Medium,Physics,Waves
What is the condition for destructive interference to occur?,Path difference is a whole number of wavelengths,Path difference is an odd number of half-wavelengths,Path difference is zero,Path difference is a multiple of π,B,Destructive interference occurs when the path difference is an odd multiple of λ/2. Option A is incorrect because it results in constructive interference.,Interference,Hard,Physics,Waves
The speed of sound in air at 0°C is approximately?,300 m/s,331 m/s,350 m/s,400 m/s,B,The speed of sound in air at 0°C is approximately 331 m/s. Option A is incorrect because it is slightly less than the correct value.,Speed of Sound,Easy,Physics,Waves
