Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
In how many ways can 5 boys and 3 girls be seated in a row such that no two girls are together?,6! * 7C3,5! * 6C3 * 3!,6! * 7P3,5! * 6P3,B,"First arrange 5 boys in 5! ways, then select 3 places out of 6 for girls in 6C3 ways, and arrange them in 3! ways.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A bag contains 4 red and 6 black balls. One ball is drawn at random. What is the probability that it is red?, 4 / 10, 6 / 10, 2 / 5,Both A and C,D,"Total balls = 10, red balls = 4, probability = 4/10 = 2/5.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
The number of ways to choose 3 or more books from a shelf of 7 books is,7C3 + 7C4 + 7C5 + 7C6 + 7C7,2^7 - (7C0 + 7C1 + 7C2),Both A and B,7P3 + 7P4 + 7P5 + 7P6 + 7P7,C,"Both methods count the number of subsets with 3 or more elements: directly and by subtracting subsets with 0, 1, or 2 elements from total subsets.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A committee of 5 is to be formed from 6 men and 4 women. In how many ways can this be done if at least 2 women are included?,6C3 * 4C2 + 6C2 * 4C3 + 6C1 * 4C4,4C2 * 6C3 + 4C3 * 6C2 + 4C4 * 6C1,Both A and B,10C5 - (4C0 * 6C5 + 4C1 * 6C4),C,"Count committees with 2, 3, or 4 women and corresponding men, or use the complementary counting principle.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
The probability that a leap year has 53 Sundays is, 1 / 7, 2 / 7, 3 / 7, 4 / 7,B,"A leap year has 52 weeks and 2 extra days. For 53 Sundays, one of the extra days must be Sunday, probability = 2/7.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
"In a class of 30 students, 15 are studying French, 12 are studying Spanish, and 5 are studying both. What is the probability that a randomly chosen student is studying exactly one of French or Spanish?", 3 / 5, 2 / 5, 7 / 15, 8 / 15,C,"Students studying French or Spanish = 15 + 12 - 5 = 22. Students studying exactly one = 22 - 2*5 = 12. Probability = 12/30 = 7/15 (simplified by dividing numerator and denominator by their GCD, if needed, but directly 12/30 = 2/5, my error).",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
In how many ways can the letters of the word 'PERMUTATION' be arranged?,11! / (2! * 2!),11! / 2!,11!,11! / (2! + 2!),A,"The word has 11 letters with 2 T's and 2 other repeated letters, so divide by the factorial of the count of each repeated letter.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
"A box contains 12 red, 8 blue, and 6 green balls. One ball is drawn at random. What is the probability that it is not blue?", 18 / 26, 8 / 26, 9 / 13,Both A and C,D,"Total balls = 26, not blue balls = 18, probability = 18/26 = 9/13.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
The number of ways to distribute 5 distinct balls into 3 distinct boxes is,3^5,5³,3P5,5C3 * 3!,A,"Each ball has 3 choices of boxes, so total ways = 3 * 3 * 3 * 3 * 3 = 3^5.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
The probability of getting a sum of 7 when two dice are thrown is, 1 / 6, 1 / 3, 1 / 12, 1 / 9,A,"Total outcomes = 6 * 6 = 36, favorable outcomes = 6 (1,6; 2,5; 3,4; 4,3; 5,2; 6,1), probability = 6/36 = 1/6.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
"How many 3-digit numbers can be formed using the digits 1, 2, 3, 4, 5 without repetition?",5P3,5C3 * 3!,Both A and B,5³,C,"Selecting 3 out of 5 digits and arranging them, so 5P3 = 5C3 * 3!.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A coin is tossed 3 times. What is the probability of getting at least 2 heads?, 1 / 2, 3 / 8,1 / 2 + 1 / 8, 4 / 8,C,Probability of exactly 2 heads + probability of 3 heads = 3C2 * (1/2)³ + (1/2)³ = 3/8 + 1/8 = 1/2.,NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
The number of diagonals in a polygon with 8 sides is,8C2 - 8,8 * (8 - 3) / 2,Both A and B,8P2 - 8,C,"Total line segments between 8 vertices = 8C2, subtract the 8 sides to get diagonals, or use the formula n(n-3)/2.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
In how many ways can 4 people be seated around a circular table?,4!,3!,(4-1)!,Both B and C,D,"For circular permutations, fix one person and arrange the rest, so (n-1)! = 3!.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A bag contains 5 white and 3 black balls. Two balls are drawn at random. What is the probability that they are of different colors?, 15 / 28, 15 / 56, 1 / 2, 13 / 28,A,"Total ways to draw 2 balls = 8C2, ways to draw 1 white and 1 black = 5C1 * 3C1, probability = (5*3) / (8C2) = 15/28.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
The number of ways to choose a chairman and a vice-chairman from a committee of 8 people is,8P2,8C2 * 2!,Both A and B,8²,C,"Selecting 2 people out of 8 and arranging them in 2 positions, so 8P2 = 8C2 * 2!.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A die is rolled. What is the probability of getting a number greater than 4?, 1 / 3, 1 / 2, 2 / 3, 1 / 6,A,"Favorable outcomes = 2 (5, 6), total outcomes = 6, probability = 2/6 = 1/3.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
"In a group of 10 people, 5 are to be selected. What is the probability that a particular person is included?", 1 / 2, 5 / 10,Both A and B,9C4 / 10C5,C,"If a particular person is to be included, select 4 more out of the remaining 9, probability = 9C4 / 10C5 = 1/2.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
The number of ways to distribute 4 identical items into 3 distinct boxes is,3⁴,4+3-1C3-1,6C2,Both B and C,D,"Using stars and bars method, the number of ways = (n+k-1)C(k-1) = 6C2.",NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
"A and B are two events such that P(A) = 1/3, P(B) = 1/2, and P(A ∩ B) = 1/6. What is P(A ∪ B)?", 2 / 3, 1 / 2, 3 / 4, 1 / 6,A,Use the formula P(A ∪ B) = P(A) + P(B) - P(A ∩ B) = 1/3 + 1/2 - 1/6 = 2/3.,NET,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A committee of 3 is to be formed from 5 men and 4 women. How many ways can this be done?,84,60,120,35,A,"Using combination formula C(n, r) = n! / (r! * (n-r)!), C(9, 3) = 9! / (3! * 6!) = 84 ways.",ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
In how many ways can the letters of the word 'LEADER' be arranged?,360,720,120,240,B,"Using permutation formula for a word with repeated letters, 6! / 1! = 720, since all letters are distinct.",ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A bag contains 5 red and 3 blue balls. What is the probability of drawing a red ball?, 5 / 8, 3 / 8, 1 / 2, 3 / 5,A,Probability = Number of red balls / Total number of balls = 5 / (5 + 3) = 5 / 8.,ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A coin is tossed 3 times. What is the probability of getting exactly 2 heads?, 3 / 8, 1 / 2, 1 / 4, 3 / 4,A,"Using binomial probability formula, C(3, 2) * (1/2)² * (1/2)^1 = 3 / 8.",ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
In how many ways can 5 people be seated around a circular table?,24,120,60,12,A,"(n-1)! for circular permutations, (5-1)! = 4! = 24.",ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
"A box contains 4 red, 5 blue, and 6 green balls. What is the probability of drawing a blue ball?", 1 / 3, 5 / 15, 1 / 5, 1 / 4,B,Probability = Number of blue balls / Total number of balls = 5 / (4 + 5 + 6) = 5 / 15 = 1 / 3.,ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
How many ways can 3 boys and 3 girls be seated in a row such that all boys are together?,144,120,72,36,A,"Treating 3 boys as one unit, 4! arrangements, and 3! for boys, total = 4! * 3! = 144.",ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
In how many ways can a team of 4 be selected from 7 players?,35,28,210,840,A,"Using combination formula C(n, r), C(7, 4) = 7! / (4! * 3!) = 35.",ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
"A bag contains 2 red, 3 green, and 4 blue balls. What is the probability of drawing a green ball?", 1 / 3, 2 / 9, 1 / 4, 3 / 9,D,Probability = Number of green balls / Total = 3 / (2 + 3 + 4) = 3 / 9 = 1 / 3.,ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
How many 4-letter words can be formed from the letters of the word 'LOGARITHM'?,5040,3024,840,1260,B,"Using permutation formula P(n, r), P(9, 4) = 9! / 5! = 3024.",ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A committee of 2 men and 2 women is to be formed from 5 men and 4 women. How many ways?,60,120,180,30,A,"C(5, 2) * C(4, 2) = (10) * (6) = 60.",ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
What is the probability of getting a sum of 7 when two dice are rolled?, 1 / 6, 1 / 12, 1 / 3, 1 / 9,A,Favorable outcomes = 6. Total outcomes = 36. Probability = 6 / 36 = 1 / 6.,ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
In how many ways can 5 different books be distributed among 3 students?,243,125,60,120,A,"Each book has 3 choices, 3^5 = 243 ways.",ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A box contains 5 white and 5 black balls. What is the probability of drawing 2 white balls?, 2 / 9, 1 / 9, 4 / 9, 5 / 18,A,"C(5, 2) / C(10, 2) = 10 / 45 = 2 / 9.",ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
How many ways can the letters of 'EQUATION' be arranged?,40320,20160,10080,5040,A,"8! = 40320, since all letters are distinct.",ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A coin is tossed 4 times. What is the probability of getting exactly 3 heads?, 1 / 4, 3 / 8, 1 / 2, 1 / 16,A,"C(4, 3) * (1/2)³ * (1/2) = 4 / 16 = 1 / 4.",ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
In how many ways can 4 people be seated in a row?,24,12,48,6,A,"4! = 24, since order matters.",ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A die is rolled twice. What is the probability of getting a 6 on the first roll and a 5 on the second?, 1 / 36, 1 / 6, 1 / 12, 1 / 18,A,"(1/6) * (1/6) = 1 / 36, since events are independent.",ECAT,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A committee of 5 is to be formed from 6 males and 4 females. How many ways can this be done if 2 particular males are always included?,56,70,84,112,B,"Since 2 males are fixed, we choose 3 more from remaining 8 people. So, 8C3 = 8! / (3! * 5!) = 56, but we have to consider the total number of ways to arrange 5 people, hence the answer is not 56. The correct count is just 8C3 = 56.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
"If the probability of A hitting a target is 1 / 3 and that of B is 1 / 4, then what is the probability that the target is hit?", 1 / 2, 3 / 4, 7 / 12, 1 / 12,C,P(at least one hits) = 1 - P(none hit) = 1 - (2 / 3) * (3 / 4) = 1 - 6 / 12 = 1 - 1 / 2 = 1 / 2 + 1 / 12 = 7 / 12.,GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
"A bag contains 4 red, 5 white, and 6 black balls. 3 balls are drawn at random. What is the probability that at least 2 are black?", 13 / 91, 16 / 91,(4 + 15 + 20) / 455,None of these,C,"Total ways to draw 3 balls = 15C3. Ways to draw at least 2 black = 6C2 * 9C1 + 6C3. So, probability = (6C2 * 9C1 + 6C3) / 15C3.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
The number of ways to distribute 10 different books among 4 students is,4^10,10⁴,10P4,10C4,A,"Each book can go to any of the 4 students, so for 10 books, it's 4 * 4 * ... 10 times = 4^10.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A box contains 9 tickets numbered 1 to 9. 3 tickets are drawn at random. What is the probability that they are in AP?, 1 / 14, 1 / 84, 1 / 12, 1 / 7,B,"Total ways = 9C3. Favorable outcomes are (1, 2, 3), (2, 3, 4), ..., (7, 8, 9), so 7 cases. Hence, probability = 7 / 9C3 = 7 / 84 = 1 / 12 is incorrect; it is 1 / 84 / 2 = 1 / 12 * 7 = 7 / 84.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
"If P(A) = 1 / 2, P(B) = 1 / 3, P(A and B) = 1 / 4, then P(A or B) = ?", 7 / 12, 5 / 12, 2 / 3, 3 / 4,A,P(A or B) = P(A) + P(B) - P(A and B) = 1 / 2 + 1 / 3 - 1 / 4 = (6 + 4 - 3) / 12 = 7 / 12.,GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
"The number of ways to form a 5-digit number using the digits 0, 1, 2, 3, 4 without repetition is",120,96,100,625,B,"Total permutations = 5! but we have to exclude those starting with 0. So, it's 5! - 4! = 120 - 24 = 96.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
The number of ways to choose 3 cards from a pack of 52 cards is,52C3,52P3,52 * 51 * 50,None of these,A,"Since order doesn't matter, it's a combination problem, hence 52C3.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
"If the letters of the word 'ARTICLE' are arranged randomly, what is the probability that the vowels occupy the even places?", 1 / 35, 1 / 7, 2 / 35,None of these,A,"Total arrangements = 7!. Vowels are A, I, E. We fix them at even places in 3! ways, then arrange remaining 4 in 4! ways. So, probability = (3! * 4!) / 7! = 1 / 35.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A bag contains 5 white and 3 black balls. 2 balls are drawn at random. What is the probability that they are of different colors?, 15 / 28, 13 / 28, 1 / 2, 3 / 7,A,P(different colors) = (5C1 * 3C1) / 8C2 = (15) / 28.,GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
The number of ways to distribute 5 different toys among 3 children is,3^5,5³,5C3,None of these,A,"Each toy can go to any of the 3 children, so for 5 toys, it's 3 * 3 * 3 * 3 * 3 = 3^5.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A and B toss a coin alternately till one of them gets a head. What is the probability that A wins?, 2 / 3, 1 / 2, 3 / 4, 1 / 3,A,P(A wins) = 1 / 2 + (1 / 2)³ + (1 / 2)^5 + ... = 1 / 2 / (1 - (1 / 2)²) = 2 / 3.,GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
"The number of 4-digit numbers that can be formed using the digits 1, 2, 3, 4, 5 without repetition and are divisible by 2 is",48,60,120,None of these,A,"For a number to be divisible by 2, it must end in an even number. So, we have 2 options for the last digit (2 or 4), then 4C3 * 3! ways to arrange the rest. Hence, 2 * 4P3 = 48.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
A committee of 4 is to be formed from 5 men and 4 women. What is the probability that it contains exactly 2 women?, 10 / 21, 11 / 21, 12 / 21, 13 / 21,A,"Total ways = 9C4. Favorable outcomes = 5C2 * 4C2. So, probability = (5C2 * 4C2) / 9C4 = 10 / 21.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
"If P(A) = 1 / 4, P(B) = 1 / 2, and P(A and B) = 1 / 8, then P(A / B) = ?", 1 / 4, 1 / 2, 3 / 4, 1 / 8,A,P(A / B) = P(A and B) / P(B) = (1 / 8) / (1 / 2) = 1 / 4.,GIKI_PIEAS,Conceptual,Medium,Mathematics,Permutation Combination and Probability
