Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
The unit of electric field intensity in SI system is,N/C,V/m,J/C,C/N,A,Electric field intensity is measured in N/C; V/m is equivalent but not the primary unit. C/N is incorrect.,Electric Field,Easy,Physics,Electrostatics
Coulomb's law is applicable to,Point charges,Large spheres,Charged plates,Current carrying wires,A,Coulomb's law applies to point charges; it can be extended to larger objects with certain assumptions.,Coulomb's Law,Easy,Physics,Electrostatics
The electric potential at a point due to a point charge is given by,kQ/r,kQ/r^2,kQr,kQ/r^3,A,"Electric potential due to a point charge is kQ/r; kQ/r^2 is the electric field, not potential.",Electric Potential,Easy,Physics,Electrostatics
The capacitance of a capacitor depends upon,Charge on plates,Potential difference between plates,Geometry of capacitor,Dielectric material,C,Capacitance depends on geometry; charge and potential difference are related but not the primary factors.,Capacitance,Medium,Physics,Electrostatics
A capacitor is charged by a battery. The battery is removed and a dielectric slab is inserted. What happens to the charge?,Increases,Decreases,Remains the same,Becomes zero,C,Charge remains the same as battery is removed; dielectric affects capacitance and potential difference.,Dielectrics,Medium,Physics,Electrostatics
The electric flux through a closed surface is proportional to,Charge enclosed,Charge outside,Surface area,Electric field,A,Gauss's law states that flux is proportional to enclosed charge; outside charge doesn't affect total flux.,Gauss's Law,Easy,Physics,Electrostatics
"Two charges q1 and q2 are placed at a distance r. If the force between them is F, what happens to F if r is doubled?",F/2,F/4,4F,2F,B,Coulomb's law states F ∝ 1/r^2; doubling r reduces F to F/4.,Coulomb's Law,Medium,Physics,Electrostatics
The SI unit of capacitance is,Farad,Henry,Ohm,Tesla,A,"Farad is the unit of capacitance; Henry is for inductance, Ohm for resistance, Tesla for magnetic field.",Capacitance,Easy,Physics,Electrostatics
"When a dielectric is inserted between the plates of a capacitor, its capacitance",Increases,Decreases,Remains the same,Becomes zero,A,Dielectric increases capacitance by reducing electric field between plates.,Dielectrics,Easy,Physics,Electrostatics
The electric field due to a uniformly charged infinite plane sheet is,σ/2ε₀,σ/ε₀,σ/(2ε₀ + σ),Zero,A,Electric field due to infinite plane sheet is σ/2ε₀; doesn't depend on distance.,Electric Field,Medium,Physics,Electrostatics
A charge is placed at the center of a spherical Gaussian surface. The electric flux through the surface is,q/ε₀,q/(4πε₀),4πε₀q,q/(4πε₀r^2),A,"Gauss's law states that flux is q/ε₀; depends on enclosed charge, not surface details.",Gauss's Law,Medium,Physics,Electrostatics
The potential difference between two points in an electric field is,Work done per unit charge,Force per unit charge,Energy per unit charge,Both A and C,D,"Potential difference is work done per unit charge, equivalent to energy per unit charge.",Electric Potential,Medium,Physics,Electrostatics
The electric field inside a conductor is,Zero,Maximum,Minimum,Variable,A,"Inside a conductor, electric field is zero in electrostatic equilibrium.",Conductors,Easy,Physics,Electrostatics
The charge on a capacitor is given by,CV,C/V,QV,V/C,A,"Charge on a capacitor is given by Q = CV; relates capacitance, charge, and potential difference.",Capacitance,Easy,Physics,Electrostatics
A capacitor is connected to a battery. A dielectric slab is inserted. What happens to the potential difference?,Increases,Decreases,Remains the same,Becomes zero,C,Potential difference remains the same as battery maintains it; dielectric affects capacitance.,Dielectrics,Medium,Physics,Electrostatics
The electric potential due to a dipole at a point on its axis is,k2p/r^3,k2p/r^2,kp/r^2,kp/r^3,A,Potential due to dipole on its axis is k2p/r^3; depends on dipole moment and distance.,Electric Dipole,Hard,Physics,Electrostatics
"The force between two charges is F. If a third charge is introduced between them, the force between the original two charges",Increases,Decreases,Remains the same,Becomes zero,C,Introducing a third charge doesn't affect the force between the original two; superposition principle applies.,Coulomb's Law,Medium,Physics,Electrostatics
The surface charge density on a conductor is,Proportional to electric field,Inversely proportional to electric field,Equal to electric field,Unrelated to electric field,A,Surface charge density is proportional to electric field just outside; related through ε₀.,Conductors,Hard,Physics,Electrostatics
The energy density in an electric field is given by,1/2 ε₀E^2,1/2 ε₀E,ε₀E^2,ε₀E,A,Energy density in electric field is 1/2 ε₀E^2; relates energy stored to field strength.,Energy Density,Hard,Physics,Electrostatics
A point charge of 2 μC is placed 0.5 m away from another point charge of -3 μC. What is the magnitude of the electrostatic force between them?,0.216 N,0.108 N,0.054 N,0.027 N,A,Coulomb's Law gives F = k * q1 * q2 / r^2 = 0.216 N. Wrong options are due to incorrect unit conversions.,Coulomb's Law,Medium,Physics,Electrostatics
The electric field due to a point charge of 4 μC at a distance of 0.2 m is,9 × 10^5 N/C,18 × 10^5 N/C,36 × 10^5 N/C,72 × 10^5 N/C,A,E = k * q / r^2 = 9 × 10^5 N/C. Wrong options result from miscalculating k or q.,Electric Field,Easy,Physics,Electrostatics
"A capacitor has a capacitance of 5 μF when the dielectric is air. If the dielectric is replaced with a material of dielectric constant 4, its capacitance becomes",10 μF,20 μF,5 μF,2.5 μF,B,C = ε_r * C0 = 4 * 5 = 20 μF. Wrong options misinterpret dielectric constant effect.,Capacitance and Dielectrics,Medium,Physics,Electrostatics
"Two parallel plates, each of area 0.02 m^2, are 0.005 m apart. What is the capacitance if the dielectric is air?",35.4 pF,17.7 pF,8.85 pF,4.42 pF,A,C = ε0 * A / d = 35.4 pF. Wrong options result from incorrect unit conversions or formula application.,Capacitance,Hard,Physics,Electrostatics
A charge of 0.5 C is moved from a point of potential 10 V to another point of potential 20 V. The work done is,5 J,10 J,15 J,20 J,A,W = q * ΔV = 0.5 * (20 - 10) = 5 J. Wrong options miscalculate ΔV or q.,Electric Potential,Easy,Physics,Electrostatics
The potential at a point due to a point charge of 2 μC placed 0.3 m away is,6 × 10^4 V,3 × 10^4 V,12 × 10^4 V,9 × 10^4 V,A,V = k * q / r = 6 × 10^4 V. Wrong options miscalculate k or r.,Electric Potential due to a Point Charge,Medium,Physics,Electrostatics
The electric flux through a spherical surface of radius 0.1 m enclosing a charge of 1 μC is,1.13 × 10^5 Nm^2/C,2.26 × 10^5 Nm^2/C,0.56 × 10^5 Nm^2/C,4.52 × 10^5 Nm^2/C,A,Φ = q / ε0 = 1.13 × 10^5 Nm^2/C. Wrong options result from incorrect ε0 value.,Gauss's Law,Medium,Physics,Electrostatics
"A parallel plate capacitor is charged to 100 V and then isolated. If the plate separation is doubled, the potential difference becomes",50 V,100 V,200 V,400 V,C,"V = Qd / ε0A, so doubling d doubles V. Wrong options misunderstand capacitor isolation.",Capacitance and Potential Difference,Hard,Physics,Electrostatics
A charge of 8 μC is placed at the center of a cube. The total electric flux through the cube is,9.04 × 10^5 Nm^2/C,4.52 × 10^5 Nm^2/C,1.81 × 10^6 Nm^2/C,3.62 × 10^6 Nm^2/C,A,Φ = q / ε0 = 9.04 × 10^5 Nm^2/C. Wrong options misapply Gauss's Law.,Gauss's Law,Medium,Physics,Electrostatics
The energy stored in a capacitor of capacitance 10 μF charged to 50 V is,12.5 mJ,25 mJ,50 mJ,100 mJ,A,E = 0.5 * C * V^2 = 12.5 mJ. Wrong options miscalculate C or V^2.,Energy Stored in a Capacitor,Easy,Physics,Electrostatics
"When a dielectric slab is inserted between the plates of a capacitor, the energy stored",Increases,Decreases,Remains the same,Becomes zero,A,"E = 0.5 * C * V^2, and C increases with dielectric, so E increases if V is constant. Wrong options misinterpret effect of dielectric.",Dielectrics and Capacitance,Medium,Physics,Electrostatics
The electric potential at a distance of 0.2 m from a point charge is 900 V. The charge is,20 nC,40 nC,10 nC,80 nC,A,q = 4πε0 * r * V = 20 nC. Wrong options miscalculate ε0 or r.,Electric Potential due to a Point Charge,Medium,Physics,Electrostatics
"A capacitor is charged to a potential difference of 200 V. If the charge stored is 0.02 C, the capacitance is",100 μF,50 μF,200 μF,400 μF,A,C = Q / V = 0.02 / 200 = 100 μF. Wrong options miscalculate Q or V.,Capacitance,Easy,Physics,Electrostatics
"The force between two point charges is 0.036 N when they are 0.2 m apart. If the distance is increased to 0.6 m, the force becomes",0.004 N,0.012 N,0.036 N,0.108 N,A,"F ∝ 1/r^2, so F at 0.6 m is (0.2/0.6)^2 times F at 0.2 m = 0.004 N. Wrong options misapply inverse square law.",Coulomb's Law,Medium,Physics,Electrostatics
The electric field between two parallel plates 0.01 m apart is 1000 N/C. The potential difference between the plates is,10 V,5 V,20 V,15 V,A,V = E * d = 1000 * 0.01 = 10 V. Wrong options miscalculate E or d.,Electric Field and Potential Difference,Easy,Physics,Electrostatics
A spherical conductor of radius 0.1 m is charged to a potential of 1000 V. The charge on the conductor is,11.1 nC,22.2 nC,5.55 nC,44.4 nC,A,q = 4πε0 * r * V = 11.1 nC. Wrong options miscalculate ε0 or r.,Electric Potential of a Spherical Conductor,Medium,Physics,Electrostatics
A capacitor of capacitance 2 μF is connected in series with another of 3 μF. The equivalent capacitance is,1.2 μF,1.5 μF,0.6 μF,5 μF,A,1/C_eq = 1/C1 + 1/C2 gives C_eq = 1.2 μF. Wrong options misapply series capacitance formula.,Series and Parallel Capacitors,Medium,Physics,Electrostatics
"The capacitance of a parallel plate capacitor is 5 pF. If the area of the plates is doubled, the new capacitance is",10 pF,20 pF,5 pF,2.5 pF,A,"C ∝ A, so doubling A doubles C to 10 pF. Wrong options misunderstand effect of area on capacitance.",Capacitance,Easy,Physics,Electrostatics
A charge of 2 μC experiences a force of 0.04 N in an electric field. The electric field strength is,20000 N/C,10000 N/C,40000 N/C,80000 N/C,A,E = F / q = 0.04 / (2 × 10^-6) = 20000 N/C. Wrong options miscalculate F or q.,Electric Field,Medium,Physics,Electrostatics
The potential difference between two points 0.1 m apart in a uniform electric field of 500 N/C is,50 V,25 V,100 V,200 V,A,ΔV = E * d = 500 * 0.1 = 50 V. Wrong options miscalculate E or d.,Electric Field and Potential Difference,Easy,Physics,Electrostatics
"Two charges, +4 μC and -6 μC, are separated by 3 meters. What is the electric force between them? (k = 9×10⁹ N·m²/C²)",36×10⁻³ N (attraction),24×10⁻³ N (repulsion),12×10⁻³ N (attraction),6×10⁻³ N (repulsion),A,Coulomb's Law F=k|q1q2|/r². Option C fails because it uses k=12×10⁹ instead of 9×10⁹.,Coulomb's Law Calculation,Medium,Physics,Electrostatics
An electric field of 200 N/C exists at a point. What force acts on a +5 μC charge placed there?,1×10⁻³ N (opposite field direction),1×10⁻³ N (same field direction),2×10⁻³ N (perpendicular to field),0 N (no movement),B,F = qE. Option A incorrectly assumes negative charge direction.,Electric Field Force,Easy,Physics,Electrostatics
A parallel plate capacitor stores 1.5×10⁻⁶ C when charged to 24 V. What is its capacitance?,6.25×10⁻⁸ F,6.25×10⁻⁵ F,6.25×10⁻² F,6.25×10⁻⁴ F,A,C = Q/V. Option B divides instead of multiplies by voltage.,Capacitance Formula,Medium,Physics,Electrostatics
An electric dipole with moment p = 4×10⁻⁶ C·m experiences a torque of 1.2×10⁻³ N·m in a 300 N/C field. What is the angle between p and E?,30°,45°,60°,90°,A,τ = pE sinθ. Option B uses cosine instead of sine in calculation.,Dipole Torque,Hard,Physics,Electrostatics
A spherical shell of radius 20 cm carries +8 μC. What is the electric field at 10 cm from the center?,720 N/C inward,Zero (conductor interior field),360 N/C outward,450 N/C outward,B,Conductors in electrostatic equilibrium have zero interior field. Option C uses Coulomb’s Law incorrectly.,Conductor Electric Field,Hard,Physics,Electrostatics
"Three capacitors, 2 μF, 4 μF, and 6 μF, are connected in series. What is their equivalent capacitance?",12 μF,1.09 μF,12/6 μF,6 μF,B,1/Ceq = 1/C₁ + 1/C₂ + 1/C₃. Option D adds capacitors directly.,Series Capacitors,Medium,Physics,Electrostatics
An electron (mass 9.1×10⁻³¹ kg) enters a 2000 N/C electric field. What acceleration does it experience?,3.52×10¹⁴ m/s² (opposite field),3.52×10¹⁴ m/s² (same field),1.76×10¹⁴ m/s² (perpendicular),0 m/s² (no acceleration),A,a = qE/m. Option B forgets electron’s negative charge direction.,Charge Acceleration,Medium,Physics,Electrostatics
A 10 μF capacitor is charged to 12 V. What energy is stored?,720 μJ,120 μJ,72 μJ,60 μJ,A,U = ½CV². Option D uses U = CV² instead of ½CV².,Capacitor Energy,Easy,Physics,Electrostatics
A 2 μC charge creates a potential of 360 V at a point. What is the distance to that point?,0.5 m,1.0 m,2.0 m,5.0 m,A,V = kq/r. Option C squares the distance instead of solving for it.,Electric Potential,Medium,Physics,Electrostatics
"Two charges, +3 μC and -3 μC, are 6 mm apart. What is their dipole moment?",1.8×10⁻⁸ C·m,1.8×10⁻⁵ C·m,5.4×10⁻⁵ C·m,9.0×10⁻⁸ C·m,B,p = qd. Option A uses 2d instead of d.,Dipole Moment,Easy,Physics,Electrostatics
A dielectric (κ=3) is placed between a 4 μF capacitor. What is the new capacitance if the capacitor remains connected to a battery?,12 μF,4 μF,2/3 μF,18 μF,A,C = κC₀. Option B assumes voltage remains constant.,Dielectric Effect,Hard,Physics,Electrostatics
