Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The electric field due to a point charge at a distance r is proportional to,1 / r,1 / r²,r,r²,B,"E = k * q / r², so E ∝ 1 / r²",NET,Conceptual,Medium,Physics,Electrostatics
The electric potential due to a point charge at a distance r is,k * q / r,k * q / r²,k * q * r,k * q * r²,A,"V = k * q / r, potential is inversely proportional to distance",NET,Conceptual,Medium,Physics,Electrostatics
The capacitance of a parallel plate capacitor is,ε₀ * A / d,ε₀ * A * d,ε₀ / (A * d),A / (ε₀ * d),A,"C = ε₀ * A / d, capacitance depends on area and separation",NET,Conceptual,Medium,Physics,Electrostatics
"A charge q is placed at the center of a cube, the flux through one face is",q / (6 * ε₀),q / ε₀,q / (3 * ε₀),q / (2 * ε₀),A,"Total flux = q / ε₀, through 6 faces, so one face = q / (6 * ε₀)",NET,Conceptual,Medium,Physics,Electrostatics
The electric field inside a conductor is,Zero,Maximum,Minimum,Constant,A,"In electrostatic equilibrium, E inside conductor is zero",NET,Conceptual,Medium,Physics,Electrostatics
"The potential difference between two points is 10 V, the work done in moving a charge of 2 C is",5 J,20 J,10 J,2 J,B,W = q * ΔV = 2 C * 10 V = 20 J,NET,Conceptual,Medium,Physics,Electrostatics
The energy stored in a capacitor is,1/2 * C * V²,C * V²,1/2 * C * V,C * V,A,"Energy = 1/2 * C * V², derived from work done in charging",NET,Conceptual,Medium,Physics,Electrostatics
"The force between two charges is F, if the distance is halved, the new force is",4 F,2 F,F / 2,F / 4,A,"F ∝ 1 / r², so F' = F * (r / (r/2))² = 4 F",NET,Conceptual,Medium,Physics,Electrostatics
The electric field due to a dipole at a point on its axis is,2 * k * p / r³,k * p / r³,2 * k * p / r²,k * p / r²,A,E = 2 * k * p / r³ for a point on the axis of a dipole,NET,Conceptual,Medium,Physics,Electrostatics
The torque on a dipole in an electric field is,p * E,p × E,p . E,p / E,B,"τ = p × E, torque tends to align dipole with E",NET,Conceptual,Medium,Physics,Electrostatics
The potential due to a dipole at a point on its axis is,k * p / r²,2 * k * p / r²,k * p / r,2 * k * p / r,A,V = k * p / r² for a point on the axis of a dipole,NET,Conceptual,Medium,Physics,Electrostatics
"A capacitor is charged to a potential V, the charge stored is",C * V,C / V,V / C,1 / (C * V),A,"Q = C * V, charge is proportional to capacitance and voltage",NET,Conceptual,Medium,Physics,Electrostatics
The capacitance of a spherical capacitor is,4 * π * ε₀ * r,4 * π * ε₀ * r₁ * r₂ / (r₂ - r₁),4 * π * ε₀ / r,4 * π * ε₀ * (r₂ - r₁),B,C = 4 * π * ε₀ * r₁ * r₂ / (r₂ - r₁) for a spherical capacitor,NET,Conceptual,Medium,Physics,Electrostatics
The electric field due to a line charge is,λ / (2 * π * ε₀ * r),λ / (π * ε₀ * r),λ / (2 * ε₀ * r),λ / (ε₀ * r),A,E = λ / (2 * π * ε₀ * r) for a line charge,NET,Conceptual,Medium,Physics,Electrostatics
The potential due to a line charge is,λ / (2 * π * ε₀) * ln(r),λ / (π * ε₀) * ln(r),λ / (2 * ε₀) * ln(r),λ / (ε₀) * ln(r),A,V = λ / (2 * π * ε₀) * ln(r) for a line charge,NET,Conceptual,Medium,Physics,Electrostatics
The force on a charge in an electric field is,q * E,q / E,E / q,q + E,A,"F = q * E, force is proportional to charge and field",NET,Conceptual,Medium,Physics,Electrostatics
The electric flux through a surface is,E . A,E × A,E / A,E + A,A,"Φ = E . A, flux is the dot product of E and area vector",NET,Conceptual,Medium,Physics,Electrostatics
The potential difference between two points in a uniform electric field is,E * d,E / d,- E * d,d / E,A,"ΔV = E * d, potential difference in a uniform field",NET,Conceptual,Medium,Physics,Electrostatics
The energy density in an electric field is,1/2 * ε₀ * E²,ε₀ * E²,1/2 * ε₀ * E,ε₀ * E,A,"u = 1/2 * ε₀ * E², energy density in an electric field",NET,Conceptual,Medium,Physics,Electrostatics
The electric field due to a charged sphere is zero,Inside,Outside,On surface,At infinity,A,"E = 0 inside a conducting sphere, due to electrostatic shielding",NET,Conceptual,Medium,Physics,Electrostatics
A charge of 2 μC is placed at the origin. Find the electric field at a point 3 m away.,2 / (4 π ε₀) N/C,2 × 10^(-6) / (9 × 10^9 × 3²) N/C,2000 N/C,200 N/C,B,"Using E = k * q / r², where k = 1 / (4 π ε₀) = 9 × 10^9 Nm²/C², we get E = 2 × 10^(-6) / (9 × 10^9 × 3²) N/C.",ECAT,Conceptual,Medium,Physics,Electrostatics
"The electric flux through a sphere of radius 2 m is Φ. If the radius is doubled, the new flux is",Φ / 4,Φ / 2,Φ,2Φ,C,"Electric flux Φ = Q / ε₀ is independent of the radius of the sphere, so it remains Φ.",ECAT,Conceptual,Medium,Physics,Electrostatics
Two charges +q and -q are placed at a distance d. The electric field at the midpoint is,2q / (π ε₀ d²),4q / (π ε₀ d²),q / (4 π ε₀ d²),0,B,E = 2 * (1 / (4 π ε₀)) * q / (d/2)² = 8q / (4 π ε₀ d²) = 2q / (π ε₀ d²).,ECAT,Conceptual,Medium,Physics,Electrostatics
"A capacitor is charged to 10 V. If the capacitance is 2 μF, the energy stored is",0.1 J,0.01 J,0.001 J,1 J,A,"Energy stored = 1/2 CV² = 1/2 × 2 × 10^(-6) × 10² = 0.1 J, using the formula for energy stored in a capacitor.",ECAT,Conceptual,Medium,Physics,Electrostatics
"The potential difference between two points is 5 V. If 2 C of charge is moved, the work done is",10 J,2.5 J,5 J,0.4 J,A,"Work done = QV = 2 C × 5 V = 10 J, as work done is given by the product of charge and potential difference.",ECAT,Conceptual,Medium,Physics,Electrostatics
"A parallel plate capacitor has a capacitance of 5 pF. If the plate separation is doubled, the new capacitance is",10 pF,5 pF,2.5 pF,20 pF,C,"C ∝ 1/d, so if d is doubled, C is halved, giving 2.5 pF.",ECAT,Conceptual,Medium,Physics,Electrostatics
"The electric field between two parallel plates is 1000 N/C. If the potential difference is 20 V, the plate separation is",0.02 m,0.2 m,2 m,20 m,A,"E = V/d, so d = V/E = 20 / 1000 = 0.02 m.",ECAT,Conceptual,Medium,Physics,Electrostatics
A charge of 5 μC is placed at the center of a sphere. The electric flux through the surface is,5 / ε₀,5 × 10^(-6) / ε₀,5 ε₀,0,B,"Φ = Q / ε₀ = 5 × 10^(-6) / ε₀, using Gauss's Law.",ECAT,Conceptual,Medium,Physics,Electrostatics
