Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The electric field due to a dipole at a distance r is proportional to,1 / r,1 / r²,1 / r³,r,C,"E ∝ 1 / r³ for a dipole, derived from the dipole moment and Coulomb's law.",NET,Conceptual,Medium,Physics,Electromagnetism
The force between two parallel current-carrying wires is,Repulsive if currents are in same direction,Attractive if currents are in same direction,Zero if currents are in opposite directions,Always zero,B,"F ∝ I1 * I2, and is attractive for same direction currents, derived from Biot-Savart law and Lorentz force.",NET,Conceptual,Medium,Physics,Electromagnetism
The magnetic field at the center of a circular coil is,B = μ₀ n I / (2 r),B = μ₀ I / (2 r),B = μ₀ n I / r,B = μ₀ I / r,B,B = μ₀ I / (2 r) is derived from Biot-Savart law for a circular coil.,NET,Conceptual,Medium,Physics,Electromagnetism
The electric flux through a closed surface is proportional to,Charge enclosed,Surface area,Electric field,Volume enclosed,A,"Φ = Q / ε₀, Gauss's law states that flux is proportional to charge enclosed.",NET,Conceptual,Medium,Physics,Electromagnetism
The capacitance of a parallel plate capacitor is,C = ε₀ A / d,C = ε₀ d / A,C = A / d,C = d / A,A,"C = ε₀ A / d, derived from the definition of capacitance and electric field between parallel plates.",NET,Conceptual,Medium,Physics,Electromagnetism
The energy stored in a capacitor is,1/2 CV,1/2 CV²,CV,CV²,B,"Energy = 1/2 CV², derived from the work done in charging a capacitor.",NET,Conceptual,Medium,Physics,Electromagnetism
The magnetic moment of a current loop is,M = I A,M = I / A,M = A / I,M = I² A,A,"M = I A, derived from the definition of magnetic moment and torque on a current loop.",NET,Conceptual,Medium,Physics,Electromagnetism
The electric field due to a point charge is,E = k Q / r,E = k Q / r²,E = k Q r,E = k Q r²,B,"E = k Q / r², derived from Coulomb's law.",NET,Conceptual,Medium,Physics,Electromagnetism
The resistance of a wire is proportional to,Length,1 / Length,Area,1 / Area,A,"R ∝ L, derived from the definition of resistivity and resistance.",NET,Conceptual,Medium,Physics,Electromagnetism
The inductance of a coil is proportional to,Number of turns,1 / Number of turns,Number of turns²,1 / Number of turns²,C,"L ∝ N², derived from the definition of inductance and magnetic flux.",NET,Conceptual,Medium,Physics,Electromagnetism
The electric potential due to a point charge is,V = k Q / r,V = k Q / r²,V = k Q r,V = k Q r²,A,"V = k Q / r, derived from the definition of electric potential.",NET,Conceptual,Medium,Physics,Electromagnetism
The force on a current-carrying wire in a magnetic field is,F = I L B,F = I L / B,F = I / (L B),F = B / (I L),A,"F = I L B sin(θ), derived from the Lorentz force equation.",NET,Conceptual,Medium,Physics,Electromagnetism
The magnetic field due to a solenoid is,B = μ₀ n I,B = μ₀ I / n,B = μ₀ n / I,B = I / (μ₀ n),A,"B = μ₀ n I, derived from Ampere's law for a solenoid.",NET,Conceptual,Medium,Physics,Electromagnetism
The electric field between two parallel plates is,E = V / d,E = d / V,E = V d,E = 1 / (V d),A,"E = V / d, derived from the definition of electric field and potential difference.",NET,Conceptual,Medium,Physics,Electromagnetism
The capacitance of a spherical capacitor is,C = 4πε₀ r,C = 4πε₀ r₁ r₂ / (r₂ - r₁),C = 4πε₀ / r,C = r / (4πε₀),B,"C = 4πε₀ r₁ r₂ / (r₂ - r₁), derived from the definition of capacitance and electric field.",NET,Conceptual,Medium,Physics,Electromagnetism
The energy density in a magnetic field is,u = 1/2 B² / μ₀,u = 1/2 μ₀ B²,u = B² / μ₀,u = μ₀ / B²,A,"u = 1/2 B² / μ₀, derived from the energy stored in an inductor.",NET,Conceptual,Medium,Physics,Electromagnetism
The torque on a current loop in a magnetic field is,τ = M B,τ = M × B,τ = B × M,τ = M / B,B,"τ = M × B, derived from the definition of magnetic moment and Lorentz force.",NET,Conceptual,Medium,Physics,Electromagnetism
The self-inductance of a coil is,L = N Φ / I,L = I / (N Φ),L = N / (Φ I),L = Φ / (N I),A,"L = N Φ / I, derived from the definition of self-inductance and magnetic flux.",NET,Conceptual,Medium,Physics,Electromagnetism
The mutual inductance between two coils is,M = N₂ Φ₂₁ / I₁,M = I₁ / (N₂ Φ₂₁),M = N₂ / (Φ₂₁ I₁),M = Φ₂₁ / (N₂ I₁),A,"M = N₂ Φ₂₁ / I₁, derived from the definition of mutual inductance and magnetic flux.",NET,Conceptual,Medium,Physics,Electromagnetism
The magnetic flux through a coil is,Φ = B A,Φ = B / A,Φ = A / B,Φ = B A cos(θ),D,"Φ = B A cos(θ), derived from the definition of magnetic flux.",NET,Conceptual,Medium,Physics,Electromagnetism
A charge of 2 μC is placed at the center of a cube. The electric flux through one face is,1 / 6 × 2.26 × 10^5 Nm²/C,3.77 × 10^5 Nm²/C,1 / 6 × 2.26 × 10⁴ Nm²/C,2.26 × 10^5 Nm²/C,A,"Using Gauss's law, total flux = q / ε₀, and flux through one face = total flux / 6. ε₀ = 8.85 × 10^-12 F/m.",ECAT,Conceptual,Medium,Physics,Electromagnetism
The electric field due to a point charge at a distance of 3 m is 500 N/C. The magnitude of the charge is,5 × 10^-7 C,1.5 × 10^-6 C,5 × 10^-6 C,1.5 × 10^-7 C,A,"Using E = k * q / r², where k = 9 × 10^9 Nm²/C², we can find q = E * r² / k.",ECAT,Conceptual,Medium,Physics,Electromagnetism
A wire of length 1 m and radius 1 mm has a resistance of 100 Ω. The resistivity of the material is,3.14 × 10^-4 Ωm,3.14 × 10^-6 Ωm,1.57 × 10^-4 Ωm,1.57 × 10^-6 Ωm,A,"Using R = ρ * l / A, where A = πr², we can find ρ = R * A / l.",ECAT,Conceptual,Medium,Physics,Electromagnetism
The magnetic field at the center of a circular coil of radius 5 cm and carrying a current of 2 A is,1.26 × 10^-5 T,2.51 × 10^-5 T,1.26 × 10^-4 T,2.51 × 10^-4 T,B,"Using B = μ₀ * I / (2 * r), where μ₀ = 4π × 10^-7 Tm/A.",ECAT,Conceptual,Medium,Physics,Electromagnetism
